,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Ed Ingram,G,55,100%,0,0%,4,17%,IngrEd00
Blake Brandel,G,55,100%,0,0%,4,17%,BranBl00
Brian O'Neill,T,55,100%,0,0%,4,17%,ONeiBr00
Christian Darrisaw,T,55,100%,0,0%,4,17%,DarrCh00
Garrett Bradbury,C,55,100%,0,0%,0,0%,BradGa00
Sam Darnold,QB,55,100%,0,0%,0,0%,DarnSa00
Justin Jefferson,WR,46,84%,0,0%,0,0%,JeffJu00
Brandon Powell,WR,30,55%,0,0%,6,25%,PoweBr00
Aaron Jones,RB,30,55%,0,0%,0,0%,JoneAa00
Johnny Mundt,TE,29,53%,0,0%,0,0%,MundJo00
Jordan Addison,WR,28,51%,0,0%,0,0%,AddiJo00
Josh Oliver,TE,26,47%,0,0%,7,29%,OlivJo00
Jalen Nailor,WR,26,47%,0,0%,0,0%,NailJa00
C.J. Ham,FB,19,35%,0,0%,16,67%,HamxC.00
Ty Chandler,RB,19,35%,0,0%,3,13%,ChanTy01
Trent Sherfield,WR,17,31%,0,0%,7,29%,SherTr00
Nick Muse,TE,3,5%,0,0%,7,29%,MuseNi00
Myles Gaskin,RB,2,4%,0,0%,5,21%,GaskMy00
Camryn Bynum,FS,0,0%,68,96%,2,8%,BynuCa00
Harrison Smith,SS,0,0%,68,96%,0,0%,SmitHa00
Josh Metellus,SS,0,0%,64,90%,11,46%,MeteJo00
Blake Cashman,LB,0,0%,63,89%,7,29%,CashBl00
Stephon Gilmore,CB,0,0%,62,87%,0,0%,GilmSt00
Byron Murphy,CB,0,0%,56,79%,0,0%,MurpBy00
Jonathan Greenard,LB,0,0%,52,73%,0,0%,GreeJo04
Shaquill Griffin,CB,0,0%,44,62%,0,0%,GrifSh00
Andrew Van Ginkel,LB,0,0%,41,58%,0,0%,VanGAn00
Ivan Pace,LB,0,0%,39,55%,15,63%,PaceIv00
Jerry Tillery,DE,0,0%,39,55%,4,17%,TillJe00
Harrison Phillips,NT,0,0%,37,52%,0,0%,PhilHa00
Dallas Turner,LB,0,0%,36,51%,12,50%,TurnDa01
Patrick Jones II,LB,0,0%,34,48%,9,38%,JonePa00
Jihad Ward,LB,0,0%,29,41%,4,17%,WardJi02
Jonathan Bullard,DE,0,0%,28,39%,0,0%,BullJo00
Taki Taimani,NT,0,0%,10,14%,4,17%,TaimTa00
Jay Ward,SS,0,0%,3,4%,20,83%,WardJa00
Theo Jackson,FS,0,0%,3,4%,18,75%,JackTh00
Bobby McCain,SS,0,0%,3,4%,12,50%,McCaBo01
Akayleb Evans,CB,0,0%,3,4%,10,42%,EvanAk00
Kamu Grugier-Hill,LB,0,0%,0,0%,20,83%,GrugKa00
Brian Asamoah,LB,0,0%,0,0%,16,67%,AsamBr00
Will Reichard,K,0,0%,0,0%,9,38%,ReicWi00
Andrew DePaola,LS,0,0%,0,0%,8,33%,DePaAn00
Ryan Wright,P,0,0%,0,0%,8,33%,WrigRy00
David Quessenberry,T,0,0%,0,0%,4,17%,QuesDa00
Dan Feeney,C,0,0%,0,0%,4,17%,FeenDa00
