,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Michael Onwenu,G,65,100%,0,0%,4,19%,OnweMi00
Layden Robinson,G,65,100%,0,0%,4,19%,RobiLa02
Michael Jordan,G,65,100%,0,0%,4,19%,JordMi01
David Andrews,C,65,100%,0,0%,0,0%,AndrDa00
Jacoby Brissett,QB,65,100%,0,0%,0,0%,BrisJa00
Hunter Henry,TE,54,83%,0,0%,0,0%,HenrHu00
Vederian Lowe,T,53,82%,0,0%,4,19%,LoweVe00
Rhamondre Stevenson,RB,51,78%,0,0%,0,0%,StevRh00
K.J. Osborn,WR,40,62%,0,0%,0,0%,OsboKJ00
Demario Douglas,WR,39,60%,0,0%,0,0%,DougDe00
Tyquan Thornton,WR,38,58%,0,0%,0,0%,ThorTy00
Austin Hooper,TE,36,55%,0,0%,4,19%,HoopAu00
Ja'Lynn Polk,WR,35,54%,0,0%,0,0%,PolkJa00
Caedan Wallace,T,18,28%,0,0%,4,19%,WallCa00
Antonio Gibson,RB,14,22%,0,0%,3,14%,GibsAn00
Chukwuma Okorafor,T,12,18%,0,0%,0,0%,OkorCh00
Kyle Dugger,FS,0,0%,51,100%,6,29%,DuggKy00
Jabrill Peppers,SS,0,0%,51,100%,5,24%,PeppJa00
Christian Gonzalez,CB,0,0%,51,100%,0,0%,GonzCh00
Ja'Whaun Bentley,LB,0,0%,51,100%,0,0%,BentJa00
Keion White,DE,0,0%,41,80%,6,29%,WhitKe03
Marcus Jones,CB,0,0%,41,80%,3,14%,JoneMa06
Jahlani Tavai,LB,0,0%,37,73%,7,33%,TavaJa00
Daniel Ekuale,DT,0,0%,37,73%,2,10%,EkuaDa00
Jonathan Jones,CB,0,0%,36,71%,0,0%,JoneJo03
Davon Godchaux,NT,0,0%,33,65%,2,10%,GodcDa00
Anfernee Jennings,LB,0,0%,28,55%,7,33%,JennAn00
Jaylinn Hawkins,FS,0,0%,24,47%,17,81%,HawkJa00
Deatrich Wise Jr.,DE,0,0%,23,45%,0,0%,WiseDe00
Marco Wilson,CB,0,0%,15,29%,3,14%,WilsMa04
Josh Uche,LB,0,0%,13,25%,3,14%,UcheJo00
Oshane Ximines,LB,0,0%,11,22%,17,81%,XimiOs00
Jeremiah Pharms,DE,0,0%,11,22%,0,0%,PharJe00
Trysten Hill,DT,0,0%,7,14%,0,0%,HillTr00
Raekwon McMillan,LB,0,0%,0,0%,17,81%,McMiRa02
Brenden Schooler,FS,0,0%,0,0%,17,81%,SchoBr00
Christian Elliss,LB,0,0%,0,0%,17,81%,ElliCh00
Marcellas Dial,DB,0,0%,0,0%,17,81%,DialMa00
Dell Pettus,DB,0,0%,0,0%,12,57%,PettDe00
Joe Cardona,LS,0,0%,0,0%,9,43%,CardJo00
Bryce Baringer,P,0,0%,0,0%,9,43%,BariBr00
Joey Slye,K,0,0%,0,0%,8,38%,SlyeJo00
Alex Austin,CB,0,0%,0,0%,7,33%,AustAl00
Jamycal Hasty,RB,0,0%,0,0%,6,29%,HastJa02
Nick Leverett,G,0,0%,0,0%,4,19%,LeveNi00
Jaheim Bell,TE,0,0%,0,0%,3,14%,BellJa00
