,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Greg Van Roten,G,71,100%,0,0%,2,8%,VanRGr00
Jon Runyan Jr.,G,71,100%,0,0%,2,8%,RunyJo00
Jermaine Eluemunor,T,71,100%,0,0%,2,8%,ElueJe00
Andrew Thomas,T,71,100%,0,0%,0,0%,ThomAn02
Malik Nabers,WR,71,100%,0,0%,0,0%,NabeMa00
John Michael Schmitz,C,71,100%,0,0%,0,0%,MichJo00
Daniel Jones,QB,71,100%,0,0%,0,0%,JoneDa05
Theo Johnson,TE,61,86%,0,0%,5,21%,JohnTh00
Darius Slayton,WR,51,72%,0,0%,4,17%,SlayDa01
Devin Singletary,RB,50,70%,0,0%,0,0%,SingDe00
Wan'Dale Robinson,WR,48,68%,0,0%,0,0%,RobiWa01
Chris Manhertz,TE,20,28%,0,0%,13,54%,ManhCh00
Daniel Bellinger,TE,16,23%,0,0%,13,54%,BellDa00
Jalin Hyatt,WR,16,23%,0,0%,0,0%,HyatJa00
Tyrone Tracy,RB,15,21%,0,0%,5,21%,TracTy00
Eric Gray,RB,7,10%,0,0%,8,33%,GrayEr01
Tyler Nubin,DB,0,0%,55,100%,6,25%,NubiTy00
Bobby Okereke,LB,0,0%,55,100%,4,17%,OkerBo00
Deonte Banks,CB,0,0%,55,100%,0,0%,BankDe00
Jason Pinnock,SS,0,0%,54,98%,4,17%,PinnJa01
Brian Burns,LB,0,0%,48,87%,0,0%,BurnBr00
Darius Muasau,LB,0,0%,45,82%,10,42%,MuasDa00
Kayvon Thibodeaux,LB,0,0%,41,75%,0,0%,ThibKa00
Cordale Flott,CB,0,0%,37,67%,7,29%,FlotCo00
Dexter Lawrence,NT,0,0%,37,67%,0,0%,LawrDe03
Rakeem Nunez-Roches,NT,0,0%,34,62%,5,21%,NuneRa00
Azeez Ojulari,DE,0,0%,24,44%,10,42%,OjulAz00
Elijah Chatman,DT,0,0%,24,44%,0,0%,ChatEl00
D.J. Davidson,DT,0,0%,22,40%,7,29%,DaviDJ00
Nick McCloud,CB,0,0%,21,38%,7,29%,McClNi00
Adoree' Jackson,CB,0,0%,19,35%,0,0%,JackAd00
Andru Phillips,DB,0,0%,16,29%,11,46%,PhilAn02
Dane Belton,SS,0,0%,9,16%,22,92%,BeltDa00
Jordon Riley,NT,0,0%,9,16%,4,17%,RileJo00
Benton Whitley,LB,0,0%,0,0%,22,92%,WhitBe00
Ty Summers,LB,0,0%,0,0%,20,84%,SummTy00
Isaiah Simmons,LB,0,0%,0,0%,18,75%,SimmIs00
Bryce Ford-Wheaton,WR,0,0%,0,0%,17,71%,FordBr00
Carter Coughlin,LB,0,0%,0,0%,10,42%,CougCa00
Casey Kreiter,LS,0,0%,0,0%,8,33%,KreiCa00
Jamie Gillan,P,0,0%,0,0%,8,33%,GillJa00
Graham Gano,K,0,0%,0,0%,5,21%,GanoGr44
Aaron Stinnie,G,0,0%,0,0%,2,8%,StinAa00
Joshua Ezeudu,G,0,0%,0,0%,2,8%,EzeuJo00
