,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Joe Tippmann,C,51,100%,0,0%,1,4%,TippJo00
John Simpson,G,51,100%,0,0%,1,4%,SimpJo00
Morgan Moses,T,51,100%,0,0%,1,4%,MoseMo00
Tyron Smith,T,51,100%,0,0%,0,0%,SmitTy00
Alijah Vera-Tucker,G,51,100%,0,0%,0,0%,VeraAl00
Allen Lazard,WR,51,100%,0,0%,0,0%,LazaAl00
Garrett Wilson,WR,49,96%,0,0%,0,0%,WilsGa00
Tyler Conklin,TE,46,90%,0,0%,1,4%,ConkTy00
Breece Hall,RB,42,82%,0,0%,0,0%,HallBr03
Aaron Rodgers,QB,38,75%,0,0%,0,0%,RodgAa00
Xavier Gipson,WR,30,59%,0,0%,10,38%,GipsXa00
Jeremy Ruckert,TE,17,33%,0,0%,13,50%,RuckJe00
Tyrod Taylor,QB,13,25%,0,0%,0,0%,TaylTy00
Braelon Allen,RB,9,18%,0,0%,16,62%,AlleBr05
Mike Williams,WR,9,18%,0,0%,0,0%,WillMi07
Anthony Firkser,TE,1,2%,0,0%,9,35%,FirkAn00
Malachi Corley,WR,1,2%,0,0%,0,0%,CorlMa00
Chuck Clark,SS,0,0%,72,100%,1,4%,ClarCh00
D.J. Reed,CB,0,0%,72,100%,1,4%,ReedD.00
Quincy Williams,LB,0,0%,72,100%,1,4%,WillQu01
Tony Adams,FS,0,0%,72,100%,0,0%,AdamTo03
C.J. Mosley,LB,0,0%,63,88%,8,31%,MoslC.00
Sauce Gardner,CB,0,0%,63,88%,1,4%,GardSa00
Jermaine Johnson II,LB,0,0%,50,69%,9,35%,JohnJe07
Quinnen Williams,NT,0,0%,48,67%,9,35%,WillQu00
Javon Kinlaw,DT,0,0%,41,57%,9,35%,KinlJa00
Solomon Thomas,DT,0,0%,38,53%,8,31%,ThomSo00
Will McDonald,LB,0,0%,35,49%,1,4%,McDoWi00
Jamien Sherwood,LB,0,0%,32,44%,24,92%,SherJa00
Micheal Clemons,DE,0,0%,31,43%,10,38%,ClemMi03
Takkarist McKinley,DE,0,0%,23,32%,0,0%,McKiTa00
Ashtyn Davis,SS,0,0%,21,29%,24,92%,DaviAs00
Michael Carter II,CB,0,0%,19,26%,1,4%,CartMi02
Jalyn Holmes,DE,0,0%,16,22%,2,8%,HolmJa01
Brandin Echols,CB,0,0%,9,13%,15,58%,EchoBr00
Braiden McGregor,DE,0,0%,8,11%,0,0%,McGrBr00
Isaiah Oliver,CB,0,0%,4,6%,17,65%,OlivIs00
Chazz Surratt,LB,0,0%,2,3%,17,65%,SurrCh00
Qwan'tez Stiggers,CB,0,0%,1,1%,12,46%,StigQw00
Samuel Eguavoen,LB,0,0%,0,0%,16,62%,EguaSa00
Isaiah Davis,RB,0,0%,0,0%,16,62%,DaviIs00
Irvin Charles,WR,0,0%,0,0%,16,62%,CharIr00
Greg Zuerlein,K,0,0%,0,0%,5,19%,ZuerGr00
Thomas Morstead,P,0,0%,0,0%,4,15%,MorsTh00
Thomas Hennessy,LS,0,0%,0,0%,4,15%,HennTh00
Xavier Newman-Johnson,G,0,0%,0,0%,1,4%,NewmXa00
Jake Hanson,C,0,0%,0,0%,1,4%,HansJa00
Olumuyiwa Fashanu,T,0,0%,0,0%,1,4%,FashOl00
