,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Dan Moore,T,68,100%,0,0%,6,24%,MoorDa05
Broderick Jones,T,68,100%,0,0%,6,24%,JoneBr09
Spencer Anderson,T,68,100%,0,0%,5,20%,AndeSp00
James Daniels,G,68,100%,0,0%,0,0%,DaniJa01
Justin Fields,QB,68,100%,0,0%,0,0%,FielJu00
Zach Frazier,C,68,100%,0,0%,0,0%,FrazZa00
Pat Freiermuth,TE,50,74%,0,0%,6,24%,FreiPa00
Van Jefferson,WR,49,72%,0,0%,0,0%,JeffVa00
George Pickens,WR,46,68%,0,0%,0,0%,PickGe00
MyCole Pruitt,TE,40,59%,0,0%,7,28%,PruiMy00
Najee Harris,RB,38,56%,0,0%,0,0%,HarrNa00
Darnell Washington,TE,37,54%,0,0%,6,24%,WashDa03
Calvin Austin,WR,28,41%,0,0%,4,16%,AustCa00
Jaylen Warren,RB,21,31%,0,0%,3,12%,WarrJa01
Scott Miller,WR,17,25%,0,0%,3,12%,MillSc01
Cordarrelle Patterson,RB,9,13%,0,0%,3,12%,PattCo00
Connor Heyward,TE,5,7%,0,0%,17,68%,HeywCo00
Donte Jackson,CB,0,0%,56,100%,2,8%,JackDo02
Minkah Fitzpatrick,FS,0,0%,56,100%,2,8%,FitzMi00
Patrick Queen,LB,0,0%,56,100%,2,8%,QueePa00
Joey Porter Jr.,CB,0,0%,54,96%,5,20%,PortJo02
T.J. Watt,LB,0,0%,50,89%,0,0%,WattT.00
Alex Highsmith,LB,0,0%,49,88%,2,8%,HighAl02
DeShon Elliott,FS,0,0%,47,84%,2,8%,ElliDe02
Cameron Heyward,DT,0,0%,35,63%,8,32%,HeywCa01
Larry Ogunjobi,DT,0,0%,34,61%,2,8%,OgunLa00
Beanie Bishop,DB,0,0%,33,59%,6,24%,BishBe00
Keeanu Benton,DT,0,0%,27,48%,2,8%,BentKe00
Payton Wilson,LB,0,0%,24,43%,17,68%,WilsPa00
Elandon Roberts,LB,0,0%,23,41%,2,8%,RobeEl00
Montravius Adams,NT,0,0%,20,36%,0,0%,AdamMo00
Nick Herbig,LB,0,0%,17,30%,19,76%,HerbNi00
Damontae Kazee,SS,0,0%,13,23%,10,40%,KazeDa00
Isaiahh Loudermilk,DE,0,0%,10,18%,8,32%,LoudIs00
Cory Trice,CB,0,0%,7,13%,7,28%,TricCo00
DeMarvin Leal,DE,0,0%,5,9%,6,24%,LealDe00
Tyler Matakevich,LB,0,0%,0,0%,17,68%,MataTy00
Miles Killebrew,SS,0,0%,0,0%,17,68%,KillMi00
Mark Robinson,LB,0,0%,0,0%,17,68%,RobiMa03
Chris Boswell,K,0,0%,0,0%,13,52%,BoswCh00
Ben Skowronek,WR,0,0%,0,0%,11,44%,SkowBe00
Christian Kuntz,LS,0,0%,0,0%,10,40%,KuntCh02
Cameron Johnston,P,0,0%,0,0%,8,32%,JohnCa02
Darius Rush,CB,0,0%,0,0%,7,28%,RushDa00
Ryan McCollum,C,0,0%,0,0%,6,24%,McCoRy00
Mason McCormick,G,0,0%,0,0%,1,4%,McCoMa00
