,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Tristan Wirfs,T,64,100%,0,0%,7,26%,WirfTr00
Ben Bredeson,G,64,100%,0,0%,7,26%,BredBe00
Cody Mauch,G,64,100%,0,0%,7,26%,MaucCo00
Graham Barton,C,64,100%,0,0%,7,26%,BartGr00
Luke Goedeke,G,64,100%,0,0%,7,26%,GoedLu00
Baker Mayfield,QB,62,97%,0,0%,0,0%,MayfBa00
Cade Otton,TE,55,86%,0,0%,1,4%,OttoCa00
Jalen McMillan,WR,53,83%,0,0%,0,0%,McMiJa01
Chris Godwin,WR,50,78%,0,0%,1,4%,GodwCh00
Mike Evans,WR,45,70%,0,0%,1,4%,EvanMi00
Rachaad White,RB,45,70%,0,0%,0,0%,WhitRa01
Trey Palmer,WR,20,31%,0,0%,4,15%,PalmTr00
Bucky Irving,RB,20,31%,0,0%,4,15%,IrviBu00
Payne Durham,TE,17,27%,0,0%,5,19%,DurhPa00
Kameron Johnson,WR,11,17%,0,0%,9,33%,JohnKa01
Ko Kieft,TE,2,3%,0,0%,16,59%,KiefKo00
Sean Tucker,RB,2,3%,0,0%,8,30%,TuckSe00
Kyle Trask,QB,2,3%,0,0%,0,0%,TrasKy00
Jamel Dean,CB,0,0%,59,100%,10,37%,DeanJa00
Jordan Whitehead,SS,0,0%,59,100%,1,4%,WhitJo03
Antoine Winfield Jr.,FS,0,0%,59,100%,0,0%,WinfAn00
Lavonte David,LB,0,0%,58,98%,0,0%,DaviLa00
Tykee Smith,SS,0,0%,40,68%,2,7%,SmitTy05
K.J. Britt,LB,0,0%,39,66%,4,15%,BritKJ00
Greg Gaines,NT,0,0%,36,61%,0,0%,GainGr00
Vita Vea,NT,0,0%,35,59%,4,15%,VeaxVi00
YaYa Diaby,LB,0,0%,32,54%,4,15%,DiabYa00
Christian Izien,SS,0,0%,31,53%,8,30%,IzieCh00
Anthony Nelson,LB,0,0%,28,47%,26,96%,NelsAn01
Joe Tryon-Shoyinka,LB,0,0%,28,47%,8,30%,TryoJo00
Chris Braswell,LB,0,0%,25,42%,11,41%,BrasCh01
Mike Greene,DT,0,0%,23,39%,0,0%,GreeMi01
SirVocea Dennis,LB,0,0%,21,36%,15,56%,DennSi00
C.J. Brewer,DT,0,0%,19,32%,4,15%,BrewCJ00
William Gholston,DE,0,0%,18,31%,4,15%,GholWi00
Bryce Hall,CB,0,0%,17,29%,3,11%,HallBr02
Zyon McCollum,CB,0,0%,11,19%,2,7%,McCoZy02
Ben Stille,DT,0,0%,6,10%,0,0%,StilBe00
Markees Watts,LB,0,0%,5,8%,14,52%,WattMa00
Tavierre Thomas,CB,0,0%,0,0%,20,74%,ThomTa01
J.J. Russell,LB,0,0%,0,0%,19,70%,RussJJ00
Jake Camarda,P,0,0%,0,0%,16,59%,CamaJa00
Josh Hayes,CB,0,0%,0,0%,9,33%,HayeJo01
Evan Deckers,LS,0,0%,0,0%,8,30%,DeckEv00
Chase McLaughlin,K,0,0%,0,0%,7,26%,McLaCh00
Justin Skule,T,0,0%,0,0%,7,26%,SkulJu00
Robert Hainsey,C,0,0%,0,0%,7,26%,HainRo00
