,,Off.,Off.,Def.,Def.,ST,ST,-additional
Player,Pos,Num,Pct,Num,Pct,Num,Pct,-9999
Nick Allegretti,G,59,100%,0,0%,4,15%,AlleNi00
Andrew Wylie,G,59,100%,0,0%,4,15%,WyliAn00
Samuel Cosmi,G,59,100%,0,0%,4,15%,CosmSa00
Tyler Biadasz,C,59,100%,0,0%,0,0%,BiadTy00
Jayden Daniels,QB,59,100%,0,0%,0,0%,DaniJa02
Terry McLaurin,WR,48,81%,0,0%,0,0%,McLaTe00
Cornelius Lucas,T,45,76%,0,0%,4,15%,LucaCo01
Zach Ertz,TE,42,71%,0,0%,1,4%,ErtzZa00
Luke McCaffrey,WR,36,61%,0,0%,0,0%,McCaLu00
Dyami Brown,WR,33,56%,0,0%,8,30%,BrowDy00
Brian Robinson Jr.,RB,33,56%,0,0%,0,0%,RobiBr01
Austin Ekeler,RB,31,53%,0,0%,8,30%,EkelAu00
John Bates,TE,28,47%,0,0%,15,56%,BateJo00
Olamide Zaccheaus,WR,26,44%,0,0%,0,0%,ZaccOl01
Brandon Coleman,T,14,24%,0,0%,4,15%,ColeBr02
Ben Sinnott,TE,13,22%,0,0%,8,30%,SinnBe00
Jamison Crowder,WR,3,5%,0,0%,1,4%,CrowJa00
Trenton Scott,T,2,3%,0,0%,4,15%,ScotTr01
Bobby Wagner,LB,0,0%,64,100%,7,26%,WagnBo00
Benjamin St-Juste,CB,0,0%,64,100%,7,26%,StJuBe00
Mike Sainristil,CB,0,0%,61,95%,0,0%,SainMi00
Quan Martin,FS,0,0%,59,92%,10,37%,MartJa04
Frankie Luvu,LB,0,0%,59,92%,6,22%,LuvuFr00
Jeremy Chinn,FS,0,0%,51,80%,10,37%,ChinJe00
Jonathan Allen,DT,0,0%,41,64%,2,7%,AlleJo01
Daron Payne,DT,0,0%,40,62%,0,0%,PaynDa00
Dorance Armstrong Jr.,DE,0,0%,38,59%,8,30%,ArmsDo00
Clelin Ferrell,DE,0,0%,35,55%,7,26%,FerrCl00
Emmanuel Forbes,CB,0,0%,35,55%,0,0%,ForbEm00
Noah Igbinoghene,CB,0,0%,28,44%,1,4%,IgbiNo00
Percy Butler,FS,0,0%,25,39%,17,63%,ButlPe00
Phidarian Mathis,DT,0,0%,23,36%,7,26%,MathPh00
Sheldon Day,DT,0,0%,23,36%,5,19%,DayxSh00
Dante Fowler,LB,0,0%,21,33%,0,0%,FowlDa00
Javontae Jean-Baptiste,DE,0,0%,20,31%,7,26%,JeanJa00
Jamin Davis,LB,0,0%,13,20%,3,11%,DaviJa11
Mykal Walker,LB,0,0%,5,8%,16,59%,WalkMy00
Nick Bellore,LB,0,0%,0,0%,17,63%,BellNi01
Tyler Owens,SS,0,0%,0,0%,16,59%,OwenTy00
Jeremy Reaves,FS,0,0%,0,0%,16,59%,ReavJe00
Jeremy McNichols,RB,0,0%,0,0%,16,59%,McNiJe00
Colson Yankoff,RB,0,0%,0,0%,16,59%,YankCo00
Michael Davis,CB,0,0%,0,0%,12,44%,DaviMi03
Cade York,K,0,0%,0,0%,8,30%,YorkCa00
Tyler Ott,LS,0,0%,0,0%,7,26%,OttxTy00
Tress Way,P,0,0%,0,0%,7,26%,WayxTr00
Michael Deiter,C,0,0%,0,0%,4,15%,DeitMi00
