Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA
,,,,,,,Saints won the coin toss and deferred Falcons to receive the opening kickoff.,,
1,15:00,,,NOR 35,0,0,Blake Grupe kicks off 63 yards returned by Ray-Ray McCloud for 24 yards (tackle by J.T. Gray),0.000,0.670
1,14:54,1,10,ATL 26,0,0,Bijan Robinson left end for 6 yards (tackle by Pete Werner),0.670,0.940
1,14:21,2,4,ATL 32,0,0,Bijan Robinson right tackle for no gain (tackle by Pete Werner and Nathan Shepherd),0.940,0.230
1,13:45,3,4,ATL 32,0,0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 11 yards (tackle by Shemar Jean-Charles),0.230,1.800
1,13:24,1,10,ATL 43,0,0,Kirk Cousins pass incomplete short right,1.800,1.250
1,13:18,2,10,ATL 43,0,0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,1.250,0.560
1,13:13,3,10,ATL 43,0,0,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Tyrann Mathieu),0.560,-0.520
1,13:09,4,10,ATL 43,0,0,Bradley Pinion punts 45 yards fair catch by Jermaine Jackson at NO-12,-0.520,0.350
1,13:02,1,10,NOR 12,0,0,Derek Carr pass complete short left to Taysom Hill for 34 yards. Penalty on Foster Moreau: Offensive Holding 10 yards (accepted),-0.350,1.330
1,12:46,1,10,NOR 36,0,0,Alvin Kamara left end for 11 yards (tackle by Kaden Elliss),1.330,2.060
1,12:13,1,10,NOR 47,0,0,Alvin Kamara right end for 7 yards (tackle by David Onyemata),2.060,2.460
1,11:49,2,3,ATL 46,0,0,Alvin Kamara right tackle for 2 yards (tackle by Nathan Landman),2.460,2.020
1,11:15,3,1,ATL 44,0,0,Taysom Hill right guard for 3 yards (tackle by Eddie Goldman and Grady Jarrett),2.020,2.850
1,10:22,1,10,ATL 41,0,0,Derek Carr pass incomplete short right intended for Jordan Mims,2.850,2.310
1,10:17,2,10,ATL 41,0,0,Taysom Hill left guard for 6 yards (tackle by Khalid Kareem),2.310,2.410
1,9:32,3,4,ATL 35,0,0,Alvin Kamara left guard for 5 yards (tackle by Khalid Kareem and DeAngelo Malone),2.410,3.580
1,9:00,1,10,ATL 30,0,0,Derek Carr pass complete short middle to Juwan Johnson for 16 yards (tackle by Mike Hughes and Kaden Elliss),3.580,4.650
1,8:32,1,10,ATL 14,0,0,Derek Carr pass incomplete short middle intended for Foster Moreau,4.650,4.000
1,8:28,2,10,ATL 14,0,0,Derek Carr aborted snap recovered by Derek Carr at ATL-14 and returned for -5 yards,4.000,2.730
1,7:54,3,15,ATL 19,0,0,Derek Carr pass complete short right to Alvin Kamara for 13 yards (tackle by Justin Simmons and Grady Jarrett),2.730,3.010
1,7:06,4,2,ATL 6,0,0,Taysom Hill left tackle for 1 yard (tackle by Nathan Landman and Kaden Elliss),3.010,0.380
1,6:55,1,10,ATL 5,0,0,Tyler Allgeier right guard for 4 yards (tackle by Will Harris and Demario Davis),-0.380,-0.490
1,6:16,2,6,ATL 9,0,0,Tyler Allgeier right end for 5 yards (tackle by Will Harris),-0.490,-0.370
1,5:47,3,1,ATL 14,0,0,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Ugo Amadi),-0.370,-2.470
1,5:41,4,1,ATL 14,0,0,Bradley Pinion punts 42 yards fair catch by Jermaine Jackson at NO-44,-2.470,-1.860
1,5:33,1,10,NOR 44,0,0,Derek Carr pass complete short left to Taysom Hill for 2 yards (tackle by Clark Phillips),1.860,1.590
1,5:04,2,8,NOR 46,0,0,Jordan Mims right guard for 9 yards (tackle by Clark Phillips and Grady Jarrett),1.590,2.590
1,4:35,1,10,ATL 45,0,0,Jordan Mims left end for 1 yard (tackle by Clark Phillips),2.590,2.180
1,3:57,2,9,ATL 44,0,0,Penalty on Kevin Austin: False Start 5 yards (accepted) (no play),2.180,1.500
1,3:40,2,14,ATL 49,0,0,Derek Carr pass incomplete deep right,1.500,0.830
1,3:32,3,14,ATL 49,0,0,Derek Carr pass complete short left to Kevin Austin for 14 yards (tackle by Clark Phillips),0.830,3.250
1,3:05,1,10,ATL 35,0,0,Alvin Kamara right guard for 6 yards (tackle by Jessie Bates),3.250,3.510
1,2:38,2,4,ATL 29,0,0,Alvin Kamara right tackle for 6 yards (tackle by Kaden Elliss),3.510,4.040
