Quarter,Time,Down,ToGo,Location,DEN,KAN,Detail,EPB,EPA
,,,,,,,Chiefs won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,KAN 35,0,0,Harrison Butker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Jaleel McLaughlin right end for 4 yards (tackle by Michael Danna),0.940,0.930
1,14:27,2,6,DEN 34,0,0,Bo Nix pass incomplete short right intended for Courtland Sutton,0.930,0.230
1,14:24,3,6,DEN 34,0,0,Bo Nix pass complete short left to Marvin Mims for -3 yards (tackle by Justin Reid),0.230,-1.310
1,13:48,4,9,DEN 31,0,0,Riley Dixon punts 57 yards returned by Mecole Hardman for 9 yards (tackle by Jonah Elliss),-1.310,-0.340
1,13:37,1,10,KAN 21,0,0,Kareem Hunt right guard for 3 yards (tackle by Jonathon Cooper and Cody Barton),0.340,0.210
1,13:03,2,7,KAN 24,0,0,Kareem Hunt right guard for 2 yards (tackle by D.J. Jones),0.210,-0.230
1,12:28,3,5,KAN 26,0,0,Penalty on Xavier Worthy: False Start 5 yards (accepted) (no play),-0.230,-0.890
1,12:06,3,10,KAN 21,0,0,Patrick Mahomes scrambles left end for 12 yards (tackle by Nik Bonitto),-0.890,1.140
1,11:25,1,10,KAN 33,0,0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,1.140,0.590
1,11:21,2,10,KAN 33,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Brandon Jones and Justin Strnad),0.590,0.700
1,10:40,3,4,KAN 39,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by Brandon Jones),0.700,2.190
1,10:03,1,10,KAN 49,0,0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,2.190,1.650
1,9:58,2,10,KAN 49,0,0,Kareem Hunt right guard for 2 yards (tackle by D.J. Jones),1.650,1.220
1,9:19,3,8,DEN 49,0,0,Patrick Mahomes sacked by Zach Allen for -6 yards,1.220,-0.390
1,8:43,4,14,KAN 45,0,0,Matt Araiza punts 55 yards touchback.,-0.390,-0.280
1,8:34,1,10,DEN 20,0,0,Marvin Mims right end for 4 yards (tackle by Nazeeh Johnson),0.280,0.270
1,7:59,2,6,DEN 24,0,0,Bo Nix pass complete short right to Lucas Krull for 11 yards (tackle by Nazeeh Johnson),0.270,1.270
1,7:31,1,10,DEN 35,0,0,Bo Nix sacked by Nazeeh Johnson for -17 yards,1.270,-1.680
1,6:45,2,27,DEN 18,0,0,Bo Nix pass incomplete deep left intended for Troy Franklin,-1.680,-2.510
1,6:39,3,27,DEN 18,0,0,Bo Nix pass complete short right to Javonte Williams for 5 yards (tackle by Justin Reid and Chris Jones),-2.510,-1.830
1,6:09,4,22,DEN 23,0,0,Riley Dixon punts 56 yards returned by Mecole Hardman for 19 yards (tackle by Riley Dixon),-1.830,-1.600
1,5:55,1,10,KAN 40,0,0,Kareem Hunt right end for 1 yard (tackle by Riley Moss and Justin Strnad),1.600,1.190
1,5:21,2,9,KAN 41,0,0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 4 yards (tackle by Patrick Surtain),1.190,1.030
1,4:43,3,5,KAN 45,0,0,Patrick Mahomes pass complete short right to Samaje Perine for 2 yards (tackle by Patrick Surtain),1.030,-0.260
1,4:08,4,3,KAN 47,0,0,Matt Araiza punts 53 yards touchback.,-0.260,-0.280
1,4:00,1,10,DEN 20,0,0,Marvin Mims right end for 14 yards (tackle by Justin Reid),0.280,1.200
1,3:27,1,10,DEN 34,0,0,Audric Estime left end for 8 yards (tackle by Justin Reid and Leo Chenal),1.200,1.740
1,2:46,2,2,DEN 42,0,0,Audric Estime right guard for 6 yards (tackle by Leo Chenal and Nazeeh Johnson),1.740,2.130
1,2:07,1,10,DEN 48,0,0,Bo Nix pass complete short left to Devaughn Vele for 12 yards (tackle by Justin Reid and Leo Chenal),2.130,2.920
1,1:24,1,10,KAN 40,0,0,Bo Nix aborted snap recovered by Bo Nix at KC-41 Bo Nix pass incomplete short right,2.920,2.370
1,1:21,2,10,KAN 40,0,0,Bo Nix pass complete short right to Troy Franklin for no gain (tackle by Chamarri Conner). Penalty on Luke Wattenberg: Ineligible Downfield Pass 5 yards (accepted) (no play),2.370,1.700
1,0:52,2,15,KAN 45,0,0,Bo Nix pass complete short left to Adam Trautman for 34 yards (tackle by Bryan Cook),1.700,4.840
1,0:05,1,10,KAN 11,0,0,Javonte Williams left end for 1 yard (tackle by Nick Bolton),4.840,4.320
2,15:00,2,9,KAN 10,0,0,Bo Nix pass complete short left to Marvin Mims for 4 yards (tackle by Drue Tranquill),4.320,4.210
2,14:23,3,5,KAN 6,6,0,Bo Nix pass complete short left to Devaughn Vele for 6 yards touchdown,4.210,7.000
