Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,JAX 30,0,0,Travis Etienne up the middle for no gain (tackle by Jonathan Bullard and Camryn Bynum),0.940,0.390
1,14:22,2,10,JAX 30,0,0,Mac Jones pass complete short right to Brenton Strange for 2 yards (tackle by Camryn Bynum),0.390,-0.030
1,13:40,3,8,JAX 32,0,0,Mac Jones pass incomplete short left intended for Evan Engram,-0.030,-1.240
1,13:33,4,8,JAX 32,0,0,Logan Cooke punts 68 yards touchback.,-1.240,-0.280
1,13:25,1,10,MIN 20,0,0,Sam Darnold pass complete short right to Josh Oliver for 11 yards (tackle by Devin Lloyd),0.280,1.000
1,12:52,1,10,MIN 31,0,0,Aaron Jones up the middle for 3 yards (tackle by DaVon Hamilton),1.000,0.870
1,12:13,2,7,MIN 34,0,0,Aaron Jones up the middle for 4 yards (tackle by Foyesade Oluokun),0.870,0.700
1,11:37,3,3,MIN 38,0,0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Devin Lloyd),0.700,1.800
1,10:51,1,10,MIN 43,0,0,Sam Darnold pass incomplete deep right intended for T.J. Hockenson (defended by Ronald Darby),1.800,1.250
1,10:43,2,10,MIN 43,0,0,Sam Darnold pass complete short middle to Justin Jefferson for 15 yards (tackle by Tyson Campbell),1.250,2.790
1,10:07,1,10,JAX 42,0,0,Aaron Jones up the middle for 3 yards (tackle by Ventrell Miller),2.790,2.650
1,9:30,2,7,JAX 39,0,0,Aaron Jones right tackle for 9 yards (tackle by Andre Cisco and Devin Lloyd),2.650,3.580
1,8:51,1,10,JAX 30,0,0,Sam Darnold pass incomplete deep right intended for Josh Oliver,3.580,3.030
1,8:44,2,10,JAX 30,0,0,Aaron Jones up the middle for 3 yards (tackle by Arik Armstead),3.030,2.740
1,8:05,3,7,JAX 27,0,0,Sam Darnold pass incomplete deep middle intended for Jordan Addison,2.740,1.670
1,8:00,4,7,JAX 27,3,0,John Parker Romo 45 yard field goal good,1.670,3.000
1,7:56,,,MIN 35,3,0,John Parker Romo kicks off 64 yards returned by Tank Bigsby for 24 yards (tackle by Jay Ward). Penalty on Brian Asamoah: Illegal Formation 5 yards (accepted),0.000,0.940
1,7:50,1,10,JAX 30,3,0,Mac Jones pass complete short right to Brenton Strange for 23 yards (tackle by Byron Murphy),0.940,2.460
1,7:15,1,10,MIN 47,3,0,Tank Bigsby up the middle for 3 yards (tackle by Josh Metellus and Ivan Pace),2.460,2.320
1,6:46,2,7,MIN 44,3,0,Travis Etienne up the middle for 18 yards (tackle by Stephon Gilmore),2.320,3.840
1,6:11,1,10,MIN 26,3,0,Mac Jones pass complete short left to Travis Etienne for -1 yards (tackle by Andrew Van Ginkel). Penalty on Brandon Scherff: Ineligible Downfield Pass 5 yards (declined),3.840,3.160
1,5:58,2,11,MIN 27,3,0,Mac Jones pass complete short left to Luke Farrell for 7 yards (tackle by Andrew Van Ginkel),3.160,3.400
1,5:13,3,4,MIN 20,3,0,Mac Jones pass complete deep right to Gabriel Davis for 19 yards (tackle by Josh Metellus),3.400,6.970
1,4:45,1,1,MIN 1,3,0,Travis Etienne up the middle for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Travis Etienne up the middle for no gain (tackle by Ivan Pace),6.970,5.910
1,4:33,2,1,MIN 1,3,0,Mac Jones up the middle for no gain (tackle by Jerry Tillery),5.910,5.170
1,3:48,3,1,MIN 1,3,6,Mac Jones up the middle for 1 yard touchdown,5.170,7.000
1,3:44,,,MIN 15,3,7,Cam Little kicks extra point good,0.000,0.000
1,3:44,,,JAX 35,3,7,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,3:44,1,10,MIN 30,3,7,Sam Darnold pass complete deep middle to Josh Oliver for 28 yards (tackle by Darnell Savage),0.940,2.790
1,3:06,1,10,JAX 42,3,7,Penalty on Cam Robinson: False Start 5 yards (accepted) (no play),2.790,2.460
1,2:48,1,15,JAX 47,3,7,Sam Darnold pass complete short middle to Trent Sherfield for 11 yards (tackle by Devin Lloyd and Foyesade Oluokun),2.460,3.050
1,2:09,2,4,JAX 36,3,7,Aaron Jones right end for 6 yards (tackle by Tyler Lacy),3.050,3.580
1,1:29,1,10,JAX 30,3,7,Sam Darnold pass short left (defended by Tyson Campbell) intended for Justin Jefferson is intercepted by Foyesade Oluokun at JAC-22 and returned for no gain (tackle by Josh Oliver),3.580,-0.410
1,1:20,1,10,JAX 22,3,7,Mac Jones pass incomplete short right intended for Evan Engram,0.410,-0.130
1,1:12,2,10,JAX 22,3,7,Mac Jones pass complete short right to Luke Farrell for 9 yards (tackle by Blake Cashman and Stephon Gilmore),-0.130,0.300
1,0:44,3,2,JAX 31,3,7,Mac Jones pass incomplete short right intended for Brenton Strange,0.300,-1.310
1,0:35,4,2,JAX 31,3,7,Logan Cooke punts 52 yards fair catch by Brandon Powell at MIN-17,-1.310,0.060
1,0:28,1,10,MIN 17,3,7,Cam Akers up the middle for 7 yards (tackle by Antonio Johnson and Tyson Campbell),-0.060,0.480
2,15:00,2,3,MIN 24,3,7,Cam Akers up the middle for no gain (tackle by Devin Lloyd),0.480,-0.370
