Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NWE 30,0,0,Rhamondre Stevenson left guard for 6 yards (tackle by Tremaine Edmunds and Gervon Dexter),0.940,1.200
1,14:27,2,4,NWE 36,0,0,Ben Brown aborted snap recovered by Drake Maye at NE-36 Drake Maye pass incomplete short middle intended for Hunter Henry,1.200,0.500
1,14:23,3,4,NWE 36,0,0,Drake Maye sacked by Jacob Martin for no gain,0.500,-0.980
1,13:44,4,4,NWE 36,0,0,Bryce Baringer punts 49 yards returned by DeAndre Carter for 38 yards (tackle by Curtis Jacobs),-0.980,-2.460
1,13:28,1,10,NWE 47,0,0,D'Andre Swift left guard for 3 yards (tackle by Anfernee Jennings),2.460,2.320
1,12:44,2,7,NWE 44,0,0,Caleb Williams sacked by Anfernee Jennings for -3 yards,2.320,1.220
1,11:58,3,10,NWE 47,0,0,Caleb Williams pass incomplete short right intended for Rome Odunze,1.220,0.130
1,11:54,4,10,NWE 47,0,0,Tory Taylor punts 13 yards downed by Roschon Johnson,0.130,-1.200
1,11:45,1,10,NWE 34,0,0,Drake Maye pass complete deep right to Austin Hooper for 28 yards (tackle by Kyler Gordon),1.200,3.050
1,11:08,1,10,CHI 38,0,0,Rhamondre Stevenson right end for 5 yards (tackle by Tremaine Edmunds),3.050,3.180
1,10:34,2,5,CHI 33,0,0,Jamycal Hasty right tackle for 6 yards (tackle by Kevin Byard and Tremaine Edmunds),3.180,3.780
1,9:56,1,10,CHI 27,0,0,Jamycal Hasty left end for 5 yards (tackle by Elijah Hicks and Kevin Byard),3.780,3.910
1,9:16,2,5,CHI 22,0,0,Jamycal Hasty right tackle for no gain (tackle by Kyler Gordon),3.910,3.200
1,8:37,3,5,CHI 22,0,0,Drake Maye scrambles up the middle for 4 yards (tackle by Kevin Byard and Austin Booker),3.200,2.400
1,7:59,,,,,,Timeout #1 by New England Patriots,,
1,7:59,4,1,CHI 18,0,0,Rhamondre Stevenson right guard for 2 yards (tackle by Jacob Martin and T.J. Edwards),2.400,4.510
1,7:17,1,10,CHI 16,0,0,Drake Maye pass incomplete short left,4.510,3.900
1,7:10,2,10,CHI 16,0,0,Rhamondre Stevenson left guard for 4 yards (tackle by Kyler Gordon and Zacch Pickens),3.900,3.730
1,6:31,3,6,CHI 12,0,0,Drake Maye pass incomplete short right intended for K.J. Osborn. Penalty on K.J. Osborn: Illegal Touch Pass (accepted),3.730,2.660
1,6:23,4,6,CHI 12,3,0,Joey Slye 30 yard field goal good,2.660,3.000
1,6:19,,,NWE 35,3,0,Joey Slye kicks off 25 yards. Penalty on Joey Slye: Kickoff Short of Landing Zone (accepted),0.000,1.600
1,6:19,1,10,CHI 40,3,0,D'Andre Swift left tackle for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),1.600,1.320
1,5:38,2,8,CHI 42,3,0,Caleb Williams pass complete short right to Keenan Allen for 9 yards (tackle by Curtis Jacobs and Jonathan Jones),1.320,2.320
1,5:03,1,10,NWE 49,3,0,D'Andre Swift left end for 9 yards (tackle by Jaylinn Hawkins),2.320,3.000
1,4:39,2,1,NWE 40,3,0,D'Andre Swift left guard for 6 yards (tackle by Sione Takitaki and Davon Godchaux),3.000,3.310
1,4:03,1,10,NWE 34,3,0,D'Andre Swift right end for 5 yards (tackle by Jonathan Jones),3.310,3.450
1,3:24,2,5,NWE 29,3,0,D'Andre Swift left tackle for -2 yards (tackle by Jaquelin Roy),3.450,2.480
1,2:42,3,7,NWE 31,3,0,Caleb Williams sacked by Deatrich Wise for -8 yards,2.480,0.660
1,1:51,4,15,NWE 39,3,0,Tory Taylor punts 39 yards touchback.,0.660,-0.280
1,1:44,1,10,NWE 20,3,0,Rhamondre Stevenson left guard for 8 yards (tackle by Elijah Hicks and Kevin Byard),0.280,0.810
1,1:16,2,2,NWE 28,3,0,Drake Maye pass complete short right to Demario Douglas for 17 yards (tackle by Kevin Byard),0.810,1.930
1,0:40,1,10,NWE 45,3,0,Drake Maye pass short right intended for Austin Hooper is intercepted by T.J. Edwards at CHI-48 and returned for no gain,1.930,-2.130
1,0:33,1,10,CHI 48,3,0,Caleb Williams pass complete short left to Keenan Allen for 2 yards (tackle by Jonathan Jones),2.130,1.850
2,15:00,2,8,CHI 50,3,0,D'Andre Swift right guard for 5 yards (tackle by Jahlani Tavai),1.850,1.820
2,14:22,3,3,NWE 45,3,0,Caleb Williams pass complete short right to D.J. Moore for -2 yards (tackle by Jaylinn Hawkins),1.820,0.130
