Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 65 yards returned by Raheem Blackshear for 28 yards (tackle by Isaiah Simmons),0.000,0.810
1,14:55,1,10,CAR 28,0,0,Chuba Hubbard right guard for 5 yards (tackle by Brian Burns and Micah McFadden),0.810,0.940
1,14:27,2,5,CAR 33,0,0,Bryce Young sacked by Brian Burns for -8 yards,0.940,-0.820
1,13:49,3,13,CAR 25,0,0,Bryce Young pass complete short middle to Jalen Coker for 9 yards (tackle by Bobby Okereke and Tyler Nubin),-0.820,-1.110
1,13:06,4,4,CAR 34,0,0,Johnny Hekker punts 49 yards returned by Ihmir Smith-Marsette for no gain (tackle by Lonnie Johnson),-1.110,0.060
1,12:55,1,10,NYG 17,0,0,Daniel Jones pass incomplete deep left intended for Jalin Hyatt. Penalty on Michael Jackson: Defensive Pass Interference 43 yards (accepted) (no play),-0.060,2.920
1,12:45,1,10,CAR 40,0,0,Daniel Jones pass incomplete short left,2.920,2.370
1,12:40,2,10,CAR 40,0,0,Tyrone Tracy left tackle for 2 yards (tackle by D.J. Wonnum and A'Shawn Robinson),2.370,1.950
1,12:02,3,8,CAR 38,0,0,Daniel Jones pass incomplete short right intended for Malik Nabers,1.950,0.720
1,11:55,4,8,CAR 38,0,0,Penalty on Daniel Jones: Delay of Game 5 yards (accepted) (no play),0.720,0.400
1,11:55,4,13,CAR 43,0,0,Jamie Gillan punts 33 yards fair catch by David Moore at CAR-10,0.400,0.380
1,11:48,1,10,CAR 10,0,0,Bryce Young pass complete deep right to Xavier Legette for 23 yards (tackle by Tyler Nubin),-0.380,1.140
1,11:10,1,10,CAR 33,0,0,Chuba Hubbard left end for 26 yards (tackle by Micah McFadden),1.140,2.850
1,10:35,1,10,NYG 41,0,0,Chuba Hubbard right guard for 3 yards (tackle by Micah McFadden and Bobby Okereke),2.850,2.710
1,9:59,2,7,NYG 38,0,0,Bryce Young pass complete short right to Xavier Legette for 6 yards (tackle by Deonte Banks),2.710,2.810
1,9:24,3,1,NYG 32,0,0,Chuba Hubbard right end for 26 yards (tackle by Cordale Flott),2.810,5.830
1,8:53,1,6,NYG 6,0,0,Chuba Hubbard left guard for 1 yard (tackle by Brian Burns and Dexter Lawrence),5.830,5.150
1,8:10,2,5,NYG 5,0,0,Bryce Young pass incomplete short left intended for Jalen Coker (defended by Cordale Flott),5.150,4.260
1,7:54,3,5,NYG 5,0,6,Bryce Young pass complete short middle to Ja'Tavion Sanders for 5 yards touchdown,4.260,7.000
1,7:48,,,NYG 15,0,7,Eddy Piñeiro kicks extra point good,0.000,0.000
1,7:48,,,CAR 35,0,7,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.940
1,7:48,1,10,NYG 30,0,7,Devin Singletary right guard for 9 yards (tackle by Jaycee Horn and Josey Jewell),0.940,1.610
1,7:14,2,1,NYG 39,0,7,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Jordan Fuller),1.610,1.730
1,6:37,1,10,NYG 42,0,7,Devin Singletary left tackle for 2 yards (tackle by A'Shawn Robinson),1.730,1.460
1,5:59,2,8,NYG 44,0,7,Daniel Jones pass incomplete short middle,1.460,0.760
1,5:52,3,8,NYG 44,0,7,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson (defended by Michael Jackson),0.760,-0.460
1,5:48,4,8,NYG 44,0,7,Penalty on DJ Johnson: Neutral Zone Infraction 5 yards (accepted) (no play),-0.460,-0.130
1,5:48,4,3,NYG 49,0,7,Jamie Gillan punts 42 yards recovered by Raheem Blackshear at CAR-9,-0.130,0.380
1,5:39,1,10,CAR 9,0,7,Chuba Hubbard up the middle for 4 yards (tackle by Bobby Okereke),-0.380,-0.480
1,5:03,2,6,CAR 13,0,7,Bryce Young pass complete deep middle to Jalen Coker for 24 yards (tackle by Micah McFadden),-0.480,1.400
1,4:21,1,10,CAR 37,0,7,Chuba Hubbard left guard for 15 yards (tackle by Bobby Okereke and Dane Belton),1.400,2.390
1,3:43,1,10,NYG 48,0,7,Bryce Young pass complete short middle to Jalen Coker for 8 yards (tackle by Deonte Banks),2.390,2.930
1,3:06,2,2,NYG 40,0,7,Chuba Hubbard right guard for 1 yard (tackle by Andru Phillips and Brian Burns),2.930,2.340
1,2:24,3,1,NYG 39,0,7,Chuba Hubbard left guard for 2 yards (tackle by Rakeem Nunez-Roches and Cordale Flott),2.340,3.120
1,1:45,1,10,NYG 37,0,7,Bryce Young pass complete short right to Ian Thomas for 3 yards (tackle by Andru Phillips),3.120,2.980
1,1:08,2,7,NYG 34,0,7,Miles Sanders left guard for 4 yards (tackle by Armon Watts),2.980,2.810
1,0:28,3,3,NYG 30,0,7,Penalty on Cade Mays: False Start 5 yards (accepted) (no play),2.810,2.150
1,0:03,3,8,NYG 35,0,7,Bryce Young pass incomplete short right intended for Jalen Coker,2.150,0.970
2,15:00,4,8,NYG 35,0,10,Eddy Piñeiro 53 yard field goal good,0.970,3.000
2,14:55,,,CAR 35,0,10,Eddy Piñeiro kicks off 25 yards. Penalty on Eddy Piñeiro: Kickoff Short of Landing Zone (accepted),0.000,1.600
2,14:55,1,10,NYG 40,0,10,Daniel Jones pass incomplete short right,1.600,1.050
2,14:47,2,10,NYG 40,0,10,Daniel Jones right tackle for 10 yards (tackle by Trevin Wallace and Xavier Woods),1.050,2.260
2,14:04,1,10,CAR 50,0,10,Daniel Jones pass complete deep middle to Jalin Hyatt for 19 yards (tackle by Michael Jackson),2.260,3.510
2,13:23,1,10,CAR 31,0,10,Daniel Jones pass incomplete short left intended for Malik Nabers (defended by Jaycee Horn),3.510,2.970
2,13:14,2,10,CAR 31,0,10,Tyrone Tracy right tackle for -2 yards (tackle by D.J. Wonnum and Josey Jewell),2.970,2.020
2,12:30,3,12,CAR 33,0,10,Daniel Jones pass complete short middle to Wan'Dale Robinson for 8 yards (tackle by Caleb Farley),2.020,1.880
2,11:49,4,4,CAR 25,0,10,Graham Gano 43 yard field goal no good,1.880,-1.140
2,11:44,1,10,CAR 33,0,10,Miles Sanders left end for 1 yard (tackle by Micah McFadden),1.140,0.730
2,11:20,2,9,CAR 34,0,10,Chuba Hubbard up the middle for -1 yards (tackle by Tyler Nubin),0.730,-0.100
2,10:44,3,10,CAR 33,0,10,Bryce Young pass incomplete short left intended for David Moore,-0.100,-1.180
2,10:33,4,10,CAR 33,0,10,Johnny Hekker punts 43 yards fair catch by Ihmir Smith-Marsette at NYG-24,-1.180,-0.540
2,10:26,1,10,NYG 24,0,10,Penalty on Feleipe Franks: Unnecessary Roughness / Defense 15 yards (offset) Penalty on Ihmir Smith-Marsette: Unsportsmanlike Conduct / Offense 15 yards (offset) (no play),0.540,0.540
