Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss Cowboys to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DAL 30,0,0,Cooper Rush pass complete short left to Jalen Tolbert for 4 yards (tackle by C.J. Gardner-Johnson),0.940,0.930
1,14:26,2,6,DAL 34,0,0,Cooper Rush pass complete short right to CeeDee Lamb for -1 yards (tackle by Nolan Smith),0.930,0.100
1,13:50,3,7,DAL 33,0,0,Cooper Rush pass incomplete deep right intended for Jalen Brooks (defended by Darius Slay),0.100,-1.180
1,13:43,4,7,DAL 33,0,0,Bryan Anger punts 37 yards fair catch by Cooper DeJean at PHI-30,-1.180,-0.940
1,13:35,1,10,PHI 30,0,0,Saquon Barkley right guard for no gain (tackle by DeMarvion Overshown),0.940,0.390
1,12:59,2,10,PHI 30,0,0,Saquon Barkley up the middle for 8 yards (tackle by Eric Kendricks),0.390,0.760
1,12:33,3,2,PHI 38,0,0,Jalen Hurts scrambles right end for 14 yards (tackle by Eric Kendricks),0.760,2.390
1,11:49,1,10,DAL 48,0,0,Jalen Hurts pass incomplete short left. Penalty on Trevon Diggs: Illegal Contact 5 yards (accepted) (no play),2.390,2.720
1,11:40,1,10,DAL 43,0,0,Jalen Hurts sacked by and Carl Lawson for -5 yards and Osa Odighizuwa for -5 yards,2.720,1.500
1,10:56,2,15,DAL 48,0,0,Penalty on Fred Johnson: False Start 5 yards (accepted) (no play),1.500,0.830
1,10:33,2,20,PHI 47,0,0,Jalen Hurts sacked by DeMarvion Overshown for -13 yards,0.830,-1.550
1,9:47,3,33,PHI 34,0,0,Kenneth Gainwell up the middle for 11 yards (tackle by Eric Kendricks and DeMarvion Overshown),-1.550,-0.390
1,9:06,4,22,PHI 45,0,0,Braden Mann punts 55 yards touchback.,-0.390,-0.280
1,8:57,1,10,DAL 20,0,0,Cooper Rush aborted snap recovered by Milton Williams at DAL-17,0.280,-4.440
