Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAC 30,0,0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Jarvis Brownlee),0.940,1.470
1,14:20,2,2,LAC 38,0,0,J.K. Dobbins left end for -1 yards (tackle by Arden Key),1.470,0.630
1,13:42,3,3,LAC 37,0,0,Justin Herbert pass complete short left to Will Dissly for 5 yards (tackle by Jack Gibbens),0.630,1.730
1,13:05,1,10,LAC 42,0,0,Justin Herbert pass complete short left to Will Dissly for 14 yards (tackle by Kenneth Murray),1.730,2.650
1,12:27,1,10,TEN 44,0,0,Gus Edwards up the middle for 11 yards (tackle by Amani Hooker and Mike Brown),2.650,3.380
1,11:55,1,10,TEN 33,0,0,Derius Davis right end for 6 yards (tackle by T'Vondre Sweat),3.380,3.650
1,11:17,2,4,TEN 27,0,0,Justin Herbert pass complete short right to J.K. Dobbins for 4 yards (tackle by Amani Hooker),3.650,4.040
1,10:37,1,10,TEN 23,0,0,Justin Herbert scrambles up the middle for 8 yards (tackle by Harold Landry and Mike Brown),4.040,4.750
1,10:01,2,2,TEN 15,0,0,Penalty on TEN: Defensive Too Many Men on Field 5 yards (accepted) (no play),4.750,4.910
1,9:40,1,10,TEN 10,0,0,Gus Edwards right guard for 5 yards (tackle by Jack Gibbens and Kenneth Murray),4.910,5.150
1,8:56,2,5,TEN 5,0,0,Justin Herbert pass incomplete short right intended for Hayden Hurst,5.150,4.260
1,8:52,3,5,TEN 5,0,0,Justin Herbert scrambles up the middle for 3 yards (tackle by Jack Gibbens),4.260,3.250
1,8:10,4,2,TEN 2,0,3,Cameron Dicker 21 yard field goal good,3.250,3.000
1,8:08,,,LAC 35,0,3,Cameron Dicker kicks off 65 yards returned by Julius Chestnut for 28 yards (tackle by Nick Niemann),0.000,0.810
1,8:02,1,10,TEN 28,0,3,Tony Pollard left guard for 7 yards (tackle by Daiyan Henley),0.810,1.210
1,7:28,2,3,TEN 35,0,3,Tony Pollard up the middle for 4 yards (tackle by Poona Ford),1.210,1.530
1,6:56,1,10,TEN 39,0,3,Will Levis pass complete short left to Tony Pollard for 2 yards (tackle by Daiyan Henley),1.530,1.260
1,6:11,2,8,TEN 41,0,3,Will Levis up the middle for 12 yards (tackle by Elijah Molden and Daiyan Henley),1.260,2.460
1,5:34,1,10,LAC 47,0,3,Will Levis pass complete short left to Calvin Ridley for 11 yards (tackle by Denzel Perryman and Daiyan Henley),2.460,3.180
1,4:55,1,10,LAC 36,0,3,Penalty on Leroy Watson: False Start 5 yards (accepted) (no play),3.180,2.850
