Quarter,Time,Down,ToGo,Location,BUF,IND,Detail,EPB,EPA
,,,,,,,Colts won the coin toss and deferred Bills to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 69 yards returned by Brandon Codrington for 26 yards (tackle by Cameron McGrone),0.000,0.410
1,14:55,1,10,BUF 22,0,0,Josh Allen pass complete short right to Curtis Samuel for 14 yards (tackle by E.J. Speed),0.410,1.330
1,14:33,1,10,BUF 36,0,0,Josh Allen up the middle for no gain (tackle by DeForest Buckner),1.330,0.790
1,13:50,2,10,BUF 36,0,0,Josh Allen pass complete short left to Khalil Shakir for 7 yards (tackle by Zaire Franklin and E.J. Speed),0.790,1.030
1,13:13,3,3,BUF 43,0,0,Josh Allen sacked by Kwity Paye for no gain,1.030,-0.520
1,12:32,4,3,BUF 43,0,0,Sam Martin punts 48 yards fair catch by Josh Downs at IND-9,-0.520,0.380
1,12:24,1,10,IND 9,6,0,Joe Flacco pass short left intended for Josh Downs is intercepted by Taron Johnson at IND-23 and returned for 23 yards touchdown,-0.380,-7.000
1,12:14,,,IND 15,7,0,Tyler Bass kicks extra point good,0.000,0.000
1,12:14,,,BUF 35,7,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,12:14,1,10,IND 30,7,0,Jonathan Taylor up the middle for 1 yard (tackle by Ed Oliver and Damar Hamlin),0.940,0.530
1,11:37,2,9,IND 31,7,0,Joe Flacco pass complete deep right to Josh Downs for 21 yards (tackle by Damar Hamlin),0.530,2.390
1,11:09,1,10,BUF 48,7,0,Joe Flacco pass incomplete short right intended for Jonathan Taylor,2.390,1.850
1,11:04,2,10,BUF 48,7,0,Joe Flacco pass complete short left to Adonai Mitchell for 7 yards. Adonai Mitchell fumbles (forced by Christian Benford) recovered by Josh Downs at BUF-39 (tackle by Christian Benford),1.850,2.340
1,10:26,3,1,BUF 39,7,0,Jonathan Taylor up the middle for no gain (tackle by A.J. Epenesa and Terrel Bernard),2.340,0.660
1,9:57,4,1,BUF 39,7,0,Jonathan Taylor right tackle for 2 yards (tackle by Rasul Douglas and Gregory Rousseau),0.660,3.120
1,9:17,1,10,BUF 37,7,0,Joe Flacco pass short right intended for Jonathan Taylor is intercepted by Austin Johnson at BUF-43 and returned for 4 yards (tackle by Jonathan Taylor),3.120,-2.060
1,9:06,1,10,BUF 47,7,0,James Cook left guard for 3 yards (tackle by DeForest Buckner and Kenny Moore),2.060,1.920
1,8:32,2,7,IND 50,7,0,Josh Allen pass complete short left to Curtis Samuel for 5 yards (tackle by E.J. Speed),1.920,1.880
1,8:11,3,2,IND 45,7,0,James Cook up the middle for 20 yards (tackle by Samuel Womack),1.880,3.910
1,7:40,1,10,IND 25,7,0,Josh Allen pass incomplete short left intended for Dalton Kincaid,3.910,3.360
1,7:34,2,10,IND 25,7,0,Josh Allen pass complete short right to Dalton Kincaid for 12 yards (tackle by Nick Cross),3.360,4.710
1,6:54,1,10,IND 13,7,0,James Cook up the middle for 1 yard (tackle by Kenny Moore),4.710,4.220
1,6:20,2,9,IND 12,7,0,Josh Allen up the middle for 1 yard (tackle by Laiatu Latu and Raekwon Davis),4.220,3.450
1,5:40,3,8,IND 11,7,0,Josh Allen pass incomplete short right intended for Curtis Samuel (defended by Kenny Moore),3.450,2.700
1,5:36,4,8,IND 11,10,0,Tyler Bass 29 yard field goal good,2.700,3.000
1,5:33,,,BUF 35,10,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,5:33,1,10,IND 30,10,0,Jonathan Taylor up the middle for 3 yards (tackle by Taron Johnson),0.940,0.800
1,4:59,2,7,IND 33,10,0,Jonathan Taylor right end for 58 yards (tackle by Dorian Williams and Taylor Rapp),0.800,5.140
1,4:20,1,9,BUF 9,10,0,Jonathan Taylor right end for no gain (tackle by Gregory Rousseau),5.140,4.380
1,3:42,2,9,BUF 9,10,0,Joe Flacco pass incomplete short left intended for Josh Downs,4.380,3.360
1,3:38,3,9,BUF 9,10,0,Joe Flacco pass incomplete short middle intended for Josh Downs (defended by Terrel Bernard),3.360,2.830
1,3:34,4,9,BUF 9,10,3,Matt Gay 27 yard field goal good,2.830,3.000
1,3:31,,,IND 35,10,3,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,3:31,1,10,BUF 30,10,3,James Cook up the middle for 4 yards (tackle by Laiatu Latu and Nick Cross),0.940,0.930
1,2:50,2,6,BUF 34,10,3,Josh Allen pass complete deep left to Curtis Samuel for 17 yards (tackle by Zaire Franklin),0.930,2.320
1,2:12,1,10,IND 49,10,3,James Cook up the middle for 5 yards (tackle by Nick Cross and Laiatu Latu),2.320,2.460
1,1:35,2,5,IND 44,10,3,Ray Davis up the middle for 4 yards (tackle by Nick Cross and Jaylon Jones),2.460,2.280
1,1:16,3,1,IND 40,10,3,Josh Allen left guard for no gain (tackle by DeForest Buckner and Grover Stewart). Penalty on Raekwon Davis: Defensive Offside 5 yards (declined) (no play),2.280,3.250
1,0:56,1,10,IND 35,10,3,Josh Allen pass incomplete short left intended for James Cook,3.250,2.700
1,0:52,2,10,IND 35,10,3,Penalty on Spencer Brown: False Start 5 yards (accepted) (no play),2.700,2.030
