Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CIN 30,0,0,Joe Burrow pass complete short left to Chase Brown for 7 yards (tackle by Ar'Darius Washington),0.940,1.340
1,14:24,2,3,CIN 37,0,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Kyle Hamilton and Roquan Smith),1.340,1.800
1,13:43,1,10,CIN 43,0,0,Chase Brown left guard for 1 yard (tackle by Nnamdi Madubuike and Travis Jones),1.800,1.390
1,13:03,2,9,CIN 44,0,0,Joe Burrow pass incomplete short right intended for Jermaine Burton (defended by Marlon Humphrey),1.390,0.690
1,12:58,3,9,CIN 44,0,0,Joe Burrow pass complete deep middle to Ja'Marr Chase for 26 yards (tackle by Marcus Williams and Kyle Hamilton),0.690,3.580
1,12:19,1,10,BAL 30,0,0,Chase Brown left end for 2 yards (tackle by Tavius Robinson and Roquan Smith),3.580,3.300
1,11:42,2,8,BAL 28,0,0,Chase Brown left guard for 4 yards (tackle by Josh Tupou),3.300,3.140
1,11:03,3,4,BAL 24,0,0,Joe Burrow pass complete short middle to Andrei Iosivas for 19 yards (tackle by Marcus Williams),3.140,6.060
1,10:22,1,5,BAL 5,0,0,Joe Burrow pass complete short left to Mike Gesicki for 3 yards (tackle by Kyle Hamilton) BAL challenged the pass completion ruling and the play was upheld.,6.060,5.720
1,9:45,2,2,BAL 2,0,0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,5.720,4.950
1,9:40,,,,,,Timeout #2 by Baltimore Ravens,,
1,9:40,3,2,BAL 2,0,0,Joe Burrow pass incomplete short right,4.950,3.250
1,9:34,4,2,BAL 2,0,0,Joe Burrow pass incomplete short middle intended for Andrei Iosivas. Penalty on Brandon Stephens: Defensive Holding 1 yard (accepted) (no play),3.250,6.970
1,9:27,1,1,BAL 1,6,0,Chase Brown right guard for 1 yard touchdown,6.970,7.000
1,9:23,,,BAL 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,9:23,,,CIN 35,7,0,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
1,9:23,1,10,BAL 30,7,0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman (defended by Cam Taylor-Britt),0.940,0.390
1,9:17,2,10,BAL 30,7,0,Derrick Henry right tackle for 6 yards (tackle by Geno Stone),0.390,0.500
1,8:43,3,4,BAL 36,7,0,Justice Hill left guard for no gain (tackle by B.J. Hill),0.500,-0.980
1,8:02,4,4,BAL 36,7,0,Jordan Stout punts 54 yards out of bounds,-0.980,0.380
1,7:54,1,10,CIN 10,7,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,-0.380,-0.780
1,7:50,2,10,CIN 10,7,0,Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Ar'Darius Washington),-0.780,-1.420
1,7:40,,,,,,Timeout #1 by Cincinnati Bengals,,
1,7:40,3,10,CIN 10,7,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase. Penalty on Nate Wiggins: Defensive Pass Interference 13 yards (accepted) (no play),-1.420,0.480
1,7:39,1,10,CIN 23,7,0,Chase Brown left end for 7 yards (tackle by Trenton Simpson),0.480,0.880
1,7:02,2,3,CIN 30,7,0,Joe Burrow pass complete short left to Chase Brown for 7 yards (tackle by Roquan Smith),0.880,1.400
1,6:21,1,10,CIN 37,7,0,Chase Brown left tackle for no gain (tackle by Roquan Smith). Penalty on Ted Karras: Offensive Holding 10 yards (accepted) (no play),1.400,0.740
1,5:58,1,20,CIN 27,7,0,Joe Burrow pass complete short left to Mike Gesicki for 9 yards (tackle by Roquan Smith),0.740,0.720
1,5:17,2,11,CIN 36,7,0,Joe Burrow pass complete short left to Tanner Hudson for 9 yards (tackle by Trenton Simpson),0.720,1.220
1,4:34,3,2,CIN 45,7,0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Brandon Stephens),1.220,2.390
1,3:54,1,10,BAL 48,7,0,Chase Brown left end for 7 yards (tackle by Odafe Oweh),2.390,2.790
1,3:15,2,3,BAL 41,7,0,Joe Burrow pass incomplete short right intended for Andrei Iosivas,2.790,2.080
1,3:07,3,3,BAL 41,7,0,Joe Burrow pass incomplete deep right intended for Mike Gesicki (defended by Kyle Hamilton),2.080,0.530
1,3:01,4,3,BAL 41,7,0,Joe Burrow pass incomplete deep right intended for Jermaine Burton,0.530,-1.660
1,2:56,1,10,BAL 41,7,0,Penalty on Daniel Faalele: False Start 5 yards (accepted) (no play),1.660,1.330
1,2:56,1,15,BAL 36,7,0,Derrick Henry right guard for 4 yards (tackle by Logan Wilson),1.330,0.990
1,2:24,2,11,BAL 40,7,0,Lamar Jackson pass complete short left to Mark Andrews for 17 yards (tackle by Jordan Battle),0.990,2.720
1,1:44,1,10,CIN 43,7,0,Lamar Jackson pass incomplete short right intended for Zay Flowers,2.720,2.180
1,1:40,2,10,CIN 43,7,0,Lamar Jackson scrambles right end for 9 yards (tackle by Joseph Ossai),2.180,2.680
1,1:06,3,1,CIN 34,7,0,Keaton Mitchell left tackle for no gain (tackle by Kris Jenkins) (no play),2.680,3.640
1,0:46,1,10,CIN 29,7,0,Lamar Jackson pass complete short right to Zay Flowers for 11 yards (tackle by Jordan Battle),3.640,4.370
2,15:00,1,10,CIN 18,7,0,Derrick Henry left end for 7 yards (tackle by Josh Newton),4.370,5.010
2,14:29,2,3,CIN 11,7,0,Derrick Henry right end for -1 yards (tackle by B.J. Hill),5.010,4.030
2,13:47,3,4,CIN 12,7,0,Lamar Jackson pass complete short middle to Justice Hill for 6 yards (tackle by Vonn Bell and B.J. Hill),4.030,5.830
2,13:08,1,6,CIN 6,7,6,Lamar Jackson pass complete short right to Nelson Agholor for 6 yards touchdown,5.830,7.000
2,13:04,,,CIN 15,7,7,Justin Tucker kicks extra point good,0.000,0.000
2,13:04,,,BAL 35,7,7,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,13:04,1,10,CIN 30,7,7,Joe Burrow aborted snap recovered by Khalil Herbert at CIN-29,0.940,0.260
2,12:26,2,11,CIN 29,7,7,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,0.260,-0.430
2,12:18,3,11,CIN 29,7,7,Joe Burrow pass complete short right to Tanner Hudson for 9 yards (tackle by Marlon Humphrey),-0.430,-0.850
2,11:36,4,2,CIN 38,7,7,Ryan Rehkow punts 46 yards fair catch by Tylan Wallace at BAL-16,-0.850,0.140
2,11:28,1,10,BAL 16,7,7,Penalty on Ronnie Stanley: False Start 5 yards (accepted) (no play),-0.140,-0.540
2,11:28,1,15,BAL 11,7,7,Lamar Jackson pass complete short left to Zay Flowers for -5 yards (tackle by Cam Taylor-Britt),-0.540,-1.510
2,10:47,2,20,BAL 6,7,7,Derrick Henry left end for 5 yards (tackle by Joseph Ossai and Jordan Battle),-1.510,-2.010
2,10:01,3,15,BAL 11,7,7,Lamar Jackson pass complete short right to Zay Flowers for 9 yards (tackle by Jordan Battle),-2.010,-2.030
2,9:26,4,6,BAL 20,7,7,Jordan Stout punts 46 yards returned by Trenton Irwin for -4 yards (tackle by Kristian Welch and Sanoussi Kane),-2.030,-0.940
2,9:14,1,10,CIN 30,7,7,Chase Brown right tackle for 3 yards (tackle by Roquan Smith),0.940,0.800
2,8:35,2,7,CIN 33,7,7,Joe Burrow pass incomplete short left intended for Chase Brown (defended by Kyle Hamilton),0.800,0.100
2,8:31,3,7,CIN 33,7,7,Joe Burrow scrambles left end for 6 yards (tackle by Roquan Smith and Odafe Oweh),0.100,-0.780
2,7:48,4,1,CIN 39,7,7,Tanner Hudson up the middle for 1 yard (tackle by Travis Jones and Nnamdi Madubuike),-0.780,1.600
2,7:09,1,10,CIN 40,7,7,Joe Burrow pass complete short left to Chase Brown for -5 yards (tackle by Marcus Williams and Kyle Van Noy),1.600,0.380
2,6:24,2,15,CIN 35,7,7,Joe Burrow pass incomplete short right intended for Tanner Hudson,0.380,-0.300
2,6:19,3,15,CIN 35,7,7,Joe Burrow sacked by Nnamdi Madubuike for -1 yards. Joe Burrow fumbles ball out of bounds at CIN-34 (forced by Nnamdi Madubuike). Joe Burrow fumbles out of bounds,-0.300,-1.110
2,5:40,4,16,CIN 34,7,7,Ryan Rehkow punts 46 yards fair catch by Tylan Wallace at BAL-20,-1.110,-0.280
2,5:32,1,10,BAL 20,7,7,Derrick Henry left end for 1 yard (tackle by Sheldon Rankins),0.280,-0.130
2,4:56,2,9,BAL 21,7,7,Lamar Jackson pass complete short left to Charlie Kolar for 4 yards (tackle by Logan Wilson),-0.130,-0.300
2,4:19,3,5,BAL 25,7,7,Lamar Jackson pass incomplete deep left intended for Zay Flowers (defended by DJ Turner),-0.300,-1.700
2,4:08,4,5,BAL 25,7,7,Jordan Stout punts 48 yards out of bounds,-1.700,-0.740
2,4:02,1,10,CIN 27,7,7,Chase Brown left guard for no gain (tackle by Kyle Hamilton),0.740,0.200
2,3:30,2,10,CIN 27,7,7,Joe Burrow pass complete short right to Mike Gesicki for 13 yards (tackle by Marlon Humphrey),0.200,1.600
2,2:51,1,10,CIN 40,7,7,Chase Brown right tackle for 4 yards (tackle by Roquan Smith),1.600,1.590
2,2:10,2,6,CIN 44,7,7,Joe Burrow pass complete short left to Tanner Hudson for 7 yards (tackle by Brandon Stephens),1.590,2.320
2,2:00,1,10,BAL 49,7,7,Joe Burrow pass complete short middle to Ja'Marr Chase for 13 yards (tackle by Brandon Stephens),2.320,3.180
2,1:18,1,10,BAL 36,7,7,Joe Burrow pass complete short right to Chase Brown for 17 yards (tackle by Roquan Smith),3.180,4.310
2,1:09,,,,,,Timeout #3 by Baltimore Ravens,,
2,1:09,1,10,BAL 19,7,7,Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Ar'Darius Washington). Penalty on Odafe Oweh: Defensive Offside 5 yards (accepted) (no play),4.310,5.300
2,1:05,1,5,BAL 14,7,7,Joe Burrow pass deep left intended for Mike Gesicki is intercepted by Brandon Stephens in end zone and returned for no gain Replay Assistant challenged the pass interception ruling and the original play was overturned. Joe Burrow pass incomplete short left intended for Mike Gesicki (defended by Brandon Stephens),5.300,4.530
2,1:01,2,5,BAL 14,7,7,Joe Burrow sacked by Nnamdi Madubuike for no gain,4.530,3.760
2,0:44,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:44,3,5,BAL 14,7,7,Joe Burrow pass complete short left to Jermaine Burton for 11 yards (tackle by Brandon Stephens),3.760,6.510
2,0:36,,,,,,Timeout #3 by Cincinnati Bengals,,
2,0:36,1,3,BAL 3,13,7,Joe Burrow pass complete short middle to Tanner Hudson for 3 yards touchdown,6.510,7.000
2,0:30,,,BAL 15,14,7,Evan McPherson kicks extra point good,0.000,0.000
2,0:30,,,CIN 35,14,7,Evan McPherson kicks off 65 yards touchback.,0.000,0.940
2,0:30,1,10,BAL 30,14,7,Lamar Jackson pass complete short right to Mark Andrews for 3 yards,0.940,0.800
2,0:26,2,7,BAL 33,14,7,Lamar Jackson pass incomplete short middle intended for Nelson Agholor (defended by Akeem Davis-Gaither),0.800,0.100
