Quarter,Time,Down,ToGo,Location,DET,HOU,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Lions to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DET 30,0,0,Jared Goff pass incomplete short right,0.940,0.390
1,14:56,2,10,DET 30,0,0,Jahmyr Gibbs left guard for 5 yards (tackle by Denico Autry and Henry To'oTo'o),0.390,0.370
1,14:22,3,5,DET 35,0,0,Jared Goff pass complete short middle to Amon-Ra St. Brown for 7 yards (tackle by Jimmie Ward),0.370,1.730
1,13:57,1,10,DET 42,0,0,David Montgomery left tackle for 4 yards (tackle by Danielle Hunter),1.730,1.730
1,13:23,2,6,DET 46,0,0,Jared Goff pass complete short right to Jameson Williams for no gain (tackle by Derek Stingley and Jalen Pitre). Penalty on Kevin Zeitler: Ineligible Downfield Pass 5 yards (accepted) (no play),1.730,1.050
1,13:01,2,11,DET 41,0,0,Jared Goff pass short right (defended by Jalen Pitre) intended for Jahmyr Gibbs is intercepted by Jimmie Ward at DET-35 and returned for 2 yards (tackle by Jahmyr Gibbs),1.050,-3.380
1,12:55,1,10,DET 33,0,0,Joe Mixon left tackle for 2 yards (tackle by Levi Onwuzurike and Jack Campbell),3.380,3.110
1,12:13,2,8,DET 31,0,0,Joe Mixon right end for -2 yards (tackle by Brian Branch),3.110,2.150
1,11:31,3,10,DET 33,0,0,C.J. Stroud pass complete short left to Tank Dell for 13 yards (tackle by Amik Robertson),2.150,4.240
1,10:50,1,10,DET 20,0,0,Joe Mixon right guard for 2 yards (tackle by Alim McNeill),4.240,3.960
1,10:05,2,8,DET 18,0,0,Joe Mixon right tackle for -8 yards (tackle by Josh Paschal),3.960,2.210
1,9:18,3,16,DET 26,0,0,C.J. Stroud pass complete short left to John Metchie for 16 yards (tackle by Amik Robertson),2.210,4.910
1,8:33,1,10,DET 10,0,0,C.J. Stroud pass complete short right to Cade Stover for 2 yards (tackle by Alex Anzalone),4.910,4.570
1,7:50,,,,,,Timeout #1 by Houston Texans,,
1,7:50,2,8,DET 8,0,6,Joe Mixon left end for 8 yards touchdown,4.570,7.000
1,7:46,,,DET 15,0,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,7:46,,,HOU 35,0,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,7:46,1,10,DET 30,0,7,David Montgomery left guard for no gain (tackle by Jalen Pitre),0.940,0.390
1,7:17,2,10,DET 30,0,7,Jared Goff pass incomplete deep middle intended for Jameson Williams (defended by Derek Stingley),0.390,-0.300
1,7:08,3,10,DET 30,0,7,Penalty on Jared Goff: Delay of Game 5 yards (accepted) (no play),-0.300,-0.960
1,7:08,3,15,DET 25,0,7,Jared Goff pass complete short right to Sam LaPorta for 9 yards (tackle by Jalen Pitre),-0.960,-1.110
1,6:31,4,6,DET 34,0,7,Jack Fox punts 40 yards returned by Steven Sims for 17 yards (tackle by Sione Vaki),-1.110,-1.800
1,6:22,1,10,HOU 43,0,7,C.J. Stroud pass complete short right to Tank Dell for 8 yards (tackle by Carlton Davis),1.800,2.330
1,5:46,2,2,DET 49,0,7,C.J. Stroud pass complete short left to Tank Dell for 8 yards (tackle by Carlton Davis),2.330,2.850
1,5:14,1,10,DET 41,0,7,Joe Mixon left tackle for 2 yards (tackle by Carlton Davis),2.850,2.580
1,4:29,2,8,DET 39,0,7,C.J. Stroud pass complete short left to Joe Mixon for 36 yards (tackle by Terrion Arnold and Brian Branch),2.580,6.510
1,3:53,1,3,DET 3,0,7,Joe Mixon left guard for no gain (tackle by Levi Onwuzurike). Penalty on Juice Scruggs: Offensive Holding 10 yards (accepted) (no play),6.510,4.530
1,3:33,1,13,DET 13,0,7,Joe Mixon up the middle for 2 yards (tackle by Brian Branch and Josh Paschal),4.530,4.020
1,3:01,2,11,DET 11,0,7,C.J. Stroud pass incomplete short right intended for Joe Mixon,4.020,3.120
1,2:56,3,11,DET 11,0,7,C.J. Stroud sacked by James Houston for -5 yards,3.120,2.380
1,2:12,4,16,DET 16,0,10,Ka'imi Fairbairn 34 yard field goal good,2.380,3.000
1,2:09,,,HOU 35,0,10,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
1,2:09,1,10,DET 30,0,10,Jared Goff pass incomplete short right,0.940,0.390
1,2:02,2,10,DET 30,0,10,Jahmyr Gibbs left end for -6 yards (tackle by Azeez Al-Shaair and Tim Settle),0.390,-1.090
1,1:20,3,16,DET 24,0,10,Jared Goff pass complete deep middle to Jameson Williams for 23 yards (tackle by Calen Bullock and Jalen Pitre),-1.090,2.060
1,0:39,1,10,DET 47,0,10,Jared Goff pass complete short right to Jahmyr Gibbs for 4 yards (tackle by Derek Stingley),2.060,2.060
2,15:00,2,6,HOU 49,0,10,Jahmyr Gibbs right guard for no gain (tackle by Tommy Togiai),2.060,1.360
2,14:18,3,6,HOU 49,0,10,Jared Goff pass complete short middle to Jameson Williams for 13 yards (tackle by Kamari Lassiter),1.360,3.180
2,13:40,1,10,HOU 36,0,10,Jahmyr Gibbs right guard for 6 yards (tackle by Tim Settle and Jalen Pitre),3.180,3.450
2,13:04,2,4,HOU 30,0,10,Jahmyr Gibbs left tackle for 3 yards (tackle by Devin White and Danielle Hunter),3.450,3.140
2,12:20,3,1,HOU 27,0,10,Jared Goff scrambles right end for 2 yards (tackle by Eric Murray),3.140,3.910
2,11:40,1,10,HOU 25,0,10,Jahmyr Gibbs left guard for 5 yards (tackle by Jimmie Ward and Devin White),3.910,4.040
2,10:58,2,5,HOU 20,6,10,Jared Goff pass complete deep right to Sam LaPorta for 20 yards touchdown,4.040,7.000
2,10:52,,,HOU 15,7,10,Jake Bates kicks extra point good,0.000,0.000
2,10:52,,,DET 35,7,10,Jake Bates kicks off 65 yards touchback.,0.000,0.940
2,10:52,1,10,HOU 30,7,10,Tank Dell left end for -6 yards (tackle by Pat O'Connor),0.940,-0.420
2,10:09,2,16,HOU 24,7,10,C.J. Stroud pass incomplete deep left intended for Xavier Hutchinson. Penalty on Terrion Arnold: Defensive Pass Interference 41 yards (accepted) (no play),-0.420,3.250
2,10:01,1,10,DET 35,7,10,Joe Mixon left guard for no gain (tackle by Josh Paschal),3.250,2.700
2,9:19,2,10,DET 35,7,10,C.J. Stroud pass incomplete short left intended for Tank Dell (defended by Brian Branch),2.700,2.010
2,9:13,3,10,DET 35,7,10,Joe Mixon left guard for -3 yards (tackle by Alim McNeill),2.010,0.720
