Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ARI 30,0,0,Kyler Murray pass incomplete deep left intended for Michael Wilson,0.940,0.390
1,14:57,2,10,ARI 30,0,0,Kyler Murray pass complete short right to Marvin Harrison for 18 yards (tackle by Jamien Sherwood). Penalty on Javon Kinlaw: Defensive Offside 5 yards (declined),0.390,2.130
1,14:35,1,10,ARI 48,0,0,James Conner left end for 7 yards (tackle by Tony Adams and Isaiah Oliver),2.130,2.530
1,14:00,2,3,NYJ 45,0,0,Kyler Murray pass complete short left to James Conner for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Kyler Murray pass complete short left to James Conner for 44 yards (tackle by Jamien Sherwood),2.530,6.970
1,13:39,1,1,NYJ 1,0,0,James Conner up the middle for no gain (tackle by Javon Kinlaw and Jamien Sherwood),6.970,5.910
1,13:01,2,1,NYJ 1,0,6,James Conner up the middle for 1 yard touchdown,5.910,7.000
1,12:58,,,NYJ 15,0,7,Chad Ryland kicks extra point good,0.000,0.000
1,12:58,,,ARI 35,0,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,12:58,1,10,NYJ 30,0,7,Breece Hall right end for 14 yards (tackle by Garrett Williams),0.940,1.860
1,12:24,1,10,NYJ 44,0,7,Breece Hall right tackle for 3 yards (tackle by Zaven Collins),1.860,1.720
1,11:46,2,7,NYJ 47,0,7,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Sean Murphy-Bunting),1.720,1.820
1,11:09,3,1,ARI 47,0,7,Braelon Allen up the middle for 2 yards (tackle by Dante Stills and L.J. Collier),1.820,2.590
1,10:26,1,10,ARI 45,0,7,Aaron Rodgers pass incomplete short right intended for Garrett Wilson. Penalty on Sean Murphy-Bunting: Defensive Pass Interference 12 yards (accepted) (no play),2.590,3.380
1,10:22,1,10,ARI 33,0,7,Braelon Allen left tackle for 12 yards (tackle by Kyzir White),3.380,4.170
1,9:52,1,10,ARI 21,0,7,Aaron Rodgers pass complete short left to Kenny Yeboah for 4 yards (tackle by Mack Wilson),4.170,4.200
1,9:15,2,6,ARI 17,0,7,Aaron Rodgers pass complete short left to Garrett Wilson for 6 yards (tackle by Dadrion Taylor-Demerson),4.200,4.840
