Quarter,Time,Down,ToGo,Location,ATL,DEN,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,ATL 35,0,0,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Javonte Williams up the middle for 1 yard (tackle by Kaden Elliss),0.940,0.530
1,14:30,2,9,DEN 31,0,0,Bo Nix pass incomplete short middle intended for Javonte Williams,0.530,-0.160
1,14:25,3,9,DEN 31,0,0,Bo Nix pass complete short left to Courtland Sutton for 16 yards,-0.160,2.060
1,13:52,1,10,DEN 47,0,0,Javonte Williams left guard for 10 yards (tackle by Kevin King),2.060,2.720
1,13:13,1,10,ATL 43,0,0,Javonte Williams up the middle for 5 yards (tackle by Nathan Landman),2.720,2.850
1,12:37,2,5,ATL 38,0,0,Jaleel McLaughlin right end for no gain (tackle by Kevin King). Penalty on Lil'Jordan Humphrey: Offensive Holding 10 yards (accepted) (no play),2.850,1.500
1,12:17,2,15,ATL 48,0,0,Bo Nix pass complete short middle to Devaughn Vele for 14 yards (tackle by Clark Phillips),1.500,2.680
1,11:35,3,1,ATL 34,0,0,Michael Burton up the middle for 2 yards (tackle by Kentavius Street and Nathan Landman),2.680,3.450
1,10:56,1,10,ATL 32,0,0,Bo Nix pass complete short left to Devaughn Vele for 8 yards (tackle by Clark Phillips). Penalty on Richie Grant: Unnecessary Roughness / Defense 12 yards (accepted),3.450,4.780
1,10:36,1,10,ATL 12,0,6,Bo Nix pass complete short left to Nate Adkins for 12 yards touchdown,4.780,7.000
1,10:31,,,ATL 15,0,7,Wil Lutz kicks extra point good,0.000,0.000
1,10:31,,,DEN 35,0,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,10:31,1,10,ATL 30,0,7,Bijan Robinson right tackle for 2 yards (tackle by John Franklin-Myers),0.940,0.660
1,9:54,2,8,ATL 32,0,7,Kirk Cousins pass complete short right to Bijan Robinson for 10 yards (tackle by Devon Key and Zach Allen),0.660,1.730
1,9:12,1,10,ATL 42,0,7,Bijan Robinson left tackle for 9 yards (tackle by Ja'Quan McMillian),1.730,2.400
1,8:31,2,1,DEN 49,0,7,Bijan Robinson left guard for no gain (tackle by D.J. Jones),2.400,1.690
1,7:49,3,1,DEN 49,0,7,Bijan Robinson up the middle for 2 yards (tackle by Jonathon Cooper and Cody Barton),1.690,2.460
1,7:07,1,10,DEN 47,0,7,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 9 yards (tackle by P.J. Locke and Nik Bonitto),2.460,3.130
1,6:30,2,1,DEN 38,0,7,Kirk Cousins pass complete short right to Ray-Ray McCloud for 2 yards (tackle by Patrick Surtain),3.130,3.180
1,5:48,1,10,DEN 36,0,7,Kirk Cousins pass complete short left to Ross Dwelley for 5 yards (tackle by Justin Strnad),3.180,3.310
1,5:09,2,5,DEN 31,0,7,Kirk Cousins pass complete short middle to Drake London for 16 yards (tackle by Devon Key and Ja'Quan McMillian),3.310,4.580
1,4:31,1,10,DEN 15,0,7,Bijan Robinson up the middle for 5 yards (tackle by Riley Moss),4.580,4.840
1,3:58,2,5,DEN 10,0,7,Bijan Robinson left tackle for no gain (tackle by Cody Barton). Penalty on Matthew Bergeron: Offensive Holding 10 yards (accepted) (no play),4.840,3.350
1,3:31,2,15,DEN 20,0,7,Kirk Cousins pass complete short middle to Drake London for no gain (tackle by Devon Key). Penalty on Drake London: Illegal Motion 5 yards (accepted) (no play),3.350,2.670
1,3:06,2,20,DEN 25,0,7,Kirk Cousins pass complete short right to Tyler Allgeier for -1 yards (tackle by Justin Strnad and Ja'Quan McMillian),2.670,1.880
1,2:26,3,21,DEN 26,0,7,Kirk Cousins pass complete short middle to Bijan Robinson for 4 yards (tackle by Nik Bonitto),1.880,1.990
1,1:37,4,17,DEN 22,3,7,Younghoe Koo 41 yard field goal good,1.990,3.000
1,1:33,,,ATL 35,3,7,Bradley Pinion kicks off 65 yards touchback.,0.000,0.940
1,1:33,1,10,DEN 30,3,7,Audric Estime up the middle for no gain (tackle by Kaden Elliss and Jessie Bates),0.940,0.390
1,1:10,2,10,DEN 30,3,7,Bo Nix pass complete short left to Audric Estime for -2 yards (tackle by Richie Grant). Penalty on Adam Trautman: Offensive Holding 10 yards (declined),0.390,-0.560
1,1:06,3,12,DEN 28,3,7,Bo Nix pass complete short right to Javonte Williams for 2 yards (tackle by Richie Grant and Jessie Bates),-0.560,-1.370
1,0:14,4,10,DEN 30,3,7,Riley Dixon punts 51 yards returned by Avery Williams for 12 yards (tackle by Mitchell Fraboni and JL Skinner). Penalty on DeAngelo Malone: Unnecessary Roughness / Offense 15 yards (accepted),-1.370,0.140
2,15:00,1,10,ATL 16,3,7,Kirk Cousins pass incomplete deep left intended for Darnell Mooney (defended by Riley Moss),-0.140,-0.660
2,14:56,2,10,ATL 16,3,7,Kirk Cousins pass incomplete short right intended for Drake London,-0.660,-1.320
2,14:52,3,10,ATL 16,3,7,Kirk Cousins pass complete short right to Bijan Robinson for 15 yards (tackle by Cody Barton),-1.320,1.000
2,14:16,1,10,ATL 31,3,7,Kirk Cousins aborted snap recovered by Kirk Cousins at ATL-22 and returned for -7 yards (tackle by Nik Bonitto),1.000,-0.490
2,13:43,2,17,ATL 24,3,7,Kirk Cousins sacked by Malcolm Roach for -7 yards,-0.490,-2.440
2,13:13,3,24,ATL 17,3,7,Bijan Robinson up the middle for 7 yards (tackle by Jonathon Cooper),-2.440,-1.770
