Quarter,Time,Down,ToGo,Location,BAL,PIT,Detail,EPB,EPA
,,,,,,,Steelers won the coin toss and deferred Ravens to receive the opening kickoff.,,
1,15:00,,,PIT 35,0,0,Chris Boswell kicks off 62 yards returned by Keaton Mitchell for 26 yards (tackle by Mark Robinson),0.000,0.870
1,14:55,1,10,BAL 29,0,0,Derrick Henry up the middle for 3 yards (tackle by Keeanu Benton),0.870,0.730
1,14:18,2,7,BAL 32,0,0,Derrick Henry right tackle for 4 yards. Derrick Henry fumbles (forced by Nick Herbig) recovered by DeShon Elliott at BAL-42,0.730,-2.790
1,14:11,1,10,BAL 42,0,0,Russell Wilson pass complete short left to Najee Harris for 7 yards (tackle by Brandon Stephens and Roquan Smith),2.790,3.190
1,13:32,2,3,BAL 35,0,0,Najee Harris right tackle for 4 yards (tackle by Odafe Oweh),3.190,3.510
1,12:51,1,10,BAL 31,0,0,Russell Wilson pass complete short left to George Pickens for 4 yards (tackle by Roquan Smith),3.510,3.510
1,12:15,2,6,BAL 27,0,0,Najee Harris left guard for 11 yards (tackle by Kyle Hamilton),3.510,4.510
1,11:32,1,10,BAL 16,0,0,Russell Wilson pass complete short left to George Pickens for 2 yards (tackle by Kyle Hamilton),4.510,4.210
1,10:56,2,8,BAL 14,0,0,Russell Wilson pass incomplete short right,4.210,3.370
1,10:50,3,8,BAL 14,0,0,Russell Wilson pass incomplete short left,3.370,2.510
1,10:43,4,8,BAL 14,0,3,Chris Boswell 32 yard field goal good,2.510,3.000
1,10:40,,,PIT 35,0,3,Chris Boswell kicks off 65 yards returned by Justice Hill for 30 yards (tackle by Tyler Matakevich),0.000,0.940
1,10:34,1,10,BAL 30,0,3,Lamar Jackson pass complete short right to Justice Hill for 1 yard (tackle by T.J. Watt),0.940,0.530
1,10:00,2,9,BAL 31,0,3,Derrick Henry left guard for no gain (tackle by Minkah Fitzpatrick). Penalty on Ronnie Stanley: Offensive Holding 10 yards (accepted) (no play),0.530,-0.820
1,9:39,2,19,BAL 21,0,3,Justice Hill left end for 9 yards (tackle by Patrick Queen and DeShon Elliott),-0.820,-0.300
1,8:56,3,10,BAL 30,0,3,Lamar Jackson pass incomplete deep right intended for Diontae Johnson,-0.300,-1.370
1,8:48,4,10,BAL 30,0,3,Jordan Stout punts 70 yards touchback.,-1.370,-0.280
1,8:39,1,10,PIT 20,0,3,Najee Harris left tackle for 4 yards (tackle by Malik Harrison and Ar'Darius Washington),0.280,0.270
1,8:01,2,6,PIT 24,0,3,Russell Wilson pass complete short left to Cordarrelle Patterson for no gain (tackle by Odafe Oweh and Brent Urban),0.270,-0.430
1,7:20,3,6,PIT 24,0,3,Penalty on Kyle Van Noy: Neutral Zone Infraction 5 yards (accepted) (no play),-0.430,0.230
1,7:05,3,1,PIT 29,0,3,Russell Wilson pass incomplete deep left intended for Calvin Austin (defended by Brandon Stephens),0.230,-1.440
1,7:00,4,1,PIT 29,0,3,Penalty on Ben Skowronek: False Start 5 yards (accepted) (no play),-1.440,-1.770
1,7:00,4,6,PIT 24,0,3,Corliss Waitman punts 51 yards downed by James Pierre,-1.770,-0.610
1,6:48,1,10,BAL 25,0,3,Lamar Jackson pass complete deep right to Isaiah Likely for 42 yards (tackle by Damontae Kazee and Patrick Queen),0.610,3.380
1,6:05,1,10,PIT 33,0,3,Derrick Henry left tackle for 4 yards (tackle by Preston Smith),3.380,3.380
1,5:24,2,6,PIT 29,0,3,Lamar Jackson pass incomplete deep left intended for Diontae Johnson,3.380,2.680
1,5:18,3,6,PIT 29,0,3,Lamar Jackson pass incomplete deep right intended for Zay Flowers,2.680,1.520
1,5:14,4,6,PIT 29,0,3,Justin Tucker 47 yard field goal no good,1.520,-1.400
1,5:10,1,10,PIT 37,0,3,Russell Wilson pass complete short right to Jaylen Warren for 3 yards (tackle by Roquan Smith),1.400,1.260
1,4:34,2,7,PIT 40,0,3,Jaylen Warren left guard for 6 yards (tackle by Marlon Humphrey),1.260,1.360
1,4:00,3,1,PIT 46,0,3,Russell Wilson up the middle for no gain (tackle by Broderick Washington and Roquan Smith),1.360,-0.320
1,3:12,4,1,PIT 46,0,3,Najee Harris left tackle for no gain (tackle by Kyle Hamilton),-0.320,-2.520
1,3:07,1,10,PIT 46,0,3,Lamar Jackson pass incomplete short right,2.520,1.980
1,3:02,2,10,PIT 46,0,3,Lamar Jackson left end for 15 yards (tackle by Damontae Kazee and Elandon Roberts),1.980,3.510
1,2:35,1,10,PIT 31,0,3,Lamar Jackson pass incomplete deep right intended for Isaiah Likely,3.510,2.970
1,2:31,2,10,PIT 31,0,3,Lamar Jackson pass complete short right to Justice Hill for -1 yards (tackle by Patrick Queen),2.970,2.150
