Quarter,Time,Down,ToGo,Location,CIN,LAC,Detail,EPB,EPA
,,,,,,,Chargers won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 66 yards returned by Jermaine Burton for 36 yards (tackle by Cameron Dicker),0.000,1.270
1,14:54,1,10,CIN 35,0,0,Chase Brown up the middle for 5 yards (tackle by Otito Ogbonnia and Poona Ford),1.270,1.400
1,14:20,2,5,CIN 40,0,0,Joe Burrow pass complete short right to Jermaine Burton for 8 yards LAC challenged the runner was in bounds ruling and the play was upheld.,1.400,2.130
1,13:56,1,10,CIN 48,0,0,Chase Brown right tackle for 3 yards (tackle by Denzel Perryman),2.130,1.990
1,13:25,2,7,LAC 49,0,0,Joe Burrow pass complete short right to Chase Brown for 1 yard (tackle by Cam Hart),1.990,1.420
1,12:46,3,6,LAC 48,0,0,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Cam Hart),1.420,0.070
1,12:38,4,6,LAC 48,0,0,Ryan Rehkow punts 38 yards fair catch by Derius Davis at LAC-10,0.070,0.380
1,12:31,1,10,LAC 10,0,0,Gus Edwards left end for 8 yards (tackle by Vonn Bell),-0.380,0.070
1,11:49,2,2,LAC 18,0,0,J.K. Dobbins right guard for no gain (tackle by Kris Jenkins and Germaine Pratt),0.070,-0.480
1,11:08,3,2,LAC 18,0,0,Gus Edwards right end for no gain (tackle by Trey Hendrickson and B.J. Hill),-0.480,-2.240
1,10:32,4,2,LAC 18,0,0,JK Scott punts 53 yards returned by Trenton Irwin for 7 yards (tackle by Ja'Sir Taylor and Troy Dye),-2.240,-1.330
1,10:17,1,10,CIN 36,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 32 yards (tackle by Elijah Molden),1.330,3.450
1,9:43,1,10,LAC 32,0,0,Chase Brown up the middle for 5 yards (tackle by Derwin James). Penalty on Derwin James: Horse Collar Tackle 14 yards (accepted),3.450,4.710
1,9:23,1,10,LAC 13,0,0,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards (tackle by Denzel Perryman),4.710,4.960
1,8:47,2,5,LAC 8,0,0,Chase Brown up the middle for 4 yards (tackle by Otito Ogbonnia and Daiyan Henley),4.960,5.010
1,8:09,3,1,LAC 4,0,0,Chase Brown up the middle for 1 yard (tackle by Derwin James and Denzel Perryman),5.010,6.510
1,7:40,1,3,LAC 3,0,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Cam Hart),6.510,5.530
1,7:30,2,3,LAC 3,0,0,Joe Burrow pass incomplete short left intended for Andrei Iosivas. Penalty on Tanner Hudson: Illegal Shift 5 yards (accepted) (no play),5.530,4.570
