Quarter,Time,Down,ToGo,Location,HOU,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,DAL 35,0,0,Brandon Aubrey kicks off 63 yards returned by Robert Woods for 21 yards (tackle by Kemon Hall),0.000,0.480
1,14:55,1,10,HOU 23,0,0,C.J. Stroud pass complete short left to Nico Collins for no gain touchdown. Penalty on Laremy Tunsil: Ineligible Downfield Pass 5 yards (accepted) (no play),0.480,0.000
1,14:44,1,15,HOU 18,0,0,Joe Mixon right tackle for 1 yard (tackle by Eric Kendricks). Penalty on Mazi Smith: Defensive Holding 5 yards (accepted),0.000,0.540
1,14:21,1,10,HOU 24,0,0,C.J. Stroud pass complete short left to Robert Woods for 7 yards (tackle by Trevon Diggs),0.540,0.940
1,13:52,2,3,HOU 31,0,0,C.J. Stroud pass incomplete short middle intended for Tank Dell,0.940,0.230
1,13:47,3,3,HOU 31,0,0,C.J. Stroud pass complete short right to Dalton Schultz for 8 yards (tackle by DeMarvion Overshown),0.230,1.530
1,13:20,1,10,HOU 39,0,0,C.J. Stroud pass complete short middle to John Metchie for 16 yards (tackle by Malik Hooker),1.530,2.590
1,12:50,1,10,DAL 45,6,0,Joe Mixon right tackle for 45 yards touchdown,2.590,7.000
1,12:42,,,DAL 15,6,0,Penalty on Tommy Townsend: Delay of Game 5 yards (accepted) (no play),0.000,0.000
1,12:42,,,DAL 20,7,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,12:42,,,HOU 35,7,0,Ka'imi Fairbairn kicks off 63 yards returned by KaVontae Turpin for 26 yards (tackle by Neville Hewitt). Penalty on Israel Mukuamu: Offensive Holding 10 yards (accepted),0.000,0.040
1,12:36,1,10,DAL 18,7,0,Rico Dowdle left guard for 3 yards (tackle by Henry To'oTo'o),0.040,0.010
1,12:07,2,7,DAL 21,7,0,Cooper Rush pass complete short right to CeeDee Lamb for 11 yards (tackle by Denico Autry),0.010,1.070
1,11:32,1,10,DAL 32,7,0,Cooper Rush pass incomplete short left intended for Rico Dowdle,1.070,0.530
1,11:25,2,10,DAL 32,7,0,Rico Dowdle left tackle for 1 yard (tackle by Henry To'oTo'o),0.530,-0.030
1,10:48,3,9,DAL 33,7,0,Cooper Rush pass incomplete short right intended for Jalen Tolbert,-0.030,-1.180
1,10:41,4,9,DAL 33,7,0,Bryan Anger pass complete short middle to Juanyeh Thomas for 4 yards (tackle by John Metchie),-1.180,-3.120
1,10:36,1,10,DAL 37,7,0,C.J. Stroud scrambles left tackle for 3 yards (tackle by Eric Kendricks),3.120,2.980
1,9:55,2,7,DAL 34,7,0,C.J. Stroud sacked by Osa Odighizuwa for -7 yards,2.980,1.360
1,9:10,3,14,DAL 41,7,0,C.J. Stroud pass complete short left to Dare Ogunbowale for 11 yards (tackle by Israel Mukuamu),1.360,1.480
1,8:34,4,3,DAL 30,7,0,C.J. Stroud pass deep right intended for Nico Collins is intercepted by Malik Hooker at DAL-12 and returned for 21 yards (tackle by Juice Scruggs),1.480,-1.140
1,8:22,1,10,DAL 33,7,0,Cooper Rush pass complete short middle to Jake Ferguson for 11 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),1.140,1.860
1,7:53,1,10,DAL 44,7,0,CeeDee Lamb right end for 13 yards (tackle by Henry To'oTo'o),1.860,2.720
1,7:12,1,10,HOU 43,7,0,Rico Dowdle up the middle for -2 yards (tackle by Henry To'oTo'o),2.720,1.910
1,6:36,2,12,HOU 45,7,0,Rico Dowdle up the middle for 4 yards (tackle by Azeez Al-Shaair),1.910,1.750
1,6:01,3,8,HOU 41,7,0,Cooper Rush pass short left intended for CeeDee Lamb is intercepted by Derek Stingley at HOU-30 and returned for 7 yards (tackle by Jake Ferguson),1.750,-1.400
1,5:49,1,10,HOU 37,7,0,Dameon Pierce right tackle for 2 yards (tackle by Osa Odighizuwa),1.400,1.130
1,5:09,2,8,HOU 39,7,0,C.J. Stroud pass incomplete short left intended for Dalton Schultz,1.130,0.430
1,5:04,3,8,HOU 39,7,0,C.J. Stroud pass incomplete short right. Penalty on Micah Parsons: Defensive Offside 5 yards (accepted) (no play),0.430,1.090
1,4:59,3,3,HOU 44,7,0,C.J. Stroud pass complete short middle to Nico Collins for 11 yards (tackle by Trevon Diggs),1.090,2.590
1,4:19,1,10,DAL 45,7,0,C.J. Stroud pass complete deep left to Tank Dell for 26 yards (tackle by Josh Butler). Penalty on Trevon Diggs: Illegal Contact 5 yards (declined),2.590,4.310
1,4:00,1,10,DAL 19,7,0,C.J. Stroud pass complete short left to Nico Collins for 3 yards (tackle by Chauncey Golston),4.310,4.180
1,3:21,2,7,DAL 16,7,0,Joe Mixon right tackle for 5 yards (tackle by Eric Kendricks and Malik Hooker),4.180,4.430
1,2:41,3,2,DAL 11,7,0,Joe Mixon left tackle for 1 yard (tackle by Donovan Wilson),4.430,2.910
1,1:58,4,1,DAL 10,7,0,Joe Mixon right end for 9 yards (tackle by Trevon Diggs),2.910,6.970
1,1:17,1,1,DAL 1,7,0,Joe Mixon left tackle for no gain (tackle by Malik Hooker and Micah Parsons),6.970,5.910
1,0:54,2,1,DAL 1,13,0,Joe Mixon right end for 1 yard touchdown,5.910,7.000
1,0:49,,,DAL 15,14,0,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,0:49,,,HOU 35,14,0,Ka'imi Fairbairn kicks off 59 yards returned by KaVontae Turpin for 30 yards (tackle by Calen Bullock),0.000,1.330
1,0:46,1,10,DAL 36,14,0,Cooper Rush pass complete short right to CeeDee Lamb for 3 yards,1.330,1.200
1,0:17,2,7,DAL 39,14,0,Rico Dowdle left guard for 2 yards (tackle by Henry To'oTo'o),1.200,0.760
2,15:00,3,5,DAL 41,14,0,Penalty on CeeDee Lamb: False Start 5 yards (accepted) (no play),0.760,0.100
2,15:00,3,10,DAL 36,14,6,Cooper Rush pass complete short middle to KaVontae Turpin for 64 yards touchdown. Penalty on Eric Murray: Illegal Use of Hands / Defense 5 yards (declined),0.100,7.000
2,14:51,,,HOU 15,14,7,Brandon Aubrey kicks extra point good,0.000,0.000
2,14:51,,,DAL 35,14,7,Brandon Aubrey kicks off 63 yards recovered by Dameon Pierce at HOU-3 (tackle by Nick Vigil and Buddy Johnson),0.000,-0.380
2,14:43,1,10,HOU 8,14,7,Joe Mixon up the middle for 9 yards (tackle by Trevon Diggs),-0.380,0.050
2,14:15,2,1,HOU 17,14,7,Penalty on Joe Mixon: False Start 4 yards (accepted) (no play),0.050,-0.490
2,13:59,2,6,HOU 12,14,7,C.J. Stroud pass complete short right to Robert Woods for 6 yards (tackle by Marist Liufau),-0.490,0.150
2,13:17,1,10,HOU 19,14,7,C.J. Stroud pass complete short right to Dalton Schultz for 12 yards (tackle by Josh Butler),0.150,1.000
2,12:36,1,10,HOU 31,14,7,Joe Mixon left guard for 1 yard (tackle by Carlos Watkins and Donovan Wilson),1.000,0.600
2,11:53,2,9,HOU 32,14,7,C.J. Stroud pass complete short left to Joe Mixon for 37 yards (tackle by Eric Kendricks). Penalty on DeMarvion Overshown: Low Block 15 yards (accepted),0.600,4.510
2,11:24,1,10,DAL 16,14,7,C.J. Stroud pass complete short left to Cade Stover for 3 yards (tackle by DeMarvion Overshown),4.510,4.390
2,10:42,2,7,DAL 13,14,7,Tank Dell left end for 4 yards (tackle by Eric Kendricks),4.390,4.390
2,9:55,3,3,DAL 9,14,7,Joe Mixon right end for -1 yards (tackle by Malik Hooker and Israel Mukuamu),4.390,2.840
2,9:13,,,,,,Timeout #1 by Dallas Cowboys,,
2,9:13,4,4,DAL 10,14,7,Penalty on Tommy Townsend: Delay of Game 5 yards (accepted) (no play),2.840,2.440
2,9:13,4,9,DAL 15,17,7,Ka'imi Fairbairn 33 yard field goal good,2.440,3.000
2,9:10,,,HOU 35,17,7,Ka'imi Fairbairn kicks off 65 yards touchback.,0.000,0.940
2,9:10,1,10,DAL 30,17,7,Cooper Rush pass complete short left to CeeDee Lamb for 13 yards (tackle by Denico Autry and Azeez Al-Shaair),0.940,1.800
