Quarter,Time,Down,ToGo,Location,IND,NYJ,Detail,EPB,EPA
,,,,,,,Colts won the coin toss and deferred Jets to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NYJ 30,0,0,Breece Hall right guard for 7 yards (tackle by E.J. Speed),0.940,1.340
1,14:32,2,3,NYJ 37,0,0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,1.340,0.630
1,14:26,3,3,NYJ 37,0,0,Breece Hall right tackle for no gain (tackle by Kwity Paye),0.630,-0.910
1,13:46,4,3,NYJ 37,0,0,Thomas Morstead punts 63 yards touchback.,-0.910,-0.280
1,13:41,1,10,IND 20,0,0,Anthony Richardson left end for no gain (tackle by Quincy Williams),0.280,-0.270
1,13:08,2,10,IND 20,0,0,Jonathan Taylor left guard for 2 yards (tackle by Micheal Clemons),-0.270,-0.690
1,12:30,3,8,IND 22,0,0,Anthony Richardson pass complete deep right to Josh Downs for 31 yards (tackle by D.J. Reed),-0.690,2.460
1,11:43,1,10,NYJ 47,0,0,Jonathan Taylor right guard for 8 yards (tackle by Jalen Mills and Chuck Clark),2.460,2.990
1,11:14,2,2,NYJ 39,0,0,Jonathan Taylor left guard for 10 yards (tackle by Sauce Gardner),2.990,3.640
1,10:35,1,10,NYJ 29,0,0,Jonathan Taylor left tackle for 1 yard (tackle by Chuck Clark and Haason Reddick),3.640,3.240
1,9:59,2,9,NYJ 28,0,0,Jonathan Taylor right end for 5 yards (tackle by Jamien Sherwood),3.240,3.200
1,9:19,3,4,NYJ 23,0,0,Anthony Richardson pass incomplete short left intended for Kylen Granson,3.200,2.000
1,9:11,4,4,NYJ 23,3,0,Matt Gay 41 yard field goal good,2.000,3.000
1,9:07,,,IND 35,3,0,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,9:07,1,10,NYJ 30,3,0,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,0.940,0.390
1,8:56,2,10,NYJ 30,3,0,Breece Hall left guard for 1 yard (tackle by Nick Cross and Jaylon Jones),0.390,-0.160
1,8:16,3,9,NYJ 31,3,0,Aaron Rodgers pass incomplete short middle intended for Garrett Wilson,-0.160,-1.310
1,8:14,4,9,NYJ 31,3,0,Thomas Morstead punts 54 yards returned by Josh Downs for 8 yards (tackle by Isaiah Davis),-1.310,-0.480
1,8:06,1,10,IND 23,3,0,Anthony Richardson left end for 4 yards (tackle by Jalen Mills),0.480,0.470
1,7:28,2,6,IND 27,3,0,Anthony Richardson pass complete short left to Jonathan Taylor for 3 yards (tackle by Micheal Clemons),0.470,0.170
1,6:43,3,3,IND 30,3,0,Jonathan Taylor up the middle for 2 yards (tackle by Micheal Clemons and Javon Kinlaw),0.170,-1.240
1,5:58,4,1,IND 32,3,0,Rigoberto Sanchez punts 53 yards returned by Xavier Gipson for 7 yards (tackle by Tyler Goodson and Ashton Dulin),-1.240,-0.410
1,5:48,1,10,NYJ 22,3,0,Aaron Rodgers pass complete short right to Breece Hall for 2 yards (tackle by Nick Cross),0.410,0.140
1,5:11,2,8,NYJ 24,3,0,Breece Hall left tackle for 6 yards (tackle by E.J. Speed and Zaire Franklin),0.140,0.230
1,4:35,3,2,NYJ 30,3,0,Aaron Rodgers sacked by Laiatu Latu for -7 yards,0.230,-1.830
1,3:48,4,9,NYJ 23,3,0,Thomas Morstead punts 59 yards returned by Josh Downs for 16 yards (tackle by Chazz Surratt),-1.830,-1.200
