Quarter,Time,Down,ToGo,Location,JAX,DET,Detail,EPB,EPA
,,,,,,,Lions won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 63 yards returned by Devin Duvernay for 29 yards (tackle by Zeke Turner and Pat O'Connor),0.000,1.000
1,14:55,1,10,JAX 31,0,0,Brian Thomas right end for 4 yards (tackle by Alex Anzalone and Jack Campbell),1.000,1.000
1,14:16,2,6,JAX 35,0,0,Mac Jones pass complete short left to Evan Engram for 4 yards (tackle by Alex Anzalone),1.000,0.830
1,13:35,3,2,JAX 39,0,0,Mac Jones pass complete short right to Evan Engram for 3 yards (tackle by Brian Branch),0.830,1.730
1,12:59,1,10,JAX 42,0,0,Travis Etienne right end for 5 yards (tackle by D.J. Reader and Jack Campbell),1.730,1.860
1,12:20,2,5,JAX 47,0,0,Mac Jones pass complete short right to Brenton Strange for 6 yards (tackle by Alex Anzalone and Brian Branch),1.860,2.460
1,11:44,1,10,DET 47,0,0,Mac Jones pass complete short left to Brian Thomas for 2 yards (tackle by Terrion Arnold and Jack Campbell),2.460,2.180
1,11:06,2,8,DET 45,0,0,D'Ernest Johnson right tackle for no gain (tackle by Malcolm Rodriguez),2.180,1.490
1,10:22,3,8,DET 45,0,0,Mac Jones scrambles up the middle for 5 yards (tackle by Amik Robertson),1.490,0.590
1,9:39,4,3,DET 40,3,0,Cam Little 59 yard field goal good,0.590,3.000
1,9:36,,,JAX 35,3,0,Cam Little kicks off 65 yards touchback.,0.000,0.940
1,9:36,1,10,DET 30,3,0,Jared Goff pass complete short right to Shane Zylstra for 22 yards (tackle by Andre Cisco),0.940,2.390
1,8:53,1,10,JAX 48,3,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 6 yards (tackle by Ronald Darby),2.390,2.660
1,8:21,2,4,JAX 42,3,0,David Montgomery left end for 5 yards (tackle by Tyson Campbell),2.660,3.120
1,7:42,1,10,JAX 37,3,0,David Montgomery left tackle for 9 yards (tackle by Andre Cisco and Ventrell Miller),3.120,3.790
1,7:14,2,1,JAX 28,3,0,Jared Goff pass complete short middle to David Montgomery for 5 yards (tackle by Ventrell Miller),3.790,4.040
1,6:40,1,10,JAX 23,3,0,Jahmyr Gibbs right tackle for no gain (tackle by Devin Lloyd). Penalty on Arik Armstead: Defensive Offside 5 yards (accepted) (no play),4.040,4.860
1,6:16,1,5,JAX 18,3,0,Jared Goff pass incomplete short middle,4.860,4.210
1,6:10,2,5,JAX 18,3,0,Jared Goff pass complete short left to Amon-Ra St. Brown for 11 yards (tackle by Foyesade Oluokun),4.210,5.600
1,5:31,1,7,JAX 7,3,0,David Montgomery up the middle for 5 yards (tackle by Jeremiah Ledbetter and Darnell Savage),5.600,5.720
1,5:02,2,2,JAX 2,3,6,David Montgomery up the middle for 2 yards touchdown,5.720,7.000
1,4:59,,,JAX 15,3,7,Jake Bates kicks extra point good,0.000,0.000
1,4:59,,,DET 35,3,7,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,4:59,1,10,JAX 30,3,7,Mac Jones pass complete short left to Evan Engram for 9 yards (tackle by Brian Branch),0.940,1.610
1,4:20,2,1,JAX 39,3,7,Travis Etienne right end for no gain (tackle by Kerby Joseph),1.610,0.890
1,3:42,3,1,JAX 39,3,7,Travis Etienne right tackle for -1 yards (tackle by Alex Anzalone and Josh Paschal),0.890,-0.850
1,3:01,4,2,JAX 38,3,7,Logan Cooke punts 55 yards returned by Kalif Raymond for no gain (tackle by Daniel Thomas),-0.850,0.380
