Quarter,Time,Down,ToGo,Location,LAR,NWE,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 66 yards returned by Javon Baker for 46 yards (tackle by Brennan Jackson),0.000,1.930
1,14:53,1,10,NWE 45,0,0,Drake Maye pass complete short right to Kendrick Bourne for 4 yards (tackle by Darious Williams),1.930,1.920
1,14:21,2,6,NWE 49,0,0,Rhamondre Stevenson up the middle for 1 yard (tackle by Bobby Brown and Jared Verse),1.920,1.360
1,13:41,3,5,NWE 50,0,0,Drake Maye pass complete short right to Hunter Henry for 9 yards (tackle by Cobie Durant),1.360,2.850
1,13:03,1,10,LAR 41,0,0,Drake Maye pass incomplete short right. Penalty on Rhamondre Stevenson: Chop Block 16 yards (accepted) (no play),2.850,1.800
1,12:57,1,26,NWE 43,0,0,Rhamondre Stevenson right guard for 12 yards (tackle by Quentin Lake),1.800,1.770
1,12:23,2,14,LAR 45,0,0,Drake Maye pass complete short right to Austin Hooper for 1 yard (tackle by Kamren Kinchens),1.770,1.220
1,11:45,3,13,LAR 44,0,0,Drake Maye pass incomplete short right intended for Kayshon Boutte,1.220,0.330
1,11:41,4,13,LAR 44,0,0,Bryce Baringer punts 32 yards fair catch by Xavier Smith at LA-12,0.330,0.350
1,11:33,1,10,LAR 12,0,0,Kyren Williams right end for 4 yards (tackle by Christian Elliss and Kyle Dugger),-0.350,-0.370
1,10:54,2,6,LAR 16,0,0,Matthew Stafford pass complete short right to Puka Nacua for 37 yards (tackle by Jonathan Jones),-0.370,2.460
1,10:12,1,10,NWE 47,0,0,Kyren Williams left tackle for 1 yard (tackle by Keion White and Davon Godchaux),2.460,2.050
1,9:34,2,9,NWE 46,0,0,Kyren Williams right guard for 3 yards (tackle by Daniel Ekuale),2.050,1.750
1,8:50,3,6,NWE 43,0,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,1.750,0.400
