Quarter,Time,Down,ToGo,Location,SEA,SFO,Detail,EPB,EPA
,,,,,,,Seahawks won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,SEA 35,0,0,Jason Myers kicks off 61 yards returned by Isaac Guerendo for 22 yards (tackle by Patrick O'Connell and Pharaoh Brown),0.000,0.670
1,14:53,1,10,SFO 26,0,0,Christian McCaffrey right end for 3 yards (tackle by Derick Hall and Tyrice Knight),0.670,0.540
1,14:18,2,7,SFO 29,0,0,Brock Purdy pass complete short left to Deebo Samuel for 4 yards (tackle by Josh Jobe),0.540,0.370
1,13:38,3,3,SFO 33,0,0,Brock Purdy pass complete short left to Jauan Jennings for 2 yards (tackle by Riq Woolen),0.370,-1.040
1,12:54,4,1,SFO 35,0,0,Pat O'Donnell punts 43 yards fair catch by Dee Williams at SEA-22,-1.040,-0.410
1,12:46,1,10,SEA 22,0,0,Kenneth Walker left tackle for 6 yards (tackle by Nick Bosa and Malik Mustapha),0.410,0.680
1,12:09,2,4,SEA 28,0,0,Penalty on Jordan Elliott: Encroachment 5 yards (accepted) (no play),0.680,1.140
1,11:50,1,10,SEA 33,0,0,Geno Smith pass complete short left to Tyler Lockett for 12 yards (tackle by Deommodore Lenoir),1.140,1.930
1,11:14,1,10,SEA 45,0,0,Geno Smith pass incomplete deep left intended for D.K. Metcalf (defended by Dee Winters),1.930,1.380
1,11:07,2,10,SEA 45,0,0,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Renardo Green),1.380,1.620
1,10:25,3,3,SFO 48,0,0,Geno Smith pass complete deep middle to Jaxon Smith-Njigba for 20 yards (tackle by Renardo Green),1.620,3.710
1,9:46,1,10,SFO 28,0,0,Geno Smith pass incomplete short right intended for AJ Barner (defended by Renardo Green),3.710,3.170
1,9:40,2,10,SFO 28,0,0,Kenneth Walker left tackle for 1 yard (tackle by Malik Mustapha and De'Vondre Campbell),3.170,2.610
1,9:04,3,9,SFO 27,0,0,Geno Smith sacked by and Nick Bosa for -7 yards and Leonard Floyd for -7 yards,2.610,1.060
1,8:17,4,16,SFO 34,3,0,Jason Myers 52 yard field goal good,1.060,3.000
1,8:13,,,SEA 35,3,0,Jason Myers kicks off 65 yards returned by Isaac Guerendo for 29 yards (tackle by Josh Ross and Patrick O'Connell),0.000,0.870
1,8:08,1,10,SFO 29,3,0,Christian McCaffrey left end for 2 yards (tackle by Leonard Williams),0.870,0.600
1,7:27,2,8,SFO 31,3,0,Brock Purdy scrambles right tackle for 9 yards (tackle by Ernest Jones),0.600,1.600
