Quarter,Time,Down,ToGo,Location,GNB,CHI,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,GNB 30,0,0,Josh Jacobs right tackle for 1 yard (tackle by Byron Cowart and Elijah Hicks),0.940,0.530
1,14:23,2,9,GNB 31,0,0,Josh Jacobs right tackle for 10 yards (tackle by Kevin Byard and Jack Sanborn),0.530,1.660
1,13:41,1,10,GNB 41,0,0,Jordan Love pass incomplete short middle intended for Dontayvion Wicks (defended by Jaylon Johnson),1.660,1.120
1,13:35,2,10,GNB 41,0,0,Jordan Love pass complete deep right to Romeo Doubs for 17 yards,1.120,2.790
1,12:59,1,10,CHI 42,0,0,Josh Jacobs right guard for 8 yards (tackle by Tremaine Edmunds and Darrell Taylor),2.790,3.320
1,12:20,2,2,CHI 34,0,0,Josh Jacobs right guard for 6 yards (tackle by Jaylon Johnson),3.320,3.710
1,11:38,1,10,CHI 28,0,0,Emanuel Wilson left guard for 13 yards (tackle by Elijah Hicks),3.710,4.580
1,11:18,1,10,CHI 15,6,0,Jordan Love pass complete short middle to Jayden Reed for 15 yards touchdown Penalty on CHI: Defensive Too Many Men on Field 5 yards (declined) . Penalty on Zacch Pickens: Defensive Offside 5 yards (declined),4.580,7.000
1,11:15,,,CHI 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
1,11:15,,,GNB 35,7,0,Brandon McManus kicks off 66 yards returned by DeAndre Carter for 32 yards (tackle by Edgerrin Cooper),0.000,1.000
1,11:09,1,10,CHI 31,7,0,D'Andre Swift left guard for 2 yards (tackle by Kingsley Enagbare),1.000,0.730
1,10:39,2,8,CHI 33,7,0,Caleb Williams pass incomplete short right intended for Rome Odunze,0.730,0.040
1,10:34,3,8,CHI 33,7,0,Caleb Williams scrambles left end for 16 yards (tackle by Xavier McKinney),0.040,2.190
1,9:55,1,10,CHI 49,7,0,Caleb Williams pass complete short left to D.J. Moore for 16 yards (tackle by Xavier McKinney and Edgerrin Cooper),2.190,3.250
1,9:19,1,10,GNB 35,7,0,D'Andre Swift left tackle for 3 yards (tackle by Carrington Valentine and Edgerrin Cooper),3.250,3.110
1,8:44,2,7,GNB 32,7,0,D'Andre Swift right guard for -3 yards (tackle by Brenton Cox),3.110,2.010
1,8:00,3,10,GNB 35,7,0,Caleb Williams pass incomplete short left intended for Keenan Allen,2.010,0.970
1,7:54,4,10,GNB 35,7,3,Cairo Santos 53 yard field goal good,0.970,3.000
1,7:49,,,CHI 35,7,3,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,7:49,1,10,GNB 30,7,3,Josh Jacobs left guard for 5 yards (tackle by Elijah Hicks),0.940,1.070
1,7:13,2,5,GNB 35,7,3,Jordan Love pass complete short right to Jayden Reed for 8 yards (tackle by Kyler Gordon),1.070,1.800
1,6:36,1,10,GNB 43,7,3,Jordan Love pass incomplete short left intended for Josh Jacobs,1.800,1.250
1,6:33,2,10,GNB 43,7,3,Josh Jacobs right guard for -1 yards (tackle by Jack Sanborn and Montez Sweat),1.250,0.430
1,5:54,3,11,GNB 42,7,3,Jordan Love pass complete short right to Josh Jacobs for 6 yards (tackle by Tremaine Edmunds),0.430,-0.190
1,5:04,4,5,GNB 48,7,3,Daniel Whelan punts 47 yards downed by Corey Ballentine,-0.190,0.380
1,4:54,1,10,CHI 5,7,3,D'Andre Swift left tackle for 3 yards (tackle by Javon Bullard),-0.380,-0.560
1,4:18,2,7,CHI 8,7,3,Caleb Williams pass complete short left to D'Andre Swift for 5 yards (tackle by Javon Bullard),-0.560,-0.480
1,3:39,3,2,CHI 13,7,3,Caleb Williams pass complete short middle to Rome Odunze for 13 yards (tackle by Keisean Nixon),-0.480,0.670
1,3:00,1,10,CHI 26,7,3,Caleb Williams scrambles left end for 5 yards (tackle by Edgerrin Cooper),0.670,0.810
1,2:22,2,5,CHI 31,7,3,Caleb Williams pass complete short middle to D.J. Moore for 5 yards (tackle by Edgerrin Cooper),0.810,1.330
1,1:53,1,10,CHI 36,7,3,D'Andre Swift right end for no gain (tackle by Quay Walker). Penalty on DeAndre Carter: Illegal Shift 5 yards (accepted) (no play),1.330,1.000
1,1:37,1,15,CHI 31,7,3,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by Carrington Valentine and Xavier McKinney),1.000,1.060
1,0:52,2,8,CHI 38,7,3,Caleb Williams pass complete short left to Keenan Allen for no gain (tackle by Isaiah McDuffie). Penalty on D.J. Moore: Illegal Motion 5 yards (accepted) (no play),1.060,0.390
1,0:28,2,13,CHI 33,7,3,Caleb Williams left end for 7 yards (tackle by Xavier McKinney). Penalty on Xavier McKinney: Unnecessary Roughness / Defense 15 yards (accepted),0.390,2.590
2,15:00,1,10,GNB 45,7,3,Caleb Williams pass incomplete short right intended for Keenan Allen,2.590,2.040
2,14:57,2,10,GNB 45,7,3,Caleb Williams sacked by Brenton Cox for -10 yards,2.040,0.040
2,14:16,3,20,CHI 45,7,3,Caleb Williams pass complete short middle to D.J. Moore for 11 yards (tackle by Quay Walker),0.040,0.330
2,13:28,4,9,GNB 44,7,3,Tory Taylor punts 35 yards fair catch by Jayden Reed at GB-9. Penalty on Amen Ogbongbemiga: Unnecessary Roughness / Defense 15 yards (accepted),0.330,-0.540
2,13:28,1,10,GNB 24,7,3,Josh Jacobs left guard for no gain (tackle by Kevin Byard),0.540,0.000
2,12:50,2,10,GNB 24,7,3,Josh Jacobs right tackle for -1 yards (tackle by T.J. Edwards and Zacch Pickens),0.000,-0.820
2,12:08,3,11,GNB 23,7,3,Jordan Love pass complete deep left to Christian Watson for 17 yards (tackle by Jaylon Johnson and Kyler Gordon),-0.820,1.600
2,11:18,1,10,GNB 40,7,3,Jordan Love pass complete short right to Chris Brooks for 4 yards (tackle by Josh Blackwell and Tremaine Edmunds),1.600,1.590
2,10:39,2,6,GNB 44,7,3,Josh Jacobs right end for 3 yards (tackle by Kevin Byard),1.590,1.290
2,9:54,3,3,GNB 47,7,3,Jordan Love pass incomplete short left intended for Romeo Doubs,1.290,-0.260
2,9:49,4,3,GNB 47,7,3,Penalty on Byron Cowart: Neutral Zone Infraction 5 yards (accepted) (no play),-0.260,2.390
2,9:49,1,10,CHI 48,7,3,Jordan Love pass complete short right to Josh Jacobs for 23 yards (tackle by Jaylon Johnson),2.390,3.910
2,9:06,1,10,CHI 25,7,3,Josh Jacobs left guard for 2 yards (tackle by T.J. Edwards),3.910,3.630
2,8:24,2,8,CHI 23,7,3,Jordan Love pass complete short left to Chris Brooks for 9 yards (tackle by T.J. Edwards),3.630,4.650
2,7:34,1,10,CHI 14,7,3,Josh Jacobs right guard for 9 yards (tackle by Kevin Byard and Elijah Hicks),4.650,5.670
2,6:51,2,1,CHI 5,7,3,Jordan Love pass incomplete short right. Penalty on Elgton Jenkins: Ineligible Downfield Pass 5 yards (accepted) (no play),5.670,4.710
2,6:43,2,6,CHI 10,7,3,Jayden Reed right end for -5 yards (tackle by Kyler Gordon and Jaylon Johnson),4.710,3.060
2,6:01,3,11,CHI 15,7,3,Jordan Love pass short right intended for Tucker Kraft is intercepted by Terell Smith at CHI-1 and returned for 23 yards (tackle by Christian Watson),3.060,-0.540
2,5:49,1,10,CHI 24,7,3,D'Andre Swift right guard for 2 yards (tackle by Rashan Gary and Isaiah McDuffie),0.540,0.270
2,5:07,2,8,CHI 26,7,3,Caleb Williams pass complete short right to Cole Kmet for 11 yards (tackle by Javon Bullard),0.270,1.400
2,4:27,1,10,CHI 37,7,3,D'Andre Swift right tackle for no gain (tackle by Eric Wilson),1.400,0.860
2,3:48,2,10,CHI 37,7,3,Caleb Williams pass complete short right to D.J. Moore for 5 yards (tackle by Evan Williams),0.860,0.830
2,3:19,3,5,CHI 42,7,3,Caleb Williams scrambles left end for 13 yards (tackle by Quay Walker),0.830,2.590
2,2:35,1,10,GNB 45,7,3,D.J. Moore right end for 5 yards (tackle by Quay Walker),2.590,2.720
2,2:00,2,5,GNB 40,7,3,D'Andre Swift right guard for 4 yards (tackle by Kingsley Enagbare and Quay Walker),2.720,2.540
2,1:25,3,1,GNB 36,7,3,Caleb Williams right end for 7 yards (tackle by Eric Stokes),2.540,3.640
2,1:18,1,10,GNB 29,7,3,Caleb Williams scrambles right guard for 12 yards (tackle by Xavier McKinney),3.640,4.440
2,1:11,,,,,,Timeout #1 by Green Bay Packers,,
2,1:11,1,10,GNB 17,7,3,Caleb Williams pass complete short right to D.J. Moore for 12 yards (tackle by Quay Walker),4.440,6.060
2,1:00,,,,,,Timeout #2 by Green Bay Packers,,
2,1:00,1,5,GNB 5,7,3,D'Andre Swift right guard for 2 yards (tackle by Rashan Gary),6.060,5.530
2,0:55,,,,,,Timeout #3 by Green Bay Packers,,
2,0:55,2,3,GNB 3,7,3,Roschon Johnson right tackle for 2 yards (tackle by Quay Walker) Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,5.530,5.170
2,0:10,,,,,,Timeout #1 by Chicago Bears,,
2,0:10,3,1,GNB 1,7,9,Roschon Johnson left guard for 1 yard touchdown,5.170,7.000
2,0:07,,,GNB 15,7,10,Cairo Santos kicks extra point good,0.000,0.000
2,0:07,,,CHI 35,7,10,Cairo Santos kicks off 64 yards returned by Keisean Nixon for 25 yards (tackle by Amen Ogbongbemiga),0.000,0.670
2,0:01,1,10,GNB 26,7,10,Jordan Love kneels for -1 yards,0.670,-0.010
3,15:00,,,GNB 35,7,10,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CHI 30,7,10,D'Andre Swift left end for 14 yards (tackle by Evan Williams and Eric Wilson),0.940,1.860
3,14:24,1,10,CHI 44,7,10,Caleb Williams pass complete deep left to Cole Kmet for 25 yards (tackle by Carrington Valentine),1.860,3.510
3,13:41,1,10,GNB 31,7,10,D'Andre Swift right tackle for 1 yard (tackle by Edgerrin Cooper),3.510,3.100
3,13:06,2,9,GNB 30,7,10,Caleb Williams pass incomplete short right intended for Rome Odunze,3.100,2.410
3,12:59,3,9,GNB 30,7,10,Caleb Williams pass complete short left to Keenan Allen for 7 yards (tackle by Quay Walker and Javon Bullard),2.410,2.050
