Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
,,,,,,,Bills won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,KAN 30,0,0,Xavier Worthy right end for 7 yards (tackle by Taylor Rapp),0.940,1.340
1,14:23,2,3,KAN 37,0,0,Patrick Mahomes pass deep right intended for Noah Gray is intercepted by Taylor Rapp at BUF-45 and returned for 5 yards (tackle by JuJu Smith-Schuster). Penalty on A.J. Epenesa: Unnecessary Roughness / Defense 15 yards (accepted),1.340,-1.270
1,14:15,1,10,BUF 35,0,0,Josh Allen pass complete short left to James Cook for 1 yard (tackle by Trent McDuffie),1.270,0.860
1,13:39,2,9,BUF 36,0,0,James Cook right guard for 3 yards (tackle by Nazeeh Johnson and Drue Tranquill),0.860,0.560
1,12:59,3,6,BUF 39,0,0,Josh Allen pass complete deep left to Amari Cooper for 30 yards (tackle by Nazeeh Johnson),0.560,3.510
1,12:13,1,10,KAN 31,0,0,Josh Allen pass complete short right to Khalil Shakir for 11 yards (tackle by Drue Tranquill),3.510,4.240
1,11:33,1,10,KAN 20,0,0,Josh Allen pass incomplete deep right,4.240,3.690
1,11:26,2,10,KAN 20,0,0,Josh Allen pass complete short left to James Cook for 2 yards (tackle by Nick Bolton and Justin Reid),3.690,3.220
1,10:43,3,8,KAN 18,0,0,Josh Allen pass complete short right to Curtis Samuel for 15 yards (tackle by Bryan Cook),3.220,6.510
1,10:04,1,3,KAN 3,0,6,James Cook right end for 3 yards touchdown,6.510,7.000
1,10:00,,,KAN 15,0,6,Tyler Bass kicks extra point no good,0.000,-1.000
1,10:00,,,BUF 35,0,6,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,10:00,1,10,KAN 30,0,6,Patrick Mahomes pass incomplete short left intended for Mecole Hardman (defended by A.J. Epenesa),0.940,0.390
1,9:55,2,10,KAN 30,0,6,Kareem Hunt up the middle for 5 yards (tackle by Taron Johnson and Terrel Bernard),0.390,0.370
1,9:17,3,5,KAN 35,0,6,Patrick Mahomes sacked by Terrel Bernard for -6 yards,0.370,-1.440
1,8:34,4,11,KAN 29,0,6,Matt Araiza punts 46 yards returned by Brandon Codrington for 10 yards (tackle by Keith Taylor and Chamarri Conner). Penalty on Joshua Williams: Player Out of Bounds on a Punt 5 yards (accepted),-1.440,-1.600
1,8:22,1,10,BUF 40,0,6,Josh Allen pass incomplete deep left intended for Amari Cooper,1.600,1.050
1,8:17,2,10,BUF 40,0,6,Ray Davis left guard for 1 yard (tackle by George Karlaftis),1.050,0.500
1,7:35,3,9,BUF 41,0,6,Josh Allen pass complete short middle to Khalil Shakir for 15 yards (tackle by Bryan Cook),0.500,2.650
1,6:55,1,10,KAN 44,0,6,James Cook right end for no gain (tackle by Chamarri Conner),2.650,2.110
1,6:15,2,10,KAN 44,0,6,Josh Allen right guard for 2 yards (tackle by Chris Jones),2.110,1.690
1,5:33,3,8,KAN 42,0,6,Josh Allen pass incomplete short right,1.690,0.460
1,5:28,4,8,KAN 42,0,6,Penalty on BUF: Delay of Game 5 yards (accepted) (no play),0.460,0.130
1,5:28,4,13,KAN 47,0,6,Sam Martin punts 35 yards fair catch by Mecole Hardman at KC-12,0.130,0.350
1,5:20,1,10,KAN 12,0,6,Kareem Hunt up the middle for 4 yards (tackle by Dorian Williams and Austin Johnson),-0.350,-0.370
1,4:43,2,6,KAN 16,0,6,Patrick Mahomes pass complete short right to DeAndre Hopkins for 5 yards (tackle by Christian Benford) BUF challenged the pass completion ruling and the play was upheld.,-0.370,-0.370
1,4:13,3,1,KAN 21,0,6,Kareem Hunt up the middle for 4 yards (tackle by Austin Johnson and Terrel Bernard),-0.370,0.610
1,3:36,1,10,KAN 25,0,6,Patrick Mahomes pass complete deep right to Xavier Worthy for 31 yards (tackle by Taron Johnson and Taylor Rapp),0.610,2.650
1,2:53,1,10,BUF 44,0,6,Kareem Hunt right guard for 5 yards (tackle by Terrel Bernard),2.650,2.780
1,2:16,2,5,BUF 39,0,6,Kareem Hunt left end for 4 yards (tackle by Damar Hamlin),2.780,2.610
1,1:33,3,1,BUF 35,0,6,Patrick Mahomes pass complete short middle to Mike Caliendo for 5 yards (tackle by Taron Johnson),2.610,3.580
1,1:03,1,10,BUF 30,0,6,Patrick Mahomes pass complete short right to Xavier Worthy for 6 yards (tackle by Rasul Douglas),3.580,3.840
1,0:23,2,4,BUF 24,0,6,Patrick Mahomes pass incomplete short left intended for Travis Kelce,3.840,3.140
1,0:18,3,4,BUF 24,0,6,Patrick Mahomes pass complete short right to Xavier Worthy for 14 yards (tackle by Rasul Douglas),3.140,4.910
2,15:00,1,10,BUF 10,6,6,Patrick Mahomes pass complete short right to Xavier Worthy for 10 yards touchdown,4.910,7.000
2,14:53,,,BUF 15,7,6,Spencer Shrader kicks extra point good,0.000,0.000
2,14:53,,,KAN 35,7,6,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
2,14:53,1,10,BUF 30,7,6,Josh Allen pass complete short right to Curtis Samuel for 1 yard (tackle by Nazeeh Johnson),0.940,0.530
2,14:14,2,9,BUF 31,7,6,Josh Allen pass incomplete short right intended for James Cook,0.530,-0.160
2,14:07,3,9,BUF 31,7,6,Josh Allen pass complete short middle to Khalil Shakir for no gain (tackle by Nick Bolton and Chamarri Conner). Penalty on Felix Anudike-Uzomah: Defensive Holding 5 yards (accepted) (no play),-0.160,1.330
2,13:54,1,10,BUF 36,7,6,Josh Allen scrambles left end for 3 yards (tackle by Leo Chenal and Nazeeh Johnson),1.330,1.200
2,13:09,2,7,BUF 39,7,6,James Cook up the middle for 5 yards (tackle by Drue Tranquill and Michael Danna),1.200,1.160
2,12:29,3,2,BUF 44,7,6,Josh Allen left guard for 2 yards (tackle by Michael Danna),1.160,1.990
