Quarter,Time,Down,ToGo,Location,LVR,MIA,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Dolphins to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,MIA 30,0,0,De'Von Achane right tackle for 5 yards (tackle by Maxx Crosby),0.940,1.070
1,14:28,2,5,MIA 35,0,0,Tua Tagovailoa pass complete short left to Malik Washington for -2 yards (tackle by Charles Snowden),1.070,0.100
1,13:48,3,7,MIA 33,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for 17 yards (tackle by Divine Deablo). Penalty on Maxx Crosby: Unnecessary Roughness / Defense 15 yards (accepted),0.100,3.250
1,13:23,1,10,LVR 35,0,0,Tua Tagovailoa pass complete short right to De'Von Achane for 7 yards (tackle by Divine Deablo),3.250,3.650
1,12:47,2,3,LVR 28,0,0,Tua Tagovailoa pass complete deep left to Tyreek Hill for 16 yards (tackle by Isaiah Pola-Mao),3.650,4.780
1,12:11,1,10,LVR 12,0,0,De'Von Achane left guard for -1 yards (tackle by John Jenkins and Tyree Wilson),4.780,3.940
1,11:33,2,11,LVR 13,0,0,Tua Tagovailoa sacked by Tyree Wilson for -9 yards. Tua Tagovailoa fumbles (forced by Tyree Wilson) recovered by Kendall Lamm at LV-22,3.940,2.210
1,10:46,3,20,LVR 22,0,0,Tua Tagovailoa pass complete short middle to Raheem Mostert for no gain (tackle by Jack Jones). Penalty on K'Lavon Chaisson: Defensive Holding 5 yards (accepted) (no play),2.210,4.440
1,10:15,1,10,LVR 17,0,0,De'Von Achane left tackle for 4 yards (tackle by Decamerion Richardson and Robert Spillane),4.440,4.500
1,9:33,2,6,LVR 13,0,0,De'Von Achane up the middle for 3 yards (tackle by Jonah Laulu and Robert Spillane),4.500,4.340
1,8:54,3,3,LVR 10,0,0,Tua Tagovailoa pass complete short right to Tyreek Hill for 6 yards (tackle by Isaiah Pola-Mao),4.340,6.280
1,8:19,1,4,LVR 4,0,0,Raheem Mostert up the middle for 1 yard (tackle by Adam Butler and John Jenkins),6.280,5.530
1,7:39,2,3,LVR 3,0,0,Tua Tagovailoa pass complete short middle to De'Von Achane for 2 yards (tackle by Divine Deablo),5.530,5.170
1,6:54,3,1,LVR 1,0,0,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith,5.170,3.550
1,6:50,4,1,LVR 1,0,6,Tua Tagovailoa pass complete short left to Jonnu Smith for 1 yard touchdown,3.550,7.000
1,6:47,,,LVR 15,0,7,Jason Sanders kicks extra point good,0.000,0.000
1,6:47,,,MIA 35,0,7,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,6:47,1,10,LVR 30,0,7,Gardner Minshew pass incomplete short middle intended for Michael Mayer,0.940,0.390
1,6:42,2,10,LVR 30,0,7,Zamir White up the middle for 2 yards (tackle by Tyus Bowser),0.390,-0.030
