Quarter,Time,Down,ToGo,Location,MIN,TEN,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,John Parker Romo kicks off 63 yards returned by Julius Chestnut for 23 yards (tackle by Bo Richter),0.000,0.610
1,14:54,1,10,TEN 25,0,0,Will Levis pass incomplete short left intended for Tony Pollard,0.610,0.060
1,14:50,2,10,TEN 25,0,0,Tony Pollard up the middle for -2 yards (tackle by Byron Murphy and Andrew Van Ginkel),0.060,-0.890
1,14:17,3,12,TEN 23,0,0,Will Levis pass complete short right to Chigoziem Okonkwo for 12 yards (tackle by Stephon Gilmore),-0.890,1.270
1,13:37,1,10,TEN 35,0,0,Will Levis scrambles right end for 2 yards (tackle by Jonathan Greenard),1.270,0.990
1,12:56,2,8,TEN 37,0,0,Penalty on Nicholas Petit-Frere: False Start 5 yards (accepted) (no play),0.990,0.320
1,12:48,2,13,TEN 32,0,0,Will Levis pass complete short left to Chigoziem Okonkwo for 7 yards (tackle by Andrew Van Ginkel),0.320,0.560
1,12:06,3,6,TEN 39,0,0,Will Levis sacked by Blake Cashman for -10 yards,0.560,-1.440
1,11:25,4,16,TEN 29,0,0,Ryan Stonehouse punts 32 yards out of bounds,-1.440,-1.530
1,11:18,1,10,MIN 39,0,0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Darrell Baker),1.530,1.660
1,10:48,2,5,MIN 44,0,0,Sam Darnold scrambles left end for 5 yards (tackle by Kenneth Murray). Penalty on Kenneth Murray: Unnecessary Roughness / Defense 15 yards (accepted),1.660,3.180
1,10:30,1,10,TEN 36,0,0,Sam Darnold aborted snap recovered by Jeffery Simmons at TEN-45,3.180,-1.930
1,10:22,1,10,TEN 45,0,0,Tyjae Spears up the middle for 4 yards (tackle by Jonathan Greenard),1.930,1.920
1,9:48,2,6,TEN 49,0,0,Tony Pollard right end for 4 yards (tackle by Andrew Van Ginkel),1.920,1.750
1,9:09,3,2,MIN 47,0,0,Will Levis right end for 3 yards (tackle by Harrison Smith),1.750,2.650
1,8:30,1,10,MIN 44,0,0,Will Levis scrambles right end for 10 yards (tackle by Stephon Gilmore),2.650,3.310
1,7:49,1,10,MIN 34,0,0,Will Levis left end for 1 yard (tackle by Andrew Van Ginkel and Patrick Jones),3.310,2.910
1,7:12,2,9,MIN 33,0,0,Will Levis pass incomplete deep middle intended for Nick Westbrook-Ikhine,2.910,2.210
1,7:07,3,9,MIN 33,0,0,Will Levis pass complete deep right to Calvin Ridley for 21 yards (tackle by Byron Murphy). Penalty on Byron Murphy: Defensive Pass Interference 15 yards (declined),2.210,4.780
1,6:41,1,10,MIN 12,0,0,Tony Pollard right guard for 3 yards (tackle by Patrick Jones),4.780,4.640
1,6:01,2,7,MIN 9,0,0,Will Levis left tackle for 3 yards (tackle by Andrew Van Ginkel),4.640,4.380
1,5:20,3,4,MIN 6,0,0,Will Levis sacked by Patrick Jones for -5 yards,4.380,2.700
1,4:42,4,9,MIN 11,0,3,Nick Folk 30 yard field goal good,2.700,3.000
1,4:39,,,TEN 35,0,3,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,4:39,1,10,MIN 30,0,3,Aaron Jones right end for 3 yards (tackle by Sebastian Joseph-Day),0.940,0.800
1,4:08,2,7,MIN 33,0,3,Sam Darnold pass complete short left to Justin Jefferson for 4 yards (tackle by Arden Key),0.800,0.630
1,3:29,3,3,MIN 37,0,3,Sam Darnold pass incomplete deep left intended for Justin Jefferson (defended by Jarvis Brownlee). Penalty on Jarvis Brownlee: Defensive Pass Interference 16 yards (accepted) (no play),0.630,2.460
1,3:25,1,10,TEN 47,6,3,Sam Darnold pass complete short middle to Jordan Addison for 47 yards touchdown,2.460,7.000
1,3:16,,,TEN 15,7,3,John Parker Romo kicks extra point good,0.000,0.000
1,3:16,,,MIN 35,7,3,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
1,3:16,1,10,TEN 30,7,3,Tony Pollard left tackle for no gain (tackle by Ivan Pace). Penalty on Nick Vannett: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
1,2:56,1,20,TEN 20,7,3,Will Levis pass complete deep left to Nick Westbrook-Ikhine for 19 yards (tackle by Camryn Bynum),0.280,1.610
1,2:19,2,1,TEN 39,7,3,Tony Pollard left tackle for 2 yards (tackle by Ivan Pace and Blake Cashman),1.610,1.660
1,1:40,1,10,TEN 41,7,3,Tyjae Spears right guard for -2 yards (tackle by Patrick Jones and Blake Cashman),1.660,0.850
1,1:04,2,12,TEN 39,7,3,Will Levis pass incomplete deep middle intended for Calvin Ridley,0.850,0.170
1,0:57,3,12,TEN 39,7,3,Will Levis pass incomplete short right intended for Chigoziem Okonkwo,0.170,-0.780
1,0:54,4,12,TEN 39,7,3,Ryan Stonehouse punts 50 yards fair catch by Brandon Powell at MIN-11,-0.780,0.370
1,0:47,1,10,MIN 11,7,3,Aaron Jones left guard for 4 yards (tackle by Harold Landry),-0.370,-0.430
1,0:17,2,6,MIN 15,7,3,Sam Darnold pass incomplete short left intended for Jordan Addison,-0.430,-0.950
1,0:13,3,6,MIN 15,7,3,Sam Darnold pass complete short right to Trent Sherfield for 16 yards (tackle by Roger McCreary),-0.950,1.000
2,15:00,1,10,MIN 31,7,3,Aaron Jones right tackle for 1 yard (tackle by Kenneth Murray),1.000,0.600
2,14:34,2,9,MIN 32,7,3,Sam Darnold scrambles up the middle for 3 yards (tackle by Mike Brown),0.600,0.300
2,13:52,3,6,MIN 35,7,3,Sam Darnold pass complete deep left to Justin Jefferson for 31 yards (tackle by Roger McCreary),0.300,3.310
2,13:02,1,10,TEN 34,7,3,Sam Darnold pass complete short left to Josh Oliver for 5 yards (tackle by Jarvis Brownlee and Kenneth Murray),3.310,3.450
2,12:19,2,5,TEN 29,7,3,Aaron Jones up the middle for 4 yards (tackle by Keondre Coburn),3.450,3.270
2,11:34,3,1,TEN 25,7,3,Sam Darnold pass complete short right to T.J. Hockenson for 4 yards (tackle by Harold Landry),3.270,4.170
2,10:57,,,,,,Timeout #1 by Minnesota Vikings,,
2,10:57,1,10,TEN 21,7,3,Sam Darnold pass incomplete short left intended for Justin Jefferson (defended by Darrell Baker),4.170,3.630
2,10:54,2,10,TEN 21,7,3,Aaron Jones right end for 3 yards (tackle by Kenneth Murray and Jarvis Brownlee),3.630,3.310
2,10:14,3,7,TEN 18,7,3,Sam Darnold scrambles left end for 6 yards (tackle by Harold Landry and Jerome Baker),3.310,2.780
2,9:41,4,1,TEN 12,7,3,Sam Darnold up the middle for no gain (tackle by Harold Landry). Penalty on T'Vondre Sweat: Defensive Offside 5 yards (accepted) (no play),2.780,0.000
2,9:16,1,10,TEN 7,7,3,Sam Darnold pass complete short middle to Justin Jefferson for 6 yards (tackle by Jaylen Harrell and Jerome Baker),0.000,5.910
2,8:35,2,1,TEN 1,7,3,Sam Darnold pass incomplete short right intended for Justin Jefferson (defended by Darrell Baker),5.910,5.170
2,8:31,3,1,TEN 1,7,3,Aaron Jones up the middle for no gain (tackle by James Lynch and Amani Hooker),5.170,3.550
2,7:49,4,1,TEN 1,7,3,Sam Darnold pass incomplete short left intended for Jordan Addison. Penalty on Mike Brown: Unnecessary Roughness / Defense (accepted) (no play),3.550,6.970
