Quarter,Time,Down,ToGo,Location,WAS,PHI,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Eagles to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Zane Gonzalez kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PHI 30,0,0,Jalen Hurts pass complete short right to Jahan Dotson for 8 yards (tackle by Noah Igbinoghene),0.940,1.470
1,14:22,2,2,PHI 38,0,0,Jalen Hurts pass incomplete short right intended for Saquon Barkley,1.470,0.760
1,14:16,3,2,PHI 38,0,0,Saquon Barkley right guard for 3 yards (tackle by Dorance Armstrong),0.760,1.660
1,13:48,1,10,PHI 41,0,0,Saquon Barkley up the middle for 4 yards (tackle by Jer'Zhan Newton and Bobby Wagner),1.660,1.660
1,13:04,2,6,PHI 45,0,0,Jalen Hurts pass incomplete short left,1.660,0.960
1,12:58,3,6,PHI 45,0,0,Jalen Hurts pass complete short middle to A.J. Brown for 7 yards (tackle by Noah Igbinoghene),0.960,2.390
1,12:30,1,10,WAS 48,0,0,Jalen Hurts pass complete short right to A.J. Brown for 25 yards (tackle by Mike Sainristil and Quan Martin),2.390,4.040
1,12:02,1,10,WAS 23,0,0,Saquon Barkley up the middle for -2 yards (tackle by Jalyn Holmes),4.040,3.230
1,11:17,2,12,WAS 25,0,0,Jalen Hurts pass complete short right to Ainias Smith for no gain (tackle by Mike Sainristil). Penalty on Mekhi Becton: Offensive Holding 10 yards (accepted) (no play),3.230,1.880
1,10:48,2,22,WAS 35,0,0,Jalen Hurts pass incomplete short left,1.880,1.220
1,10:42,3,22,WAS 35,0,0,Kenneth Gainwell left tackle for 9 yards (tackle by Benjamin St-Juste),1.220,1.740
1,9:59,4,13,WAS 26,0,0,Jake Elliott 44 yard field goal no good,1.740,-1.200
1,9:55,1,10,WAS 34,0,0,Jayden Daniels pass complete short right to Austin Ekeler for 5 yards (tackle by Zack Baun),1.200,1.330
1,9:29,2,5,WAS 39,0,0,Brian Robinson up the middle for 1 yard (tackle by Nakobe Dean and Jordan Davis),1.330,0.760
1,8:51,3,4,WAS 40,0,0,Jayden Daniels pass incomplete short middle intended for Noah Brown (defended by Zack Baun),0.760,-0.720
1,8:47,4,4,WAS 40,0,0,Tress Way punts 51 yards fair catch by Cooper DeJean at PHI-9,-0.720,0.380
1,8:40,1,10,PHI 9,0,0,Saquon Barkley left end for 8 yards (tackle by Benjamin St-Juste),-0.380,-0.020
1,7:59,2,2,PHI 17,0,0,Saquon Barkley right guard for 1 yard (tackle by Jeremy Chinn),-0.020,-0.370
1,7:38,3,1,PHI 18,0,0,Jalen Hurts up the middle for 2 yards (tackle by Daron Payne),-0.370,0.280
1,6:52,1,10,PHI 20,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 2 yards (tackle by Jeremy Chinn),0.280,0.000
1,6:23,2,8,PHI 22,0,0,Jalen Hurts pass incomplete short right intended for A.J. Brown,0.000,-0.690
1,6:19,3,8,PHI 22,0,0,Jalen Hurts sacked by Frankie Luvu for -2 yards,-0.690,-2.030
1,5:36,4,10,PHI 20,0,0,Braden Mann punts 38 yards downed by Grant Calcaterra,-2.030,-1.730
1,5:25,1,10,WAS 42,0,0,Jayden Daniels pass complete short left to Austin Ekeler for 34 yards (tackle by Reed Blankenship and Zack Baun),1.730,3.970
1,4:35,1,10,PHI 24,0,0,Jayden Daniels left guard for 5 yards (tackle by Jalen Carter),3.970,4.120
1,4:04,2,5,PHI 19,0,0,Brian Robinson up the middle for 18 yards (tackle by C.J. Gardner-Johnson),4.120,6.970
1,3:32,1,1,PHI 1,6,0,Brian Robinson left guard for 1 yard touchdown,6.970,7.000
1,3:26,,,PHI 15,7,0,Zane Gonzalez kicks extra point good,0.000,0.000
1,3:26,,,WAS 35,7,0,Zane Gonzalez kicks off 62 yards returned by Will Shipley for 33 yards (tackle by Jeremy Chinn),0.000,1.330
1,3:20,1,10,PHI 36,7,0,Jalen Hurts pass incomplete short right intended for DeVonta Smith,1.330,0.790
1,3:12,2,10,PHI 36,7,0,Saquon Barkley left end for 6 yards (tackle by Jeremy Chinn),0.790,0.890
1,2:31,3,4,PHI 42,7,0,Jalen Hurts pass incomplete short right intended for Jahan Dotson (defended by Mike Sainristil),0.890,-0.590
1,2:26,4,4,PHI 42,7,0,Braden Mann punts 51 yards returned by Olamide Zaccheaus for 4 yards (tackle by Zack Baun). Penalty on Noah Igbinoghene: Illegal Block Above the Waist 5 yards (accepted),-0.590,0.380
1,2:15,1,10,WAS 6,7,0,Jayden Daniels pass complete short right to Austin Ekeler for -2 yards (tackle by Darius Slay),-0.380,-0.930
1,1:36,2,12,WAS 4,7,0,Austin Ekeler up the middle for 6 yards (tackle by Nakobe Dean),-0.930,-0.950
1,0:55,3,6,WAS 10,7,0,Jayden Daniels scrambles right end for 2 yards (tackle by Nakobe Dean),-0.950,-2.490
1,0:12,4,4,WAS 12,7,0,Tress Way punts 44 yards returned by Cooper DeJean for 8 yards (tackle by Jeremy Reaves),-2.490,-2.390
1,0:03,1,10,WAS 48,7,0,Saquon Barkley left guard for 7 yards (tackle by Bobby Wagner),2.390,2.790
2,15:00,2,3,WAS 41,7,0,Saquon Barkley left tackle for 2 yards (tackle by Frankie Luvu),2.790,2.340
2,14:31,3,1,WAS 39,7,0,Saquon Barkley left end for 3 yards (tackle by Jeremy Chinn),2.340,3.180
2,13:48,1,10,WAS 36,7,0,Jalen Hurts sacked by Frankie Luvu for -13 yards,3.180,0.880
2,13:04,2,23,WAS 49,7,0,Jalen Hurts pass complete short left to Kenneth Gainwell for 6 yards (tackle by Mike Sainristil and Noah Igbinoghene),0.880,1.020
2,12:21,3,17,WAS 43,7,0,Jalen Hurts pass complete short middle to Dallas Goedert for 10 yards (tackle by Bobby Wagner),1.020,1.150
2,11:40,4,7,WAS 33,7,0,Jake Elliott 51 yard field goal no good,1.150,-1.660
