Quarter,Time,Down,ToGo,Location,ARI,SEA,Detail,EPB,EPA
,,,,,,,Seahawks won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,SEA 35,0,0,Jason Myers kicks off 57 yards returned by DeeJay Dallas for 25 yards (tackle by Drake Thomas),0.000,1.140
1,14:55,1,10,ARI 33,0,0,Kyler Murray pass complete short right to Trey McBride for 11 yards (tackle by Tyrice Knight),1.140,1.860
1,14:19,1,10,ARI 44,0,0,James Conner left guard for 4 yards (tackle by Leonard Williams and Tyrice Knight),1.860,1.860
1,13:31,2,6,ARI 48,0,0,Kyler Murray sacked by Boye Mafe for -8 yards,1.860,0.100
1,12:57,3,14,ARI 40,0,0,Kyler Murray sacked by Tyrice Knight for -6 yards,0.100,-1.110
1,12:19,4,20,ARI 34,0,0,Blake Gillikin punts 51 yards fair catch by Dee Williams at SEA-15,-1.110,0.220
1,12:09,1,10,SEA 15,0,0,Kenneth Walker left tackle for -5 yards (tackle by Kyzir White),-0.220,-1.150
1,11:31,2,15,SEA 10,0,0,Geno Smith pass complete short middle to Jake Bobo for 8 yards (tackle by Budda Baker and Kyzir White),-1.150,-1.000
1,10:48,3,7,SEA 18,0,0,Geno Smith pass complete deep middle to D.K. Metcalf for 29 yards (tackle by Garrett Williams),-1.000,2.060
1,10:13,1,10,SEA 47,0,0,Kenneth Walker left tackle for 6 yards (tackle by Dante Stills and Sean Murphy-Bunting),2.060,2.330
1,9:54,2,4,ARI 47,0,0,Zach Charbonnet left guard for no gain (tackle by Roy Lopez),2.330,1.620
1,9:06,3,4,ARI 47,0,0,Geno Smith sacked by Dante Stills for -13 yards. Penalty on Abraham Lucas: Illegal Formation 5 yards (declined),1.620,-0.720
1,8:51,4,17,SEA 40,0,0,Michael Dickson punts 51 yards out of bounds,-0.720,0.380
1,8:32,1,10,ARI 9,0,0,James Conner right tackle for no gain (tackle by Devon Witherspoon and Boye Mafe). Penalty on Michael Wilson: Offensive Holding 10 yards (declined),-0.380,-0.780
1,8:22,2,10,ARI 9,0,0,Kyler Murray pass complete short right to Trey McBride for 6 yards (tackle by Julian Love),-0.780,-0.720
1,7:43,3,4,ARI 15,0,0,Kyler Murray pass complete short left to Marvin Harrison for 11 yards (tackle by Devon Witherspoon),-0.720,0.670
1,7:02,1,10,ARI 26,0,0,Trey Benson left guard for 2 yards (tackle by Johnathan Hankins and Leonard Williams),0.670,0.400
1,6:10,2,8,ARI 28,0,0,Kyler Murray pass incomplete short middle intended for Elijah Higgins (defended by Julian Love),0.400,-0.300
1,6:07,3,8,ARI 28,0,0,Kyler Murray pass complete short middle to Trey McBride for 7 yards (tackle by Coby Bryant),-0.300,-1.040
1,5:23,4,1,ARI 35,0,0,Blake Gillikin punts 58 yards returned by Dee Williams for 9 yards (tackle by Elijah Higgins),-1.040,0.140
1,5:09,1,10,SEA 16,0,0,Geno Smith pass complete short left to Kenneth Walker for 19 yards (tackle by Zaven Collins),-0.140,1.270
1,4:21,1,10,SEA 35,0,0,Kenneth Walker left guard for -2 yards (tackle by Dadrion Taylor-Demerson),1.270,0.450
1,3:38,2,12,SEA 33,0,0,Geno Smith pass complete short right to D.K. Metcalf for 8 yards (tackle by Sean Murphy-Bunting),0.450,0.830
1,3:11,3,4,SEA 41,0,0,Penalty on Jaxon Smith-Njigba: False Start 5 yards (accepted) (no play),0.830,0.170
1,2:51,3,9,SEA 36,0,0,Geno Smith sacked by L.J. Collier for -8 yards,0.170,-1.500
1,2:14,4,17,SEA 28,0,0,Michael Dickson punts 52 yards returned by Greg Dortch for no gain,-1.500,-0.280
1,2:06,1,10,ARI 20,0,0,James Conner left guard for 4 yards (tackle by Roy Robertson-Harris and Ernest Jones),0.280,0.270
1,1:33,2,6,ARI 24,0,0,Kyler Murray sacked by Leonard Williams for no gain. Kyler Murray fumbles (forced by Leonard Williams) recovered by Tyrice Knight at ARI-33 touchdown Replay Assistant challenged the fumble ruling and the original play was overturned. Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Leonard Williams),0.270,-0.430
1,1:29,3,6,ARI 24,0,0,Kyler Murray pass complete deep left to Marvin Harrison for 22 yards (tackle by Devon Witherspoon),-0.430,1.990
1,0:56,1,10,ARI 46,0,0,James Conner right tackle for no gain (tackle by Ernest Jones and Tyrice Knight). Penalty on Trystan Colon-Castillo: Offensive Holding 10 yards (accepted) (no play),1.990,1.330
1,0:28,1,20,ARI 36,0,0,Kyler Murray pass complete short left to James Conner for 2 yards (tackle by Ernest Jones and Tyrice Knight),1.330,0.370
2,15:00,2,18,ARI 38,0,0,Kyler Murray pass complete short left to Elijah Higgins for 5 yards (tackle by Coby Bryant),0.370,0.370
2,14:23,3,13,ARI 43,0,0,Kyler Murray pass incomplete deep right intended for Greg Dortch (defended by Julian Love),0.370,-0.520
2,14:12,4,13,ARI 43,0,0,Blake Gillikin punts 44 yards fair catch by Dee Williams at SEA-13,-0.520,0.320
2,14:05,1,10,SEA 13,0,0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for no gain (tackle by Max Melton). Penalty on Pharaoh Brown: Offensive Holding 6 yards (accepted) (no play),-0.320,-0.610
2,13:39,1,16,SEA 7,0,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 2 yards (tackle by Baron Browning),-0.610,-1.070
2,13:01,2,14,SEA 9,0,0,Geno Smith pass incomplete short middle,-1.070,-1.890
2,12:54,3,14,SEA 9,0,0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by Dadrion Taylor-Demerson). Penalty on Abraham Lucas: Illegal Formation 5 yards (declined),-1.890,-2.490
2,12:48,4,14,SEA 9,0,0,Michael Dickson punts 41 yards downed by Tyrice Knight,-2.490,-2.260
2,12:38,1,10,SEA 50,0,0,Kyler Murray pass complete short middle to Trey McBride for 15 yards (tackle by Devon Witherspoon),2.260,3.250
2,12:08,1,10,SEA 35,0,0,Kyler Murray pass complete deep left to Trey McBride for 20 yards (tackle by Riq Woolen),3.250,4.580
2,11:30,1,10,SEA 15,0,0,Kyler Murray right end for 3 yards (tackle by Coby Bryant),4.580,4.450
2,10:48,2,7,SEA 12,0,0,Kyler Murray pass complete short middle to Greg Dortch for 5 yards (tackle by Tyrice Knight),4.450,4.680
2,9:57,3,2,SEA 7,0,0,Kyler Murray pass complete short right to Michael Wilson for no gain touchdown. Penalty on Paris Johnson: Offensive Holding 10 yards (accepted) (no play),4.680,2.980
2,9:51,3,12,SEA 17,0,0,Kyler Murray pass incomplete deep left intended for Marvin Harrison (defended by Josh Jobe) ARI challenged the pass completion ruling and the play was upheld.,2.980,2.310
2,9:47,4,12,SEA 17,3,0,Chad Ryland 35 yard field goal good,2.310,3.000
2,9:43,,,ARI 35,3,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
2,9:43,1,10,SEA 30,3,0,Kenneth Walker right end for 5 yards (tackle by Dadrion Taylor-Demerson and Mack Wilson),0.940,1.070
2,9:05,2,5,SEA 35,3,0,Kenneth Walker right guard for 14 yards (tackle by Dadrion Taylor-Demerson),1.070,2.190
2,8:25,1,10,SEA 49,3,0,Kenneth Walker right end for no gain (tackle by Zaven Collins),2.190,1.650
2,7:54,2,10,SEA 49,3,0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 11 yards (tackle by Kyzir White),1.650,2.920
2,7:24,1,10,ARI 40,3,0,Kenneth Walker right guard for 2 yards (tackle by Kyzir White and Starling Thomas),2.920,2.640
2,6:45,2,8,ARI 38,3,0,Geno Smith pass incomplete deep right,2.640,1.950
2,6:32,3,8,ARI 38,3,0,Geno Smith sacked by Budda Baker for -4 yards,1.950,0.460
2,5:52,4,12,ARI 42,3,0,Michael Dickson punts 36 yards downed by Jerrick Reed,0.460,0.380
2,5:42,1,10,ARI 6,3,0,Kyler Murray pass incomplete short right intended for Trey McBride,-0.380,-0.780
2,5:39,2,10,ARI 6,3,0,James Conner right guard for 1 yard (tackle by Jarran Reed),-0.780,-1.300
2,4:57,3,9,ARI 7,3,0,Kyler Murray pass incomplete deep right intended for Marvin Harrison (defended by Riq Woolen),-1.300,-2.490
2,4:46,4,9,ARI 7,3,0,Blake Gillikin punts 54 yards fair catch by Dee Williams at SEA-39,-2.490,-1.530
2,4:39,1,10,SEA 39,3,0,Kenneth Walker right guard for no gain (tackle by Kyzir White),1.530,0.990
2,4:04,2,10,SEA 39,3,0,Geno Smith pass complete short left to AJ Barner for 11 yards (tackle by Max Melton),0.990,2.260
2,3:17,1,10,SEA 50,3,0,Geno Smith sacked by Jesse Luketa for no gain,2.260,1.710
2,2:34,2,10,SEA 50,3,0,Geno Smith pass complete short middle to Jaxon Smith-Njigba for 46 yards (tackle by Garrett Williams),1.710,6.280
2,2:00,1,4,ARI 4,3,0,Zach Charbonnet left guard for 3 yards (tackle by Budda Baker and Dadrion Taylor-Demerson),6.280,5.910
2,1:28,2,1,ARI 1,3,0,Zach Charbonnet left guard for -2 yards (tackle by Krys Barnes and Budda Baker),5.910,4.720
2,1:17,,,,,,Timeout #2 by Arizona Cardinals,,
2,1:17,3,3,ARI 3,3,6,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards touchdown,4.720,7.000
2,1:14,,,ARI 15,3,7,Jason Myers kicks extra point good,0.000,0.000
2,1:14,,,SEA 35,3,7,Jason Myers kicks off 64 yards returned by Greg Dortch for 19 yards (tackle by Jake Bobo and Cody White),0.000,0.280
2,1:07,1,10,ARI 20,3,7,Kyler Murray sacked by and Leonard Williams for -8 yards and Jarran Reed for -8 yards,0.280,-1.360
2,1:00,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:00,2,18,ARI 12,3,7,Kyler Murray pass incomplete short right,-1.360,-2.360
2,0:56,3,18,ARI 12,3,7,Emari Demercado right end for 14 yards (tackle by Derick Hall and Rayshawn Jenkins),-2.360,-1.630
2,0:50,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:50,4,4,ARI 26,3,7,Blake Gillikin punts 49 yards downed by Joey Blount,-1.630,-0.610
2,0:39,1,10,SEA 25,3,7,Geno Smith pass incomplete short middle intended for AJ Barner (defended by Zaven Collins),0.610,0.060
2,0:36,2,10,SEA 25,3,7,Geno Smith pass complete short left to AJ Barner for 5 yards (tackle by Owen Pappoe),0.060,0.040
2,0:17,3,5,SEA 30,3,7,Geno Smith pass complete short middle to Kenneth Walker for 8 yards (tackle by Starling Thomas),0.040,1.470
2,0:09,1,10,SEA 38,3,7,Geno Smith pass incomplete deep right,1.470,0.920
2,0:02,2,10,SEA 38,3,7,Geno Smith kneels for -1 yards,0.920,0.100
3,15:00,,,ARI 35,3,7,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,SEA 30,3,7,Geno Smith pass complete short middle to Pharaoh Brown for 6 yards (tackle by Budda Baker),0.940,1.200
3,14:20,2,4,SEA 36,3,7,Kenneth Walker right end for 4 yards (tackle by Sean Murphy-Bunting),1.200,1.600
3,13:38,1,10,SEA 40,3,7,Geno Smith pass incomplete deep left intended for Tyler Lockett. Penalty on Starling Thomas: Defensive Pass Interference 20 yards (accepted) (no play),1.600,2.920
3,13:30,1,10,ARI 40,3,7,Kenneth Walker right guard for 5 yards (tackle by Baron Browning and Kyzir White),2.920,3.050
3,13:02,2,5,ARI 35,3,7,Geno Smith pass complete short left to Tyler Lockett for 3 yards (tackle by Budda Baker),3.050,2.740
3,12:17,3,2,ARI 32,3,7,Geno Smith sacked by Zaven Collins for -9 yards. Geno Smith fumbles (forced by Zaven Collins) recovered by Geno Smith at ARI-41,2.740,0.530
3,11:49,4,11,ARI 41,3,7,Michael Dickson punts 38 yards downed by Tre Brown. Penalty on Pharaoh Brown: Unsportsmanlike Conduct / Offense 15 yards (accepted),0.530,-0.040
3,11:29,1,10,ARI 18,3,7,Kyler Murray pass complete short right to Trey McBride for 13 yards (tackle by Riq Woolen),0.040,1.000
3,10:48,1,10,ARI 31,3,7,James Conner left end for 1 yard (tackle by Ernest Jones). Penalty on Tip Reiman: Offensive Holding 10 yards (accepted),1.000,0.410
3,10:32,1,19,ARI 22,3,7,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Tyrice Knight),0.410,0.730
3,9:58,2,8,ARI 33,3,7,Kyler Murray pass complete short left to Trey McBride for 18 yards (tackle by Coby Bryant),0.730,2.320
