Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Cowboys to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Austin Seibert kicks off 68 yards returned by KaVontae Turpin for 38 yards (tackle by Quan Martin and Jordan Magee),0.000,1.270
1,14:54,1,10,DAL 35,0,0,Cooper Rush pass complete short left to CeeDee Lamb for 8 yards (tackle by Mike Sainristil),1.270,1.800
1,14:19,2,2,DAL 43,0,0,Cooper Rush pass complete short right to CeeDee Lamb for 11 yards (tackle by Frankie Luvu and Clelin Ferrell),1.800,2.520
1,13:42,1,10,WAS 46,0,0,Cooper Rush pass complete short right to Luke Schoonmaker for 24 yards (tackle by Noah Igbinoghene),2.520,4.110
1,13:04,1,10,WAS 22,0,0,Penalty on Jer'Zhan Newton: Encroachment 5 yards (accepted) (no play),4.110,4.970
1,12:50,1,5,WAS 17,0,0,Rico Dowdle right guard for 4 yards (tackle by Frankie Luvu),4.970,5.060
1,12:19,2,1,WAS 13,0,0,Cooper Rush pass complete short middle to CeeDee Lamb for -4 yards (tackle by Dorance Armstrong),5.060,3.560
1,11:40,,,,,,Timeout #1 by Washington Commanders,,
1,11:40,3,5,WAS 17,0,0,Cooper Rush pass incomplete short middle intended for Jalen Tolbert (defended by Michael Davis),3.560,2.360
1,11:36,4,5,WAS 17,0,0,Brandon Aubrey 35 yard field goal no good blocked by Quan Martin (tackle by Asim Richards),2.360,-2.920
1,11:25,1,10,DAL 40,0,0,Brian Robinson right tackle for -2 yards (tackle by Osa Odighizuwa),2.920,2.100
1,11:00,2,12,DAL 42,0,0,Jayden Daniels pass incomplete short right,2.100,1.420
1,10:54,3,12,DAL 42,0,0,Jayden Daniels left end for 16 yards (tackle by Eric Kendricks),1.420,3.840
1,10:22,1,10,DAL 26,0,0,Austin Ekeler right end for 3 yards (tackle by Osa Odighizuwa and Mazi Smith),3.840,3.700
1,9:49,2,7,DAL 23,0,0,Jayden Daniels pass complete short middle to Austin Ekeler for no gain (tackle by Jourdan Lewis),3.700,3.010
1,9:10,3,7,DAL 23,0,0,Jayden Daniels pass incomplete short right intended for Zach Ertz,3.010,1.930
1,9:04,4,7,DAL 23,0,3,Austin Seibert 41 yard field goal good,1.930,3.000
1,9:01,,,WAS 35,0,3,Austin Seibert kicks off 62 yards returned by KaVontae Turpin for 29 yards (tackle by Mykal Walker and Jeremy Reaves),0.000,1.070
1,8:55,1,10,DAL 32,0,3,Rico Dowdle left guard for 3 yards (tackle by Frankie Luvu),1.070,0.930
1,8:14,2,7,DAL 35,0,3,Rico Dowdle up the middle for 4 yards (tackle by Dante Fowler and Daron Payne),0.930,0.760
1,7:38,3,3,DAL 39,0,3,Rico Dowdle up the middle for 9 yards (tackle by Bobby Wagner),0.760,2.130
1,7:02,1,10,DAL 48,0,3,Cooper Rush pass complete short left to CeeDee Lamb for 7 yards (tackle by Dante Fowler and Sheldon Day),2.130,2.530
1,6:18,2,3,WAS 45,0,3,Rico Dowdle left end for 3 yards (tackle by Benjamin St-Juste and Sheldon Day),2.530,2.790
1,5:36,1,10,WAS 42,0,3,Cooper Rush pass complete short left to CeeDee Lamb for 13 yards (tackle by Jeremy Chinn),2.790,3.640
1,4:59,1,10,WAS 29,0,3,Cooper Rush pass incomplete short middle intended for Luke Schoonmaker (defended by Frankie Luvu),3.640,3.100
1,4:56,2,10,WAS 29,0,3,Cooper Rush pass complete short left to Jonathan Mingo for 8 yards (tackle by Benjamin St-Juste),3.100,3.470
1,4:23,3,2,WAS 21,0,3,Rico Dowdle right end for -3 yards (tackle by Bobby Wagner and Frankie Luvu),3.470,1.920
1,3:43,4,5,WAS 24,0,3,Brandon Aubrey 42 yard field goal no good,1.920,-1.070
1,3:39,1,10,WAS 32,0,3,Jayden Daniels right end for 7 yards (tackle by Josh Butler),1.070,1.470
1,3:08,2,3,WAS 39,0,3,Brian Robinson up the middle for 7 yards (tackle by Malik Hooker and DaRon Bland),1.470,1.990
1,2:40,1,10,WAS 46,0,3,Dyami Brown left end for 14 yards (tackle by Jourdan Lewis and Malik Hooker),1.990,2.920
1,2:03,1,10,DAL 40,0,3,Brian Robinson right guard for 6 yards (tackle by Micah Parsons and Mazi Smith),2.920,3.180
1,1:26,2,4,DAL 34,0,3,Brian Robinson right guard for 2 yards (tackle by Micah Parsons and Donovan Wilson),3.180,2.740
1,0:55,3,2,DAL 32,0,3,Jayden Daniels pass incomplete short right intended for Noah Brown (defended by Josh Butler),2.740,1.300
1,0:48,4,2,DAL 32,0,3,Austin Seibert 51 yard field goal no good,1.300,-1.660
1,0:45,1,10,DAL 41,0,3,Rico Dowdle left guard for 6 yards. Rico Dowdle fumbles (tackle by Bobby Wagner) recovered by Bobby Wagner at DAL-47,1.660,-2.460
1,0:31,1,10,DAL 47,0,3,Jayden Daniels pass incomplete deep left intended for Terry McLaurin (defended by Jourdan Lewis),2.460,1.910
1,0:24,2,10,DAL 47,0,3,Jayden Daniels pass complete short right to Zach Ertz for 3 yards (tackle by Josh Butler),1.910,1.620
2,15:00,3,7,DAL 44,0,3,Jayden Daniels pass incomplete short right,1.620,0.330
2,14:54,4,7,DAL 44,0,3,Tress Way punts 38 yards fair catch by KaVontae Turpin at DAL-6,0.330,0.380
2,14:46,1,10,DAL 6,0,3,Cooper Rush pass complete short left to Brevyn Spann-Ford for 6 yards (tackle by Frankie Luvu and Bobby Wagner),-0.380,-0.340
2,14:08,2,4,DAL 12,0,3,Rico Dowdle left tackle for 3 yards (tackle by Michael Davis),-0.340,-0.370
2,13:26,3,1,DAL 15,0,3,Rico Dowdle left guard for -1 yards (tackle by Bobby Wagner) (no play),-0.370,0.340
2,13:10,1,10,DAL 21,0,3,Ezekiel Elliott left guard for 4 yards (tackle by Dorance Armstrong),0.340,0.340
2,12:34,2,6,DAL 25,0,3,Cooper Rush pass complete short right to KaVontae Turpin for 8 yards (tackle by Mike Sainristil and Noah Igbinoghene),0.340,1.140
2,12:01,1,10,DAL 33,0,3,Cooper Rush pass incomplete short middle intended for CeeDee Lamb (defended by Frankie Luvu),1.140,0.590
2,11:55,2,10,DAL 33,0,3,Cooper Beebe aborted snap recovered by Cooper Rush at DAL-21,0.590,-1.680
2,11:12,3,22,DAL 21,0,3,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Frankie Luvu),-1.680,-1.960
2,11:08,4,22,DAL 21,0,3,Bryan Anger punts 56 yards returned by Olamide Zaccheaus for 19 yards (tackle by Luke Schoonmaker),-1.960,-1.730
2,10:55,1,10,WAS 42,0,3,Jayden Daniels pass complete short middle to Noah Brown for 3 yards (tackle by Eric Kendricks),1.730,1.590
2,10:21,2,7,WAS 45,0,3,Penalty on Zach Ertz: False Start 5 yards (accepted) (no play),1.590,0.920
2,10:04,2,12,WAS 40,0,3,Jayden Daniels pass complete short right to Noah Brown for 13 yards (tackle by Josh Butler),0.920,2.460
2,9:35,1,10,DAL 47,0,3,Jayden Daniels sacked by Micah Parsons for -1 yards,2.460,1.780
