Quarter,Time,Down,ToGo,Location,DEN,LVR,Detail,EPB,EPA
,,,,,,,Broncos won the coin toss and deferred Raiders to receive the opening kickoff.,,
1,15:00,,,DEN 35,0,0,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LVR 30,0,0,Gardner Minshew aborted snap recovered by Gardner Minshew at LV-27 and returned for -3 yards,0.940,-0.010
1,14:21,2,13,LVR 27,0,0,Gardner Minshew pass complete short right to Brock Bowers for 7 yards (tackle by Brandon Jones),-0.010,0.230
1,13:43,3,6,LVR 34,0,0,Gardner Minshew pass complete short left to Jakobi Meyers for 17 yards (tackle by P.J. Locke),0.230,2.320
1,12:59,1,10,DEN 49,0,0,Gardner Minshew pass incomplete short middle,2.320,1.780
1,12:55,2,10,DEN 49,0,0,Gardner Minshew pass complete short left to Ameer Abdullah for 7 yards (tackle by Cody Barton),1.780,2.020
1,12:21,3,3,DEN 42,0,0,Gardner Minshew pass incomplete short right intended for Brock Bowers,2.020,0.460
1,12:16,4,3,DEN 42,0,0,AJ Cole punts 31 yards fair catch by Marvin Mims at DEN-11,0.460,0.370
1,12:09,1,10,DEN 11,0,0,Bo Nix pass incomplete deep left intended for Troy Franklin,-0.370,-0.780
1,12:04,2,10,DEN 11,0,0,Bo Nix pass complete deep left to Devaughn Vele for 23 yards (tackle by Isaiah Pola-Mao),-0.780,1.200
1,11:30,1,10,DEN 34,0,0,Bo Nix pass incomplete short right intended for Javonte Williams (defended by Jonah Laulu),1.200,0.660
1,11:24,2,10,DEN 34,0,0,Javonte Williams up the middle for no gain (tackle by Tyree Wilson and Robert Spillane). Penalty on Mike McGlinchey: Offensive Holding 10 yards (accepted) (no play),0.660,-0.690
1,11:00,2,20,DEN 24,0,0,Javonte Williams up the middle for 7 yards (tackle by Maxx Crosby and Isaiah Pola-Mao),-0.690,-0.430
1,10:32,3,13,DEN 31,0,0,Bo Nix pass complete deep left to Courtland Sutton for 17 yards (tackle by Decamerion Richardson),-0.430,2.130
1,10:08,1,10,DEN 48,0,0,Bo Nix pass incomplete deep right intended for Troy Franklin,2.130,1.580
1,9:59,2,10,DEN 48,0,0,Javonte Williams left tackle for 1 yard (tackle by Darnay Holmes),1.580,1.020
1,9:24,3,9,DEN 49,0,0,Bo Nix pass incomplete deep right intended for Lil'Jordan Humphrey (defended by Jack Jones),1.020,-0.130
1,9:16,4,9,DEN 49,0,0,Riley Dixon punts 43 yards fair catch by DJ Turner at LV-8,-0.130,0.380
1,9:09,1,10,LVR 8,0,0,Ameer Abdullah left guard for 5 yards (tackle by John Franklin-Myers and Malcolm Roach),-0.380,-0.410
1,8:36,2,5,LVR 13,0,0,Gardner Minshew pass complete short middle to DJ Turner for 1 yard (tackle by Cody Barton). Penalty on Jackson Powers-Johnson: Unnecessary Roughness / Offense 7 yards (accepted),-0.410,-1.540
1,8:06,3,11,LVR 7,0,0,Gardner Minshew pass incomplete short left,-1.540,-2.490
1,8:04,4,11,LVR 7,0,0,AJ Cole punts 60 yards out of bounds,-2.490,-1.140
1,7:54,1,10,DEN 33,0,0,Jaleel McLaughlin right guard for 11 yards (tackle by Isaiah Pola-Mao and Thomas Harper),1.140,1.860
1,7:00,1,10,DEN 44,0,0,Jaleel McLaughlin left tackle for 7 yards (tackle by Zachary Carter). Penalty on Mike McGlinchey: Offensive Holding 10 yards (accepted) (no play),1.860,1.200
1,6:42,,,,,,Timeout #1 by Denver Broncos,,
