Quarter,Time,Down,ToGo,Location,DET,IND,Detail,EPB,EPA
,,,,,,,Colts won the coin toss Colts to receive the opening kickoff.,,
1,15:00,,,DET 35,0,0,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,IND 30,0,0,Anthony Richardson pass complete short right to Josh Downs for 9 yards (tackle by Brian Branch),0.940,1.610
1,14:24,2,1,IND 39,0,0,Anthony Richardson right guard for 10 yards (tackle by Brian Branch),1.610,2.190
1,13:46,1,10,IND 49,0,0,Jonathan Taylor left tackle for 2 yards (tackle by Jack Campbell),2.190,1.920
1,13:09,2,8,DET 49,0,0,Anthony Richardson pass complete short middle to Josh Downs for 11 yards (tackle by Kerby Joseph),1.920,3.050
1,12:28,1,10,DET 38,0,0,Jonathan Taylor left end for 8 yards (tackle by Jack Campbell),3.050,3.590
1,11:46,2,2,DET 30,0,0,Jonathan Taylor right guard for 1 yard (tackle by Malcolm Rodriguez and Josh Paschal),3.590,3.010
1,11:05,3,1,DET 29,0,0,Anthony Richardson left guard for 17 yards (tackle by Jack Campbell and Kerby Joseph),3.010,4.780
1,10:22,1,10,DET 12,0,0,Anthony Richardson left end for 8 yards (tackle by Zeke Turner),4.780,5.600
1,9:42,2,2,DET 4,0,0,Jonathan Taylor right tackle for no gain (tackle by Malcolm Rodriguez),5.600,4.840
1,9:07,3,2,DET 4,0,0,Anthony Richardson pass incomplete short left. Penalty on Quenton Nelson: Ineligible Downfield Pass 5 yards (accepted) (no play),4.840,3.700
1,9:01,3,7,DET 9,0,0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,3.700,2.830
1,8:56,4,7,DET 9,0,3,Matt Gay 27 yard field goal good,2.830,3.000
1,8:53,,,IND 35,0,3,Matt Gay kicks off 65 yards touchback.,0.000,0.940
1,8:53,1,10,DET 30,0,3,David Montgomery up the middle for 2 yards (tackle by DeForest Buckner and Samuel Womack),0.940,0.660
