Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
,,,,,,,Dolphins won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,MIA 35,0,0,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NWE 30,0,0,Rhamondre Stevenson left guard for 1 yard (tackle by Benito Jones),0.940,0.530
1,14:25,2,9,NWE 31,0,0,Drake Maye pass complete short left to Hunter Henry for 6 yards (tackle by Kader Kohou),0.530,0.630
1,13:41,3,3,NWE 37,0,0,Penalty on Vederian Lowe: False Start 5 yards (accepted) (no play),0.630,-0.030
1,13:23,3,8,NWE 32,0,0,Drake Maye pass complete short right to Ja'Lynn Polk for 7 yards (tackle by Anthony Walker),-0.030,-0.780
1,12:44,4,1,NWE 39,0,0,Bryce Baringer punts 57 yards returned by Malik Washington for 13 yards (tackle by Jaylinn Hawkins),-0.780,0.060
1,12:22,1,10,MIA 17,0,0,Tua Tagovailoa pass complete short left to Jonnu Smith for 11 yards (tackle by Marcus Jones),-0.060,0.810
1,11:49,1,10,MIA 28,0,0,De'Von Achane right tackle for 7 yards (tackle by Marcus Jones and Marte Mapu),0.810,1.210
1,11:24,2,3,MIA 35,0,0,De'Von Achane left tackle for 1 yard (tackle by Anfernee Jennings),1.210,0.630
1,10:50,3,2,MIA 36,0,0,Tua Tagovailoa pass incomplete short left intended for Jonnu Smith (defended by Marte Mapu),0.630,-0.980
1,10:40,4,2,MIA 36,0,0,Jake Bailey punts 51 yards fair catch by Marcus Jones at NE-13,-0.980,0.320
1,10:33,1,10,NWE 13,0,0,Drake Maye scrambles right end for 6 yards (tackle by Jordyn Brooks),-0.320,0.030
1,9:54,2,4,NWE 19,0,0,Rhamondre Stevenson right guard for 9 yards (tackle by Jordan Poyer),0.030,0.810
1,9:13,1,10,NWE 28,0,0,Penalty on Demontrey Jacobs: False Start 5 yards (accepted) (no play),0.810,0.480
1,9:11,1,15,NWE 23,0,0,Rhamondre Stevenson right tackle for 4 yards (tackle by Zach Sieler),0.480,0.130
1,8:26,2,11,NWE 27,0,0,Penalty on Vederian Lowe: False Start 5 yards (accepted) (no play),0.130,-0.550
1,8:10,2,16,NWE 22,0,0,Antonio Gibson right guard for 14 yards (tackle by Jordan Poyer),-0.550,0.630
1,7:29,3,2,NWE 36,0,0,Drake Maye pass complete short right to Antonio Gibson for 14 yards (tackle by Jordan Poyer),0.630,2.260
1,6:48,1,10,MIA 50,0,0,Drake Maye pass complete short middle to Austin Hooper for 11 yards (tackle by Jordyn Brooks and Anthony Walker),2.260,2.980
1,6:13,1,10,MIA 39,0,0,Drake Maye scrambles right end for 9 yards (tackle by Jordan Poyer),2.980,3.660
1,5:28,2,1,MIA 30,0,0,Antonio Gibson right tackle for 6 yards (tackle by Chop Robinson and Kader Kohou),3.660,3.970
1,4:53,1,10,MIA 24,0,0,Antonio Gibson right tackle for 4 yards (tackle by Benito Jones),3.970,3.970
1,4:13,2,6,MIA 20,0,0,Drake Maye pass incomplete deep right intended for Austin Hooper (defended by Anthony Walker). Penalty on Demontrey Jacobs: Offensive Holding 10 yards (accepted) (no play),3.970,2.620
1,4:03,2,16,MIA 30,0,0,Drake Maye pass incomplete short right intended for Rhamondre Stevenson,2.620,1.950
1,3:54,3,16,MIA 30,0,0,Rhamondre Stevenson right guard for 3 yards (tackle by Chop Robinson and Calais Campbell),1.950,1.670
1,3:13,4,13,MIA 27,0,0,Joey Slye 45 yard field goal no good,1.670,-1.270
1,3:07,1,10,MIA 35,0,0,Tua Tagovailoa pass complete short left to Jonnu Smith for 12 yards (tackle by Jaylinn Hawkins and Jahlani Tavai),1.270,2.060
1,2:30,1,10,MIA 47,0,0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 24 yards (tackle by Jonathan Jones),2.060,3.640
1,1:48,1,10,NWE 29,0,0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 10 yards (tackle by Jonathan Jones),3.640,4.310
1,1:21,1,10,NWE 19,0,0,De'Von Achane right tackle for no gain (tackle by Daniel Ekuale),4.310,3.750
1,0:39,2,10,NWE 19,0,0,Tua Tagovailoa pass complete short right to Jonnu Smith for 7 yards (tackle by Kyle Dugger),3.750,4.190
1,0:08,3,3,NWE 12,0,0,Penalty on Anfernee Jennings: Neutral Zone Infraction 5 yards (accepted) (no play),4.190,5.600
2,15:00,1,7,NWE 7,0,0,Jonnu Smith left end for no gain (tackle by Christian Elliss),5.600,4.760
2,14:25,2,7,NWE 7,0,0,Tua Tagovailoa pass incomplete short middle intended for Odell Beckham (defended by Christian Gonzalez),4.760,3.810
2,14:16,3,7,NWE 7,0,6,Tua Tagovailoa pass complete short middle to Jonnu Smith for 7 yards touchdown,3.810,7.000
2,14:10,,,NWE 15,0,7,Jason Sanders kicks extra point good,0.000,0.000
2,14:10,,,MIA 35,0,7,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,14:10,1,10,NWE 30,0,7,Rhamondre Stevenson right end for -6 yards (tackle by Jordyn Brooks),0.940,-0.420
2,13:32,2,16,NWE 24,0,7,Drake Maye pass incomplete deep right intended for Kayshon Boutte,-0.420,-1.090
2,13:25,3,16,NWE 24,0,7,Drake Maye sacked by Chop Robinson for -9 yards,-1.090,-2.440
2,12:47,4,25,NWE 15,0,7,Bryce Baringer punts 53 yards returned by Malik Washington for 2 yards (tackle by Marcellas Dial and Dell Pettus),-2.440,-1.200
2,12:37,1,10,MIA 34,0,7,De'Von Achane left end for 7 yards (tackle by Anfernee Jennings and Jahlani Tavai),1.200,1.600
2,12:08,2,3,MIA 41,0,7,Tua Tagovailoa pass complete short left to Jonnu Smith for 13 yards (tackle by Marcus Jones),1.600,2.520
2,11:26,1,10,NWE 46,0,7,De'Von Achane right end for 5 yards (tackle by Jahlani Tavai and Eric Johnson),2.520,2.650
2,10:48,2,5,NWE 41,0,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 17 yards (tackle by Marcus Jones and Kyle Dugger),2.650,3.970
2,10:10,1,10,NWE 24,0,7,Tua Tagovailoa pass incomplete deep right intended for De'Von Achane (defended by Christian Elliss),3.970,3.430
2,9:56,2,10,NWE 24,0,7,Tua Tagovailoa pass complete short left to Malik Washington for 1 yard (tackle by Jonathan Jones),3.430,2.870
2,9:17,3,9,NWE 23,0,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 14 yards (tackle by Christian Gonzalez),2.870,5.140
2,8:37,1,9,NWE 9,0,7,Raheem Mostert left guard for no gain (tackle by Jaylinn Hawkins and Sione Takitaki),5.140,4.380
2,7:55,2,9,NWE 9,0,13,Tua Tagovailoa pass complete short left to De'Von Achane for 9 yards touchdown,4.380,7.000
2,7:50,,,NWE 15,0,14,Jason Sanders kicks extra point good,0.000,0.000
2,7:50,,,MIA 35,0,14,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,7:50,1,10,NWE 30,0,14,Drake Maye pass complete short left to Rhamondre Stevenson for no gain (tackle by Calais Campbell). Penalty on Vederian Lowe: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
2,7:33,1,20,NWE 20,0,14,Drake Maye pass complete short right to Kayshon Boutte for 6 yards (tackle by Cam Smith),0.280,-0.150
2,6:58,2,14,NWE 26,0,14,Drake Maye pass complete short right to Demario Douglas for 5 yards (tackle by Kader Kohou),-0.150,-0.160
2,6:19,3,9,NWE 31,0,14,Drake Maye pass incomplete short middle intended for Demario Douglas,-0.160,-1.310
2,6:12,4,9,NWE 31,0,14,Bryce Baringer punts 69 yards touchback.,-1.310,-0.280
2,6:03,1,10,MIA 20,0,14,De'Von Achane left tackle for 2 yards (tackle by Dell Pettus and Yannick Ngakoue),0.280,0.000
2,5:25,2,8,MIA 22,0,14,Tua Tagovailoa pass incomplete short middle intended for Julian Hill,0.000,-0.690
2,5:19,3,8,MIA 22,0,14,Tua Tagovailoa pass complete short left to Jaylen Waddle for 15 yards (tackle by Marcus Jones),-0.690,1.400
2,4:41,1,10,MIA 37,0,14,Malik Washington right end for 2 yards (tackle by Anfernee Jennings),1.400,1.130
2,3:54,,,,,,Timeout #1 by Miami Dolphins,,
2,3:54,2,8,MIA 39,0,14,Jaylen Wright left end for 10 yards (tackle by Christian Elliss),1.130,2.190
2,3:12,1,10,MIA 49,0,14,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 19 yards (tackle by Marcus Jones). Penalty on Marcus Jones: Defensive Holding 5 yards (declined) NWE challenged the pass completion ruling and the play was upheld.,2.190,3.450
2,2:56,1,10,NWE 32,0,14,Tua Tagovailoa pass complete short right to Jonnu Smith for 14 yards (tackle by Anfernee Jennings and Jonathan Jones),3.450,4.370
2,2:17,1,10,NWE 18,0,14,Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by Jahlani Tavai),4.370,3.800
2,2:00,2,10,NWE 18,0,14,Tua Tagovailoa pass complete short left to Jonnu Smith for 7 yards (tackle by Christian Elliss),3.800,4.260
2,1:55,,,,,,Timeout #2 by New England Patriots,,
2,1:55,3,3,NWE 11,0,20,Tua Tagovailoa pass complete short right to De'Von Achane for 11 yards touchdown,4.260,7.000
2,1:50,,,NWE 15,0,21,Jason Sanders kicks extra point good,0.000,0.000
2,1:50,,,MIA 35,0,21,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
2,1:50,1,10,NWE 30,0,21,Drake Maye pass incomplete short left,0.940,0.390
2,1:46,2,10,NWE 30,0,21,Drake Maye sacked by Chop Robinson for no gain. Drake Maye fumbles (forced by Chop Robinson) recovered by Chop Robinson at NE-24 Replay Assistant challenged the fumble ruling and the original play was overturned. Drake Maye pass incomplete short middle intended for Demario Douglas (defended by Chop Robinson),0.390,-0.300
2,1:42,3,10,NWE 30,0,21,Penalty on Vederian Lowe: False Start 5 yards (accepted) (no play),-0.300,-0.960
2,1:42,3,15,NWE 25,0,21,Drake Maye sacked by and Chop Robinson for -5 yards and Emmanuel Ogbah for -5 yards,-0.960,-2.030
2,1:36,,,,,,Timeout #2 by Miami Dolphins,,
2,1:36,4,20,NWE 20,0,21,Bryce Baringer punts 39 yards out of bounds,-2.030,-1.660
2,1:28,1,10,MIA 41,0,21,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 29 yards (tackle by Marcus Jones),1.660,3.580
2,0:52,1,10,NWE 30,0,21,Tua Tagovailoa pass complete short right to Tyreek Hill for 7 yards (tackle by Keion White),3.580,3.980
2,0:30,2,3,NWE 23,0,21,Tua Tagovailoa pass complete deep right to Tyreek Hill for 20 yards,3.980,6.510
2,0:19,,,,,,Timeout #3 by Miami Dolphins,,
2,0:19,1,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short right intended for Tyreek Hill (defended by Marcus Jones),6.510,5.530
2,0:14,,,,,,Timeout #3 by New England Patriots,,
2,0:14,2,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short middle intended for Jonnu Smith (defended by Marte Mapu),5.530,4.720
2,0:08,3,3,NWE 3,0,21,Tua Tagovailoa pass incomplete short middle intended for Jaylen Waddle,4.720,3.040
2,0:05,4,3,NWE 3,0,24,Jason Sanders 21 yard field goal good,3.040,3.000
2,0:02,,,MIA 35,0,24,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
