Quarter,Time,Down,ToGo,Location,PIT,CLE,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Steelers to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 54 yards returned by Cordarrelle Patterson for 10 yards (tackle by D'Anthony Bell),0.000,0.340
1,14:57,1,10,PIT 21,0,0,Najee Harris right tackle for -1 yards (tackle by Shelby Harris),0.340,-0.340
1,14:15,2,11,PIT 20,0,0,Jaylen Warren up the middle for 15 yards (tackle by Juan Thornhill),-0.340,1.270
1,13:38,1,10,PIT 35,0,0,Russell Wilson pass complete short right to Darnell Washington for 6 yards (tackle by Ogbonnia Okoronkwo and Devin Bush),1.270,1.530
1,13:00,2,4,PIT 41,0,0,Russell Wilson pass complete short left to George Pickens for 3 yards (tackle by Martin Emerson),1.530,1.220
1,12:17,3,1,PIT 44,0,0,Penalty on Darnell Washington: False Start 5 yards (accepted) (no play),1.220,0.560
1,11:55,3,6,PIT 39,0,0,Russell Wilson pass complete short right to Pat Freiermuth for 22 yards (tackle by Juan Thornhill),0.560,2.980
1,11:20,1,10,CLE 39,0,0,Jaylen Warren left guard for 7 yards (tackle by Juan Thornhill and Mohamoud Diabate),2.980,3.390
1,10:41,2,3,CLE 32,0,0,Russell Wilson left end for no gain (tackle by Elerson Smith),3.390,2.680
1,10:03,3,3,CLE 32,0,0,Russell Wilson sacked by Myles Garrett for -8 yards,2.680,0.590
1,9:18,4,11,CLE 40,0,0,Chris Boswell 58 yard field goal no good,0.590,-2.130
1,9:12,1,10,CLE 48,0,0,Jameis Winston pass incomplete short left intended for David Njoku (defended by Cameron Heyward),2.130,1.580
1,9:09,2,10,CLE 48,0,0,Nick Chubb left guard for 3 yards (tackle by Cameron Heyward and Payton Wilson),1.580,1.290
1,8:28,3,7,PIT 49,0,0,Penalty on Joel Bitonio: False Start 5 yards (accepted) (no play),1.290,0.630
1,8:16,3,12,CLE 46,0,0,Jameis Winston pass complete short right to Jerome Ford for 8 yards (tackle by Cameron Sutton and Patrick Queen),0.630,0.200
1,7:41,4,4,PIT 46,0,0,Corey Bojorquez punts 12 yards out of bounds. Penalty on Damontae Kazee: Unnecessary Roughness / Defense 15 yards (accepted),0.200,-0.150
1,7:35,1,10,PIT 19,0,0,Penalty on Connor Heyward: False Start 5 yards (accepted) (no play),0.150,-0.390
1,7:35,1,15,PIT 14,0,0,Najee Harris left tackle for 11 yards (tackle by Martin Emerson),-0.390,0.480
1,6:59,2,4,PIT 25,0,0,Russell Wilson sacked by Jordan Hicks for -2 yards,0.480,-0.550
1,6:18,3,6,PIT 23,0,0,Russell Wilson pass complete deep right to George Pickens for 31 yards (tackle by Denzel Ward),-0.550,2.520
1,5:39,1,10,CLE 46,0,0,Jaylen Warren up the middle for 4 yards (tackle by Mohamoud Diabate),2.520,2.520
1,5:00,2,6,CLE 42,0,0,Najee Harris left guard for no gain (tackle by Grant Delpit),2.520,1.820
1,4:16,3,6,CLE 42,0,0,Russell Wilson pass complete short right to Van Jefferson for 4 yards (tackle by Ronnie Hickman),1.820,0.720
1,3:30,4,2,CLE 38,0,0,Justin Fields right tackle for -2 yards (tackle by Grant Delpit and Myles Garrett),0.720,-1.600
1,3:25,1,10,CLE 40,0,0,Nick Chubb left tackle for 6 yards (tackle by DeShon Elliott),1.600,1.860
1,2:48,2,4,CLE 46,0,0,Nick Chubb left guard for 2 yards (tackle by Elandon Roberts and DeShon Elliott),1.860,1.420
1,2:15,3,2,CLE 48,0,0,Jameis Winston pass incomplete short right intended for Cedric Tillman,1.420,-0.190
1,2:10,4,2,CLE 48,0,0,Corey Bojorquez punts 41 yards downed by Pierre Strong,-0.190,0.370
1,2:01,1,10,PIT 11,0,0,Najee Harris right tackle for 4 yards (tackle by Maurice Hurst),-0.370,-0.430
1,1:23,2,6,PIT 15,0,0,Russell Wilson pass complete short left to Darnell Washington for 4 yards (tackle by Devin Bush and Ogbonnia Okoronkwo),-0.430,-0.480
1,0:42,3,2,PIT 19,0,0,Russell Wilson pass complete short right to George Pickens for 7 yards (tackle by Denzel Ward),-0.480,0.670
2,15:00,1,10,PIT 26,0,0,Jaylen Warren right end for no gain (tackle by Mohamoud Diabate),0.670,0.130
2,14:18,2,10,PIT 26,0,0,Jaylen Warren up the middle for 1 yard (tackle by Grant Delpit and Shelby Harris),0.130,-0.430
2,13:35,3,9,PIT 27,0,0,Russell Wilson pass complete deep middle to Calvin Austin for 46 yards (tackle by Grant Delpit),-0.430,3.780
