Quarter,Time,Down,ToGo,Location,SFO,GNB,Detail,EPB,EPA
,,,,,,,49ers won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,SFO 35,0,0,Jake Moody kicks off 53 yards returned by Corey Ballentine for 21 yards (tackle by George Odum),0.000,1.140
1,14:56,1,10,GNB 33,0,0,Jordan Love pass incomplete short left intended for Romeo Doubs (defended by Isaac Yiadom),1.140,0.590
1,14:53,2,10,GNB 33,0,0,Josh Jacobs left guard for 18 yards (tackle by Deommodore Lenoir and Malik Mustapha),0.590,2.320
1,14:10,1,10,SFO 49,0,0,Josh Jacobs up the middle for 2 yards (tackle by Jordan Elliott),2.320,2.050
1,13:32,2,8,SFO 47,0,0,Josh Jacobs right tackle for 10 yards (tackle by Renardo Green and Ji'Ayir Brown),2.050,3.120
1,12:51,1,10,SFO 37,0,0,Josh Jacobs up the middle for no gain (tackle by Fred Warner and De'Vondre Campbell),3.120,2.570
1,12:11,2,10,SFO 37,0,0,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Deommodore Lenoir and Isaac Yiadom),2.570,2.680
1,11:28,3,4,SFO 31,0,0,Jordan Love pass complete short right to Jayden Reed for 7 yards (tackle by Renardo Green),2.680,3.970
1,10:55,1,10,SFO 24,0,0,Josh Jacobs left end for 9 yards (tackle by Isaac Yiadom),3.970,4.850
1,10:14,2,1,SFO 15,0,0,Josh Jacobs right tackle for no gain (tackle by Ji'Ayir Brown and Malik Mustapha),4.850,4.170
1,9:27,3,1,SFO 15,0,0,Emanuel Wilson left tackle for 1 yard (tackle by Deommodore Lenoir and Yetur Gross-Matos),4.170,4.650
1,8:43,1,10,SFO 14,0,0,Christian Watson left end for no gain (tackle by Fred Warner and Dee Winters). Penalty on Elgton Jenkins: Offensive Holding 10 yards (accepted) (no play),4.650,3.970
1,8:16,1,20,SFO 24,0,0,Jordan Love pass complete short left to Jayden Reed for 13 yards (tackle by Ji'Ayir Brown),3.970,4.520
1,7:42,2,7,SFO 11,0,6,Jordan Love pass complete short right to Tucker Kraft for 11 yards touchdown,4.520,7.000
1,7:35,,,SFO 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,7:35,,,GNB 35,0,7,Brandon McManus kicks off 62 yards returned by Jordan Mason for 29 yards (tackle by Eric Wilson),0.000,1.070
