Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Buccaneers to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,TAM 30,0,0,Baker Mayfield pass incomplete short right intended for Cade Otton,0.940,0.390
1,14:55,2,10,TAM 30,0,0,Baker Mayfield pass complete short right to Sterling Shepard for 7 yards (tackle by Micah McFadden and Jason Pinnock),0.390,0.630
1,14:17,3,3,TAM 37,0,0,Baker Mayfield pass complete short middle to Jalen McMillan for 11 yards (tackle by Jason Pinnock),0.630,2.130
1,13:44,1,10,TAM 48,0,0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Deonte Banks and Andru Phillips),2.130,2.800
1,13:04,2,1,NYG 43,0,0,Rachaad White left end for -1 yards (tackle by Kayvon Thibodeaux and Dexter Lawrence),2.800,1.950
1,12:17,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
1,12:17,3,2,NYG 44,0,0,Rachaad White left guard for 7 yards (tackle by Micah McFadden),1.950,3.120
1,11:40,1,10,NYG 37,0,0,Baker Mayfield pass complete short right to Sterling Shepard for 1 yard (tackle by Deonte Banks and Andru Phillips),3.120,2.710
1,11:02,2,9,NYG 36,0,0,Baker Mayfield pass complete short left to Bucky Irving for 8 yards (tackle by Jason Pinnock and Bobby Okereke),2.710,3.070
1,10:19,3,1,NYG 28,0,0,Sean Tucker left end for no gain (tackle by Andru Phillips),3.070,1.720
1,9:35,4,1,NYG 28,0,0,Sean Tucker left guard for 3 yards (tackle by Bobby Okereke),1.720,3.910
1,8:52,1,10,NYG 25,0,0,Baker Mayfield pass complete short right to Bucky Irving for 2 yards (tackle by Micah McFadden),3.910,3.630
1,8:09,2,8,NYG 23,0,0,Rachaad White right tackle for 8 yards (tackle by Cordale Flott and Tyler Nubin),3.630,4.580
1,7:28,1,10,NYG 15,0,0,Baker Mayfield pass complete short right to Bucky Irving for 14 yards (tackle by Tyler Nubin and Jason Pinnock),4.580,6.970
1,6:39,1,1,NYG 1,6,0,Sean Tucker left guard for 1 yard touchdown,6.970,7.000
1,6:37,,,NYG 15,7,0,Chase McLaughlin kicks extra point good,0.000,0.000
1,6:37,,,TAM 35,7,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
1,6:37,1,10,NYG 30,7,0,Tyrone Tracy right guard for 16 yards (tackle by Jordan Whitehead),0.940,1.990
1,5:57,1,10,NYG 46,7,0,Tyrone Tracy left guard for 1 yard (tackle by Joe Tryon-Shoyinka),1.990,1.590
1,5:14,2,9,NYG 47,7,0,Tommy DeVito up the middle for 1 yard (tackle by Vita Vea),1.590,1.030
1,4:35,3,8,NYG 48,7,0,Tommy DeVito sacked by Calijah Kancey for -7 yards,1.030,-0.650
1,3:50,4,15,NYG 41,7,0,Jamie Gillan punts 43 yards fair catch by Trey Palmer at TB-16,-0.650,0.140
1,3:41,1,10,TAM 16,7,0,Baker Mayfield pass complete short right to Mike Evans for 13 yards (tackle by Deonte Banks),-0.140,0.870
1,3:11,1,10,TAM 29,7,0,Bucky Irving right tackle for 4 yards (tackle by Bobby Okereke and Cordale Flott),0.870,0.870
1,2:34,2,6,TAM 33,7,0,Baker Mayfield pass complete short right to Bucky Irving for no gain (tackle by Micah McFadden),0.870,0.170
1,1:54,3,6,TAM 33,7,0,Baker Mayfield pass incomplete short right intended for Mike Evans (defended by Tyler Nubin),0.170,-1.180
1,1:41,4,6,TAM 33,7,0,Trenton Gill punts 47 yards returned by Ihmir Smith-Marsette for 8 yards (tackle by Tavierre Thomas and Anthony Nelson),-1.180,-0.810
1,1:31,1,10,NYG 28,7,0,Tommy DeVito pass incomplete short right intended for Theo Johnson (defended by Lavonte David),0.810,0.260
1,1:27,2,10,NYG 28,7,0,Tyrone Tracy left guard for 4 yards (tackle by K.J. Britt and Lavonte David),0.260,0.100
1,0:53,3,6,NYG 32,7,0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 5 yards (tackle by Zyon McCollum),0.100,-0.910
1,0:09,4,1,NYG 37,7,0,Wan'Dale Robinson left end for no gain (tackle by YaYa Diaby and Lavonte David),-0.910,-3.120
1,0:01,1,10,NYG 37,7,0,Bucky Irving right tackle for 2 yards (tackle by Armon Watts and Kayvon Thibodeaux),3.120,2.840
2,15:00,2,8,NYG 35,7,0,Baker Mayfield pass complete deep middle to Mike Evans for 26 yards (tackle by Deonte Banks),2.840,5.140
2,14:16,1,9,NYG 9,7,0,Bucky Irving right tackle for no gain (tackle by Micah McFadden),5.140,4.380
2,13:39,2,9,NYG 9,7,0,Baker Mayfield pass complete short right to Bucky Irving for 8 yards (tackle by Tyler Nubin and Bobby Okereke),4.380,5.170
2,13:00,3,1,NYG 1,7,0,Sean Tucker left tackle for -1 yards. Sean Tucker fumbles (forced by Bobby Okereke) recovered by Baker Mayfield at NYG-4 (tackle by Armon Watts),5.170,3.030
2,12:06,4,4,NYG 4,10,0,Chase McLaughlin 23 yard field goal good,3.030,3.000
2,12:03,,,TAM 35,10,0,Trenton Gill kicks off 65 yards touchback.,0.000,0.940
2,12:03,1,10,NYG 30,10,0,Tommy DeVito sacked by Anthony Nelson for -6 yards,0.940,-0.420
