Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA
,,,,,,,Titans won the coin toss and deferred Texans to receive the opening kickoff.,,
1,15:00,,,TEN 35,0,0,Nick Folk kicks off 64 yards returned by Dameon Pierce for 80 yards (tackle by Justin Hardee),0.000,4.310
1,14:47,1,10,TEN 19,0,6,C.J. Stroud pass complete deep right to Cade Stover for 19 yards touchdown,4.310,7.000
1,14:42,,,TEN 15,0,7,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,14:42,,,HOU 35,0,7,Ka'imi Fairbairn kicks off 65 yards returned by Julius Chestnut for 39 yards (tackle by Eric Murray),0.000,1.530
1,14:36,1,10,TEN 39,0,7,Will Levis pass complete short left to Tyler Boyd for 19 yards (tackle by Calen Bullock),1.530,2.790
1,14:00,1,10,HOU 42,0,7,Tony Pollard up the middle for 2 yards (tackle by Azeez Al-Shaair and Tim Settle). Penalty on Mario Edwards: Defensive Holding 5 yards (accepted),2.790,3.250
1,13:38,1,10,HOU 35,0,7,Tony Pollard up the middle for 6 yards (tackle by Jimmie Ward),3.250,3.510
1,12:59,2,4,HOU 29,0,7,Penalty on Tony Pollard: False Start 5 yards (accepted) (no play),3.510,2.840
1,12:42,2,9,HOU 34,0,7,Will Levis pass complete short left to Tyler Boyd for 3 yards (tackle by Azeez Al-Shaair),2.840,2.540
1,11:59,3,6,HOU 31,0,7,Will Levis sacked by Will Anderson for -2 yards,2.540,1.150
1,11:19,4,8,HOU 33,3,7,Nick Folk 51 yard field goal good,1.150,3.000
1,11:15,,,TEN 35,3,7,Nick Folk kicks off 65 yards touchback.,0.000,0.940
1,11:15,1,10,HOU 30,3,7,Joe Mixon right tackle for 2 yards (tackle by Roger McCreary),0.940,0.660
1,10:50,2,8,HOU 32,3,7,Joe Mixon left tackle for 3 yards (tackle by Mike Brown and Daryl Worley),0.660,0.370
1,10:10,3,5,HOU 35,3,7,C.J. Stroud pass complete short right to John Metchie for 6 yards (tackle by Darrell Baker),0.370,1.660
1,9:25,1,10,HOU 41,3,7,C.J. Stroud pass complete short middle to Nico Collins for 4 yards (tackle by Mike Brown),1.660,1.660
1,8:49,2,6,HOU 45,3,7,C.J. Stroud pass complete short right to Joe Mixon for -3 yards (tackle by Roger McCreary),1.660,0.560
1,8:07,3,9,HOU 42,3,7,C.J. Stroud pass complete short left to Xavier Hutchinson for 8 yards (tackle by Roger McCreary) TEN challenged the pass completion ruling and the original play was overturned. C.J. Stroud pass incomplete short left intended for Xavier Hutchinson,0.560,-0.590
1,8:03,4,9,HOU 42,3,7,Tommy Townsend punts 47 yards fair catch by Jha'Quan Jackson at TEN-11,-0.590,0.370
1,7:56,1,10,TEN 11,3,7,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Derek Stingley),-0.370,-0.160
1,7:19,2,4,TEN 17,3,7,Will Levis pass complete short left to Calvin Ridley for 9 yards (tackle by Kamari Lassiter),-0.160,0.670
1,6:39,1,10,TEN 26,3,7,Will Levis pass complete short right to Tony Pollard for 9 yards (tackle by Denico Autry),0.670,1.350
1,6:02,2,1,TEN 35,3,7,Will Levis up the middle for 2 yards (tackle by Tim Settle),1.350,1.400
1,5:25,1,10,TEN 37,3,7,Tony Pollard right end for 10 yards (tackle by Devin White),1.400,2.060
1,4:43,1,10,TEN 47,3,7,Tony Pollard right guard for 4 yards (tackle by Danielle Hunter),2.060,2.060
1,4:04,2,6,HOU 49,3,7,Julius Chestnut left guard for 3 yards (tackle by Tommy Togiai),2.060,1.750
1,3:25,3,3,HOU 46,3,7,Will Levis pass complete short left to Julius Chestnut for 2 yards (tackle by Derek Stingley and Henry To'oTo'o),1.750,0.330
1,2:45,4,1,HOU 44,3,7,Will Levis right end for 6 yards (tackle by Calen Bullock),0.330,3.050
1,2:03,1,10,HOU 38,9,7,Will Levis pass complete deep right to Nick Westbrook-Ikhine for 38 yards touchdown,3.050,7.000
1,1:57,,,HOU 15,10,7,Nick Folk kicks extra point good,0.000,0.000
1,1:57,,,TEN 35,10,7,Nick Folk kicks off 67 yards returned by Dameon Pierce for 30 yards (tackle by Cedric Gray). Penalty on M.J. Stewart: Offensive Holding 10 yards (accepted),0.000,0.040
