Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Chargers to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAC 30,0,0,J.K. Dobbins up the middle for no gain (tackle by Malik Harrison and Travis Jones),0.940,0.390
1,14:18,2,10,LAC 30,0,0,Justin Herbert pass complete short left to Ladd McConkey for 17 yards (tackle by Marlon Humphrey),0.390,2.060
1,13:41,1,10,LAC 47,0,0,Gus Edwards up the middle for 8 yards (tackle by Trenton Simpson),2.060,2.600
1,13:05,2,2,BAL 45,0,0,Gus Edwards up the middle for 4 yards (tackle by Ar'Darius Washington),2.600,2.850
1,12:29,1,10,BAL 41,0,0,Justin Herbert scrambles left end for 4 yards (tackle by Trenton Simpson),2.850,2.850
1,11:50,2,6,BAL 37,0,0,J.K. Dobbins right tackle for 12 yards (tackle by Marlon Humphrey),2.850,3.910
1,11:09,1,10,BAL 25,0,0,Justin Herbert pass complete short middle to Will Dissly for 18 yards (tackle by Ar'Darius Washington),3.910,5.600
1,10:36,1,7,BAL 7,0,0,J.K. Dobbins up the middle for 2 yards (tackle by Malik Harrison and Kyle Van Noy),5.600,5.150
1,9:52,2,5,BAL 5,0,6,Justin Herbert scrambles up the middle for 5 yards touchdown,5.150,7.000
1,9:45,,,BAL 15,0,7,Cameron Dicker kicks extra point good,0.000,0.000
1,9:45,,,LAC 35,0,7,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,9:45,1,10,BAL 30,0,7,Lamar Jackson left end for 5 yards (tackle by Khalil Mack),0.940,1.070
1,9:13,2,5,BAL 35,0,7,Derrick Henry up the middle for 5 yards (tackle by Otito Ogbonnia),1.070,1.600
1,8:37,1,10,BAL 40,0,7,Lamar Jackson pass complete deep right to Rashod Bateman for no gain (tackle by Alohi Gilman). Penalty on Patrick Ricard: Personal Foul / Offense 15 yards (accepted) (no play),1.600,0.610
1,8:04,1,25,BAL 25,0,7,Derrick Henry left end for 3 yards (tackle by Khalil Mack),0.610,-0.570
1,7:27,2,22,BAL 28,0,7,Lamar Jackson pass complete short left to Mark Andrews for 2 yards (tackle by Poona Ford),-0.570,-0.960
1,6:46,3,20,BAL 30,0,7,Lamar Jackson pass incomplete deep right,-0.960,-1.370
1,6:37,4,20,BAL 30,0,7,Jordan Stout punts 57 yards,-1.370,0.320
1,6:31,1,10,LAC 13,0,7,Justin Herbert sacked by Odafe Oweh for -3 yards,-0.320,-1.000
1,5:46,2,13,LAC 10,0,7,Justin Herbert pass incomplete short left intended for J.K. Dobbins,-1.000,-1.770
1,5:42,3,13,LAC 10,0,7,Justin Herbert pass complete deep middle to Ladd McConkey for 16 yards (tackle by Nate Wiggins),-1.770,0.670
1,5:03,1,10,LAC 26,0,7,J.K. Dobbins right end for no gain (tackle by Marlon Humphrey and Chris Board). Penalty on Zion Johnson: Offensive Holding 10 yards (accepted) (no play),0.670,-0.300
1,4:40,1,20,LAC 16,0,7,Justin Herbert pass complete short right to J.K. Dobbins for 11 yards (tackle by Ar'Darius Washington),-0.300,0.270
1,3:55,2,9,LAC 27,0,7,J.K. Dobbins left end for 4 yards (tackle by Chris Board and Malik Harrison),0.270,0.100
1,3:10,3,5,LAC 31,0,7,Justin Herbert pass incomplete short right intended for Jalen Reagor (defended by Nate Wiggins),0.100,-1.240
1,3:03,4,4,LAC 32,0,7,Penalty on Tuli Tuipulotu: False Start 5 yards (accepted) (no play),-1.240,-1.630
1,3:03,4,10,LAC 26,0,7,JK Scott punts 43 yards fair catch by Tylan Wallace at BAL-31. Penalty on Nate Wiggins: Unnecessary Roughness / Defense 15 yards (accepted),-1.630,0.140
1,2:57,1,10,BAL 16,0,7,Derrick Henry right guard for 5 yards (tackle by Morgan Fox),-0.140,0.150
1,2:23,2,5,BAL 21,0,7,Lamar Jackson pass incomplete short left intended for Zay Flowers,0.150,-0.700
1,2:17,3,5,BAL 21,0,7,Lamar Jackson pass incomplete deep right intended for Diontae Johnson,-0.700,-1.960
1,2:11,4,5,BAL 21,0,7,Jordan Stout punts 62 yards returned by Derius Davis for 19 yards (tackle by Malik Harrison),-1.960,-1.330
1,1:59,1,10,LAC 36,0,7,Justin Herbert pass complete short middle to Derius Davis for 3 yards (tackle by Malik Harrison and Brandon Stephens),1.330,1.200
1,1:21,2,7,LAC 39,0,7,J.K. Dobbins left guard for 5 yards (tackle by Brent Urban and Malik Harrison),1.200,1.160
1,0:39,3,2,LAC 44,0,7,J.K. Dobbins right tackle for 17 yards (tackle by Nate Wiggins),1.160,2.980
2,15:00,1,10,BAL 39,0,7,Justin Herbert pass complete short left to J.K. Dobbins for 5 yards (tackle by Malik Harrison),2.980,3.120
2,14:22,2,5,BAL 34,0,7,Gus Edwards up the middle for 4 yards (tackle by Trenton Simpson),3.120,2.940
2,13:43,3,1,BAL 30,0,7,Gus Edwards up the middle for no gain (tackle by Malik Harrison and Travis Jones),2.940,1.520
2,13:06,4,1,BAL 30,0,7,Gus Edwards right tackle for 3 yards (tackle by Kristian Welch),1.520,3.780
2,12:23,1,10,BAL 27,0,7,Justin Herbert pass complete short middle to J.K. Dobbins for 3 yards (tackle by Malik Harrison),3.780,3.640
2,11:41,2,7,BAL 24,0,7,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Nate Wiggins),3.640,2.940
2,11:34,3,7,BAL 24,0,7,Justin Herbert pass incomplete short left intended for J.K. Dobbins,2.940,1.870
2,11:30,4,7,BAL 24,0,10,Cameron Dicker 42 yard field goal good,1.870,3.000
2,11:26,,,LAC 35,0,10,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
2,11:26,1,10,BAL 30,0,10,Derrick Henry right tackle for 19 yards (tackle by Nick Niemann and Tuli Tuipulotu),0.940,2.190
2,10:46,1,10,BAL 49,0,10,Derrick Henry left tackle for 14 yards (tackle by Derwin James and Tarheeb Still),2.190,3.120
2,10:10,1,10,LAC 37,0,10,Justice Hill left end for 5 yards (tackle by Daiyan Henley),3.120,3.250
2,9:25,2,5,LAC 32,0,10,Lamar Jackson pass incomplete deep left intended for Rashod Bateman (defended by Alohi Gilman),3.250,2.540
2,9:16,3,5,LAC 32,0,10,Lamar Jackson pass complete short right to Mark Andrews for 16 yards (tackle by Elijah Molden),2.540,4.510
2,8:40,1,10,LAC 16,0,10,Derrick Henry left tackle for 11 yards (tackle by Derwin James and Daiyan Henley),4.510,6.060
2,8:00,1,5,LAC 5,0,10,Derrick Henry right tackle for no gain touchdown. Penalty on Roger Rosengarten: Illegal Formation 5 yards (accepted) (no play),6.060,4.910
2,7:55,1,10,LAC 10,6,10,Lamar Jackson right end for 10 yards touchdown,4.910,7.000
2,7:48,,,LAC 15,7,10,Justin Tucker kicks extra point good,0.000,0.000
2,7:48,,,BAL 35,7,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,7:48,1,10,LAC 30,7,10,Justin Herbert pass complete short left to Derius Davis for 1 yard (tackle by Nnamdi Madubuike and Marlon Humphrey),0.940,0.530
2,7:04,2,9,LAC 31,7,10,Justin Herbert pass complete short left to Josh Palmer for 10 yards,0.530,1.660
2,6:32,1,10,LAC 41,7,10,Gus Edwards right tackle for no gain (tackle by Travis Jones and Kyle Hamilton),1.660,1.120
2,5:50,2,10,LAC 41,7,10,Justin Herbert pass complete short middle to Will Dissly for 9 yards (tackle by Chris Board),1.120,1.620
2,5:10,3,1,LAC 50,7,10,J.K. Dobbins up the middle for no gain (tackle by Malik Harrison). Penalty on Tucker Fisk: Offensive Holding 10 yards (accepted) (no play),1.620,0.300
2,4:42,3,11,LAC 40,7,10,Justin Herbert pass complete short right to Ladd McConkey for 8 yards (tackle by Chris Board),0.300,-0.190
2,4:05,4,3,LAC 48,7,10,JK Scott punts 45 yards,-0.190,0.380
2,3:54,1,10,BAL 7,7,10,Derrick Henry right tackle for 5 yards (tackle by Poona Ford),-0.380,-0.420
2,3:15,2,5,BAL 12,7,10,Derrick Henry right guard for 4 yards (tackle by Nick Niemann and Justin Eboigbe),-0.420,-0.370
2,2:44,3,1,BAL 16,7,10,Derrick Henry up the middle for no gain (tackle by Bud Dupree and Poona Ford),-0.370,-2.390
2,2:00,4,1,BAL 16,7,10,Mark Andrews up the middle for 2 yards (tackle by Nick Niemann and Daiyan Henley),-2.390,0.040
2,1:31,1,10,BAL 18,7,10,Lamar Jackson right end for -1 yards (tackle by Tuli Tuipulotu),0.040,-0.650
2,1:08,2,11,BAL 17,7,10,Lamar Jackson pass complete short right to Justice Hill for 9 yards (tackle by Daiyan Henley),-0.650,-0.140
2,0:49,3,2,BAL 26,7,10,Lamar Jackson pass complete short right to Zay Flowers for 22 yards (tackle by Elijah Molden),-0.140,2.130
2,0:37,1,10,BAL 48,7,10,Lamar Jackson pass incomplete deep left intended for Rashod Bateman. Penalty on Kristian Fulton: Defensive Pass Interference 12 yards (accepted) (no play),2.130,2.920
2,0:32,1,10,LAC 40,13,10,Lamar Jackson pass complete deep left to Rashod Bateman for 40 yards touchdown. Penalty on Kristian Fulton: Defensive Pass Interference 15 yards (declined),2.920,7.000
2,0:24,,,LAC 15,14,10,Justin Tucker kicks extra point good,0.000,0.000
2,0:24,,,BAL 35,14,10,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
2,0:24,,,,,,Timeout #1 by Baltimore Ravens,,
2,0:24,1,10,LAC 30,14,10,Justin Herbert scrambles right end for 8 yards (tackle by Malik Harrison),0.940,1.470
2,0:17,2,2,LAC 38,14,10,Justin Herbert pass incomplete deep middle intended for Josh Palmer,1.470,0.760
2,0:11,3,2,LAC 38,14,10,Justin Herbert pass complete short right to Jalen Reagor for 11 yards (tackle by Nate Wiggins),0.760,2.190
2,0:07,,,,,,Timeout #2 by Baltimore Ravens,,
2,0:07,1,10,LAC 49,14,10,Justin Herbert pass complete deep middle to Josh Palmer for 17 yards (tackle by Nate Wiggins),2.190,3.310
2,0:02,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:02,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:02,1,10,BAL 34,14,13,Cameron Dicker 52 yard field goal good,3.310,3.000
3,15:00,,,LAC 35,14,13,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,BAL 30,14,13,Derrick Henry right tackle for 3 yards (tackle by Joey Bosa),0.940,0.800
3,14:24,2,7,BAL 33,14,13,Lamar Jackson pass complete short left to Justice Hill for -2 yards (tackle by Daiyan Henley and Ja'Sir Taylor),0.800,-0.160
3,13:44,3,9,BAL 31,14,13,Lamar Jackson pass complete short right to Mark Andrews for 11 yards (tackle by Ja'Sir Taylor and Derwin James),-0.160,1.730
3,13:06,1,10,BAL 42,14,13,Derrick Henry left guard for 3 yards (tackle by Nick Niemann and Daiyan Henley),1.730,1.590
3,12:28,2,7,BAL 45,14,13,Derrick Henry left end for -3 yards (tackle by Teair Tart),1.590,0.500
3,11:47,3,10,BAL 42,14,13,Lamar Jackson pass complete deep right to Zay Flowers for 25 yards,0.500,3.380
3,11:08,1,10,LAC 33,14,13,Lamar Jackson pass incomplete deep left intended for Zay Flowers,3.380,2.840
3,10:57,2,10,LAC 33,14,13,Lamar Jackson sacked by Derwin James for no gain,2.840,2.150
3,10:15,3,10,LAC 33,14,13,Lamar Jackson pass complete short middle to Zay Flowers for 6 yards (tackle by Elijah Molden and Kristian Fulton),2.150,1.750
3,9:33,4,4,LAC 27,17,13,Justin Tucker 45 yard field goal good,1.750,3.000
3,9:29,,,BAL 35,17,13,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
