Quarter,Time,Down,ToGo,Location,KAN,CAR,Detail,EPB,EPA
,,,,,,,Panthers won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,CAR 35,0,0,Eddy Piñeiro kicks off 62 yards returned by Samaje Perine for 56 yards (tackle by Caleb Farley),0.000,2.850
1,14:52,1,10,CAR 41,0,0,Kareem Hunt left guard for 5 yards (tackle by LaBryan Ray and A'Shawn Robinson),2.850,2.980
1,14:20,2,5,CAR 36,0,0,Kareem Hunt up the middle for 1 yard (tackle by D.J. Wonnum),2.980,2.410
1,13:44,3,4,CAR 35,6,0,Patrick Mahomes pass complete deep left to Noah Gray for 35 yards touchdown,2.410,7.000
1,13:35,,,CAR 15,7,0,Spencer Shrader kicks extra point good,0.000,0.000
1,13:35,,,KAN 35,7,0,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
1,13:35,1,10,CAR 30,7,0,Bryce Young pass complete short left to Adam Thielen for 8 yards (tackle by Bryan Cook and Nazeeh Johnson),0.940,1.470
1,13:01,2,2,CAR 38,7,0,Chuba Hubbard left tackle for no gain (tackle by Tershawn Wharton and Chamarri Conner),1.470,0.760
1,12:27,3,2,CAR 38,7,0,Bryce Young pass complete short middle to David Moore for 15 yards (tackle by Bryan Cook),0.760,2.460
1,11:42,1,10,KAN 47,7,0,Bryce Young pass complete deep right to Xavier Legette for 34 yards (tackle by Bryan Cook). Penalty on Chris Jones: Defensive Offside 5 yards (declined) . Penalty on Drue Tranquill: Illegal Contact 5 yards (declined),2.460,4.710
1,11:16,1,10,KAN 13,7,0,Chuba Hubbard up the middle for 4 yards (tackle by Justin Reid),4.710,4.770
1,10:39,2,6,KAN 9,7,0,Bryce Young pass complete short right to Deven Thompkins for 2 yards (tackle by Michael Danna),4.770,4.330
1,9:54,3,4,KAN 7,7,0,Penalty on Cade Mays: False Start 5 yards (accepted) (no play),4.330,3.280
1,9:32,3,9,KAN 12,7,0,Bryce Young pass incomplete short right intended for Adam Thielen,3.280,2.630
1,9:28,4,9,KAN 12,7,3,Eddy Piñeiro 30 yard field goal good,2.630,3.000
1,9:24,,,CAR 35,7,3,Eddy Piñeiro kicks off 63 yards returned by Samaje Perine for 23 yards (tackle by Sam Franklin and Caleb Farley),0.000,0.610
1,9:19,1,10,KAN 25,7,3,Patrick Mahomes pass complete short left to Kareem Hunt for 13 yards (tackle by Dane Jackson),0.610,1.470
1,8:42,1,10,KAN 38,7,3,Patrick Mahomes pass complete deep middle to JuJu Smith-Schuster for no gain (tackle by Michael Jackson). Penalty on Jaycee Horn: Defensive Holding 5 yards (offset) . Penalty on Wanya Morris: Offensive Holding 10 yards (offset) (no play),1.470,1.470
1,8:18,1,10,KAN 38,7,3,Patrick Mahomes pass complete short left to DeAndre Hopkins for 12 yards,1.470,2.260
1,7:48,1,10,KAN 50,7,3,Kareem Hunt left tackle for 6 yards (tackle by A'Shawn Robinson and D.J. Wonnum),2.260,2.520
1,7:12,2,4,CAR 44,7,3,Patrick Mahomes pass complete short middle to Travis Kelce for 19 yards (tackle by Jordan Fuller),2.520,3.910
1,6:30,1,10,CAR 25,7,3,Patrick Mahomes pass complete short right to Carson Steele for 9 yards (tackle by Josey Jewell),3.910,4.750
1,5:54,2,1,CAR 16,7,3,Patrick Mahomes pass complete short left to Travis Kelce for no gain (tackle by Jordan Fuller),4.750,4.060
1,5:15,3,1,CAR 16,7,3,Kareem Hunt up the middle for 3 yards (tackle by Josey Jewell and D.J. Wonnum),4.060,4.710
1,4:40,1,10,CAR 13,7,3,Patrick Mahomes pass complete short right to JuJu Smith-Schuster for 6 yards (tackle by Michael Jackson),4.710,5.150
1,4:04,2,4,CAR 7,7,3,Kareem Hunt right tackle for -1 yards (tackle by Jonathan Harris),5.150,4.100
1,3:26,3,5,CAR 8,7,3,Patrick Mahomes scrambles right tackle for 1 yard (tackle by Jonathan Harris),4.100,2.990
1,2:42,4,4,CAR 7,10,3,Spencer Shrader 25 yard field goal good,2.990,3.000
1,2:39,,,KAN 35,10,3,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
1,2:39,1,10,CAR 30,10,3,Bryce Young scrambles left end for 5 yards (tackle by Drue Tranquill),0.940,1.070
1,2:02,2,5,CAR 35,10,3,Bryce Young scrambles up the middle for 4 yards (tackle by George Karlaftis),1.070,0.890
1,1:20,3,1,CAR 39,10,3,Bryce Young pass complete short left to Adam Thielen for 36 yards (tackle by Justin Reid),0.890,3.910
1,0:31,1,10,KAN 25,10,3,Bryce Young pass complete short middle to Deven Thompkins for 12 yards (tackle by Nazeeh Johnson and Bryan Cook),3.910,4.710
2,15:00,1,10,KAN 13,10,3,Bryce Young pass incomplete short right intended for Chuba Hubbard,4.710,4.050
2,14:55,2,10,KAN 13,10,3,Bryce Young pass incomplete short middle intended for Chuba Hubbard,4.050,3.120
2,14:51,3,10,KAN 13,10,3,Bryce Young pass incomplete short middle intended for David Moore,3.120,2.570
2,14:46,4,10,KAN 13,10,6,Eddy Piñeiro 32 yard field goal good,2.570,3.000
2,14:42,,,CAR 35,10,6,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.940
2,14:42,1,10,KAN 30,10,6,Kareem Hunt right tackle for 5 yards (tackle by Josey Jewell and D.J. Wonnum),0.940,1.070
2,14:08,2,5,KAN 35,10,6,Patrick Mahomes pass incomplete short right intended for Justin Watson,1.070,0.370
2,14:04,3,5,KAN 35,10,6,Patrick Mahomes scrambles up the middle for 9 yards (tackle by Xavier Woods),0.370,1.860
2,13:27,1,10,KAN 44,10,6,Patrick Mahomes pass complete deep right to Travis Kelce for 27 yards (tackle by Jordan Fuller),1.860,3.640
2,12:42,1,10,CAR 29,10,6,Patrick Mahomes pass incomplete short middle intended for JuJu Smith-Schuster,3.640,3.100
2,12:40,2,10,CAR 29,10,6,Patrick Mahomes pass complete short right to Xavier Worthy for 6 yards (tackle by Jaycee Horn),3.100,3.200
2,12:05,3,4,CAR 23,10,6,Patrick Mahomes pass incomplete short left. Penalty on Jaycee Horn: Defensive Holding 5 yards (offset) . Penalty on Patrick Mahomes: Intentional Grounding 10 yards (offset) (no play),3.200,3.200
2,11:59,3,4,CAR 23,10,6,Patrick Mahomes pass complete short left to Xavier Worthy for 9 yards (tackle by Michael Jackson),3.200,4.650
2,11:36,1,10,CAR 14,10,6,Mecole Hardman left tackle for 9 yards (tackle by DeShawn Williams),4.650,5.670
2,11:02,2,1,CAR 5,10,6,Kareem Hunt right end for no gain (tackle by Charles Harris and Jammie Robinson). Penalty on Joe Thuney: Offensive Holding 10 yards (accepted) (no play),5.670,3.850
2,10:43,2,11,CAR 15,10,6,Patrick Mahomes pass incomplete short right intended for DeAndre Hopkins (defended by Dane Jackson),3.850,3.060
2,10:37,3,11,CAR 15,10,6,Patrick Mahomes scrambles left tackle for no gain (tackle by DeShawn Williams and D.J. Wonnum). Penalty on Jaycee Horn: Defensive Holding 4 yards (accepted) (no play),3.060,4.840
2,10:14,1,10,CAR 11,10,6,Penalty on Trey Smith: False Start 4 yards (accepted) (no play),4.840,4.410
2,9:45,1,14,CAR 15,10,6,Patrick Mahomes pass complete short left to Kareem Hunt for -4 yards (tackle by Xavier Woods),4.410,3.150
2,9:09,2,18,CAR 19,10,6,Patrick Mahomes pass complete short left to Travis Kelce for 3 yards (tackle by A'Shawn Robinson and Trevin Wallace). Penalty on JuJu Smith-Schuster: Offensive Holding 10 yards (accepted),3.150,2.260
2,8:47,2,25,CAR 26,10,6,Patrick Mahomes pass complete short middle to Noah Gray for 13 yards (tackle by Xavier Woods),2.260,3.080
2,8:12,3,12,CAR 13,10,6,Patrick Mahomes sacked by Jadeveon Clowney for -10 yards,3.080,1.930
2,7:29,4,22,CAR 23,13,6,Spencer Shrader 41 yard field goal good,1.930,3.000
2,7:24,,,KAN 35,13,6,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
2,7:24,1,10,CAR 30,13,6,Jonathon Brooks right guard for 3 yards (tackle by Nick Bolton),0.940,0.800
2,6:49,2,7,CAR 33,13,6,Bryce Young sacked by Michael Danna for -14 yards. Bryce Young fumbles (forced by Michael Danna) recovered by Ikem Ekwonu at CAR-19,0.800,-1.870
2,6:04,3,21,CAR 19,13,6,Bryce Young pass complete short middle to Ja'Tavion Sanders for 11 yards (tackle by Jaden Hicks),-1.870,-1.370
2,5:14,4,10,CAR 30,13,6,Johnny Hekker punts 55 yards returned by Mecole Hardman for no gain (tackle by Sam Franklin). Penalty on Chamarri Conner: Defensive Holding 7 yards (accepted),-1.370,0.380
2,5:14,1,10,KAN 8,13,6,Kareem Hunt left tackle for 4 yards (tackle by A'Shawn Robinson),-0.380,-0.490
2,4:38,2,6,KAN 12,13,6,Patrick Mahomes pass complete short left to DeAndre Hopkins for 8 yards (tackle by Jaycee Horn),-0.490,0.280
2,4:01,1,10,KAN 20,13,6,Patrick Mahomes pass complete short middle to Justin Watson for 15 yards (tackle by Xavier Woods),0.280,1.270
2,3:28,1,10,KAN 35,13,6,Samaje Perine up the middle for 13 yards (tackle by Xavier Woods),1.270,2.130
2,2:55,1,10,KAN 48,13,6,Xavier Worthy left end for 5 yards (tackle by Trevin Wallace),2.130,2.260
2,2:17,2,5,CAR 47,13,6,Patrick Mahomes pass complete short middle to Noah Gray for 7 yards (tackle by Jaycee Horn),2.260,2.920
2,2:00,1,10,CAR 40,13,6,Patrick Mahomes sacked by D.J. Wonnum for -8 yards,2.920,1.290
2,1:27,2,18,CAR 48,13,6,Patrick Mahomes pass complete short left to DeAndre Hopkins for 5 yards (tackle by Jaycee Horn),1.290,1.290
2,1:22,,,,,,Timeout #1 by Carolina Panthers,,
2,1:22,3,13,CAR 43,13,6,Patrick Mahomes scrambles right end for 13 yards (tackle by Xavier Woods),1.290,3.580
2,1:11,1,10,CAR 30,13,6,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,3.580,3.030
2,1:08,2,10,CAR 30,13,6,Patrick Mahomes pass complete short left to Samaje Perine for 13 yards (tackle by Josey Jewell),3.030,4.440
2,1:01,1,10,CAR 17,13,6,Mecole Hardman left tackle for 6 yards (tackle by A'Shawn Robinson),4.440,4.890
2,0:53,2,4,CAR 11,13,6,Patrick Mahomes pass incomplete short left intended for Xavier Worthy,4.890,4.100
2,0:50,3,4,CAR 11,19,6,Patrick Mahomes pass complete short middle to Noah Gray for 11 yards touchdown,4.100,7.000
2,0:44,,,CAR 15,20,6,Spencer Shrader kicks extra point good,0.000,0.000
2,0:44,,,KAN 35,20,6,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
2,0:44,1,10,CAR 30,20,6,Bryce Young pass incomplete short middle intended for Chuba Hubbard,0.940,0.390
2,0:40,2,10,CAR 30,20,6,Bryce Young pass complete deep left to Ja'Tavion Sanders for 28 yards (tackle by Nazeeh Johnson). Penalty on Nazeeh Johnson: Defensive Holding 5 yards (declined),0.390,2.790
2,0:32,1,10,KAN 42,20,6,Bryce Young pass complete deep right to David Moore for 21 yards (tackle by Chamarri Conner),2.790,4.170
2,0:26,,,,,,Timeout #3 by Carolina Panthers,,
2,0:26,1,10,KAN 21,20,6,Bryce Young pass complete short right to Ja'Tavion Sanders for 10 yards (tackle by Trent McDuffie),4.170,4.840
2,0:20,1,10,KAN 11,20,6,Bryce Young pass incomplete short left intended for David Moore,4.840,4.140
2,0:14,2,10,KAN 11,20,6,Bryce Young pass incomplete short middle intended for Tommy Tremble,4.140,3.130
2,0:09,3,10,KAN 11,20,6,Bryce Young pass incomplete short right intended for Xavier Legette,3.130,2.700
2,0:04,4,10,KAN 11,20,9,Eddy Piñeiro 29 yard field goal good,2.700,3.000
3,15:00,,,KAN 35,20,9,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
3,15:00,1,10,CAR 30,20,9,Penalty on Ikem Ekwonu: False Start 5 yards (accepted) (no play),0.940,0.610
3,15:00,1,15,CAR 25,20,9,Chuba Hubbard up the middle for 3 yards (tackle by Drue Tranquill and Nick Bolton),0.610,0.120
3,14:25,2,12,CAR 28,20,9,Bryce Young pass complete short right to David Moore for 13 yards (tackle by Trent McDuffie),0.120,1.660
3,13:39,1,10,CAR 41,20,9,Bryce Young pass complete short right to Xavier Legette for 10 yards (tackle by Justin Reid),1.660,2.320
3,12:59,1,10,KAN 49,20,9,Chuba Hubbard left guard for 13 yards (tackle by Drue Tranquill),2.320,3.180
3,12:17,1,10,KAN 36,20,9,Bryce Young pass incomplete deep right intended for David Moore (defended by Nazeeh Johnson),3.180,2.640
3,12:12,2,10,KAN 36,20,9,Chuba Hubbard left tackle for no gain (tackle by Michael Danna),2.640,1.950
3,11:32,3,10,KAN 36,20,9,Bryce Young pass complete short middle to David Moore for 14 yards (tackle by Justin Reid),1.950,4.110
3,10:50,1,10,KAN 22,20,9,Bryce Young pass complete short left to Xavier Legette for 7 yards (tackle by Trent McDuffie),4.110,4.650
3,10:12,2,3,KAN 15,20,9,Chuba Hubbard right tackle for 4 yards (tackle by Nazeeh Johnson and Derrick Nnadi),4.650,4.840
3,9:28,1,10,KAN 11,20,9,Chuba Hubbard left end for 6 yards (tackle by Nazeeh Johnson),4.840,5.280
3,8:46,2,4,KAN 5,20,9,Chuba Hubbard right tackle for 3 yards (tackle by Nazeeh Johnson),5.280,5.120
3,8:04,3,1,KAN 2,20,9,Bryce Young sacked by and Trent McDuffie for no gain and Nick Bolton for no gain,5.120,3.250
3,7:30,4,1,KAN 2,20,9,Chuba Hubbard up the middle for 1 yard (tackle by Michael Danna),3.250,6.970
3,6:35,1,1,KAN 1,20,9,Bryce Young pass incomplete short right intended for David Moore (defended by Trent McDuffie),6.970,5.910
3,6:30,2,1,KAN 1,20,15,Bryce Young pass complete short middle to David Moore for 1 yard touchdown,5.910,7.000
3,6:26,,,KAN 2,20,15,Two Point Attempt: Bryce Young pass incomplete intended for intended for Adam Thielen. Penalty on Justin Reid: Unnecessary Roughness / Defense 1 yard (accepted) (no play),1.000,6.970
3,6:26,1,1,KAN 1,20,15,Penalty on Tommy Tremble: False Start 5 yards (accepted) (no play),6.970,0.000
3,6:26,1,6,KAN 12,20,16,Eddy Piñeiro kicks extra point good,0.000,0.000
3,6:26,,,CAR 35,20,16,Eddy Piñeiro kicks off 65 yards returned by Samaje Perine for 25 yards (tackle by Sam Franklin),0.000,0.610
3,6:20,1,10,KAN 25,20,16,Kareem Hunt left tackle for 2 yards (tackle by LaBryan Ray). Penalty on LaBryan Ray: Face Mask (15 Yards) 15 yards (accepted),0.610,1.730
3,6:03,1,10,KAN 42,20,16,Patrick Mahomes pass complete deep right to Xavier Worthy for 19 yards (tackle by Michael Jackson),1.730,2.980
3,5:26,1,10,CAR 39,20,16,Patrick Mahomes pass incomplete deep left intended for Travis Kelce (defended by Xavier Woods),2.980,2.440
3,5:20,2,10,CAR 39,20,16,Patrick Mahomes pass incomplete short left intended for DeAndre Hopkins. Penalty on Jaycee Horn: Defensive Pass Interference 5 yards (accepted) (no play),2.440,3.310
3,5:17,1,10,CAR 34,20,16,Kareem Hunt up the middle for 5 yards (tackle by Josey Jewell),3.310,3.450
3,4:40,2,5,CAR 29,20,16,Patrick Mahomes pass incomplete short right,3.450,2.740
3,4:34,3,5,CAR 29,20,16,Patrick Mahomes scrambles right end for 4 yards (tackle by Charles Harris),2.740,1.950
3,3:54,4,1,CAR 25,20,16,Kareem Hunt right guard for 13 yards (tackle by Shy Tuttle and Xavier Woods),1.950,4.780
3,3:13,1,10,CAR 12,20,16,Kareem Hunt up the middle for 5 yards (tackle by LaBryan Ray and Josey Jewell). Penalty on A'Shawn Robinson: Unsportsmanlike Conduct / Defense 4 yards (accepted),4.780,6.510
3,2:54,1,3,CAR 3,20,16,Patrick Mahomes pass incomplete short left intended for Kareem Hunt,6.510,5.530
3,2:49,2,3,CAR 3,26,16,Patrick Mahomes pass complete short right to DeAndre Hopkins for 3 yards touchdown,5.530,7.000
3,2:42,,,CAR 15,27,16,Spencer Shrader kicks extra point good,0.000,0.000
3,2:42,,,KAN 35,27,16,Spencer Shrader kicks off 65 yards touchback.,0.000,0.940
3,2:42,1,10,CAR 30,27,16,Chuba Hubbard right tackle for 8 yards (tackle by Derrick Nnadi),0.940,1.470
3,2:08,2,2,CAR 38,27,16,Bryce Young pass incomplete short left,1.470,0.760
3,2:04,3,2,CAR 38,27,16,Chuba Hubbard up the middle for 7 yards (tackle by Bryan Cook and Justin Reid),0.760,1.930
3,1:21,1,10,CAR 45,27,16,Chuba Hubbard left tackle for 2 yards (tackle by Mike Pennel),1.930,1.650
3,0:49,2,8,CAR 47,27,16,Bryce Young pass incomplete short left intended for Chuba Hubbard,1.650,0.960
