Quarter,Time,Down,ToGo,Location,MIN,CHI,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Bears to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CHI 30,0,0,Caleb Williams pass complete short right to Cole Kmet for no gain. Penalty on D'Andre Swift: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
1,14:46,1,20,CHI 20,0,0,Caleb Williams pass complete short right to Cole Kmet for 10 yards (tackle by Stephon Gilmore and Blake Cashman),0.280,0.390
1,14:10,2,10,CHI 30,0,0,D'Andre Swift left end for 5 yards (tackle by Harrison Smith),0.390,0.370
1,13:30,3,5,CHI 35,0,0,Caleb Williams pass incomplete short right intended for Rome Odunze (defended by Andrew Van Ginkel),0.370,-1.040
1,13:25,4,5,CHI 35,0,0,Tory Taylor punts 52 yards returned by Brandon Powell for 13 yards (tackle by Tarvarius Moore),-1.040,-0.670
1,13:15,1,10,MIN 26,0,0,Aaron Jones right end for 13 yards (tackle by Kevin Byard),0.670,1.530
1,12:36,1,10,MIN 39,0,0,Sam Darnold pass incomplete short right intended for Aaron Jones (defended by Gervon Dexter),1.530,0.990
1,12:30,2,10,MIN 39,0,0,Aaron Jones left tackle for 2 yards (tackle by Kyler Gordon and DeMarcus Walker),0.990,0.560
1,11:50,3,8,MIN 41,0,0,Sam Darnold pass complete short left to Jordan Addison for 10 yards (tackle by Tremaine Edmunds),0.560,2.320
1,11:15,1,10,CHI 49,0,0,Aaron Jones left end for 41 yards (tackle by Kevin Byard),2.320,5.370
1,10:37,1,8,CHI 8,0,0,Sam Darnold pass complete short left to Johnny Mundt for 7 yards (tackle by Tyrique Stevenson and Jonathan Owens),5.370,5.910
1,9:54,2,1,CHI 1,0,0,Aaron Jones left guard for -1 yards. Aaron Jones fumbles (forced by Jonathan Owens) recovered by Jonathan Owens at CHI-2 (tackle by Aaron Jones),5.910,0.380
1,9:47,1,10,CHI 2,0,0,D'Andre Swift right guard for 2 yards (tackle by Jonathan Bullard and Harrison Phillips),-0.380,-0.630
1,9:15,2,8,CHI 4,0,0,Caleb Williams pass incomplete deep right intended for Cole Kmet,-0.630,-1.190
1,9:05,3,8,CHI 4,0,0,Caleb Williams scrambles left end for 9 yards (tackle by Andrew Van Ginkel),-1.190,-0.320
