Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
,,,,,,,Vikings won the coin toss and deferred Cardinals to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,John Parker Romo kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ARI 30,0,0,Kyler Murray pass complete short left to Tip Reiman for 9 yards (tackle by Josh Metellus),0.940,1.610
1,14:27,2,1,ARI 39,0,0,Kyler Murray pass complete short right to Trey McBride for 9 yards (tackle by Harrison Smith),1.610,2.130
1,13:51,1,10,ARI 48,0,0,James Conner left tackle for 6 yards (tackle by Byron Murphy and Jonathan Greenard),2.130,2.390
1,13:15,2,4,MIN 46,0,0,James Conner right guard for 6 yards (tackle by Josh Metellus and Camryn Bynum),2.390,2.920
1,12:45,1,10,MIN 40,0,0,Kyler Murray pass complete short middle to Elijah Higgins for 4 yards (tackle by Blake Cashman),2.920,2.910
1,12:08,2,6,MIN 36,0,0,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Harrison Smith),2.910,2.870
1,11:31,3,1,MIN 31,0,0,Trey Benson left tackle for 10 yards (tackle by Camryn Bynum),2.870,4.170
1,10:47,1,10,MIN 21,0,0,James Conner left tackle for 1 yard (tackle by Patrick Jones),4.170,3.760
1,10:06,2,9,MIN 20,0,0,James Conner up the middle for 3 yards (tackle by Jonathan Greenard and Blake Cashman),3.760,3.460
1,9:44,3,6,MIN 17,0,0,Kyler Murray pass complete short middle to James Conner for 4 yards (tackle by Blake Cashman),3.460,2.690
1,9:05,4,2,MIN 13,3,0,Chad Ryland 32 yard field goal good,2.690,3.000
1,9:02,,,ARI 35,3,0,Chad Ryland kicks off 65 yards touchback.,0.000,0.940
1,9:02,1,10,MIN 30,3,0,Aaron Jones left guard for 2 yards. Aaron Jones fumbles (tackle by Dante Stills) recovered by Brian O'Neill at MIN-36,0.940,1.200
1,8:34,2,4,MIN 36,3,0,Sam Darnold pass complete short middle to T.J. Hockenson for 5 yards (tackle by Budda Baker and Mack Wilson),1.200,1.660
1,8:04,1,10,MIN 41,3,0,Sam Darnold pass complete short left to Johnny Mundt for 18 yards (tackle by Budda Baker),1.660,2.850
1,7:29,1,10,ARI 41,3,0,Sam Darnold scrambles up the middle for 8 yards (tackle by Mack Wilson),2.850,3.390
1,6:48,2,2,ARI 33,3,0,Aaron Jones right end for 6 yards (tackle by Jalen Thompson),3.390,3.780
1,6:10,1,10,ARI 27,3,0,Sam Darnold pass incomplete deep right intended for Jordan Addison,3.780,3.230
1,6:04,2,10,ARI 27,3,0,Aaron Jones right tackle for 8 yards (tackle by Sean Murphy-Bunting),3.230,3.640
1,5:24,3,2,ARI 19,3,0,Sam Darnold sacked by L.J. Collier for -7 yards,3.640,1.740
1,4:44,4,9,ARI 26,3,3,John Parker Romo 44 yard field goal good,1.740,3.000
1,4:42,,,MIN 35,3,3,John Parker Romo kicks off 66 yards returned by Greg Dortch for 26 yards (tackle by Theo Jackson and Ty Chandler),0.000,0.610
1,4:35,1,10,ARI 25,3,3,Kyler Murray pass complete short left to James Conner for 2 yards (tackle by Blake Cashman),0.610,0.330
1,4:05,2,8,ARI 27,3,3,Kyler Murray pass complete short middle to James Conner for 7 yards (tackle by Josh Metellus and Blake Cashman),0.330,0.560
1,3:26,3,1,ARI 34,3,3,James Conner right tackle for 2 yards (tackle by Stephon Gilmore and Andrew Van Ginkel),0.560,1.330
1,2:49,1,10,ARI 36,3,3,Kyler Murray left end for 6 yards (tackle by Harrison Smith and Josh Metellus),1.330,1.600
1,2:16,2,4,ARI 42,3,3,James Conner right guard for 2 yards (tackle by Harrison Phillips and Jonathan Bullard),1.600,1.160
1,1:36,3,2,ARI 44,3,3,Kyler Murray pass incomplete deep right intended for Marvin Harrison,1.160,-0.460
1,1:31,4,2,ARI 44,3,3,Blake Gillikin punts 42 yards fair catch by Brandon Powell at MIN-14,-0.460,0.280
1,1:24,1,10,MIN 14,3,3,Sam Darnold pass complete short middle to Aaron Jones for 5 yards. Aaron Jones fumbles (tackle by Baron Browning) recovered by Roy Lopez at MIN-19,-0.280,-4.310
1,1:15,1,10,MIN 19,3,3,Penalty on Tip Reiman: False Start 5 yards (accepted) (no play),4.310,3.970
1,1:15,1,15,MIN 24,3,3,Kyler Murray scrambles right end for 1 yard (tackle by Blake Cashman),3.970,3.220
