Quarter,Time,Down,ToGo,Location,CHI,DET,Detail,EPB,EPA
,,,,,,,Lions won the coin toss Lions to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DET 30,0,0,David Montgomery left tackle for 10 yards (tackle by Gervon Dexter and Jaylon Johnson),0.940,1.600
1,14:28,1,10,DET 40,0,0,David Montgomery up the middle for 1 yard (tackle by Gervon Dexter and Montez Sweat),1.600,1.190
1,13:47,2,9,DET 41,0,0,David Montgomery up the middle for 5 yards (tackle by Gervon Dexter and DeMarcus Walker),1.190,1.160
1,13:08,3,4,DET 46,0,0,Jared Goff pass complete short right to Jameson Williams for 5 yards (tackle by Kyler Gordon),1.160,2.320
1,12:31,1,10,CHI 49,0,0,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards,2.320,3.250
1,12:02,1,10,CHI 35,0,0,Jared Goff pass complete short middle to Sam LaPorta for 2 yards (tackle by T.J. Edwards),3.250,2.970
1,11:23,2,8,CHI 33,0,0,David Montgomery up the middle for 1 yard (tackle by Darrell Taylor),2.970,2.410
1,10:44,3,7,CHI 32,0,0,Jared Goff pass complete short right to Jameson Williams for 8 yards (tackle by Tyrique Stevenson),2.410,3.970
1,10:05,1,10,CHI 24,0,0,Penei Sewell sacked by and Austin Booker for -1 yards and Jack Sanborn for -1 yards,3.970,3.300
1,9:14,2,11,CHI 25,0,0,David Montgomery right tackle for 9 yards (tackle by Tremaine Edmunds),3.300,3.950
1,8:39,3,2,CHI 16,0,0,Jared Goff pass complete short left to David Montgomery for 3 yards (tackle by Jack Sanborn),3.950,4.710
1,7:48,1,10,CHI 13,0,0,David Montgomery left end for 1 yard (tackle by Tremaine Edmunds),4.710,4.220
1,7:19,2,9,CHI 12,0,0,Jared Goff pass incomplete short left intended for Amon-Ra St. Brown,4.220,3.280
1,7:14,3,9,CHI 12,0,0,Jared Goff pass incomplete short middle intended for Tim Patrick,3.280,2.630
1,7:10,4,9,CHI 12,0,3,Jake Bates 30 yard field goal good,2.630,3.000
1,7:06,,,DET 35,0,3,Jake Bates kicks off 65 yards touchback.,0.000,0.940
1,7:06,1,10,CHI 30,0,3,Caleb Williams pass complete short middle to D'Andre Swift for 6 yards (tackle by Khalil Dorsey),0.940,1.200
1,6:20,2,4,CHI 36,0,3,D'Andre Swift left tackle for -1 yards (tackle by Josh Paschal),1.200,0.370
1,5:44,3,5,CHI 35,0,3,Caleb Williams pass incomplete deep right intended for D.J. Moore (defended by Kerby Joseph),0.370,-1.040
1,5:35,4,5,CHI 35,0,3,Tory Taylor punts 55 yards. Maurice Alexander fumbles out of bounds,-1.040,0.380
1,5:28,1,10,DET 10,0,3,Jared Goff pass incomplete deep middle intended for Jameson Williams (defended by Jonathan Owens) CHI challenged the fumble ruling and the play was upheld.,-0.380,-0.780
1,5:23,2,10,DET 10,0,3,Jahmyr Gibbs left end for 8 yards (tackle by Tyrique Stevenson),-0.780,-0.480
1,4:50,3,2,DET 18,0,3,Jared Goff pass complete deep left to Amon-Ra St. Brown for 29 yards (tackle by Tyrique Stevenson),-0.480,2.060
1,4:15,1,10,DET 47,0,3,Jameson Williams left end for 3 yards (tackle by T.J. Edwards),2.060,1.920
1,3:36,2,7,DET 50,0,3,Jahmyr Gibbs left tackle for 18 yards (tackle by Kevin Byard),1.920,3.450
1,2:51,1,10,CHI 32,0,3,Jahmyr Gibbs right end for 2 yards (tackle by Chris Williams),3.450,3.170
1,2:00,,,,,,Timeout #1 by Detroit Lions,,
1,2:00,2,8,CHI 30,0,3,Jahmyr Gibbs up the middle for 13 yards (tackle by Tyrique Stevenson and Jonathan Owens),3.170,4.440
1,1:23,1,10,CHI 17,0,3,David Montgomery up the middle for 3 yards (tackle by Jaylon Johnson),4.440,4.320
1,0:46,2,7,CHI 14,0,3,Jahmyr Gibbs up the middle for 11 yards (tackle by Jonathan Owens and Kyler Gordon),4.320,6.510
2,15:00,1,3,CHI 3,0,9,Jared Goff pass complete short middle to Sam LaPorta for 3 yards touchdown,6.510,7.000
2,14:55,,,CHI 15,0,10,Jake Bates kicks extra point good,0.000,0.000
2,14:55,,,DET 35,0,10,Jake Bates kicks off 65 yards touchback.,0.000,0.940
