Quarter,Time,Down,ToGo,Location,CLE,DEN,Detail,EPB,EPA
,,,,,,,Browns won the coin toss and deferred Broncos to receive the opening kickoff.,,
1,15:00,,,CLE 35,0,0,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DEN 30,0,0,Bo Nix pass incomplete short right,0.940,0.390
1,14:57,2,10,DEN 30,0,0,Bo Nix pass complete short left to Marvin Mims for 7 yards (tackle by Ronnie Hickman and Mohamoud Diabate),0.390,0.630
1,14:23,3,3,DEN 37,0,0,Javonte Williams up the middle for no gain (tackle by Jordan Hicks and Myles Garrett),0.630,-0.910
1,13:52,4,3,DEN 37,0,0,Riley Dixon punts 61 yards returned by Jaelon Darden for 8 yards (tackle by Devon Key),-0.910,0.380
1,13:41,1,10,CLE 10,0,0,Jameis Winston pass complete short middle to Jerry Jeudy for 44 yards (tackle by P.J. Locke),-0.380,2.520
1,13:01,1,10,DEN 46,0,0,Nick Chubb right tackle for 1 yard (tackle by Justin Strnad and Cody Barton),2.520,2.110
1,12:24,2,9,DEN 45,0,0,Nick Chubb up the middle for 10 yards (tackle by Levi Wallace and Brandon Jones),2.110,3.250
1,11:45,1,10,DEN 35,0,0,Jerome Ford right end for 6 yards (tackle by Brandon Jones and Jordan Jackson),3.250,3.510
1,11:07,2,4,DEN 29,0,0,Nick Chubb left tackle for no gain (tackle by Jonathon Cooper and Zach Allen),3.510,2.810
1,10:25,3,4,DEN 29,0,0,Jameis Winston pass incomplete short right intended for David Njoku,2.810,1.560
1,10:21,4,4,DEN 29,0,0,Dustin Hopkins 47 yard field goal no good,1.560,-1.400
1,10:16,1,10,DEN 37,0,0,Jaleel McLaughlin right tackle for 12 yards (tackle by Jordan Hicks and Denzel Ward),1.400,2.190
1,9:34,1,10,DEN 49,0,0,Marvin Mims left end for 4 yards (tackle by Mohamoud Diabate and Jordan Hicks),2.190,2.190
1,9:08,2,6,CLE 47,0,0,Bo Nix pass incomplete short right intended for Courtland Sutton,2.190,1.490
1,9:03,3,6,CLE 47,0,0,Bo Nix pass complete short right to Courtland Sutton for 17 yards (tackle by Martin Emerson),1.490,3.580
1,8:26,1,10,CLE 30,0,0,Bo Nix pass complete short right to Lucas Krull for 5 yards (tackle by Jordan Hicks),3.580,3.710
1,7:42,2,5,CLE 25,0,0,Bo Nix pass incomplete short right intended for Javonte Williams,3.710,3.010
1,7:36,3,5,CLE 25,0,0,Bo Nix pass complete short right to Courtland Sutton for 7 yards (tackle by Rodney McLeod),3.010,4.370
1,6:50,1,10,CLE 18,0,0,Jaleel McLaughlin right tackle for 1 yard (tackle by Martin Emerson and Devin Bush),4.370,3.940
1,6:04,2,9,CLE 17,0,0,Bo Nix pass complete deep right to Devaughn Vele for 16 yards (tackle by Jordan Hicks),3.940,6.970
1,5:34,1,1,CLE 1,0,0,Jaleel McLaughlin up the middle for no gain (tackle by Grant Delpit),6.970,5.910
1,4:59,2,1,CLE 1,0,0,Javonte Williams right guard for -1 yards (tackle by Myles Garrett and Jowon Briggs),5.910,4.950
1,4:16,3,2,CLE 2,0,6,Javonte Williams right guard for 2 yards touchdown,4.950,7.000
1,4:13,,,CLE 15,0,7,Wil Lutz kicks extra point good,0.000,0.000
1,4:13,,,DEN 35,0,7,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
1,4:13,1,10,CLE 30,0,7,Jameis Winston pass complete short right to David Njoku for 11 yards (tackle by Cody Barton),0.940,1.660
1,3:32,1,10,CLE 41,0,7,Kadarius Toney right end for 3 yards (tackle by Justin Strnad and D.J. Jones),1.660,1.530
1,2:48,2,7,CLE 44,0,7,Jerome Ford left tackle for 4 yards (tackle by Jonathon Cooper),1.530,1.360
1,2:03,3,3,CLE 48,0,7,Jameis Winston pass complete deep left to Elijah Moore for 44 yards (tackle by Levi Wallace),1.360,5.370
1,1:12,1,8,DEN 8,6,7,Jameis Winston pass complete short middle to David Njoku for 8 yards touchdown,5.370,7.000
1,1:09,,,DEN 15,7,7,Dustin Hopkins kicks extra point good,0.000,0.000
1,1:09,,,CLE 35,7,7,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
1,1:09,1,10,DEN 30,7,7,Bo Nix pass incomplete short left,0.940,0.390
1,1:05,2,10,DEN 30,7,7,Bo Nix pass incomplete short middle intended for Adam Trautman (defended by Mohamoud Diabate),0.390,-0.300
1,1:02,3,10,DEN 30,7,7,Bo Nix pass incomplete deep middle intended for Troy Franklin,-0.300,-1.370
1,0:55,4,10,DEN 30,7,7,Riley Dixon punts 58 yards fair catch by Jaelon Darden at CLE-12,-1.370,0.350
1,0:48,1,10,CLE 12,7,7,Nick Chubb right tackle for no gain (tackle by Dondrea Tillman),-0.350,-0.780
1,0:04,2,10,CLE 12,7,7,Jameis Winston pass complete short right to Elijah Moore for 11 yards (tackle by Ja'Quan McMillian),-0.780,0.480
2,15:00,1,10,CLE 23,7,7,Jameis Winston pass incomplete short right,0.480,-0.070
2,14:54,2,10,CLE 23,7,7,Nick Chubb up the middle for no gain (tackle by Zach Allen and Malcolm Roach),-0.070,-0.760
2,14:14,3,10,CLE 23,7,7,Jameis Winston pass incomplete deep right intended for Elijah Moore (defended by Ja'Quan McMillian),-0.760,-1.830
2,14:09,4,10,CLE 23,7,7,Corey Bojorquez punts 39 yards out of bounds,-1.830,-1.470
2,14:02,1,10,DEN 38,7,7,Jaleel McLaughlin right tackle for -1 yards (tackle by Devin Bush),1.470,0.790
2,13:26,2,11,DEN 37,7,7,Bo Nix pass incomplete deep left intended for Devaughn Vele. Penalty on Martin Emerson: Defensive Pass Interference 17 yards (accepted) (no play),0.790,2.520
2,13:21,1,10,CLE 46,7,7,Audric Estime left guard for 6 yards (tackle by Myles Garrett),2.520,2.790
2,12:40,2,4,CLE 40,7,7,Bo Nix pass short left (defended by Denzel Ward) intended for Troy Franklin is intercepted by Greg Newsome at CLE-33 and returned for -2 yards (tackle by Devaughn Vele),2.790,-1.000
2,12:32,1,10,CLE 31,7,7,Nick Chubb up the middle for no gain (tackle by D.J. Jones and John Franklin-Myers),1.000,0.460
2,11:58,2,10,CLE 31,7,7,Jameis Winston pass incomplete short middle intended for David Njoku,0.460,-0.230
2,11:55,3,10,CLE 31,7,7,Jameis Winston pass complete short left to Michael Woods for 16 yards (tackle by P.J. Locke and Levi Wallace),-0.230,2.060
2,11:09,1,10,CLE 47,7,7,Jameis Winston pass incomplete short right intended for Blake Whiteheart (defended by Justin Strnad),2.060,1.520
2,11:04,2,10,CLE 47,7,7,Jerome Ford right tackle for 21 yards (tackle by P.J. Locke),1.520,3.450
2,10:25,1,10,DEN 32,7,7,Jameis Winston sacked by Jonah Elliss for no gain,3.450,2.900
2,9:42,2,10,DEN 32,7,7,Jerome Ford left tackle for 5 yards (tackle by Jonah Elliss and Malcolm Roach),2.900,2.870
2,8:59,3,5,DEN 27,7,7,Jameis Winston pass incomplete short left intended for Jerry Jeudy,2.870,1.720
2,8:52,4,5,DEN 27,10,7,Dustin Hopkins 45 yard field goal good,1.720,3.000
2,8:49,,,CLE 35,10,7,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,8:49,1,10,DEN 30,10,7,Bo Nix pass incomplete short right,0.940,0.390
2,8:43,2,10,DEN 30,10,7,Bo Nix pass complete short right to Jaleel McLaughlin for no gain (tackle by Grant Delpit). Penalty on Garett Bolles: Illegal Formation 5 yards (declined),0.390,-0.300
2,8:27,3,10,DEN 30,10,7,Bo Nix pass incomplete deep left intended for Courtland Sutton (defended by Rodney McLeod),-0.300,-1.370
2,8:18,4,10,DEN 30,10,7,Riley Dixon punts 59 yards out of bounds,-1.370,0.370
2,8:09,1,10,CLE 11,10,7,Jameis Winston pass incomplete deep middle intended for Jerry Jeudy,-0.370,-0.780
2,8:04,2,10,CLE 11,10,7,Jerome Ford right tackle for 3 yards (tackle by Zach Allen),-0.780,-1.070
2,7:24,3,7,CLE 14,10,7,Jameis Winston pass incomplete short left intended for David Njoku,-1.070,-2.470
2,7:18,4,7,CLE 14,10,7,Corey Bojorquez punts 63 yards returned by Marvin Mims for 10 yards (tackle by Pierre Strong),-2.470,-1.140
2,7:07,1,10,DEN 33,10,7,Jaleel McLaughlin left guard for 8 yards (tackle by Ronnie Hickman),1.140,1.670
2,6:27,2,2,DEN 41,10,7,Javonte Williams up the middle for no gain (tackle by Cameron Thomas and Dalvin Tomlinson),1.670,0.960
2,5:47,3,2,DEN 41,10,7,Bo Nix pass complete deep left to Courtland Sutton for 19 yards (tackle by Martin Emerson),0.960,2.920
2,5:09,1,10,CLE 40,10,7,Bo Nix pass complete short left to Nate Adkins for 16 yards (tackle by Martin Emerson),2.920,3.970
2,4:40,1,10,CLE 24,10,7,Bo Nix pass complete short right to Troy Franklin for 23 yards (tackle by Ronnie Hickman),3.970,6.970
2,4:12,1,1,CLE 1,10,7,Bo Nix pass incomplete short right intended for Javonte Williams. Penalty on Grant Delpit: Defensive Holding (accepted) (no play),6.970,6.970
2,4:06,1,1,CLE 1,10,13,Michael Burton right tackle for 1 yard touchdown,6.970,7.000
2,4:03,,,CLE 15,10,14,Wil Lutz kicks extra point good,0.000,0.000
2,4:03,,,DEN 35,10,14,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,4:03,1,10,CLE 30,10,14,Jerome Ford right end for no gain (tackle by D.J. Jones and John Franklin-Myers),0.940,0.390
2,3:20,2,10,CLE 30,10,14,Jameis Winston pass complete short left to David Njoku for 5 yards (tackle by Jonah Elliss),0.390,0.370
2,2:53,3,5,CLE 35,10,14,Jameis Winston pass complete short right to Jamari Thrash for 8 yards (tackle by Patrick Surtain),0.370,1.800
2,2:28,1,10,CLE 43,10,14,Jameis Winston pass complete deep middle to Jerry Jeudy for 17 yards (tackle by Brandon Jones),1.800,2.920
2,2:00,1,10,DEN 40,10,14,Jameis Winston pass complete short right to David Njoku for 4 yards (tackle by Cody Barton),2.920,2.910
2,1:55,,,,,,Timeout #1 by Denver Broncos,,
2,1:55,2,6,DEN 36,10,14,Jameis Winston pass complete short right to Jerry Jeudy for 7 yards,2.910,3.640
2,1:52,1,10,DEN 29,10,20,Jameis Winston pass short left intended for Jordan Akins is intercepted by Nik Bonitto at DEN-29 and returned for 71 yards touchdown,3.640,-7.000
2,1:38,,,CLE 15,10,21,Wil Lutz kicks extra point good,0.000,0.000
2,1:38,,,DEN 35,10,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
2,1:38,1,10,CLE 30,10,21,Jameis Winston pass incomplete short left intended for Jerry Jeudy,0.940,0.390
2,1:34,2,10,CLE 30,10,21,Jameis Winston pass complete short left to Elijah Moore for 6 yards (tackle by P.J. Locke),0.390,0.500
2,1:27,,,,,,Timeout #2 by Denver Broncos,,
2,1:27,3,4,CLE 36,10,21,Jameis Winston pass complete deep right to Jerry Jeudy for 16 yards (tackle by Ja'Quan McMillian),0.500,2.390
2,1:02,1,10,DEN 48,10,21,Jameis Winston pass complete short right to Jerry Jeudy for 13 yards (tackle by Patrick Surtain),2.390,3.250
2,0:57,1,10,DEN 35,10,21,Jameis Winston pass complete short middle to Elijah Moore for 13 yards (tackle by Justin Strnad),3.250,4.110
2,0:38,,,,,,Timeout #1 by Cleveland Browns,,
2,0:38,1,10,DEN 22,10,21,Jameis Winston pass incomplete short middle intended for Michael Woods (defended by Ja'Quan McMillian),4.110,3.560
2,0:35,2,10,DEN 22,10,21,Jameis Winston pass complete short right to Elijah Moore for 5 yards (tackle by Levi Wallace),3.560,3.560
2,0:30,,,,,,Timeout #2 by Cleveland Browns,,
2,0:30,3,5,DEN 17,10,21,Jameis Winston pass complete short middle to Michael Woods for 13 yards (tackle by Levi Wallace),3.560,6.280
2,0:24,,,,,,Timeout #3 by Cleveland Browns,,
2,0:24,1,4,DEN 4,10,21,Jameis Winston pass incomplete short left intended for Elijah Moore (defended by Levi Wallace),6.280,5.340
2,0:21,2,4,DEN 4,10,21,Jameis Winston pass incomplete short middle intended for David Njoku (defended by Brandon Jones),5.340,4.490
2,0:17,3,4,DEN 4,16,21,Jameis Winston pass complete short right to David Njoku for 4 yards touchdown,4.490,7.000
2,0:13,,,DEN 15,17,21,Dustin Hopkins kicks extra point good,0.000,0.000
2,0:13,,,CLE 35,17,21,Dustin Hopkins kicks off 65 yards touchback.,0.000,0.940
2,0:13,1,10,DEN 30,17,21,Bo Nix kneels for -1 yards,0.940,0.260
3,15:00,,,DEN 35,17,21,Wil Lutz kicks off 65 yards touchback.,0.000,0.940
