Quarter,Time,Down,ToGo,Location,LAC,ATL,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
1,15:00,,,LAC 35,0,0,Cameron Dicker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Bijan Robinson right tackle for 15 yards (tackle by Tony Jefferson),0.940,1.930
1,14:36,1,10,ATL 45,0,0,Bijan Robinson right end for no gain (tackle by Tony Jefferson),1.930,1.380
1,14:13,2,10,ATL 45,0,0,Kirk Cousins pass complete short right to Drake London for 12 yards (tackle by Derwin James and Kristian Fulton),1.380,2.720
1,13:38,1,10,LAC 43,0,0,Bijan Robinson right tackle for 5 yards (tackle by Derwin James and Daiyan Henley),2.720,2.850
1,13:02,2,5,LAC 38,0,0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 1 yard (tackle by Tony Jefferson),2.850,2.280
1,12:23,3,4,LAC 37,0,0,Bijan Robinson left tackle for 4 yards (tackle by Troy Dye),2.280,3.380
1,11:45,1,10,LAC 33,0,0,Kirk Cousins pass complete short right to Tyler Allgeier for 6 yards (tackle by Troy Dye and Derwin James),3.380,3.650
1,11:08,2,4,LAC 27,0,0,Tyler Allgeier left tackle for 3 yards (tackle by Derwin James),3.650,3.340
1,10:37,3,1,LAC 24,0,0,Kirk Cousins left guard for 3 yards (tackle by Daiyan Henley),3.340,4.170
1,10:04,1,10,LAC 21,0,0,Bijan Robinson right end for no gain (tackle by Troy Dye),4.170,3.630
1,9:25,2,10,LAC 21,0,0,Kirk Cousins pass complete short right to Bijan Robinson for 4 yards (tackle by Troy Dye),3.630,3.460
1,8:47,3,6,LAC 17,0,0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,3.460,2.340
1,8:37,4,6,LAC 17,0,0,Younghoe Koo 35 yard field goal no good,2.340,-0.610
1,8:33,1,10,LAC 25,0,0,Gus Edwards left tackle for 2 yards (tackle by Eddie Goldman and Nathan Landman),0.610,0.330
1,7:59,2,8,LAC 27,0,0,Justin Herbert pass complete short right to Ladd McConkey for 2 yards (tackle by Clark Phillips),0.330,-0.100
