Quarter,Time,Down,ToGo,Location,SEA,NYJ,Detail,EPB,EPA
,,,,,,,Jets won the coin toss and deferred Seahawks to receive the opening kickoff.,,
1,15:00,,,NYJ 35,0,0,Anders Carlson kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SEA 30,0,0,Kenneth Walker left guard for 8 yards. Kenneth Walker fumbles (forced by Quincy Williams) recovered by Laken Tomlinson at SEA-37 and returned for 1 yard,0.940,1.470
1,14:22,2,2,SEA 38,0,0,Kenneth Walker right guard for -2 yards (tackle by Quinnen Williams),1.470,0.500
1,13:41,3,4,SEA 36,0,0,Geno Smith pass complete short right to Tyler Lockett for 5 yards (tackle by Jamien Sherwood),0.500,1.660
1,13:01,1,10,SEA 41,0,0,Geno Smith pass incomplete short right intended for Pharaoh Brown,1.660,1.120
1,12:53,2,10,SEA 41,0,0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by D.J. Reed),1.120,0.430
1,12:49,3,10,SEA 41,0,0,Geno Smith pass incomplete short right,0.430,-0.650
1,12:42,4,10,SEA 41,0,0,Michael Dickson punts 46 yards fair catch by Xavier Gipson at NYJ-13,-0.650,0.320
1,12:35,1,10,NYJ 13,0,0,Braelon Allen left tackle for 3 yards (tackle by Tyrice Knight and Byron Murphy),-0.320,-0.440
1,12:02,2,7,NYJ 16,0,0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson (defended by Riq Woolen),-0.440,-1.060
1,11:56,3,7,NYJ 16,0,0,Aaron Rodgers pass incomplete deep right intended for Davante Adams,-1.060,-2.390
1,11:50,4,7,NYJ 16,0,0,Thomas Morstead punts 51 yards returned by Dee Williams for 6 yards (tackle by Irvin Charles),-2.390,-1.530
1,11:42,1,10,SEA 39,0,0,Kenneth Walker left end for 1 yard (tackle by Micheal Clemons and D.J. Reed),1.530,1.120
1,11:06,2,9,SEA 40,0,0,Geno Smith pass complete short right to AJ Barner for 2 yards (tackle by Ashtyn Davis),1.120,0.700
1,10:21,3,7,SEA 42,0,0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Chuck Clark),0.700,-0.190
1,9:37,4,1,SEA 48,0,0,Michael Dickson punts 52 yards touchback.,-0.190,-0.280
1,9:26,1,10,NYJ 20,0,0,Breece Hall right end for 6 yards (tackle by Tyrice Knight),0.280,0.540
1,8:56,2,4,NYJ 26,0,0,Breece Hall left end for 2 yards (tackle by Ernest Jones and Boye Mafe),0.540,0.100
1,8:19,3,2,NYJ 28,0,0,Aaron Rodgers pass complete deep right to Davante Adams for 24 yards (tackle by Josh Jobe),0.100,2.390
1,7:36,1,10,SEA 48,0,0,Aaron Rodgers pass complete short left to Braelon Allen for 6 yards (tackle by Ernest Jones and Rayshawn Jenkins),2.390,2.660
1,6:54,2,4,SEA 42,0,0,Aaron Rodgers pass complete short right to Braelon Allen for 10 yards (tackle by Leonard Williams and Ernest Jones),2.660,3.450
1,6:14,1,10,SEA 32,0,0,Braelon Allen left tackle for 2 yards (tackle by Derick Hall),3.450,3.170
1,5:37,2,8,SEA 30,0,0,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert. Penalty on Alijah Vera-Tucker: Ineligible Downfield Pass 5 yards (declined),3.170,2.480
1,5:29,3,8,SEA 30,0,0,Penalty on Garrett Wilson: False Start 5 yards (accepted) (no play),2.480,1.820
1,5:29,3,13,SEA 35,0,0,Aaron Rodgers sacked by Leonard Williams for no gain. Penalty on Leonard Williams: Face Mask (15 Yards) 15 yards (accepted) (no play),1.820,4.240
1,5:02,1,10,SEA 20,0,0,Breece Hall left end for 4 yards (tackle by Byron Murphy),4.240,4.280
1,4:18,2,6,SEA 16,0,0,Malachi Corley right end for 8 yards (tackle by Devon Witherspoon),4.280,5.370
1,3:41,1,8,SEA 8,0,0,Aaron Rodgers pass incomplete short middle intended for Malachi Corley,5.370,4.570
1,3:29,2,8,SEA 8,0,6,Aaron Rodgers pass complete short left to Davante Adams for 8 yards touchdown,4.570,7.000
1,3:25,,,SEA 15,0,6,Anders Carlson kicks extra point blocked blocked by Leonard Williams recovered by Devon Witherspoon,0.000,-1.000
1,3:25,,,NYJ 35,0,6,Anders Carlson kicks off 64 yards returned by Dee Williams for 26 yards. Dee Williams fumbles (forced by Kene Nwangwu) recovered by Brandin Echols at SEA-27,0.000,-3.780
1,3:18,1,10,SEA 27,0,6,Aaron Rodgers pass incomplete short right,3.780,3.230
1,3:15,2,10,SEA 27,0,6,Breece Hall right tackle for 12 yards. Breece Hall fumbles (tackle by Julian Love) recovered by John Simpson at SEA-14,3.230,4.650
