Quarter,Time,Down,ToGo,Location,SFO,BUF,Detail,EPB,EPA
,,,,,,,49ers won the coin toss and deferred Bills to receive the opening kickoff.,,
1,15:00,,,SFO 35,0,0,Jake Moody kicks off 64 yards returned by Ray Davis for 21 yards (tackle by Dee Winters),0.000,0.410
1,14:53,1,10,BUF 22,0,0,Josh Allen pass complete short left to Khalil Shakir for no gain (tackle by Maliek Collins),0.410,-0.130
1,14:16,2,10,BUF 22,0,0,James Cook right guard for 2 yards (tackle by Nick McCloud and Fred Warner),-0.130,-0.560
1,13:36,3,8,BUF 24,0,0,Penalty on Dawson Knox: False Start 5 yards (accepted) (no play),-0.560,-1.290
1,13:25,3,13,BUF 19,0,0,Josh Allen pass complete short left to Ty Johnson for 9 yards (tackle by Fred Warner),-1.290,-1.500
1,12:31,4,4,BUF 28,0,0,Sam Martin punts 48 yards returned by Jacob Cowing for 13 yards (tackle by Dorian Williams),-1.500,-1.400
1,12:21,1,10,SFO 37,0,0,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Rasul Douglas and Matt Milano),1.400,1.800
1,11:44,2,3,SFO 44,0,0,Christian McCaffrey up the middle for 2 yards (tackle by Taylor Rapp),1.800,1.360
1,11:06,3,1,SFO 46,0,0,Christian McCaffrey left guard for 6 yards (tackle by Damar Hamlin),1.360,2.390
1,10:29,1,10,BUF 48,0,0,Christian McCaffrey up the middle for 19 yards (tackle by Terrel Bernard and Taron Johnson),2.390,3.640
1,9:47,1,10,BUF 29,0,0,Jordan Mason up the middle for 11 yards (tackle by Damar Hamlin),3.640,4.370
1,9:10,1,10,BUF 18,0,0,Christian McCaffrey up the middle for 1 yard (tackle by Taron Johnson),4.370,3.940
1,8:34,2,9,BUF 17,0,0,Brock Purdy pass complete short right to Christian McCaffrey for 2 yards (tackle by Damar Hamlin),3.940,3.460
1,7:50,3,7,BUF 15,0,0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,3.460,2.440
1,7:44,4,7,BUF 15,3,0,Jake Moody 33 yard field goal good,2.440,3.000
1,7:41,,,SFO 35,3,0,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,7:41,1,10,BUF 30,3,0,Ray Davis right tackle for 1 yard (tackle by Ji'Ayir Brown and Sam Okuayinonu),0.940,0.530
1,6:59,2,9,BUF 31,3,0,Josh Allen pass incomplete deep right intended for Khalil Shakir (defended by Renardo Green),0.530,-0.160
1,6:50,3,9,BUF 31,3,0,Josh Allen pass incomplete short middle intended for Khalil Shakir. Penalty on Charvarius Ward: Illegal Contact 5 yards (accepted) (no play),-0.160,1.330
1,6:44,1,10,BUF 36,3,0,Ty Johnson up the middle for 8 yards (tackle by De'Vondre Campbell),1.330,1.870
1,6:07,2,2,BUF 44,3,0,James Cook left guard for 1 yard (tackle by Kevin Givens),1.870,1.290
1,5:40,3,1,BUF 45,3,0,Josh Allen left guard for 3 yards (tackle by Leonard Floyd and Yetur Gross-Matos),1.290,2.130
1,5:04,1,10,BUF 48,3,0,Josh Allen pass complete short left to Quintin Morris for 14 yards (tackle by Fred Warner),2.130,3.050
1,4:24,1,10,SFO 38,3,0,James Cook left guard for -4 yards (tackle by De'Vondre Campbell and Khalil Davis),3.050,1.970
1,3:43,2,14,SFO 42,3,0,Josh Allen pass complete short middle to Khalil Shakir for 8 yards (tackle by Nick McCloud and De'Vondre Campbell),1.970,2.340
1,3:00,3,6,SFO 34,3,0,Josh Allen left guard for 7 yards (tackle by De'Vondre Campbell),2.340,3.780
1,2:13,1,10,SFO 27,3,0,James Cook right tackle for 5 yards (tackle by Kalia Davis and Malik Mustapha),3.780,3.910
1,1:31,2,5,SFO 22,3,0,Ty Johnson left end for 4 yards (tackle by De'Vondre Campbell and Dee Winters),3.910,3.840
1,0:55,3,1,SFO 18,3,0,Ray Davis up the middle for 13 yards (tackle by Isaac Yiadom),3.840,6.060
1,0:08,1,5,SFO 5,3,6,Ray Davis right end for 5 yards touchdown,6.060,7.000
1,0:03,,,SFO 15,3,7,Tyler Bass kicks extra point good,0.000,0.000
1,0:03,,,BUF 35,3,7,Tyler Bass kicks off 68 yards returned by Deebo Samuel for 28 yards (tackle by Ja'Marcus Ingram),0.000,0.610
