Quarter,Time,Down,ToGo,Location,TEN,WAS,Detail,EPB,EPA
,,,,,,,Commanders won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,WAS 35,0,0,Zane Gonzalez kicks off 61 yards returned by Julius Chestnut for 24 yards (tackle by Jeremy Reaves),0.000,0.810
1,14:55,1,10,TEN 28,0,0,Penalty on JC Latham: False Start 5 yards (accepted) (no play),0.810,0.480
1,14:55,1,15,TEN 23,0,0,Tony Pollard up the middle for 1 yard (tackle by Daron Payne),0.480,-0.280
1,14:18,2,14,TEN 24,0,0,Penalty on Nicholas Petit-Frere: False Start 5 yards (accepted) (no play),-0.280,-1.010
1,14:07,2,19,TEN 19,0,0,Will Levis pass complete short left to Tony Pollard for -3 yards (tackle by Daron Payne),-1.010,-2.420
1,13:27,3,22,TEN 16,0,0,Will Levis pass incomplete short middle intended for Calvin Ridley,-2.420,-2.390
1,13:19,4,22,TEN 16,0,0,Ryan Stonehouse punts 50 yards returned by Olamide Zaccheaus for 7 yards (tackle by Otis Reese),-2.390,-1.660
1,13:08,1,10,WAS 41,0,0,Jayden Daniels pass complete short right to Terry McLaurin for 10 yards (tackle by Darrell Baker and Roger McCreary),1.660,2.320
1,12:37,1,10,TEN 49,0,0,Jayden Daniels pass complete short right to Noah Brown for 9 yards (tackle by Kenneth Murray),2.320,3.000
1,12:05,2,1,TEN 40,0,6,Brian Robinson right tackle for 40 yards touchdown,3.000,7.000
1,11:58,,,TEN 15,0,7,Zane Gonzalez kicks extra point good,0.000,0.000
1,11:58,,,WAS 35,0,7,Zane Gonzalez kicks off 61 yards returned by Julius Chestnut for 26 yards (tackle by Jeremy Reaves),0.000,0.940
1,11:51,1,10,TEN 30,0,7,Tony Pollard right end for 6 yards (tackle by Bobby Wagner),0.940,1.200
1,11:16,2,4,TEN 36,0,7,Tony Pollard right end for 5 yards (tackle by Jeremy Chinn and Bobby Wagner),1.200,1.660
1,10:39,1,10,TEN 41,0,7,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,1.660,1.120
1,10:35,2,10,TEN 41,0,7,Will Levis pass complete short middle to Nick Vannett for 6 yards (tackle by Noah Igbinoghene and Mike Sainristil),1.120,1.220
1,9:54,3,4,TEN 47,0,7,Will Levis pass complete short middle to JC Latham for no gain (tackle by Frankie Luvu),1.220,-0.260
1,9:09,4,4,TEN 47,0,7,Ryan Stonehouse punts 53 yards touchback.,-0.260,-0.280
1,9:00,1,10,WAS 20,0,7,Brian Robinson up the middle for 4 yards (tackle by Amani Hooker),0.280,0.270
1,8:31,2,6,WAS 24,0,7,Jayden Daniels scrambles up the middle for 5 yards (tackle by Harold Landry),0.270,0.230
1,7:48,3,1,WAS 29,0,7,Jayden Daniels pass complete short middle to Terry McLaurin for 9 yards (tackle by Roger McCreary),0.230,1.470
1,7:16,1,10,WAS 38,0,7,Jayden Daniels pass complete short middle to Zach Ertz for 6 yards (tackle by Jeffery Simmons),1.470,1.730
1,6:37,2,4,WAS 44,0,7,Jayden Daniels right guard for no gain (tackle by T'Vondre Sweat and Amani Hooker). Penalty on Jerome Baker: Illegal Use of Hands / Defense (offset) . Penalty on Tyler Biadasz: Offensive Holding 10 yards (offset) (no play),1.730,1.730
1,6:14,2,4,WAS 44,0,7,Brian Robinson left tackle for 3 yards (tackle by Kenneth Murray),1.730,1.420
1,5:40,3,1,WAS 47,0,7,Brian Robinson right guard for 16 yards (tackle by Daryl Worley and Jarvis Brownlee),1.420,3.120
1,5:01,1,10,TEN 37,0,7,Jayden Daniels scrambles up the middle for 5 yards (tackle by Kenneth Murray),3.120,3.250
1,4:18,2,5,TEN 32,0,7,Jayden Daniels pass complete short middle to Terry McLaurin for 11 yards (tackle by Daryl Worley and Kenneth Murray),3.250,4.170
1,3:56,1,10,TEN 21,0,7,Jeremy McNichols left end for 12 yards (tackle by Daryl Worley),4.170,5.140
1,3:11,1,9,TEN 9,0,7,Jeremy McNichols left guard for 6 yards (tackle by Daryl Worley),5.140,5.530
1,2:28,2,3,TEN 3,0,13,Jayden Daniels scrambles up the middle for 3 yards touchdown,5.530,7.000
1,2:23,,,TEN 15,0,14,Zane Gonzalez kicks extra point good,0.000,0.000
1,2:23,,,WAS 35,0,14,Zane Gonzalez kicks off 64 yards returned by Julius Chestnut for 24 yards (tackle by Quan Martin). Penalty on James Williams: Offensive Illegal Block Above the Waist 10 yards (accepted),0.000,-0.220
1,2:16,1,10,TEN 15,0,14,Tony Pollard up the middle for 4 yards (tackle by Bobby Wagner),-0.220,-0.110
1,1:42,2,6,TEN 19,0,14,Tony Pollard right end for 5 yards. Tony Pollard fumbles (tackle by Clelin Ferrell recovered by Mike Sainristil at TEN-24,-0.110,-3.970
1,1:33,1,10,TEN 24,0,14,Brian Robinson left tackle for 8 yards (tackle by Jarvis Brownlee and T'Vondre Sweat),3.970,4.650
1,1:10,2,2,TEN 16,0,14,Brian Robinson right tackle for no gain (tackle by Jeffery Simmons and Roger McCreary),4.650,3.950
1,0:30,3,2,TEN 16,0,20,Jayden Daniels pass complete deep left to Terry McLaurin for 16 yards touchdown,3.950,7.000
1,0:24,,,TEN 15,0,21,Zane Gonzalez kicks extra point good,0.000,0.000
1,0:24,,,WAS 35,0,21,Penalty on Samuel Cosmi: Unsportsmanlike Conduct / Offense 15 yards (accepted) (no play),0.000,0.000
1,0:24,,,WAS 20,0,21,Zane Gonzalez kicks off 63 yards returned by Jha'Quan Jackson for 13 yards. Jha'Quan Jackson fumbles (forced by Tyler Owens) recovered by Mykal Walker at TEN-34,0.000,-3.310
1,0:19,1,10,TEN 34,0,21,Jayden Daniels scrambles right end for 7 yards (tackle by Jaylen Harrell),3.310,3.720
2,15:00,2,3,TEN 27,0,21,Brian Robinson left tackle for no gain (tackle by Daryl Worley and Sebastian Joseph-Day),3.720,3.010
2,14:16,3,3,TEN 27,0,21,Jayden Daniels pass incomplete deep right intended for Dyami Brown. Penalty on Amani Hooker: Defensive Holding 5 yards (accepted) (no play),3.010,4.110
2,14:10,1,10,TEN 22,0,21,Brian Robinson right end for 10 yards (tackle by Jerome Baker and Daryl Worley),4.110,4.780
2,13:33,1,10,TEN 12,0,21,Jayden Daniels right end for -2 yards (tackle by Harold Landry),4.780,3.790
2,12:54,2,12,TEN 14,0,21,Jayden Daniels pass incomplete short middle intended for Zach Ertz (defended by James Lynch),3.790,3.060
2,12:51,3,12,TEN 14,0,21,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 4 yards (tackle by Daryl Worley),3.060,2.760
2,12:51,4,10,TEN 10,0,21,Penalty on Arden Key: Roughing the Passer 5 yards (accepted) (no play),2.760,6.060
2,12:27,1,5,TEN 5,0,21,Brian Robinson right end for 4 yards (tackle by Kenneth Murray and Darrell Baker),6.060,5.910
2,11:43,2,1,TEN 1,0,21,Brian Robinson left tackle for -2 yards (tackle by Kenneth Murray and Jarvis Brownlee),5.910,4.720
2,11:02,3,3,TEN 3,0,27,Jayden Daniels pass complete short middle to Terry McLaurin for 3 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,4.720,7.000
2,10:59,,,TEN 15,0,28,Zane Gonzalez kicks extra point good,0.000,0.000
2,10:59,,,WAS 35,0,28,Zane Gonzalez kicks off 62 yards returned by Julius Chestnut for 22 yards (tackle by Jeremy Reaves and Michael Davis). Penalty on Otis Reese: Offensive Holding 10 yards (accepted),0.000,-0.220
2,10:52,1,10,TEN 15,0,28,Will Levis pass complete short middle to Chigoziem Okonkwo for 5 yards (tackle by Mike Sainristil),-0.220,0.080
2,10:18,2,5,TEN 20,0,28,Tony Pollard left tackle for no gain (tackle by Bobby Wagner). Penalty on Nicholas Petit-Frere: Offensive Holding 10 yards (accepted) (no play),0.080,-1.150
2,9:55,2,15,TEN 10,0,28,Will Levis pass complete short right to Chigoziem Okonkwo for 8 yards (tackle by Dante Fowler),-1.150,-1.000
2,9:07,3,7,TEN 18,0,28,Will Levis pass incomplete short middle intended for Chigoziem Okonkwo,-1.000,-2.240
2,8:51,4,7,TEN 18,0,28,Ryan Stonehouse punts 58 yards returned by Olamide Zaccheaus for no gain (tackle by James Williams). Penalty on Michael Davis: Unnecessary Roughness / Offense 12 yards (accepted),-2.240,0.350
2,8:51,1,10,WAS 12,0,28,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 7 yards (tackle by Jerome Baker and Daryl Worley),-0.350,0.100
2,8:17,2,3,WAS 19,0,28,Jeremy McNichols left end for 2 yards (tackle by Jerome Baker and Jarvis Brownlee). Penalty on Jerome Baker: Face Mask (15 Yards) 15 yards (accepted),0.100,1.330
2,7:53,1,10,WAS 36,0,28,Jeremy McNichols right tackle for 5 yards (tackle by Sebastian Joseph-Day and Jeffery Simmons),1.330,1.470
2,7:15,2,5,WAS 41,0,28,Jayden Daniels left end for 12 yards (tackle by Daryl Worley),1.470,2.460
2,6:32,1,10,TEN 47,0,28,Jayden Daniels pass complete short right to Noah Brown for 7 yards (tackle by Roger McCreary),2.460,2.860
2,5:53,2,3,TEN 40,0,28,Jeremy McNichols left guard for 6 yards (tackle by Jerome Baker),2.860,3.310
2,5:12,1,10,TEN 34,0,28,Jayden Daniels pass complete short middle to Olamide Zaccheaus for 3 yards (tackle by Roger McCreary),3.310,3.180
2,4:43,2,7,TEN 31,0,28,Jayden Daniels pass complete short left to Noah Brown for 11 yards,3.180,4.240
2,4:07,1,10,TEN 20,0,28,Jeremy McNichols left end for 1 yard (tackle by Kenneth Murray),4.240,3.820
2,3:31,2,9,TEN 19,0,28,Jayden Daniels pass complete short right to Terry McLaurin for no gain (tackle by Darrell Baker). Penalty on Cornelius Lucas: Ineligible Downfield Pass 5 yards (accepted) (no play),3.820,3.150
