Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
,,,,,,,Texans won the coin toss and deferred Jaguars to receive the opening kickoff.,,
1,15:00,,,HOU 35,0,0,Ka'imi Fairbairn kicks off 65 yards returned by Devin Duvernay for 22 yards (tackle by Myles Bryant),0.000,0.410
1,14:54,1,10,JAX 22,0,0,Travis Etienne up the middle for 4 yards (tackle by Eric Murray and Azeez Al-Shaair),0.410,0.410
1,14:17,2,6,JAX 26,0,0,Trevor Lawrence pass complete short left to Evan Engram for 3 yards (tackle by Azeez Al-Shaair and Jimmie Ward),0.410,0.100
1,13:36,3,3,JAX 29,0,0,Trevor Lawrence pass incomplete deep right intended for Brian Thomas (defended by Derek Stingley),0.100,-1.440
1,13:29,4,3,JAX 29,0,0,Logan Cooke punts 64 yards returned by Robert Woods for 10 yards (tackle by Ross Matiscik),-1.440,0.060
1,13:17,1,10,HOU 17,0,0,C.J. Stroud pass incomplete short left intended for Nico Collins,-0.060,-0.580
1,13:14,2,10,HOU 17,0,0,C.J. Stroud pass complete short left to Dalton Schultz for 6 yards (tackle by Devin Lloyd and Josh Hines-Allen),-0.580,-0.490
1,12:33,3,4,HOU 23,0,0,C.J. Stroud pass complete short left to Dalton Schultz for 16 yards (tackle by Tyson Campbell),-0.490,1.530
1,11:52,1,10,HOU 39,0,0,C.J. Stroud pass complete short middle to Nico Collins for 10 yards (tackle by Tyson Campbell),1.530,2.190
1,11:32,1,10,HOU 49,0,0,C.J. Stroud pass complete short right to Joe Mixon for 9 yards (tackle by Darnell Savage),2.190,2.860
1,11:02,2,1,JAX 42,0,0,Joe Mixon left end for no gain (tackle by Tyson Campbell),2.860,2.150
1,10:24,3,1,JAX 42,0,0,Joe Mixon right guard for 3 yards (tackle by Travon Walker and Andre Cisco),2.150,2.980
1,9:42,1,10,JAX 39,0,0,Joe Mixon left end for 2 yards (tackle by DaVon Hamilton),2.980,2.710
1,8:54,2,8,JAX 37,0,0,C.J. Stroud pass complete short middle to Nico Collins for 15 yards (tackle by Tyson Campbell). Penalty on Cade Stover: Offensive Offside 5 yards (accepted) (no play),2.710,2.040
1,8:29,2,13,JAX 42,0,0,C.J. Stroud pass incomplete short middle intended for Dalton Schultz (defended by Foyesade Oluokun),2.040,1.360
1,8:26,3,13,JAX 42,0,0,C.J. Stroud sacked by Travon Walker for -13 yards,1.360,-0.390
1,7:36,4,26,HOU 45,0,0,Tommy Townsend punts 39 yards fair catch by Devin Duvernay at JAC-16,-0.390,0.140
1,7:29,1,10,JAX 16,0,0,Trevor Lawrence pass complete short left to Travis Etienne for 2 yards (tackle by Azeez Al-Shaair),-0.140,-0.350
1,6:52,2,8,JAX 18,0,0,Travis Etienne up the middle for -3 yards (tackle by Tim Settle),-0.350,-1.470
1,6:05,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,6:05,3,11,JAX 15,0,0,Trevor Lawrence pass complete deep right to Parker Washington for 30 yards (tackle by Kamari Lassiter). Penalty on Denico Autry: Defensive Offside 5 yards (declined),-1.470,1.930
1,5:37,1,10,JAX 45,0,0,Tank Bigsby right tackle for 2 yards (tackle by Derek Barnett and Mario Edwards),1.930,1.650
1,5:01,2,8,JAX 47,0,0,Trevor Lawrence pass incomplete short right intended for Luke Farrell,1.650,0.960
1,4:57,3,8,JAX 47,0,0,Trevor Lawrence pass incomplete short right intended for Parker Washington,0.960,-0.260
1,4:52,4,8,JAX 47,0,0,Logan Cooke punts 40 yards returned by Robert Woods for 3 yards (tackle by Tim Jones and Daniel Thomas),-0.260,0.140
1,4:41,1,10,HOU 16,0,0,C.J. Stroud pass complete short left to Nico Collins for 15 yards (tackle by Darnell Savage),-0.140,1.000
1,4:00,1,10,HOU 31,0,0,C.J. Stroud pass incomplete short right,1.000,0.460
1,3:53,2,10,HOU 31,0,0,Joe Mixon left end for 2 yards (tackle by Maason Smith),0.460,0.040
1,3:12,3,8,HOU 33,0,0,C.J. Stroud pass incomplete short middle intended for Tank Dell (defended by Ronald Darby),0.040,-1.180
1,3:02,4,8,HOU 33,0,0,Tommy Townsend punts 46 yards fair catch by Devin Duvernay at JAC-21,-1.180,-0.340
1,2:54,1,10,JAX 21,0,0,Trevor Lawrence pass incomplete deep left intended for Devin Duvernay,0.340,-0.200
1,2:48,2,10,JAX 21,0,0,Trevor Lawrence pass incomplete deep left intended for Devin Duvernay,-0.200,-0.890
1,2:40,3,10,JAX 21,0,0,Trevor Lawrence pass complete short right to Parker Washington for 6 yards (tackle by Derek Stingley and Jimmie Ward),-0.890,-1.570
1,2:05,4,4,JAX 27,0,0,Logan Cooke punts 48 yards fair catch by Robert Woods at HOU-25,-1.570,-0.610
1,1:57,1,10,HOU 25,0,0,C.J. Stroud pass complete deep right to Nico Collins for 40 yards (tackle by Montaric Brown),0.610,3.250
1,1:11,1,10,JAX 35,0,0,Joe Mixon right end for -1 yards (tackle by Ventrell Miller),3.250,2.570
1,0:31,2,11,JAX 36,0,0,C.J. Stroud pass complete short left to Dameon Pierce for 1 yard (tackle by Devin Lloyd),2.570,2.010
2,15:00,3,10,JAX 35,0,0,C.J. Stroud pass incomplete short left intended for Joe Mixon,2.010,0.970
