Quarter,Time,Down,ToGo,Location,IND,NWE,Detail,EPB,EPA
,,,,,,,Colts won the coin toss and deferred Patriots to receive the opening kickoff.,,
1,15:00,,,IND 35,0,0,Matt Gay kicks off 67 yards returned by Antonio Gibson for 26 yards (tackle by Chris Lammons),0.000,0.540
1,14:56,1,10,NWE 24,0,0,Drake Maye pass complete short left to Kendrick Bourne for 5 yards (tackle by Jaylon Jones),0.540,0.670
1,14:29,2,5,NWE 29,0,0,Rhamondre Stevenson up the middle for 32 yards (tackle by Julian Blackmon),0.670,2.980
1,13:48,1,10,IND 39,0,0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte,2.980,2.440
1,13:46,2,10,IND 39,0,0,Rhamondre Stevenson right end for 3 yards (tackle by Kwity Paye and Nick Cross),2.440,2.150
1,13:07,3,7,IND 36,0,0,Drake Maye pass complete short right to Hunter Henry for 9 yards (tackle by Nick Cross),2.150,3.780
1,12:32,1,10,IND 27,0,0,Antonio Gibson right tackle for 6 yards (tackle by Zaire Franklin),3.780,4.040
1,11:56,2,4,IND 21,0,0,Drake Maye pass complete short middle to Hunter Henry for 14 yards (tackle by Julian Blackmon),4.040,5.600
1,11:22,1,7,IND 7,0,0,Drake Maye sacked by and Zaire Franklin for no gain and Kwity Paye for no gain,5.600,4.760
1,10:41,2,7,IND 7,0,0,Antonio Gibson up the middle for 2 yards (tackle by DeForest Buckner and Tyquan Lewis),4.760,4.260
1,10:01,3,5,IND 5,0,0,Drake Maye sacked by DeForest Buckner for -11 yards,4.260,2.380
1,9:15,4,16,IND 16,0,3,Joey Slye 35 yard field goal good,2.380,3.000
1,9:12,,,NWE 35,0,3,Joey Slye kicks off 60 yards returned by Tyler Goodson for 24 yards (tackle by Dell Pettus),0.000,0.870
1,9:07,1,10,IND 29,0,3,Anthony Richardson pass complete short left to Michael Pittman for 7 yards (tackle by Jabrill Peppers),0.870,1.270
1,8:52,2,3,IND 36,0,3,Jonathan Taylor right guard for 9 yards (tackle by Jonathan Jones and Jabrill Peppers),1.270,1.930
