Quarter,Time,Down,ToGo,Location,LAR,NOR,Detail,EPB,EPA
,,,,,,,Rams won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,LAR 35,0,0,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,NOR 30,0,0,Alvin Kamara right end for 12 yards (tackle by Omar Speights and Christian Rozeboom),0.940,1.730
1,14:14,1,10,NOR 42,0,0,Derek Carr pass incomplete short right,1.730,1.190
1,14:09,2,10,NOR 42,0,0,Alvin Kamara up the middle for 9 yards (tackle by Christian Rozeboom and Kamren Kinchens),1.190,1.690
1,13:36,3,1,LAR 49,0,0,Alvin Kamara right end for no gain (tackle by Christian Rozeboom),1.690,0.000
1,12:53,,,,,,Timeout #1 by New Orleans Saints,,
1,12:53,4,1,LAR 49,0,0,Derek Carr pass complete short middle to Kevin Austin for 4 yards (tackle by Christian Rozeboom),0.000,2.590
1,12:15,1,10,LAR 45,0,0,Alvin Kamara left end for 2 yards (tackle by Omar Speights and Jared Verse),2.590,2.310
1,11:48,2,8,LAR 43,0,0,Derek Carr pass complete short middle to Foster Moreau for 4 yards (tackle by Omar Speights and Christian Rozeboom),2.310,2.150
1,11:11,3,4,LAR 39,0,0,Derek Carr pass complete short middle to Taysom Hill for 5 yards (tackle by Quentin Lake),2.150,3.310
1,10:28,1,10,LAR 34,0,0,Derek Carr pass complete short middle to Foster Moreau for 2 yards (tackle by Byron Young),3.310,3.040
1,9:45,2,8,LAR 32,0,0,Derek Carr pass complete short right to Alvin Kamara for -4 yards (tackle by Cobie Durant),3.040,1.820
1,8:57,3,12,LAR 36,0,0,Derek Carr sacked by Kobie Turner for no gain. Derek Carr fumbles (forced by Kobie Turner) recovered by Braden Fiske at LA-42 touchdown Replay Assistant challenged the fumble ruling and the original play was overturned. Derek Carr pass incomplete short left intended for Dante Pettis (defended by Kobie Turner),1.820,0.880
1,8:53,4,12,LAR 36,0,3,Blake Grupe 54 yard field goal good,0.880,3.000
1,8:48,,,NOR 35,0,3,Blake Grupe kicks off 63 yards returned by Jordan Whittington for 34 yards (tackle by Blake Grupe). Penalty on Omar Speights: Defensive Holding 10 yards (accepted),0.000,0.670
1,8:40,1,10,LAR 26,0,3,Matthew Stafford pass incomplete short right intended for Demarcus Robinson,0.670,0.130
1,8:35,2,10,LAR 26,0,3,Matthew Stafford pass complete short left to Puka Nacua for 4 yards (tackle by Will Harris),0.130,-0.030
1,7:56,3,6,LAR 30,0,3,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,-0.030,-1.370
1,7:53,4,6,LAR 30,0,3,Ethan Evans punts 45 yards out of bounds,-1.370,-0.610
1,7:46,1,10,NOR 25,0,3,Alvin Kamara right guard for 5 yards (tackle by Michael Hoecht),0.610,0.740
1,7:09,2,5,NOR 30,0,3,Alvin Kamara right end for 10 yards (tackle by Quentin Lake),0.740,1.600
1,6:32,1,10,NOR 40,0,3,Alvin Kamara left tackle for 4 yards (tackle by Bobby Brown),1.600,1.590
1,5:53,2,6,NOR 44,0,3,Derek Carr pass complete short middle to Kevin Austin for 11 yards (tackle by Quentin Lake),1.590,2.590
1,5:13,1,10,LAR 45,0,3,Alvin Kamara up the middle for 4 yards (tackle by Tyler Davis),2.590,2.580
1,4:36,2,6,LAR 41,0,3,Taysom Hill up the middle for 1 yard (tackle by Jared Verse),2.580,2.010
1,3:52,3,5,LAR 40,0,3,Derek Carr pass incomplete deep right intended for Juwan Johnson (defended by Quentin Lake),2.010,0.590
1,3:46,4,5,LAR 40,0,3,Taysom Hill pass incomplete short right intended for Kevin Austin. Penalty on Josh Wallace: Defensive Holding 5 yards (accepted) (no play),0.590,3.250
1,3:41,1,10,LAR 35,0,3,Taysom Hill left guard for 2 yards (tackle by Jared Verse and Tyler Davis),3.250,2.970
1,3:03,2,8,LAR 33,0,3,Derek Carr pass complete short left to Taysom Hill for 21 yards (tackle by Darious Williams),2.970,4.780
1,2:19,,,,,,Timeout #2 by New Orleans Saints,,
1,2:19,1,10,LAR 12,0,3,Derek Carr pass complete short middle to Alvin Kamara for no gain touchdown. Penalty on Taliese Fuaga: Ineligible Downfield Pass 5 yards (accepted) (no play),4.780,4.320
1,2:11,1,15,LAR 17,0,3,Taysom Hill right tackle for 2 yards (tackle by Omar Speights and Bobby Brown),4.320,3.660
1,1:32,2,13,LAR 15,0,3,Derek Carr pass complete short right to Juwan Johnson for 5 yards (tackle by Christian Rozeboom). Penalty on Trevor Penning: Offensive Low Block 15 yards (accepted),3.660,2.470
1,1:10,2,23,LAR 25,0,3,Derek Carr pass complete short right to Alvin Kamara for 1 yard (tackle by Braden Fiske and Omar Speights),2.470,1.950
1,0:28,3,22,LAR 24,0,3,Alvin Kamara right guard for 6 yards (tackle by Kamren Kinchens),1.950,2.250
2,15:00,4,16,LAR 18,0,3,Blake Grupe 36 yard field goal no good,2.250,-0.670
2,14:57,1,10,LAR 26,0,3,Blake Corum right tackle for 9 yards (tackle by Will Harris and Alontae Taylor),0.670,1.350
2,14:18,2,1,LAR 35,0,3,Blake Corum right tackle for 10 yards (tackle by Tyrann Mathieu),1.350,1.930
2,13:39,1,10,LAR 45,0,3,Matthew Stafford pass incomplete short left,1.930,1.380
2,13:32,2,10,LAR 45,0,3,Blake Corum up the middle for 2 yards (tackle by Pete Werner and Demario Davis),1.380,0.960
2,12:59,3,8,LAR 47,0,3,Matthew Stafford pass complete short left to Cooper Kupp for 7 yards (tackle by Ugo Amadi),0.960,0.200
2,12:26,4,1,NOR 46,0,3,Matthew Stafford up the middle for 4 yards (tackle by Will Harris),0.200,2.790
2,11:53,1,10,NOR 42,0,3,Blake Corum right end for 5 yards (tackle by Ugo Amadi),2.790,2.920
2,11:11,2,5,NOR 37,0,3,Blake Corum left guard for 6 yards (tackle by Will Harris and John Ridgeway),2.920,3.510
2,10:31,1,10,NOR 31,0,3,Matthew Stafford pass incomplete deep left intended for Puka Nacua,3.510,2.970
2,10:27,2,10,NOR 31,0,3,Kyren Williams up the middle for 3 yards (tackle by Demario Davis),2.970,2.680
