Quarter,Time,Down,ToGo,Location,LVR,KAN,Detail,EPB,EPA
,,,,,,,Raiders won the coin toss and deferred Chiefs to receive the opening kickoff.,,
1,15:00,,,LVR 35,0,0,Daniel Carlson kicks off 64 yards returned by Samaje Perine for 26 yards (tackle by Dylan Laube),0.000,0.740
1,14:55,1,10,KAN 27,0,0,Kareem Hunt right tackle for -1 yards (tackle by Adam Butler),0.740,0.060
1,14:22,2,11,KAN 26,0,0,Patrick Mahomes pass complete short left to Xavier Worthy for 14 yards (tackle by Decamerion Richardson),0.060,1.600
1,13:57,1,10,KAN 40,0,0,Patrick Mahomes pass incomplete deep left intended for Justin Watson,1.600,1.050
1,13:52,2,10,KAN 40,0,0,Kareem Hunt left tackle for 2 yards (tackle by Adam Butler and Jonah Laulu),1.050,0.630
1,13:14,3,8,KAN 42,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 14 yards (tackle by Tre'von Moehrig). Penalty on K'Lavon Chaisson: Defensive Offside 5 yards (declined),0.630,2.650
1,12:53,1,10,LVR 44,0,0,Isiah Pacheco left guard for 4 yards (tackle by Zachary Carter),2.650,2.650
1,12:17,2,6,LVR 40,0,0,Patrick Mahomes pass complete short middle to Kareem Hunt for 5 yards (tackle by Divine Deablo),2.650,2.610
1,11:44,3,1,LVR 35,0,0,Isiah Pacheco right guard for 2 yards (tackle by Robert Spillane),2.610,3.380
1,11:06,1,10,LVR 33,0,0,Patrick Mahomes pass incomplete short right intended for Travis Kelce (defended by Thomas Harper),3.380,2.840
1,10:57,2,10,LVR 33,0,0,Patrick Mahomes pass incomplete deep right intended for DeAndre Hopkins (defended by Jack Jones). Penalty on Jack Jones: Defensive Pass Interference 20 yards (accepted) (no play),2.840,4.710
1,10:57,1,10,LVR 13,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 6 yards (tackle by Isaiah Pola-Mao),4.710,5.150
1,10:18,2,4,LVR 7,0,0,Patrick Mahomes pass incomplete short right intended for Kareem Hunt,5.150,4.330
1,10:13,3,4,LVR 7,0,0,Patrick Mahomes pass incomplete short right intended for DeAndre Hopkins (defended by Jack Jones),4.330,2.990
1,10:09,4,4,LVR 7,0,3,Matthew Wright 25 yard field goal good,2.990,3.000
1,10:06,,,KAN 35,0,3,Matthew Wright kicks off 65 yards touchback.,0.000,0.940
