Quarter,Time,Down,ToGo,Location,MIA,GNB,Detail,EPB,EPA
,,,,,,,Dolphins won the coin toss and deferred Packers to receive the opening kickoff.,,
1,15:00,,,MIA 35,0,0,Jason Sanders kicks off 62 yards returned by Keisean Nixon for 43 yards (tackle by Jason Sanders),0.000,1.990
1,14:53,1,10,GNB 46,0,0,Josh Jacobs up the middle for 1 yard (tackle by Jordyn Brooks),1.990,1.590
1,14:13,2,9,GNB 47,0,0,Penalty on Tucker Kraft: False Start 5 yards (accepted) (no play),1.590,0.910
1,13:50,2,14,GNB 42,0,0,Jordan Love pass incomplete deep middle intended for Jayden Reed,0.910,0.230
1,13:45,3,14,GNB 42,0,0,Jordan Love pass incomplete short left intended for Tucker Kraft,0.230,-0.590
1,13:40,4,14,GNB 42,0,0,Daniel Whelan punts 49 yards recovered by Robert Rochell at MIA-9,-0.590,5.140
1,13:30,1,9,MIA 9,0,0,Josh Jacobs left guard for 6 yards (tackle by Jordan Poyer and Tyrel Dodson),5.140,5.530
1,12:51,2,3,MIA 3,0,0,Josh Jacobs left guard for no gain (tackle by Tyrel Dodson),5.530,4.720
1,12:05,3,3,MIA 3,0,6,Jordan Love pass complete short right to Jayden Reed for 3 yards touchdown,4.720,7.000
1,12:00,,,MIA 15,0,7,Brandon McManus kicks extra point good,0.000,0.000
1,12:00,,,GNB 35,0,7,Brandon McManus kicks off 65 yards touchback.,0.000,0.940
1,12:00,1,10,MIA 30,0,7,Penalty on Jonnu Smith: False Start 5 yards (accepted) (no play),0.940,0.610
1,12:00,1,15,MIA 25,0,7,Tua Tagovailoa pass complete short right to De'Von Achane for 11 yards (tackle by Isaiah McDuffie),0.610,1.200
1,11:19,2,4,MIA 36,0,7,Tua Tagovailoa pass complete short right to De'Von Achane for 7 yards (tackle by Keisean Nixon),1.200,1.800
1,10:53,1,10,MIA 43,0,7,Tua Tagovailoa sacked by Kingsley Enagbare for no gain. Penalty on Rashan Gary: Defensive Offside 5 yards (accepted) (no play),1.800,2.530
1,10:53,1,5,MIA 48,0,7,Penalty on Julian Hill: False Start 5 yards (accepted),2.530,1.800
1,10:06,1,10,MIA 43,0,7,De'Von Achane up the middle for -1 yards (tackle by Isaiah McDuffie),1.800,1.120
1,9:23,2,11,MIA 42,0,7,Tua Tagovailoa up the middle for -3 yards (tackle by Lukas Van Ness). Penalty on Jonnu Smith: Unnecessary Roughness / Offense 15 yards (accepted),1.120,-1.950
1,9:04,3,29,MIA 24,0,7,Raheem Mostert right end for 3 yards (tackle by Rashan Gary),-1.950,-1.570
