Quarter,Time,Down,ToGo,Location,NYG,DAL,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Cowboys to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,DAL 30,0,0,Rico Dowdle left tackle for 4 yards (tackle by Rakeem Nunez-Roches and Tyler Nubin),0.940,0.930
1,14:27,2,6,DAL 34,0,0,Cooper Rush pass complete short right to Luke Schoonmaker for 1 yard (tackle by Andru Phillips),0.930,0.370
1,13:55,3,5,DAL 35,0,0,Rico Dowdle right tackle for no gain (tackle by Jason Pinnock and Dexter Lawrence). Penalty on Kayvon Thibodeaux: Defensive Offside 5 yards (accepted) (no play),0.370,1.600
1,13:26,1,10,DAL 40,0,0,Cooper Rush pass complete short right to Luke Schoonmaker for 10 yards (tackle by Micah McFadden),1.600,2.260
1,12:48,1,10,DAL 50,0,0,Cooper Rush pass incomplete short right intended for CeeDee Lamb (defended by Bobby Okereke),2.260,1.710
1,12:41,2,10,DAL 50,0,0,Cooper Rush pass complete short right to Rico Dowdle for 6 yards (tackle by Darius Muasau and Tyler Nubin),1.710,1.820
1,12:02,3,4,NYG 44,0,0,Cooper Rush pass complete short middle to CeeDee Lamb for 17 yards (tackle by Cordale Flott),1.820,3.780
1,11:18,1,10,NYG 27,0,0,Cooper Rush pass complete short middle to KaVontae Turpin for 16 yards (tackle by Jason Pinnock),3.780,4.840
1,10:42,1,10,NYG 11,0,0,Cooper Rush pass complete short right to KaVontae Turpin for 6 yards (tackle by Adoree' Jackson and Micah McFadden),4.840,5.280
1,9:58,2,4,NYG 5,0,0,Cooper Rush pass incomplete short left intended for KaVontae Turpin,5.280,4.440
1,9:50,3,4,NYG 5,0,0,Cooper Rush pass incomplete short middle intended for Brandin Cooks (defended by Cordale Flott),4.440,3.010
1,9:46,4,4,NYG 5,0,3,Brandon Aubrey 23 yard field goal good,3.010,3.000
1,9:43,,,DAL 35,0,3,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
1,9:43,1,10,NYG 30,0,3,Devin Singletary left guard for 4 yards (tackle by Eric Kendricks),0.940,0.930
1,9:07,2,6,NYG 34,0,3,Devin Singletary right tackle for 7 yards (tackle by Mazi Smith and Eric Kendricks),0.930,1.660
1,8:30,1,10,NYG 41,0,3,Drew Lock pass complete short right to Malik Nabers for 2 yards (tackle by Jourdan Lewis and DaRon Bland),1.660,1.390
1,7:54,2,8,NYG 43,0,3,Tyrone Tracy up the middle for 7 yards (tackle by Eric Kendricks),1.390,1.620
1,7:20,3,1,DAL 50,0,3,Drew Lock up the middle for no gain (tackle by Osa Odighizuwa and Josh Butler),1.620,-0.060
1,6:50,4,1,DAL 50,0,3,Tyrone Tracy left tackle for 6 yards (tackle by Malik Hooker and DaRon Bland),-0.060,2.650
1,6:08,1,10,DAL 44,0,3,Drew Lock pass complete short right to Malik Nabers for 9 yards (tackle by Malik Hooker),2.650,3.330
1,5:23,2,1,DAL 35,0,3,Devin Singletary right tackle for no gain (tackle by Osa Odighizuwa),3.330,2.610
1,4:49,3,1,DAL 35,0,3,Devin Singletary up the middle for 2 yards (tackle by Micah Parsons and DeMarvion Overshown),2.610,3.380
1,4:00,1,10,DAL 33,0,3,Malik Nabers left end for 4 yards (tackle by DaRon Bland),3.380,3.380
1,3:33,2,6,DAL 29,0,3,Drew Lock pass incomplete short left intended for Malik Nabers,3.380,2.680
1,3:28,3,6,DAL 29,0,3,Drew Lock scrambles up the middle for no gain touchdown Replay Assistant challenged the runner broke the plane ruling and the original play was overturned. Drew Lock scrambles up the middle for 28 yards (tackle by Josh Butler),2.680,6.970
1,3:09,1,1,DAL 1,6,3,Tyrone Tracy up the middle for 1 yard touchdown,6.970,7.000
1,3:06,,,DAL 15,7,3,Graham Gano kicks extra point good,0.000,0.000
1,3:06,,,NYG 35,7,3,Graham Gano kicks off 65 yards touchback.,0.000,0.940
1,3:06,1,10,DAL 30,7,3,Rico Dowdle left guard for 3 yards (tackle by Dexter Lawrence and Rakeem Nunez-Roches),0.940,0.800
1,2:33,2,7,DAL 33,7,3,Cooper Rush pass complete short middle to Luke Schoonmaker for 6 yards (tackle by Bobby Okereke and Micah McFadden),0.800,0.890
1,1:57,3,1,DAL 39,7,3,Ezekiel Elliott up the middle for 4 yards (tackle by Brian Burns),0.890,1.800
