Quarter,Time,Down,ToGo,Location,PHI,BAL,Detail,EPB,EPA
,,,,,,,Ravens won the coin toss and deferred Eagles to receive the opening kickoff.,,
1,15:00,,,BAL 35,0,0,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,PHI 30,0,0,Saquon Barkley left tackle for 12 yards (tackle by Roquan Smith and Tavius Robinson),0.940,1.730
1,14:22,1,10,PHI 42,0,0,Jalen Hurts pass incomplete short middle intended for Parris Campbell (defended by Nnamdi Madubuike),1.730,1.190
1,14:18,2,10,PHI 42,0,0,Will Shipley right end for 4 yards (tackle by Ar'Darius Washington and Marlon Humphrey),1.190,1.030
1,13:35,3,6,PHI 46,0,0,Jalen Hurts pass incomplete short right intended for Britain Covey,1.030,-0.320
1,13:30,4,6,PHI 46,0,0,Braden Mann punts downed by Kelee Ringo. Penalty on Rick Lovato: Offensive Holding 10 yards (accepted) (no play),-0.320,-0.980
1,13:18,4,16,PHI 36,0,0,Braden Mann punts 46 yards fair catch by Tylan Wallace at BAL-18. Penalty on Kelee Ringo: Fair Catch Interference 15 yards (accepted),-0.980,-1.140
1,13:10,1,10,BAL 33,0,0,Derrick Henry left tackle for 5 yards (tackle by Josh Sweat),1.140,1.270
1,12:41,2,5,BAL 38,0,0,Derrick Henry left tackle for no gain (tackle by Nolan Smith and Milton Williams),1.270,0.560
1,11:55,3,5,BAL 38,0,0,Lamar Jackson sacked by Josh Sweat for no gain. Penalty on Avonte Maddox: Defensive Holding 5 yards (accepted) (no play),0.560,1.800
1,11:37,1,10,BAL 43,0,0,Lamar Jackson pass complete deep left to Zay Flowers for 40 yards (tackle by Isaiah Rodgers),1.800,4.440
1,10:47,1,10,PHI 17,0,0,Derrick Henry left tackle for 4 yards (tackle by Nakobe Dean),4.440,4.500
1,10:05,2,6,PHI 13,0,0,Zay Flowers right end for -3 yards (tackle by Jalen Carter),4.500,3.190
1,9:29,3,9,PHI 16,0,0,Lamar Jackson pass incomplete short right intended for Mark Andrews,3.190,2.380
1,9:25,4,9,PHI 16,0,3,Justin Tucker 34 yard field goal good,2.380,3.000
1,9:21,,,BAL 35,0,3,Justin Tucker kicks off 65 yards touchback.,0.000,0.940
1,9:21,1,10,PHI 30,0,3,Saquon Barkley right guard for 4 yards (tackle by Roquan Smith and Malik Harrison),0.940,0.930
1,8:47,2,6,PHI 34,0,3,Jalen Hurts pass incomplete deep right,0.930,0.230
1,8:40,3,6,PHI 34,0,3,Jalen Hurts pass incomplete deep left intended for A.J. Brown,0.230,-1.110
1,8:35,4,6,PHI 34,0,3,Braden Mann punts 48 yards fair catch by Tylan Wallace at BAL-18,-1.110,-0.040
1,8:27,1,10,BAL 18,0,3,Derrick Henry left tackle for 6 yards (tackle by Josh Sweat),0.040,0.410
1,7:48,2,4,BAL 24,0,3,Lamar Jackson pass complete short left to Derrick Henry for 16 yards (tackle by Reed Blankenship),0.410,1.600
1,7:11,1,10,BAL 40,0,3,Derrick Henry right end for 4 yards (tackle by Nakobe Dean and Zack Baun),1.600,1.590
1,6:30,2,6,BAL 44,0,3,Lamar Jackson pass complete short middle to Zay Flowers for 20 yards (tackle by Reed Blankenship),1.590,3.180
1,5:53,1,10,PHI 36,0,3,Justice Hill right guard for 1 yard (tackle by Zack Baun). Penalty on Nolan Smith: Illegal Use of Hands / Defense 5 yards (accepted),3.180,3.580
1,5:32,1,10,PHI 30,0,3,Lamar Jackson pass complete short left to Mark Andrews for 2 yards (tackle by Quinyon Mitchell),3.580,3.300
1,4:49,2,8,PHI 28,0,3,Derrick Henry left end for 19 yards (tackle by Nakobe Dean),3.300,5.140
1,4:14,1,9,PHI 9,0,3,Penalty on Tyler Linderbaum: False Start 5 yards (accepted) (no play),5.140,4.440
1,3:56,1,14,PHI 14,0,9,Lamar Jackson pass complete short left to Mark Andrews for 14 yards touchdown,4.440,7.000
1,3:49,,,PHI 15,0,9,Justin Tucker kicks extra point no good,0.000,-1.000
1,3:49,,,BAL 35,0,9,Justin Tucker kicks off 61 yards returned by Kenneth Gainwell for 23 yards (tackle by Adisa Isaac),0.000,0.740
1,3:45,1,10,PHI 27,0,9,Penalty on A.J. Brown: False Start 5 yards (accepted) (no play),0.740,0.410
1,3:45,1,15,PHI 22,0,9,Saquon Barkley left guard for 3 yards (tackle by Trenton Simpson),0.410,-0.070
1,3:04,2,12,PHI 25,0,9,Jalen Hurts pass complete short left to Saquon Barkley for 5 yards (tackle by Odafe Oweh and Roquan Smith),-0.070,-0.100
1,2:21,3,7,PHI 30,0,9,Jalen Hurts sacked by and Marlon Humphrey for -6 yards and Roquan Smith for -6 yards,-0.100,-1.770
1,1:46,4,13,PHI 24,0,9,Braden Mann punts 49 yards recovered by Tylan Wallace at BAL-27 (tackle by Sydney Brown). Penalty on Kelee Ringo: Player Out of Bounds on Kick 5 yards (accepted) (no play),-1.770,-2.140
1,1:38,4,18,PHI 19,0,9,Braden Mann punts 56 yards returned by Tylan Wallace for 11 yards (tackle by Jeremiah Trotter and Oren Burks),-2.140,-1.330
1,1:28,1,10,BAL 36,0,9,Lamar Jackson pass incomplete deep left intended for Isaiah Likely,1.330,0.790
1,1:23,2,10,BAL 36,0,9,Lamar Jackson aborted snap recovered by Lamar Jackson at BAL-27 and returned for -9 yards,0.790,-1.090
1,0:40,3,19,BAL 27,0,9,Lamar Jackson pass complete short right to Justice Hill for 5 yards (tackle by Nakobe Dean and Zack Baun),-1.090,-1.240
2,15:00,4,14,BAL 32,0,9,Jordan Stout punts 58 yards returned by Britain Covey for 10 yards (tackle by Chris Board),-1.240,-0.280
2,14:49,1,10,PHI 20,0,9,Jalen Hurts pass complete short right to A.J. Brown for 13 yards (tackle by Nate Wiggins),0.280,1.140
2,14:16,1,10,PHI 33,0,9,Saquon Barkley right end for 5 yards (tackle by Tavius Robinson),1.140,1.270
2,13:48,2,5,PHI 38,0,9,Saquon Barkley right end for 4 yards (tackle by Brent Urban and Ar'Darius Washington),1.270,1.090
2,13:05,3,1,PHI 42,0,9,Saquon Barkley up the middle for -1 yards (tackle by Chris Board and Tavius Robinson),1.090,-0.650
2,12:26,4,2,PHI 41,0,9,Braden Mann punts 58 yards downed by Sydney Brown,-0.650,0.380
2,12:16,1,10,BAL 1,0,9,Lamar Jackson pass complete short middle to Mark Andrews for 5 yards (tackle by Reed Blankenship and Nakobe Dean),-0.380,-0.420
2,11:45,2,5,BAL 6,0,9,Derrick Henry left guard for no gain (tackle by Nakobe Dean),-0.420,-0.840
2,11:09,3,5,BAL 6,0,9,Lamar Jackson pass incomplete short right intended for Zay Flowers,-0.840,-2.490
2,11:05,4,5,BAL 6,0,9,Jordan Stout punts 48 yards returned by Britain Covey for 5 yards (tackle by Trenton Simpson),-2.490,-2.320
2,10:55,1,10,BAL 49,0,9,Saquon Barkley right tackle for -1 yards (tackle by Tavius Robinson),2.320,1.650
2,10:21,2,11,BAL 50,0,9,Jalen Hurts pass complete short left to Jahan Dotson for 7 yards (tackle by Kyle Hamilton),1.650,1.880
2,9:40,3,4,BAL 43,0,9,Saquon Barkley up the middle for 9 yards (tackle by Brandon Stephens),1.880,3.310
2,9:08,1,10,BAL 34,0,9,Jalen Hurts right tackle for 8 yards (tackle by Travis Jones),3.310,3.850
2,8:35,2,2,BAL 26,0,9,Jalen Hurts pass complete short left to A.J. Brown for 9 yards (tackle by Brandon Stephens),3.850,4.440
2,8:09,1,10,BAL 17,6,9,Jalen Hurts pass complete short left to Dallas Goedert for 17 yards touchdown,4.440,7.000
2,8:04,,,BAL 15,7,9,Jake Elliott kicks extra point good,0.000,0.000
2,8:04,,,PHI 35,7,9,Braden Mann kicks off 64 yards returned by Rasheen Ali for 24 yards (tackle by Ochaun Mathis),0.000,0.610
2,7:59,1,10,BAL 25,7,9,Derrick Henry left tackle for 1 yard (tackle by Jordan Davis and Josh Sweat),0.610,0.200
2,7:22,2,9,BAL 26,7,9,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Cooper DeJean),0.200,0.430
2,6:45,3,2,BAL 33,7,9,Derrick Henry left end for -4 yards (tackle by Zack Baun),0.430,-1.440
2,6:11,4,6,BAL 29,7,9,Jordan Stout punts 43 yards returned by Britain Covey for 4 yards (tackle by Trenton Simpson),-1.440,-1.070
2,6:02,1,10,PHI 32,7,9,Jalen Hurts pass complete short middle to A.J. Brown for 15 yards (tackle by Chris Board),1.070,2.060
2,5:36,1,10,PHI 47,7,9,Saquon Barkley left end for 5 yards (tackle by Malik Harrison and Chris Board),2.060,2.190
2,5:04,2,5,BAL 48,7,9,Jalen Hurts pass complete short right to A.J. Brown for 15 yards (tackle by Roquan Smith and Marlon Humphrey),2.190,3.380
