Quarter,Time,Down,ToGo,Location,BUF,LAR,Detail,EPB,EPA
,,,,,,,Bills won the coin toss and deferred Rams to receive the opening kickoff.,,
1,15:00,,,BUF 35,0,0,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,LAR 30,0,0,Kyren Williams left tackle for -3 yards (tackle by DaQuan Jones),0.940,-0.010
1,14:25,2,13,LAR 27,0,0,Matthew Stafford pass complete short right to Puka Nacua for 12 yards (tackle by Taylor Rapp),-0.010,0.890
1,13:44,3,1,LAR 39,0,0,Kyren Williams right tackle for 3 yards (tackle by Matt Milano and Taylor Rapp),0.890,1.730
1,13:06,1,10,LAR 42,0,0,Kyren Williams left tackle for 1 yard (tackle by Austin Johnson),1.730,1.320
1,12:26,2,9,LAR 43,0,0,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson (defended by Christian Benford),1.320,0.630
1,12:20,3,9,LAR 43,0,0,Matthew Stafford pass complete short right to Puka Nacua for 17 yards (tackle by Taylor Rapp and Damar Hamlin),0.630,2.920
1,11:37,1,10,BUF 40,0,0,Kyren Williams right guard for 7 yards (tackle by Taron Johnson),2.920,3.320
1,10:58,2,3,BUF 33,0,0,Kyren Williams left guard for 12 yards (tackle by Christian Benford and Damar Hamlin),3.320,4.170
1,10:20,1,10,BUF 21,0,0,Kyren Williams up the middle for 4 yards (tackle by Damar Hamlin),4.170,4.200
1,9:47,2,6,BUF 17,0,0,Puka Nacua left end for 5 yards (tackle by Damar Hamlin and Rasul Douglas),4.200,4.490
1,9:10,3,1,BUF 12,0,0,Puka Nacua left end for 9 yards (tackle by Taylor Rapp),4.490,6.510
1,8:29,1,3,BUF 3,0,6,Kyren Williams left tackle for 3 yards touchdown,6.510,7.000
1,8:26,,,BUF 15,0,7,Joshua Karty kicks extra point good,0.000,0.000
1,8:26,,,LAR 35,0,7,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
1,8:26,1,10,BUF 30,0,7,James Cook left tackle for 1 yard (tackle by Kobie Turner),0.940,0.530
1,7:52,2,9,BUF 31,0,7,Josh Allen pass incomplete short right intended for Amari Cooper,0.530,-0.160
1,7:35,3,9,BUF 31,0,7,Josh Allen pass incomplete deep right. Penalty on Byron Young: Roughing the Passer 15 yards (accepted) (no play),-0.160,1.990
1,7:35,1,10,BUF 46,0,7,James Cook right tackle for 2 yards (tackle by Christian Rozeboom and Omar Speights),1.990,1.720
1,6:54,2,8,BUF 48,0,7,Josh Allen pass complete short middle to Khalil Shakir for 16 yards (tackle by Kamren Curl),1.720,3.180
1,6:14,1,10,LAR 36,0,7,Josh Allen pass complete short right to Mack Hollins for 16 yards (tackle by Kamren Kinchens),3.180,4.240
1,5:29,1,10,LAR 20,0,7,Josh Allen pass complete short left to Ty Johnson for 14 yards (tackle by Christian Rozeboom),4.240,5.830
1,4:46,1,6,LAR 6,0,7,Josh Allen pass complete short left to Khalil Shakir for 5 yards (tackle by Christian Rozeboom),5.830,5.910
1,4:20,2,1,LAR 1,0,7,James Cook left tackle for no gain (tackle by Bobby Brown). Penalty on Byron Young: Defensive Offside (accepted) (no play),5.910,5.910
1,4:08,2,1,LAR 1,0,7,Josh Allen up the middle for no gain (tackle by Bobby Brown),5.910,5.170
1,3:27,3,1,LAR 1,6,7,Josh Allen up the middle for 1 yard touchdown. Penalty on Bobby Brown: Defensive Offside 5 yards (declined),5.170,7.000
1,3:22,,,LAR 15,7,7,Tyler Bass kicks extra point good,0.000,0.000
1,3:22,,,BUF 35,7,7,Tyler Bass kicks off 66 yards returned by Jordan Whittington for 33 yards (tackle by Damar Hamlin),0.000,1.070
1,3:16,1,10,LAR 32,7,7,Blake Corum up the middle for 2 yards (tackle by Terrel Bernard and DaQuan Jones),1.070,0.800
1,2:50,2,8,LAR 34,7,7,Matthew Stafford pass complete deep left to Cooper Kupp for 24 yards (tackle by Damar Hamlin),0.800,2.790
1,2:12,1,10,BUF 42,7,7,Matthew Stafford pass complete short right to Tutu Atwell for 13 yards (tackle by Christian Benford),2.790,3.640
1,1:32,1,10,BUF 29,7,7,Blake Corum right guard for 11 yards (tackle by Taylor Rapp),3.640,4.370
1,0:48,1,10,BUF 18,7,7,Blake Corum left end for 7 yards (tackle by Christian Benford),4.370,5.010
1,0:10,2,3,BUF 11,7,7,Blake Corum up the middle for 6 yards (tackle by Taylor Rapp),5.010,6.060
2,15:00,1,5,BUF 5,7,7,Blake Corum up the middle for no gain (tackle by Rasul Douglas and Ed Oliver),6.060,5.150
2,14:23,2,5,BUF 5,7,7,Blake Corum left guard for 2 yards (tackle by A.J. Epenesa and Ed Oliver),5.150,4.720
2,13:45,3,3,BUF 3,7,7,Matthew Stafford pass incomplete short left intended for Puka Nacua,4.720,3.040
2,13:40,4,3,BUF 3,7,10,Joshua Karty 22 yard field goal good,3.040,3.000
2,13:37,,,LAR 35,7,10,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,13:37,1,10,BUF 30,7,10,Josh Allen pass complete deep left to Amari Cooper for 18 yards (tackle by Darious Williams),0.940,2.130
2,12:59,1,10,BUF 48,7,10,Josh Allen pass incomplete deep left intended for Amari Cooper,2.130,1.580
2,12:50,2,10,BUF 48,7,10,Josh Allen pass incomplete deep middle intended for Mack Hollins (defended by Kamren Kinchens),1.580,0.890
2,12:43,3,10,BUF 48,7,10,Josh Allen pass incomplete deep left intended for Amari Cooper,0.890,-0.190
2,12:38,4,10,BUF 48,7,16,blocked by Jake Hummel touchdown,-0.190,-7.000
2,12:29,,,BUF 15,7,17,Joshua Karty kicks extra point good,0.000,0.000
2,12:29,,,LAR 35,7,17,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
2,12:29,1,10,BUF 30,7,17,James Cook up the middle for 3 yards (tackle by Desjuan Johnson and Christian Rozeboom),0.940,0.800
2,11:48,2,7,BUF 33,7,17,Josh Allen pass complete short left to Mack Hollins for 12 yards (tackle by Darious Williams),0.800,1.930
2,11:13,1,10,BUF 45,7,17,Josh Allen pass complete short left to Amari Cooper for 14 yards (tackle by Darious Williams),1.930,2.850
2,10:32,1,10,LAR 41,13,17,Josh Allen pass complete short left to Ty Johnson for 41 yards touchdown,2.850,7.000
2,10:23,,,LAR 15,14,17,Tyler Bass kicks extra point good,0.000,0.000
2,10:23,,,BUF 35,14,17,Tyler Bass kicks off 63 yards returned by Jordan Whittington for 22 yards (tackle by Joe Andreessen),0.000,0.540
2,10:17,1,10,LAR 24,14,17,Kyren Williams left end for 1 yard (tackle by Damar Hamlin). Penalty on Kevin Dotson: Offensive Illegal Block Above the Waist 10 yards (accepted),0.540,-0.390
2,9:50,1,19,LAR 15,14,17,Matthew Stafford pass complete short right to Puka Nacua for 9 yards (tackle by Damar Hamlin),-0.390,0.000
2,9:07,2,10,LAR 24,14,17,Matthew Stafford pass incomplete deep right intended for Demarcus Robinson. Penalty on Taron Johnson: Defensive Pass Interference 10 yards (accepted) (no play),0.000,1.200
2,9:02,1,10,LAR 34,14,17,Matthew Stafford pass complete short right to Puka Nacua for 16 yards (tackle by Christian Benford),1.200,2.260
2,8:17,1,10,LAR 50,14,17,Kyren Williams right tackle for no gain (tackle by Von Miller and DaQuan Jones),2.260,1.710
2,7:34,2,10,LAR 50,14,17,Matthew Stafford pass complete deep left to Puka Nacua for 19 yards (tackle by Christian Benford),1.710,3.510
2,7:00,1,10,BUF 31,14,17,Kyren Williams up the middle for 7 yards (tackle by Rasul Douglas),3.510,3.910
2,6:19,2,3,BUF 24,14,17,Kyren Williams right tackle for -1 yards (tackle by Matt Milano),3.910,3.070
2,5:38,3,4,BUF 25,14,17,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Taron Johnson),3.070,4.310
2,5:02,1,10,BUF 19,14,17,Matthew Stafford pass complete short left to Puka Nacua for 2 yards (tackle by Christian Benford),4.310,4.030
2,4:24,2,8,BUF 17,14,17,Kyren Williams up the middle for 10 yards (tackle by Terrel Bernard and Taylor Rapp),4.030,5.600
2,3:38,1,7,BUF 7,14,17,Kyren Williams up the middle for -1 yards (tackle by Von Miller and A.J. Epenesa),5.600,4.570
2,2:59,2,8,BUF 8,14,17,Matthew Stafford pass complete short middle to Kyren Williams for no gain (tackle by Taron Johnson). Penalty on Rasul Douglas: Illegal Use of Hands / Defense 4 yards (accepted) (no play),4.570,6.280
2,2:39,,,,,,Timeout #1 by Los Angeles Rams,,
2,2:39,1,4,BUF 4,14,23,Puka Nacua left end for 4 yards touchdown,6.280,7.000
2,2:36,,,BUF 15,14,24,Joshua Karty kicks extra point good,0.000,0.000
2,2:36,,,LAR 35,14,24,Ethan Evans kicks off 61 yards returned by Ray Davis for 14 yards (tackle by Jaylen McCollough and Josh Wallace),0.000,0.040
2,2:33,1,10,BUF 18,14,24,James Cook right end for 8 yards (tackle by Byron Young and Kamren Kinchens),0.040,0.680
2,2:00,2,2,BUF 26,14,24,Josh Allen pass complete short right to Amari Cooper for 7 yards (tackle by Cobie Durant),0.680,1.140
2,1:39,1,10,BUF 33,14,24,Josh Allen pass incomplete deep right intended for Amari Cooper,1.140,0.590
2,1:32,2,10,BUF 33,14,24,Josh Allen pass complete short right to Mack Hollins for 8 yards (tackle by Jaylen McCollough),0.590,0.960
2,1:06,3,2,BUF 41,14,24,Josh Allen pass incomplete deep right intended for Khalil Shakir,0.960,-0.650
2,0:56,4,2,BUF 41,14,24,Sam Martin punts 46 yards fair catch by Xavier Smith at LA-13,-0.650,0.320
2,0:49,1,10,LAR 13,14,24,Matthew Stafford pass complete short right to Puka Nacua for 8 yards (tackle by Terrel Bernard),-0.320,0.350
2,0:28,2,2,LAR 21,14,24,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,0.350,-0.470
2,0:23,3,2,LAR 21,14,24,Kyren Williams right guard for 4 yards (tackle by Damar Hamlin and Terrel Bernard),-0.470,0.610
2,0:18,,,,,,Timeout #2 by Los Angeles Rams,,
2,0:18,1,10,LAR 25,14,24,Kyren Williams right tackle for 1 yard (tackle by Cameron Lewis),0.610,0.200
3,15:00,,,LAR 35,14,24,Ethan Evans kicks off 59 yards returned by Brandon Codrington for 20 yards (tackle by Hunter Long),0.000,0.670
3,14:55,1,10,BUF 26,14,24,Josh Allen pass incomplete short left intended for Curtis Samuel,0.670,0.130
3,14:52,2,10,BUF 26,14,24,James Cook up the middle for 3 yards (tackle by Quentin Lake and Byron Young),0.130,-0.160
3,14:14,3,7,BUF 29,14,24,Josh Allen pass incomplete deep middle intended for Khalil Shakir,-0.160,-1.440
3,14:08,4,7,BUF 29,14,24,Sam Martin punts 55 yards returned by Xavier Smith for 8 yards (tackle by Jalen Virgil),-1.440,-0.540
3,13:55,1,10,LAR 24,14,24,Matthew Stafford pass incomplete deep right intended for Cooper Kupp (defended by Christian Benford),0.540,0.000
3,13:50,2,10,LAR 24,14,24,Matthew Stafford pass incomplete short right intended for Cooper Kupp,0.000,-0.690
3,13:45,3,10,LAR 24,14,24,Matthew Stafford pass complete short left to Puka Nacua for 13 yards (tackle by Taron Johnson),-0.690,1.400
3,13:21,1,10,LAR 37,14,24,Matthew Stafford pass complete deep right to Demarcus Robinson for no gain (tackle by Damar Hamlin). Penalty on Demarcus Robinson: Offensive Pass Interference 10 yards (offset) . Penalty on Damar Hamlin: Defensive Pass Interference 15 yards (offset) (no play),1.400,1.400
3,12:47,1,10,LAR 37,14,24,Kyren Williams up the middle for no gain (tackle by Austin Johnson),1.400,0.860
3,12:08,2,10,LAR 37,14,24,Matthew Stafford pass complete short right to Kyren Williams for 4 yards (tackle by Taron Johnson and Ed Oliver),0.860,0.700
3,11:24,3,6,LAR 41,14,24,Matthew Stafford pass complete short right to Puka Nacua for 7 yards (tackle by Rasul Douglas). Penalty on Rasul Douglas: Defensive Pass Interference 15 yards (declined),0.700,2.130
3,10:57,1,10,LAR 48,14,24,Kyren Williams up the middle for 1 yard (tackle by Terrel Bernard),2.130,1.720
3,10:13,2,9,LAR 49,14,24,Matthew Stafford pass complete deep right to Cooper Kupp for 37 yards (tackle by Rasul Douglas). Penalty on Rasul Douglas: Defensive Pass Interference 15 yards (declined),1.720,4.650
3,9:48,1,10,BUF 14,14,24,Kyren Williams left tackle for 3 yards (tackle by Taylor Rapp),4.650,4.520
3,9:11,2,7,BUF 11,14,24,Kyren Williams up the middle for 4 yards (tackle by Taylor Rapp),4.520,4.500
3,8:31,3,3,BUF 7,14,30,Kyren Williams right end for 7 yards touchdown,4.500,7.000
3,8:26,,,BUF 15,14,31,Joshua Karty kicks extra point good,0.000,0.000
3,8:26,,,LAR 35,14,31,Ethan Evans kicks off 65 yards touchback.,0.000,0.280
3,8:26,1,10,BUF 20,14,31,Curtis Samuel right end for 1 yard (tackle by Kobie Turner),0.280,-0.130
3,7:45,2,9,BUF 21,14,31,Josh Allen pass complete short left to Khalil Shakir for no gain (tackle by Quentin Lake),-0.130,-0.820
3,7:04,3,9,BUF 21,14,31,Josh Allen pass complete deep left to Amari Cooper for 26 yards (tackle by Darious Williams),-0.820,2.060
3,6:22,1,10,BUF 47,14,31,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),2.060,1.730
3,6:05,1,15,BUF 42,14,31,Josh Allen pass complete short right to Ty Johnson for no gain (tackle by Cobie Durant and Christian Rozeboom). Penalty on Spencer Brown: Offensive Facemask 15 yards (accepted) (no play),1.730,0.740
3,5:40,1,30,BUF 27,14,31,Josh Allen pass complete short left to Amari Cooper for 5 yards (tackle by Darious Williams and Christian Rozeboom),0.740,-0.510
3,4:56,2,25,BUF 32,14,31,Josh Allen scrambles left end for 17 yards (tackle by Byron Young),-0.510,1.090
3,4:04,3,8,BUF 49,20,31,Josh Allen pass complete short middle to Khalil Shakir for 51 yards touchdown,1.090,7.000
3,3:54,,,LAR 15,21,31,Tyler Bass kicks extra point good,0.000,0.000
3,3:54,,,BUF 35,21,31,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
3,3:54,1,10,LAR 30,21,31,Matthew Stafford pass complete short right to Tutu Atwell for 21 yards (tackle by Christian Benford and Terrel Bernard),0.940,2.320
3,3:08,1,10,BUF 49,21,31,Blake Corum right guard for 4 yards (tackle by Matt Milano),2.320,2.320
3,2:30,2,6,BUF 45,21,31,Matthew Stafford pass incomplete deep right intended for Puka Nacua,2.320,1.620
3,2:25,3,6,BUF 45,21,31,Matthew Stafford pass complete deep right to Puka Nacua for 21 yards (tackle by Rasul Douglas),1.620,3.970
3,1:42,1,10,BUF 24,21,31,Blake Corum left end for 2 yards (tackle by Christian Benford),3.970,3.700
3,1:04,2,8,BUF 22,21,31,Kyren Williams up the middle for 5 yards (tackle by Quinton Jefferson and Austin Johnson),3.700,3.750
3,0:22,3,3,BUF 17,21,37,Matthew Stafford pass complete deep middle to Cooper Kupp for 17 yards touchdown,3.750,7.000
3,0:18,,,BUF 15,21,38,Joshua Karty kicks extra point good,0.000,0.000
3,0:18,,,LAR 35,21,38,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
3,0:18,1,10,BUF 30,21,38,Josh Allen pass incomplete short left intended for Amari Cooper,0.940,0.390
3,0:15,2,10,BUF 30,21,38,Josh Allen pass incomplete short right intended for Amari Cooper (defended by Cobie Durant),0.390,-0.300
3,0:12,3,10,BUF 30,21,38,Josh Allen scrambles up the middle for 20 yards (tackle by Jared Verse). Penalty on Jared Verse: Horse Collar Tackle 15 yards (accepted),-0.300,3.250
4,15:00,1,10,LAR 35,21,38,Josh Allen pass complete deep left to Khalil Shakir for 34 yards (tackle by Kamren Curl),3.250,6.970
4,14:29,1,1,LAR 1,27,38,Josh Allen left guard for 1 yard touchdown,6.970,7.000
4,14:27,,,LAR 15,28,38,Tyler Bass kicks extra point good,0.000,0.000
4,14:27,,,BUF 35,28,38,Tyler Bass kicks off 65 yards touchback.,0.000,0.940
4,14:27,1,10,LAR 30,28,38,Matthew Stafford pass incomplete short middle intended for Hunter Long,0.940,0.390
4,14:22,2,10,LAR 30,28,38,Kyren Williams up the middle for no gain (tackle by Damar Hamlin),0.390,-0.300
4,13:41,3,10,LAR 30,28,38,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Taron Johnson and Terrel Bernard),-0.300,-0.850
4,13:02,4,2,LAR 38,28,38,Ethan Evans punts 53 yards out of bounds,-0.850,0.380
4,12:52,1,10,BUF 9,28,38,Josh Allen pass complete short right to Curtis Samuel for 4 yards (tackle by Byron Young and Christian Rozeboom),-0.380,-0.480
4,12:24,2,6,BUF 13,28,38,Josh Allen pass complete short right to James Cook for 5 yards (tackle by Omar Speights),-0.480,-0.370
4,12:03,3,1,BUF 18,28,38,Josh Allen up the middle for 3 yards (tackle by Braden Fiske),-0.370,0.340
4,11:38,1,10,BUF 21,28,38,Josh Allen pass complete short left to Dawson Knox for 5 yards (tackle by Kamren Curl and Omar Speights),0.340,0.480
4,11:02,2,5,BUF 26,28,38,Josh Allen scrambles right end for 30 yards (tackle by Kamren Kinchens),0.480,2.650
4,10:30,1,10,LAR 44,28,38,Josh Allen pass complete short middle to Curtis Samuel for 11 yards (tackle by Christian Rozeboom),2.650,3.380
4,10:02,1,10,LAR 33,28,38,Josh Allen pass complete short left to James Cook for 4 yards (tackle by Quentin Lake and Jared Verse),3.380,3.380
4,9:41,2,6,LAR 29,28,38,James Cook left tackle for 3 yards (tackle by Christian Rozeboom and Darious Williams),3.380,3.070
4,9:16,3,3,LAR 26,28,38,James Cook left end for no gain (tackle by Kamren Curl) (no play),3.070,4.170
4,8:58,1,10,LAR 21,28,38,Josh Allen pass incomplete short middle intended for Khalil Shakir (defended by Quentin Lake),4.170,3.630
4,8:53,2,10,LAR 21,34,38,Josh Allen pass complete deep right to Mack Hollins for 21 yards touchdown,3.630,7.000
4,8:49,,,LAR 15,35,38,Tyler Bass kicks extra point good,0.000,0.000
4,8:49,,,BUF 35,35,38,Tyler Bass kicks off 63 yards returned by Jordan Whittington for 27 yards (tackle by Ja'Marcus Ingram and Joe Andreessen),0.000,0.870
4,8:41,1,10,LAR 29,35,38,Matthew Stafford pass complete short middle to Kyren Williams for 6 yards (tackle by Taron Johnson),0.870,1.140
4,8:01,2,4,LAR 35,35,38,Matthew Stafford pass complete short middle to Puka Nacua for 19 yards (tackle by Damar Hamlin and Taron Johnson),1.140,2.520
4,7:16,1,10,BUF 46,35,38,Kyren Williams left tackle for no gain (tackle by Von Miller and Terrel Bernard),2.520,1.980
4,6:38,2,10,BUF 46,35,38,Puka Nacua right end for 1 yard (tackle by Terrel Bernard),1.980,1.420
4,5:50,3,9,BUF 45,35,38,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Ja'Marcus Ingram). Penalty on Ja'Marcus Ingram: Defensive Pass Interference 5 yards (accepted) (no play),1.420,2.920
4,5:50,1,10,BUF 40,35,38,Kyren Williams left end for 6 yards (tackle by Taylor Rapp),2.920,3.180
4,5:26,2,4,BUF 34,35,38,Puka Nacua left end for -3 yards (tackle by A.J. Epenesa),3.180,2.080
4,4:48,3,7,BUF 37,35,38,Matthew Stafford scrambles left end for no gain (tackle by Cameron Lewis). Penalty on Steve Avila: Offensive Holding 9 yards (accepted) (no play),2.080,0.890
4,4:40,3,16,BUF 46,35,38,Matthew Stafford pass complete short middle to Colby Parkinson for 11 yards (tackle by Terrel Bernard and Damar Hamlin),0.890,0.980
4,3:52,4,5,BUF 35,35,38,Matthew Stafford pass complete short middle to Tutu Atwell for 11 yards (tackle by Taylor Rapp),0.980,3.970
4,3:09,1,10,BUF 24,35,38,Kyren Williams right tackle for no gain (tackle by DaQuan Jones and A.J. Epenesa),3.970,3.430
4,2:29,2,10,BUF 24,35,38,Kyren Williams up the middle for 5 yards (tackle by Taylor Rapp and Gregory Rousseau),3.430,3.410
4,2:00,3,5,BUF 19,35,44,Matthew Stafford pass complete short right to Puka Nacua for 19 yards touchdown,3.410,7.000
4,1:54,,,BUF 15,35,44,Joshua Karty kicks extra point no good,0.000,-1.000
4,1:54,,,LAR 35,35,44,Ethan Evans kicks off 65 yards touchback.,0.000,0.940
4,1:54,1,10,BUF 30,35,44,Josh Allen pass incomplete deep right intended for Amari Cooper,0.940,0.390
4,1:47,2,10,BUF 30,35,44,Josh Allen pass complete deep left to Amari Cooper for 25 yards (tackle by Kamren Curl),0.390,2.590
4,1:41,1,10,LAR 45,35,44,Josh Allen pass incomplete deep left intended for Amari Cooper,2.590,2.040
4,1:35,2,10,LAR 45,35,44,Penalty on Dion Dawkins: False Start 5 yards (accepted) (no play),2.040,1.370
4,1:35,2,15,LAR 50,35,44,Josh Allen pass incomplete deep right intended for Mack Hollins,1.370,0.700
4,1:30,3,15,LAR 50,35,44,Josh Allen pass incomplete short left intended for Ty Johnson,0.700,-0.060
4,1:24,,,,,,Timeout #1 by Los Angeles Rams,,
4,1:24,4,15,LAR 50,35,44,Josh Allen pass incomplete deep middle intended for Khalil Shakir. Penalty on Quentin Lake: Defensive Pass Interference 34 yards (accepted) (no play),-0.060,4.510
4,1:18,1,10,LAR 16,35,44,Josh Allen scrambles left end for 9 yards (tackle by Neville Gallimore),4.510,5.540
4,1:11,2,1,LAR 7,35,44,Josh Allen pass incomplete short left intended for Amari Cooper (defended by Darious Williams). Penalty on Darious Williams: Defensive Pass Interference 6 yards (accepted) (no play),5.540,6.970
4,1:06,1,1,LAR 1,35,44,Josh Allen up the middle for no gain (tackle by Omar Speights),6.970,5.910
4,1:02,,,,,,Timeout #1 by Buffalo Bills,,
4,1:02,2,1,LAR 1,41,44,Josh Allen left guard for 1 yard touchdown,5.910,7.000
4,1:00,2,16,LAR 16,41,44,Penalty on Dion Dawkins: Unnecessary Roughness / Offense 15 yards (accepted) (no play),3.340,0.000
4,1:00,,,LAR 30,42,44,Tyler Bass kicks extra point good,0.000,0.000
4,1:00,,,BUF 35,42,44,Tyler Bass kicks onside 10 yards returned by Ronnie Rivers for no gain,0.000,2.590
4,0:59,1,10,BUF 45,42,44,Kyren Williams up the middle for 2 yards (tackle by Damar Hamlin),2.590,2.310
4,0:56,,,,,,Timeout #2 by Buffalo Bills,,
4,0:56,2,8,BUF 43,42,44,Kyren Williams right guard for 2 yards (tackle by Ja'Marcus Ingram),2.310,1.880
4,0:52,,,,,,Timeout #3 by Buffalo Bills,,
4,0:52,3,6,BUF 41,42,44,Kyren Williams left tackle for 4 yards (tackle by Ja'Marcus Ingram and Taylor Rapp),1.880,0.790
4,0:07,4,2,BUF 37,42,44,Penalty on Matthew Stafford: Delay of Game 5 yards (accepted) (no play),0.790,0.460
4,0:07,,,,,,Timeout #2 by Los Angeles Rams,,
4,0:07,4,7,BUF 42,42,44,Ethan Evans punts 42 yards touchback.,0.460,1.730
