Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
,,,,,,,Eagles won the coin toss and deferred Panthers to receive the opening kickoff.,,
1,15:00,,,PHI 35,0,0,Braden Mann kicks off 65 yards returned by Raheem Blackshear for 26 yards (tackle by Kenneth Gainwell),0.000,0.670
1,14:53,1,10,CAR 26,0,0,Bryce Young pass complete short right to Chuba Hubbard for 8 yards (tackle by Zack Baun),0.670,1.210
1,14:21,2,2,CAR 34,0,0,Chuba Hubbard left tackle for 3 yards (tackle by Cooper DeJean),1.210,1.400
1,13:47,1,10,CAR 37,0,0,Bryce Young pass incomplete short right intended for David Moore,1.400,0.860
1,13:43,2,10,CAR 37,0,0,Bryce Young pass incomplete deep left intended for Ja'Tavion Sanders,0.860,0.170
1,13:36,3,10,CAR 37,0,0,Bryce Young pass incomplete short right intended for Xavier Legette (defended by C.J. Gardner-Johnson),0.170,-0.910
1,13:32,4,10,CAR 37,0,0,Johnny Hekker punts fair catch by Cooper DeJean at PHI-10. Penalty on Jacoby Windmon: Illegal Formation 5 yards (accepted) (no play),-0.910,-1.240
1,13:25,4,15,CAR 32,0,0,Johnny Hekker punts 45 yards returned by Cooper DeJean for 2 yards (tackle by Claudin Cherelus),-1.240,-0.610
1,13:13,1,10,PHI 25,0,0,Saquon Barkley right end for 2 yards (tackle by Jaycee Horn). Penalty on Lane Johnson: Offensive Holding 10 yards (accepted),0.610,-0.150
1,12:51,1,18,PHI 17,0,0,Jalen Hurts pass complete short right to Jahan Dotson for 5 yards (tackle by Xavier Woods),-0.150,-0.340
1,12:09,2,13,PHI 22,0,0,Kenneth Gainwell left end for 20 yards (tackle by Xavier Woods and D.J. Wonnum),-0.340,1.730
1,11:28,1,10,PHI 42,0,0,Jalen Hurts sacked by Josey Jewell for -8 yards,1.730,0.110
1,10:45,2,18,PHI 34,0,0,Jalen Hurts pass incomplete short left intended for Saquon Barkley,0.110,-0.560
1,10:40,3,18,PHI 34,0,0,Jalen Hurts pass incomplete short right intended for Jahan Dotson (defended by Michael Jackson),-0.560,-1.110
1,10:35,4,18,PHI 34,0,0,Braden Mann punts 43 yards returned by Raheem Blackshear for 1 yard (tackle by Kelee Ringo),-1.110,-0.540
1,10:27,1,10,CAR 24,0,0,Chuba Hubbard right end for 15 yards (tackle by Darius Slay),0.540,1.530
1,9:51,1,10,CAR 39,0,0,Chuba Hubbard right guard for 4 yards (tackle by Nakobe Dean),1.530,1.530
1,9:16,2,6,CAR 43,0,0,Bryce Young pass complete short left to Chuba Hubbard for no gain (tackle by Nolan Smith). Penalty on Tommy Tremble: Offensive Holding 10 yards (accepted) (no play),1.530,0.180
1,8:43,2,16,CAR 33,0,0,Penalty on Bryce Young: Delay of Game 5 yards (accepted) (no play),0.180,-0.500
1,8:26,2,21,CAR 28,0,0,Bryce Young pass complete short left to Xavier Legette for 8 yards (tackle by Cooper DeJean),-0.500,-0.100
1,8:00,3,13,CAR 36,0,0,Bryce Young pass complete short middle to Adam Thielen for 13 yards (tackle by Darius Slay),-0.100,2.190
1,7:00,1,10,CAR 49,0,0,Bryce Young pass incomplete deep left intended for David Moore,2.190,1.650
1,6:48,2,10,CAR 49,0,0,Chuba Hubbard right tackle for 3 yards (tackle by Tristin McCollum and Nakobe Dean),1.650,1.360
1,6:06,3,7,PHI 48,0,0,Bryce Young sacked by Zack Baun for -7 yards,1.360,-0.390
1,5:24,4,14,CAR 45,0,0,Johnny Hekker punts 45 yards downed by Lonnie Johnson,-0.390,0.380
1,5:12,1,10,PHI 10,0,0,Saquon Barkley left tackle for 6 yards (tackle by Trevin Wallace and Josey Jewell),-0.380,-0.230
1,4:28,2,4,PHI 16,0,0,Jalen Hurts scrambles right end for 2 yards (tackle by Josey Jewell),-0.230,-0.480
1,3:48,3,2,PHI 18,0,0,Jalen Hurts right tackle for -3 yards (tackle by Josey Jewell),-0.480,-2.440
1,3:12,4,5,PHI 15,0,0,Braden Mann punts 47 yards returned by Deven Thompkins for 15 yards (tackle by Will Shipley and C.J. Uzomah),-2.440,-2.460
1,3:01,1,10,PHI 47,0,0,Bryce Young pass complete deep right to Adam Thielen for 24 yards (tackle by Cooper DeJean),2.460,4.040
1,2:27,1,10,PHI 23,0,0,Jonathon Brooks left end for -3 yards (tackle by Cooper DeJean),4.040,3.090
1,1:59,2,13,PHI 26,0,0,Bryce Young pass incomplete short right intended for Tommy Tremble,3.090,2.410
1,1:54,3,13,PHI 26,0,0,Chuba Hubbard left tackle for 6 yards (tackle by Zack Baun and Nolan Smith),2.410,2.120
1,1:13,4,7,PHI 20,3,0,Eddy Piñeiro 38 yard field goal good,2.120,3.000
1,1:09,,,CAR 35,3,0,Eddy Piñeiro kicks off 65 yards touchback.,0.000,0.940
1,1:09,1,10,PHI 30,3,0,Saquon Barkley left guard for 7 yards (tackle by LaBryan Ray and A'Shawn Robinson),0.940,1.340
1,0:42,2,3,PHI 37,3,0,Saquon Barkley right end for 12 yards (tackle by Jordan Fuller),1.340,2.190
1,0:06,1,10,PHI 49,3,0,Jalen Hurts pass complete short left to DeVonta Smith for 3 yards (tackle by Demani Richardson),2.190,2.050
2,15:00,2,7,CAR 48,3,0,Saquon Barkley left guard for 11 yards (tackle by Trevin Wallace),2.050,3.120
2,14:35,1,10,CAR 37,3,0,Jalen Hurts pass complete short left to Grant Calcaterra for no gain (tackle by Xavier Woods and Trevin Wallace). Penalty on Mekhi Becton: Ineligible Downfield Pass 5 yards (accepted) (no play),3.120,2.790
2,14:08,1,15,CAR 42,3,0,Jalen Hurts pass complete short left to Grant Calcaterra for 7 yards (tackle by Jaycee Horn),2.790,2.840
2,13:31,2,8,CAR 35,3,0,Jalen Hurts pass incomplete short left intended for DeVonta Smith (defended by Shy Tuttle),2.840,2.150
