Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
,,,,,,,Jaguars won the coin toss and deferred Titans to receive the opening kickoff.,,
1,15:00,,,JAX 35,0,0,Cam Little kicks off 68 yards returned by Tyjae Spears for 25 yards (tackle by Josiah Deguara and Brenton Strange),0.000,0.410
1,14:55,1,10,TEN 22,0,0,Tony Pollard right tackle for 14 yards (tackle by Antonio Johnson),0.410,1.330
1,14:20,1,10,TEN 36,0,0,Tony Pollard left tackle for 5 yards (tackle by Maason Smith),1.330,1.470
1,13:45,2,5,TEN 41,0,0,Tony Pollard left tackle for 4 yards (tackle by Devin Lloyd),1.470,1.290
1,13:08,3,1,TEN 45,0,0,Tony Pollard left guard for 8 yards (tackle by Foyesade Oluokun),1.290,2.460
1,12:32,1,10,JAX 47,0,0,Tyjae Spears left guard for 7 yards (tackle by Jeremiah Ledbetter),2.460,2.860
1,11:51,2,3,JAX 40,0,0,Tyjae Spears up the middle for 2 yards (tackle by Tyler Lacy),2.860,2.410
1,11:12,3,1,JAX 38,0,0,Tony Pollard up the middle for 3 yards (tackle by Tyson Campbell and Travon Walker),2.410,3.250
1,10:35,1,10,JAX 35,0,0,Tony Pollard right end for 1 yard (tackle by Foyesade Oluokun),3.250,2.840
1,9:58,2,9,JAX 34,0,0,Will Levis pass complete short left to Calvin Ridley for 6 yards (tackle by Antonio Johnson),2.840,2.940
1,9:23,3,3,JAX 28,0,0,Tyjae Spears up the middle for 1 yard (tackle by Maason Smith and DaVon Hamilton),2.940,1.800
1,8:37,4,2,JAX 27,0,3,Nick Folk 46 yard field goal good,1.800,3.000
1,8:32,,,TEN 35,0,3,Nick Folk kicks off 54 yards returned by Keilan Robinson for 14 yards (tackle by Cedric Gray),0.000,0.610
1,8:27,1,10,JAX 25,0,3,Mac Jones scrambles left guard for 2 yards (tackle by Darrell Baker),0.610,0.330
1,7:50,2,8,JAX 27,0,3,Travis Etienne right end for 7 yards (tackle by Luke Gifford and Arden Key),0.330,0.560
1,7:10,,,,,,Timeout #1 by Jacksonville Jaguars,,
1,7:10,3,1,JAX 34,0,3,Tank Bigsby up the middle for 1 yard (tackle by Jeffery Simmons and Luke Gifford),0.560,1.270
1,6:13,1,10,JAX 35,0,3,Mac Jones pass incomplete short left,1.270,0.720
1,6:05,2,10,JAX 35,0,3,Tank Bigsby up the middle for no gain (tackle by Luke Gifford),0.720,0.040
1,5:27,3,10,JAX 35,0,3,Mac Jones pass complete short right to Travis Etienne for 21 yards (tackle by Amani Hooker),0.040,2.650
1,4:51,1,10,TEN 44,0,3,Mac Jones pass incomplete deep left intended for Brian Thomas,2.650,2.110
1,4:45,2,10,TEN 44,0,3,Tank Bigsby left end for -1 yards (tackle by Harold Landry and Otis Reese),2.110,1.290
1,4:02,3,11,TEN 45,0,3,Penalty on Walker Little: False Start 5 yards (accepted) (no play),1.290,0.630
1,3:45,3,16,TEN 50,0,3,Mac Jones pass deep right intended for Brian Thomas is intercepted by Chidobe Awuzie at TEN-29 and returned for 8 yards (tackle by Parker Washington),0.630,-1.400
1,3:34,1,10,TEN 37,0,3,Tony Pollard right guard for 3 yards (tackle by Foyesade Oluokun and Jarrian Jones),1.400,1.260
1,2:55,2,7,TEN 40,0,3,Penalty on Nicholas Petit-Frere: False Start 5 yards (accepted) (no play),1.260,0.590
1,2:33,2,12,TEN 35,0,3,Will Levis pass complete short left to Calvin Ridley for 8 yards (tackle by Tyson Campbell),0.590,0.960
1,1:53,3,4,TEN 43,0,3,Will Levis pass incomplete short left intended for Calvin Ridley (defended by Tyson Campbell),0.960,-0.520
1,1:47,4,4,TEN 43,0,3,Ryan Stonehouse punts 46 yards fair catch by Devin Duvernay at JAC-11,-0.520,0.370
1,1:40,1,10,JAX 11,0,3,Mac Jones pass complete short middle to Brenton Strange for 21 yards (tackle by Daryl Worley),-0.370,1.070
1,1:07,1,10,JAX 32,0,3,Mac Jones pass complete short left to Travis Etienne for 9 yards (tackle by Otis Reese and Luke Gifford),1.070,1.740
1,0:26,2,1,JAX 41,0,3,Mac Jones pass complete short middle to Parker Washington for 7 yards (tackle by Jarvis Brownlee),1.740,2.130
2,15:00,1,10,JAX 48,0,3,Tank Bigsby left guard for 4 yards (tackle by Jeffery Simmons and Jarvis Brownlee),2.130,2.120
2,14:25,2,6,TEN 48,0,3,Devin Duvernay left end for -7 yards (tackle by Otis Reese),2.120,0.500
2,13:42,3,13,JAX 45,0,3,Mac Jones scrambles up the middle for 3 yards (tackle by Luke Gifford),0.500,-0.190
2,13:04,4,10,JAX 48,0,3,Logan Cooke punts 44 yards out of bounds,-0.190,0.380
2,12:55,1,10,TEN 8,0,3,Tony Pollard left guard for 2 yards (tackle by Arik Armstead),-0.380,-0.630
2,12:14,2,8,TEN 10,0,3,Tony Pollard right end for 9 yards (tackle by Devin Lloyd and Tyler Lacy),-0.630,0.150
2,11:30,1,10,TEN 19,0,3,Will Levis pass complete short right to Nick Vannett for 4 yards (tackle by Arik Armstead and Devin Lloyd),0.150,0.280
2,10:42,2,5,TEN 23,0,3,Tyjae Spears right end for 2 yards (tackle by Foyesade Oluokun),0.280,-0.270
2,10:07,3,3,TEN 25,0,3,Will Levis pass complete short middle to Chigoziem Okonkwo for 10 yards (tackle by Foyesade Oluokun),-0.270,1.270
2,9:33,1,10,TEN 35,0,3,Will Levis pass complete short left to Bryce Oliver for 16 yards (tackle by Foyesade Oluokun and Ronald Darby),1.270,2.320
2,8:56,1,10,JAX 49,0,3,Tony Pollard right guard for no gain (tackle by DaVon Hamilton),2.320,1.850
2,8:18,2,9,JAX 49,0,3,Will Levis pass complete short left to Calvin Ridley for 9 yards (tackle by Jarrian Jones and Devin Lloyd),1.850,2.280
2,7:50,3,1,JAX 40,0,3,Will Levis pass complete short middle to Josh Whyle for 23 yards (tackle by Andre Cisco),2.280,4.440
2,7:07,1,10,JAX 17,0,3,Will Levis pass complete short middle to Tony Pollard for 13 yards (tackle by Devin Lloyd and Tyler Lacy),4.440,6.280
2,6:21,1,4,JAX 4,0,3,Will Levis pass complete short middle to Calvin Ridley for no gain (tackle by Devin Lloyd and Andre Cisco),6.280,5.340
2,5:42,2,4,JAX 4,0,3,Tony Pollard right end for no gain touchdown. Penalty on Dillon Radunz: Offensive Holding 10 yards (accepted) (no play),5.340,3.580
2,5:37,2,14,JAX 14,0,3,Will Levis pass incomplete short right intended for Tyler Boyd. Penalty on Jarrian Jones: Defensive Pass Interference 10 yards (accepted) (no play),3.580,6.280
2,5:33,1,4,JAX 4,0,3,Tony Pollard right tackle for 2 yards (tackle by Travon Walker),6.280,5.720
2,4:55,2,2,JAX 2,0,3,Will Levis pass incomplete short right intended for Calvin Ridley,5.720,4.950
2,4:51,3,2,JAX 2,0,3,Will Levis pass incomplete short middle intended for Tyler Boyd,4.950,3.250
2,4:46,4,2,JAX 2,0,3,Will Levis pass incomplete short left intended for Nick Vannett (defended by Andre Cisco),3.250,0.380
2,4:41,1,10,JAX 2,0,3,Tank Bigsby up the middle for -1 yards (tackle by Jeffery Simmons and Sebastian Joseph-Day),-0.380,-0.850
2,4:04,2,11,JAX 1,0,3,Tank Bigsby right tackle for 1 yard (tackle by Sebastian Joseph-Day),-0.850,-1.420
2,3:18,3,10,JAX 2,0,3,Mac Jones pass complete short right to Evan Engram for 11 yards (tackle by Amani Hooker and Chidobe Awuzie),-1.420,-0.320
2,2:37,1,10,JAX 13,0,3,Mac Jones sacked by Harold Landry for no gain,-0.320,-0.770
2,2:00,2,10,JAX 13,0,3,Mac Jones pass complete short left to Tank Bigsby for 7 yards (tackle by Jarvis Brownlee),-0.770,-0.590
2,1:53,3,3,JAX 20,0,3,Mac Jones pass complete short left to Devin Duvernay for 4 yards (tackle by Jarvis Brownlee),-0.590,0.540
2,1:28,1,10,JAX 24,0,3,Mac Jones pass complete short left to Evan Engram for 8 yards (tackle by Luke Gifford and Jarvis Brownlee),0.540,1.080
2,1:07,2,2,JAX 32,0,3,Mac Jones pass incomplete short left intended for Evan Engram (defended by Jeffery Simmons),1.080,0.370
2,1:03,3,2,JAX 32,0,3,Mac Jones pass complete short right to Devin Duvernay for 5 yards (tackle by Amani Hooker),0.370,1.400
2,0:46,1,10,JAX 37,0,3,Mac Jones pass complete short right to Travis Etienne for 5 yards (tackle by Luke Gifford),1.400,1.530
2,0:38,,,,,,Timeout #2 by Jacksonville Jaguars,,
2,0:38,2,5,JAX 42,0,3,Mac Jones pass complete short right to Travis Etienne for 15 yards (tackle by Otis Reese),1.530,2.720
2,0:30,1,10,TEN 43,0,3,Mac Jones pass complete short middle to Evan Engram for 7 yards (tackle by Daryl Worley),2.720,3.120
2,0:09,2,3,TEN 36,0,3,Mac Jones pass complete short left to Evan Engram for no gain (tackle by Otis Reese). Penalty on Brian Thomas: Offensive Pass Interference 10 yards (accepted) (no play),3.120,1.770
2,0:07,,,,,,Timeout #1 by Tennessee Titans,,
2,0:07,2,13,TEN 46,0,3,Mac Jones pass short left intended for Tank Bigsby is intercepted by Otis Reese at TEN-49 and returned for 2 yards (tackle by Tank Bigsby),1.770,-2.320
2,0:01,1,10,JAX 49,0,3,Will Levis sacked by Josh Hines-Allen for -13 yards. Will Levis fumbles (forced by Josh Hines-Allen) recovered by JC Latham at TEN-38 (tackle by Josh Hines-Allen),2.320,0.020
