Quarter,Time,Down,ToGo,Location,NOR,NYG,Detail,EPB,EPA
,,,,,,,Giants won the coin toss and deferred Saints to receive the opening kickoff.,,
1,15:00,,,NYG 35,0,0,Graham Gano kicks off 65 yards returned by Jamaal Williams for 16 yards (tackle by Bryce Ford-Wheaton),0.000,-0.140
1,14:55,1,10,NOR 16,0,0,Alvin Kamara right tackle for -1 yards (tackle by Elijah Chatman),-0.140,-0.780
1,14:21,2,11,NOR 15,0,0,Derek Carr pass complete short left to Marquez Valdes-Scantling for 6 yards (tackle by Adoree' Jackson),-0.780,-0.700
1,13:47,3,5,NOR 21,0,0,Derek Carr pass incomplete short left intended for Dante Pettis (defended by Tre Hawkins),-0.700,-1.960
1,13:43,4,5,NOR 21,0,0,Matthew Hayball punts 35 yards returned by Ihmir Smith-Marsette for 8 yards (tackle by Jamaal Williams),-1.960,-2.390
1,13:32,1,10,NOR 48,0,0,Drew Lock pass incomplete short right intended for Tyrone Tracy,2.390,1.850
1,13:28,2,10,NOR 48,0,0,Drew Lock pass incomplete deep left intended for Darius Slayton (defended by Kool-Aid McKinstry),1.850,1.160
1,13:22,3,10,NOR 48,0,0,Drew Lock pass complete short right to Wan'Dale Robinson for no gain (tackle by Ugo Amadi). Penalty on Joshua Ezeudu: Illegal Formation 5 yards (accepted) (no play),1.160,0.500
1,12:54,3,15,NYG 47,0,0,Drew Lock scrambles left end for 15 yards (tackle by Demario Davis),0.500,3.050
1,12:27,1,10,NOR 38,0,0,Tyrone Tracy left end for 2 yards (tackle by Demario Davis),3.050,2.780
1,11:55,2,8,NOR 36,0,0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson,2.780,2.080
1,11:52,3,8,NOR 36,0,0,Drew Lock pass incomplete short right intended for Wan'Dale Robinson (defended by Bryan Bresee),2.080,0.880
1,11:44,4,8,NOR 36,0,0,Drew Lock pass incomplete short right. Penalty on Devin Singletary: Offensive Holding 10 yards (declined) . Penalty on Drew Lock: Intentional Grounding 15 yards (accepted),0.880,-2.320
1,11:36,1,10,NYG 49,0,0,Derek Carr pass complete short left to Alvin Kamara for 7 yards (tackle by Darius Muasau),2.320,2.730
1,11:07,2,3,NYG 42,0,0,Alvin Kamara right guard for -2 yards (tackle by Kayvon Thibodeaux and Elijah Garcia),2.730,1.750
1,10:25,3,5,NYG 44,0,0,Alvin Kamara right guard for 9 yards (tackle by Tyler Nubin and Isaiah Simmons),1.750,3.250
1,9:50,1,10,NYG 35,0,0,Alvin Kamara right end for -2 yards (tackle by Micah McFadden),3.250,2.430
1,9:17,2,12,NYG 37,0,0,Kendre Miller right end for -3 yards (tackle by Adoree' Jackson and Micah McFadden),2.430,1.350
1,8:35,3,15,NYG 40,0,0,Derek Carr pass complete short middle to Jamaal Williams for 5 yards (tackle by Isaiah Simmons),1.350,0.970
1,7:56,4,10,NYG 35,0,0,Blake Grupe 53 yard field goal no good,0.970,-1.800
