Quarter,Time,Down,ToGo,Location,ATL,MIN,Detail,EPB,EPA
,,,,,,,Falcons won the coin toss Falcons to receive the opening kickoff.,,
1,15:00,,,MIN 35,0,0,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,ATL 30,0,0,Bijan Robinson left tackle for 12 yards (tackle by Harrison Smith),0.940,1.730
1,14:22,1,10,ATL 42,0,0,Bijan Robinson right end for 2 yards (tackle by Jonathan Bullard),1.730,1.460
1,13:41,2,8,ATL 44,0,0,Kirk Cousins pass incomplete short left intended for Ray-Ray McCloud,1.460,0.760
1,13:38,3,8,ATL 44,0,0,Kirk Cousins pass complete deep right to Darnell Mooney for 28 yards (tackle by Shaquill Griffin),0.760,3.710
1,13:00,1,10,MIN 28,0,0,Bijan Robinson left end for -5 yards (tackle by Jalen Redmond),3.710,2.490
1,12:15,2,15,MIN 33,0,0,Kirk Cousins pass complete short middle to Drake London for 16 yards (tackle by Dallas Turner and Byron Murphy),2.490,4.440
1,11:34,1,10,MIN 17,0,0,Bijan Robinson right end for no gain (tackle by Dallas Turner),4.440,3.850
1,10:52,2,10,MIN 17,0,0,Kirk Cousins pass complete short right to Bijan Robinson for 4 yards (tackle by Jihad Ward),3.850,3.680
1,10:10,3,6,MIN 13,0,0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 5 yards (tackle by Blake Cashman),3.680,2.990
1,9:43,4,1,MIN 8,0,0,Bijan Robinson left guard for 2 yards (tackle by Byron Murphy and Josh Metellus),2.990,5.830
1,9:01,1,6,MIN 6,6,0,Tyler Allgeier right guard for 6 yards touchdown,5.830,7.000
1,8:58,,,MIN 15,7,0,Younghoe Koo kicks extra point good,0.000,0.000
1,8:58,,,ATL 35,7,0,Bradley Pinion kicks off 63 yards returned by Cam Akers for 24 yards (tackle by Kevin King and Charlie Woerner),0.000,0.670
1,8:53,1,10,MIN 26,7,0,Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Zach Harrison),0.670,0.130
1,8:51,2,10,MIN 26,7,0,Aaron Jones left tackle for 5 yards (tackle by Troy Andersen),0.130,0.100
1,8:16,3,5,MIN 31,7,0,Sam Darnold pass complete deep right to Jordan Addison for 16 yards (tackle by DeAundre Alford),0.100,2.060
1,7:50,1,10,MIN 47,7,0,Aaron Jones right end for 13 yards (tackle by Kaden Elliss),2.060,2.920
1,7:15,1,10,ATL 40,7,0,Aaron Jones up the middle for 3 yards (tackle by Jessie Bates and Nathan Landman),2.920,2.780
1,6:37,2,7,ATL 37,7,0,Sam Darnold sacked by Eddie Goldman for -9 yards,2.780,0.890
1,5:53,3,16,ATL 46,7,0,Sam Darnold sacked by Arnold Ebiketie for -6 yards,0.890,-0.190
1,5:10,4,22,MIN 48,7,0,Ryan Wright punts 45 yards returned by Avery Williams for 11 yards (tackle by Trent Sherfield),-0.190,-0.040
1,5:01,1,10,ATL 18,7,0,Kirk Cousins pass complete deep middle to Darnell Mooney for 24 yards (tackle by Camryn Bynum and Andrew Van Ginkel),0.040,1.730
1,4:11,1,10,ATL 42,7,0,Bijan Robinson up the middle for 3 yards (tackle by Blake Cashman and Harrison Smith),1.730,1.590
1,3:37,2,7,ATL 45,7,0,Bijan Robinson left tackle for 5 yards (tackle by Camryn Bynum and Andrew Van Ginkel),1.590,1.550
1,2:57,3,2,ATL 50,7,0,Tyler Allgeier left guard for 7 yards (tackle by Josh Metellus),1.550,2.720
1,2:20,1,10,MIN 43,7,0,Tyler Allgeier right guard for 5 yards (tackle by Jerry Tillery),2.720,2.850
1,1:42,2,5,MIN 38,7,0,Kirk Cousins pass incomplete short right intended for Drake London (defended by Jalen Redmond),2.850,2.150
1,1:36,3,5,MIN 38,7,0,Kirk Cousins pass incomplete short middle intended for Drake London (defended by Blake Cashman),2.150,0.720
1,1:32,4,5,MIN 38,7,0,Kirk Cousins pass incomplete short right intended for Ray-Ray McCloud,0.720,-1.470
1,1:28,1,10,MIN 38,7,0,Aaron Jones right end for 13 yards (tackle by Kaden Elliss and Jessie Bates),1.470,2.320
1,0:46,1,10,ATL 49,7,6,Sam Darnold pass complete deep right to Jordan Addison for 49 yards touchdown,2.320,7.000
1,0:37,,,ATL 15,7,7,Will Reichard kicks extra point good,0.000,0.000
1,0:37,,,MIN 35,7,7,Will Reichard kicks off 65 yards touchback.,0.000,0.940
1,0:37,1,10,ATL 30,7,7,Bijan Robinson left end for 9 yards (tackle by Harrison Phillips and Camryn Bynum),0.940,1.610
2,15:00,2,1,ATL 39,7,7,Bijan Robinson right end for 2 yards (tackle by Jonathan Greenard),1.610,1.660
2,14:20,1,10,ATL 41,7,7,Bijan Robinson right end for 12 yards (tackle by Josh Metellus),1.660,2.460
2,13:37,1,10,MIN 47,7,7,Kirk Cousins pass deep right intended for Drake London is intercepted by Josh Metellus at MIN-31 and returned for 4 yards (tackle by Drake London),2.460,-1.270
2,13:29,1,10,MIN 35,7,7,Aaron Jones up the middle for 3 yards (tackle by Kaden Elliss),1.270,1.130
2,12:49,2,7,MIN 38,7,7,Sam Darnold pass incomplete deep left intended for Jordan Addison,1.130,0.430
2,12:42,3,7,MIN 38,7,7,Sam Darnold scrambles left end for 5 yards (tackle by Jessie Bates),0.430,-0.520
2,11:53,4,2,MIN 43,7,7,Ryan Wright punts 57 yards touchback.,-0.520,-0.280
2,11:45,1,10,ATL 20,7,7,Tyler Allgeier left end for 6 yards (tackle by Blake Cashman),0.280,0.540
2,11:13,2,4,ATL 26,7,7,Tyler Allgeier right guard for 3 yards (tackle by Josh Metellus),0.540,0.230
2,10:34,3,1,ATL 29,7,7,Tyler Allgeier up the middle for 2 yards (tackle by Jonathan Bullard),0.230,1.000
2,9:55,1,10,ATL 31,7,7,Bijan Robinson right end for 2 yards (tackle by Blake Cashman),1.000,0.730
2,9:14,2,8,ATL 33,7,7,Kirk Cousins pass complete short middle to Charlie Woerner for 11 yards (tackle by Harrison Smith),0.730,1.860
2,8:29,1,10,ATL 44,7,7,Penalty on Chris Lindstrom: False Start 5 yards (accepted) (no play),1.860,1.530
2,8:07,1,15,ATL 39,7,7,Kirk Cousins pass complete short right to Bijan Robinson for 5 yards (tackle by Jalen Redmond),1.530,1.320
2,7:28,2,10,ATL 44,7,7,Kirk Cousins pass complete short right to Ray-Ray McCloud for 9 yards (tackle by Dallas Turner),1.320,1.820
2,6:50,3,1,MIN 47,7,7,Kirk Cousins sacked by Jamin Davis for -6 yards. Penalty on Bijan Robinson: Offensive Holding 10 yards (declined),1.820,-0.260
2,6:26,4,7,ATL 47,7,7,Bradley Pinion punts 41 yards fair catch by Brandon Powell at MIN-13. Penalty on C.J. Ham: Defensive Offside 5 yards (accepted) (no play),-0.260,0.070
2,6:26,4,2,MIN 48,7,7,Penalty on Kirk Cousins: Delay of Game 5 yards (accepted) (no play),0.070,-0.260
2,6:26,4,7,ATL 47,7,7,Bradley Pinion punts 53 yards touchback.,-0.260,-0.280
2,6:17,1,10,MIN 20,7,7,Sam Darnold scrambles left tackle for 3 yards (tackle by Kaden Elliss),0.280,0.140
2,5:39,2,7,MIN 23,7,7,Sam Darnold sacked by Matt Judon for -6 yards,0.140,-1.510
2,5:02,3,13,MIN 17,7,7,Sam Darnold pass complete deep middle to Justin Jefferson for 20 yards (tackle by Troy Andersen),-1.510,1.400
2,4:34,1,10,MIN 37,7,7,Sam Darnold pass incomplete deep left intended for Jordan Addison. Penalty on Mike Hughes: Defensive Pass Interference 47 yards (accepted) (no play),1.400,4.510
2,4:25,1,10,ATL 16,7,7,Sam Darnold pass complete short left to Jordan Addison for -5 yards (tackle by David Onyemata),4.510,3.280
2,3:39,2,15,ATL 21,7,7,Sam Darnold pass incomplete short left intended for Josh Oliver,3.280,2.610
2,3:35,3,15,ATL 21,7,7,Sam Darnold sacked by Arnold Ebiketie for no gain. Sam Darnold fumbles (forced by Arnold Ebiketie) recovered by Clark Phillips at ATL-30 Replay Assistant challenged the fumble ruling and the original play was overturned. Sam Darnold pass incomplete short right intended for Jordan Addison (defended by Arnold Ebiketie),2.610,2.060
2,3:30,4,15,ATL 21,7,7,Will Reichard yard field goal good. Penalty on Kentavius Street: Defensive Holding 5 yards (accepted) (no play),2.060,4.510
2,3:27,1,10,ATL 16,7,7,Cam Akers left guard for -1 yards (tackle by Lorenzo Carter),4.510,3.770
2,2:49,2,11,ATL 17,7,7,Sam Darnold pass complete short right to Jordan Addison for 5 yards (tackle by DeAundre Alford and Jessie Bates),3.770,3.730
2,2:05,3,6,ATL 12,7,13,Sam Darnold pass complete short middle to Justin Jefferson for 12 yards touchdown,3.730,7.000
2,2:01,,,ATL 15,7,14,Will Reichard kicks extra point good,0.000,0.000
2,2:01,,,MIN 35,7,14,Will Reichard kicks off 65 yards touchback.,0.000,0.940
2,2:01,1,10,ATL 30,7,14,Bijan Robinson left tackle for no gain (tackle by Blake Cashman). Penalty on Matthew Bergeron: Offensive Holding 10 yards (accepted) (no play),0.940,0.280
