Quarter,Time,Down,ToGo,Location,CHI,SFO,Detail,EPB,EPA
,,,,,,,Bears won the coin toss and deferred 49ers to receive the opening kickoff.,,
1,15:00,,,CHI 35,0,0,Cairo Santos kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,SFO 30,0,0,Brock Purdy pass complete short right to Jauan Jennings for 7 yards (tackle by Kevin Byard),0.940,1.340
1,14:30,2,3,SFO 37,0,0,Isaac Guerendo left tackle for no gain (tackle by Gervon Dexter),1.340,0.630
1,13:54,3,3,SFO 37,0,0,Brock Purdy pass complete short middle to Isaac Guerendo for 23 yards (tackle by Kevin Byard),0.630,2.920
1,13:16,1,10,CHI 40,0,0,Brock Purdy pass complete short middle to George Kittle for 33 yards (tackle by Tremaine Edmunds and Zacch Pickens),2.920,5.600
1,12:25,,,,,,Timeout #1 by San Francisco 49ers,,
1,12:25,1,7,CHI 7,0,6,Brock Purdy pass complete short left to Jauan Jennings for 7 yards touchdown,5.600,7.000
1,12:20,,,CHI 15,0,7,Jake Moody kicks extra point good,0.000,0.000
1,12:20,,,SFO 35,0,7,Jake Moody kicks off 67 yards returned by DeAndre Carter for 25 yards (tackle by Dee Winters),0.000,0.480
1,12:15,1,10,CHI 23,0,7,D'Andre Swift up the middle for 3 yards (tackle by Sam Okuayinonu and Talanoa Hufanga),0.480,0.340
1,11:39,2,7,CHI 26,0,7,D'Andre Swift right end for no gain (tackle by Dee Winters),0.340,-0.360
1,10:58,3,7,CHI 26,0,7,Caleb Williams pass complete short left to Travis Homer for 3 yards (tackle by Deommodore Lenoir),-0.360,-1.440
1,10:18,4,4,CHI 29,0,7,Tory Taylor punts 58 yards downed by Josh Blackwell,-1.440,0.320
1,10:08,1,10,SFO 13,0,7,Brock Purdy pass complete deep left to Deebo Samuel for 20 yards (tackle by Jaylon Johnson),-0.320,1.140
1,9:31,1,10,SFO 33,0,7,Isaac Guerendo left end for 3 yards (tackle by Tyrique Stevenson),1.140,1.000
1,8:54,2,7,SFO 36,0,7,Isaac Guerendo right guard for 6 yards (tackle by Jonathan Owens),1.000,1.090
1,8:17,3,1,SFO 42,0,7,Brock Purdy up the middle for 2 yards (tackle by Montez Sweat),1.090,1.860
1,7:39,1,10,SFO 44,0,7,Deebo Samuel left tackle for 2 yards (tackle by Byron Cowart and Gervon Dexter),1.860,1.590
1,7:13,2,8,SFO 46,0,7,Brock Purdy pass complete short left to Jauan Jennings for 3 yards (tackle by Jonathan Owens),1.590,1.290
1,6:22,3,5,SFO 49,0,7,Brock Purdy pass incomplete short right intended for Deebo Samuel (defended by T.J. Edwards),1.290,-0.130
1,6:17,4,5,SFO 49,0,7,Pat O'Donnell punts 45 yards fair catch by Josh Blackwell at CHI-6,-0.130,0.380
1,6:10,1,10,CHI 6,0,7,Caleb Williams pass complete short left to D.J. Moore for 5 yards (tackle by De'Vondre Campbell),-0.380,-0.420
1,5:34,2,5,CHI 11,0,7,Caleb Williams pass complete short left to D.J. Moore for 7 yards (tackle by De'Vondre Campbell),-0.420,0.040
1,4:55,1,10,CHI 18,0,7,Caleb Williams pass incomplete short right intended for Keenan Allen (defended by Dee Winters),0.040,-0.490
1,4:47,2,10,CHI 18,0,7,Caleb Williams pass incomplete short left intended for D.J. Moore,-0.490,-1.170
1,4:43,3,10,CHI 18,0,7,Caleb Williams sacked by Yetur Gross-Matos for -7 yards,-1.170,-2.490
1,3:55,4,17,CHI 11,0,7,Tory Taylor punts 60 yards returned by Jacob Cowing for 7 yards (tackle by Josh Blackwell),-2.490,-1.330
1,3:50,1,10,SFO 36,0,7,Brock Purdy pass complete deep right to George Kittle for 32 yards (tackle by T.J. Edwards),1.330,3.450
1,3:10,1,10,CHI 32,0,7,Isaac Guerendo right guard for 4 yards (tackle by Zacch Pickens),3.450,3.440
1,2:28,2,6,CHI 28,0,7,Brock Purdy pass complete deep right to Isaac Guerendo for 27 yards (tackle by Jack Sanborn),3.440,6.970
1,1:43,1,1,CHI 1,0,13,Isaac Guerendo up the middle for 1 yard touchdown,6.970,7.000
1,1:39,,,CHI 15,0,14,Jake Moody kicks extra point good,0.000,0.000
1,1:39,,,SFO 35,0,14,Jake Moody kicks off 65 yards touchback.,0.000,0.940
1,1:39,1,10,CHI 30,0,14,D'Andre Swift left end for 3 yards (tackle by De'Vondre Campbell and Robert Beal),0.940,0.800
1,0:53,2,7,CHI 33,0,14,Caleb Williams pass incomplete short right intended for D'Andre Swift (defended by Sam Okuayinonu),0.800,0.100
1,0:48,3,7,CHI 33,0,14,Caleb Williams sacked by Leonard Floyd for -5 yards,0.100,-1.500
1,0:16,4,12,CHI 28,0,14,Tory Taylor punts 51 yards returned by Jacob Cowing for 8 yards (tackle by Daniel Hardy),-1.500,-0.870
1,0:05,1,10,SFO 29,0,14,Brock Purdy sacked by T.J. Edwards for -4 yards,0.870,-0.210
2,15:00,2,14,SFO 25,0,14,Brock Purdy pass complete short middle to George Kittle for 23 yards (tackle by Jonathan Owens),-0.210,2.130
2,14:24,1,10,SFO 48,0,14,Isaac Guerendo left guard for 3 yards (tackle by Kyler Gordon),2.130,1.990
