Quarter,Time,Down,ToGo,Location,CIN,DAL,Detail,EPB,EPA
,,,,,,,Cowboys won the coin toss and deferred Bengals to receive the opening kickoff.,,
1,15:00,,,DAL 35,0,0,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
1,15:00,1,10,CIN 30,0,0,Joe Burrow pass complete short left to Ja'Marr Chase for 3 yards (tackle by Trevon Diggs),0.940,0.800
1,14:25,2,7,CIN 33,0,0,Joe Burrow pass complete short middle to Drew Sample for 1 yard (tackle by DeMarvion Overshown),0.800,0.230
1,13:40,3,6,CIN 34,0,0,Joe Burrow pass incomplete short left intended for Tee Higgins (defended by Trevon Diggs),0.230,-1.110
1,13:35,4,6,CIN 34,0,0,Ryan Rehkow punts 46 yards returned by KaVontae Turpin for 20 yards (tackle by Tanner Hudson),-1.110,-1.600
1,13:24,1,10,DAL 40,0,0,Rico Dowdle left tackle for 2 yards (tackle by Germaine Pratt and McKinnley Jackson),1.600,1.320
1,12:54,2,8,DAL 42,0,0,Rico Dowdle up the middle for 7 yards (tackle by Geno Stone and Jordan Battle),1.320,1.550
1,12:15,3,1,DAL 49,0,0,Cooper Rush pass complete short right to Luke Schoonmaker for 14 yards (tackle by Jordan Battle),1.550,3.120
1,11:34,1,10,CIN 37,0,0,Cooper Rush pass complete short right to CeeDee Lamb for 4 yards,3.120,3.110
1,11:04,2,6,CIN 33,0,0,Cooper Rush pass complete short right to CeeDee Lamb for 13 yards (tackle by Marco Wilson),3.110,4.240
1,10:25,1,10,CIN 20,0,0,Cooper Rush pass incomplete short right intended for Rico Dowdle,4.240,3.690
1,10:19,2,10,CIN 20,0,0,Rico Dowdle left guard for 8 yards (tackle by Germaine Pratt and McKinnley Jackson),3.690,4.340
1,9:43,3,2,CIN 12,0,0,Rico Dowdle up the middle for 1 yard (tackle by DJ Ivey),4.340,2.850
1,8:59,4,1,CIN 11,0,6,Cooper Rush pass complete short right to CeeDee Lamb for 11 yards touchdown,2.850,7.000
1,8:55,,,CIN 15,0,7,Brandon Aubrey kicks extra point good,0.000,0.000
1,8:55,,,DAL 35,0,7,Brandon Aubrey kicks off 65 yards touchback.,0.000,0.940
1,8:55,1,10,CIN 30,0,7,Chase Brown up the middle for 3 yards (tackle by Donovan Wilson and Osa Odighizuwa),0.940,0.800
1,8:11,2,7,CIN 33,0,7,Penalty on Micah Parsons: Neutral Zone Infraction 5 yards (accepted) (no play),0.800,1.470
1,7:54,2,2,CIN 38,0,7,Joe Burrow pass complete short right to Chase Brown for 13 yards (tackle by DeMarvion Overshown),1.470,2.320
1,7:13,1,10,DAL 49,0,7,Ja'Marr Chase left end for 14 yards (tackle by Donovan Wilson),2.320,3.250
1,6:38,1,10,DAL 35,0,7,Joe Burrow pass complete short right to Chase Brown for no gain (tackle by Osa Odighizuwa). Penalty on Amarius Mims: Offensive Holding 10 yards (accepted) (no play),3.250,2.590
1,6:09,1,20,DAL 45,0,7,Chase Brown right guard for 4 yards (tackle by Eric Kendricks),2.590,1.890
1,5:49,2,16,DAL 41,0,7,Joe Burrow pass incomplete short middle. Penalty on Mazi Smith: Defensive Too Many Men on Field 5 yards (offset) . Penalty on Joe Burrow: Intentional Grounding 10 yards (offset) (no play),1.890,1.890
1,5:45,2,16,DAL 41,0,7,Joe Burrow pass complete short left to Ja'Marr Chase for 14 yards (tackle by Trevon Diggs),1.890,3.070
1,5:12,3,2,DAL 27,0,7,Joe Burrow pass complete short left to Chase Brown for 8 yards (tackle by DeMarvion Overshown and Eric Kendricks),3.070,4.310
1,4:33,1,10,DAL 19,0,7,Joe Burrow pass incomplete deep right intended for Chase Brown (defended by DaRon Bland),4.310,3.750
1,4:25,2,10,DAL 19,0,7,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,3.750,3.030
1,4:21,3,10,DAL 19,0,7,Joe Burrow pass complete short right to Tee Higgins for 13 yards (tackle by Malik Hooker and DaRon Bland),3.030,5.830
1,3:34,1,6,DAL 6,0,7,Chase Brown right guard for 1 yard (tackle by Chauncey Golston),5.830,5.150
1,2:51,2,5,DAL 5,6,7,Joe Burrow pass complete short right to Ja'Marr Chase for 5 yards touchdown,5.150,7.000
1,2:45,,,DAL 15,6,7,Penalty on Ryan Rehkow: Delay of Game 5 yards (accepted) (no play),0.000,0.000
1,2:45,,,DAL 20,7,7,Cade York kicks extra point good,0.000,0.000
1,2:45,,,CIN 35,7,7,Cade York kicks off 65 yards touchback.,0.000,0.940
1,2:45,1,10,DAL 30,7,7,Rico Dowdle left tackle for 3 yards (tackle by Germaine Pratt and Kris Jenkins),0.940,0.800
1,2:02,2,7,DAL 33,7,7,Cooper Rush pass complete short right to CeeDee Lamb for 43 yards (tackle by Mike Hilton and Akeem Davis-Gaither),0.800,3.970
1,1:09,1,10,CIN 24,7,7,Cooper Rush pass incomplete deep left intended for Ryan Flournoy,3.970,3.430
1,1:04,2,10,CIN 24,7,7,Rico Dowdle up the middle for 12 yards (tackle by Akeem Davis-Gaither),3.430,4.780
1,0:41,1,10,CIN 12,7,7,Rico Dowdle left tackle for no gain (tackle by Joseph Ossai and Sam Hubbard),4.780,4.100
2,15:00,2,10,CIN 12,7,7,Cooper Rush pass short left (defended by Cam Taylor-Britt) intended for CeeDee Lamb is intercepted by Geno Stone at CIN-4 and returned for no gain (tackle by CeeDee Lamb) Penalty on DAL: Illegal Formation 5 yards (declined),4.100,0.380
2,14:56,1,10,CIN 4,7,7,Khalil Herbert left tackle for 4 yards (tackle by Malik Hooker and DeMarvion Overshown),-0.380,-0.490
